Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8319348169914265e-10,1.2061135763341956e-10,7.234724459719413e-11,4.7680400990478145e-11,3.4338336889055335e-11,2.254737520395478e-11,1.5793589912069327e-11,1.0386894009477588e-11,7.687287000015415e-12,4.6945574310823466e-12,3.509400505434372e-12,2.2087226072436127e-12,1.242973264283482e-12,6.210408930677354e-13,3.2782591636710177e-13,2.7284583268424375e-13,2.1106511789394406e-13,5.64331425278412e-09,4.62947880164137e-09,3.7565527967362496e-09,2.8751604450592233e-09,1.854144442767613e-09,1.2018123410917213e-09,9.505844159440161e-10,6.078518159832233e-10,4.3647143135793666e-10,2.769286777115223e-10,2.0082927811338734e-10,1.2908277926036956e-10,8.322594602076058e-11,6.065460370879277e-11,3.490983314708831e-11,2.628706533323631e-11,1.8272737028521897e-11,1.0979391723170919e-11,7.793941872622747e-12,4.723260055793663e-12,2.7235359575467335e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0380315015389042e-10,1.0955677341612033e-10,7.2306026165959e-11,4.644998220326523e-11,3.3285160327019e-11,2.307702733560671e-11,1.6379726507082963e-11,1.0898928830164302e-11,7.830109376651253e-12,4.8959163755930315e-12,3.0012216609646516e-12,2.0720183048966876e-12,1.4966100504646671e-12,7.033487631892911e-13,4.5222491754118214e-13,5.221446057078822e-13,1.0539721388645971e-13,5.767745310761949e-09,4.697971641832197e-09,3.5832681268881365e-09,2.9643132380436802e-09,1.9028359925258565e-09,1.2747820920418859e-09,9.837305000902e-10,7.354399950435082e-10,4.3550809957232404e-10,2.7102711798187337e-10,1.898807690440079e-10,1.159362447768549e-10,7.811163630007413e-11,5.435489016490025e-11,3.756524190297183e-11,2.4847630220254977e-11,1.7860430503647925e-11,1.1450308866199893e-11,6.4504302134057645e-12,4.405654770305148e-12,2.8596298091603216e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8367610207568735e-10,1.143426459289027e-10,7.135457735995342e-11,4.4975951330737936e-11,3.833482770572859e-11,2.1102636772482222e-11,1.4718944072198023e-11,1.0128385281659483e-11,6.805497814742105e-12,4.445556630397726e-12,3.129760612863673e-12,2.0145074514755095e-12,1.082315189580586e-12,7.382684994782298e-13,5.823889868281722e-13,1.7347467789035994e-13,1.3376594330197262e-13,5.686371463550396e-09,4.910312361619758e-09,4.006305374892001e-09,2.8852103560441338e-09,2.09844247161757e-09,1.4109045572832887e-09,9.898307676471817e-10,6.479858606918711e-10,4.787590765285861e-10,2.650980613798046e-10,1.8196330390903552e-10,1.2452564807028825e-10,8.469910197126495e-11,5.801923498588735e-11,3.893577982780071e-11,2.4207106853703176e-11,1.7206089740070114e-11,1.0835969058464487e-11,7.073938828808054e-12,4.361020212517283e-12,2.592120141502067e-12
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8526403748917436e-10,1.0815831646823497e-10,7.196814714689887e-11,4.86070463752159e-11,3.391560164450132e-11,2.4259074838719605e-11,1.666540144763006e-11,1.0041780713249912e-11,7.154136910377093e-12,4.3035050736089315e-12,2.776901076433293e-12,1.836934283757814e-12,1.1699111610438538e-12,8.673460020195441e-13,2.7679057540222556e-13,3.753149309911917e-13,-9.421000453505445e-14,6.091691206034633e-09,5.143678199664755e-09,4.0083162072412815e-09,2.821417008725164e-09,2.0414099137775813e-09,1.4853782733812236e-09,1.1365919687788378e-09,7.069689632367996e-10,4.450180340537296e-10,2.905388848545836e-10,1.9110767274296892e-10,1.2548727129760935e-10,7.583496412631511e-11,5.0270806801239115e-11,3.591657738604119e-11,2.412271823131209e-11,1.6645287707797698e-11,1.001633366114737e-11,7.238831383474629e-12,4.347226244581094e-12,2.6980133048195452e-12
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8102084183320094e-10,1.1848250436228025e-10,6.582622678395131e-11,4.568942159092457e-11,3.2186659639776846e-11,2.0502196319728056e-11,1.6054264247975918e-11,1.0372130132938144e-11,6.469183578667585e-12,4.579628722663303e-12,2.8722088278532723e-12,2.0141039829999702e-12,1.2182366324529294e-12,8.246707454660276e-13,3.219344480242809e-13,2.624627452430023e-13,2.0174400043769443e-13,5.471780997639892e-09,4.595775464330321e-09,3.838137591833873e-09,2.9131853459096375e-09,2.0821113649942512e-09,1.480849809232106e-09,1.1194581630825012e-09,7.438789080772674e-10,4.761081403939302e-10,3.0398892145172364e-10,1.9026514742628626e-10,1.1849562757147248e-10,7.315736834963615e-11,5.5970547276491744e-11,3.676810212863871e-11,2.315788201777875e-11,1.573769806327491e-11,1.00790170755426e-11,6.428436623487816e-12,4.1389636961920976e-12,2.2680494566285758e-12
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.782234034533434e-10,1.16880344953278e-10,6.548021659173125e-11,4.327342742709112e-11,3.221226689487802e-11,2.2967457580506292e-11,1.3650829664523799e-11,9.940024550613065e-12,7.174855619976516e-12,4.390055872759866e-12,2.815192061439501e-12,1.965719334959069e-12,9.76233121606962e-13,7.796629689120165e-13,3.9242035591075277e-13,3.34426216406184e-13,1.452169671566213e-13,5.801488600596958e-09,4.9723428437839626e-09,3.55438689272141e-09,3.134714269127123e-09,2.0927217053312455e-09,1.4388438394069968e-09,1.0795459375806462e-09,6.429647081069951e-10,4.4718950692018073e-10,2.9674691123530757e-10,1.906253730725223e-10,1.2487793035508087e-10,7.881374737982789e-11,4.9930988316228095e-11,3.840022560376942e-11,2.3015106645736904e-11,1.5544636438928063e-11,1.0592744497085255e-11,6.545281614411601e-12,3.8302761016463284e-12,2.3124314698432617e-12
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.9826862078969554e-10,1.153169286627386e-10,7.303374065459495e-11,4.901822851305756e-11,3.0838860291647484e-11,1.8733423594723326e-11,1.3362667670405526e-11,9.427407071372826e-12,6.434507111158972e-12,4.342407351172081e-12,3.056303484741071e-12,2.0443205124103905e-12,1.2272654548931874e-12,6.822381705067114e-13,1.369081808197456e-13,2.7617571970900045e-13,1.292478264137623e-13,6.255092479308991e-09,5.178430319333495e-09,3.799198192353893e-09,3.000485478354788e-09,2.10615093108531e-09,1.497798244703034e-09,1.095143720360741e-09,7.730027036506972e-10,4.913761789814298e-10,3.036256335502811e-10,1.9315092425993007e-10,1.2418621204832117e-10,7.946377240096193e-11,5.4073358438073974e-11,3.624437632849068e-11,2.2796227062428023e-11,1.6570401909880718e-11,8.909857803821709e-12,6.2952928563623925e-12,4.375626380799747e-12,2.414271489639173e-12
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8132855364472615e-10,1.1548120236535492e-10,7.173457103225533e-11,4.4378209466159753e-11,3.083214718974563e-11,2.020194118544777e-11,1.4543657013419225e-11,8.629731766917102e-12,5.869899092914438e-12,4.106558904680845e-12,2.7641497155731617e-12,1.5265050751404122e-12,1.158013353899552e-12,4.602944894250237e-13,5.980045207239447e-13,2.0139695682930503e-13,1.2138757791734747e-13,5.765375977108549e-09,4.852319283916671e-09,3.6987613045977943e-09,2.839813883828071e-09,2.0992207027578122e-09,1.4111632770011802e-09,9.772030965760834e-10,7.571858382118813e-10,4.626131056985295e-10,3.5117409346476693e-10,2.055536040872158e-10,1.2113388992907263e-10,8.256774029663676e-11,5.728060077827413e-11,3.463058459216212e-11,2.2518498274673406e-11,1.507623803540474e-11,9.142457854399063e-12,6.133027289585089e-12,3.974442578309066e-12,2.636205735972115e-12
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.7878770659133634e-10,1.2608052311722154e-10,7.306392034075861e-11,4.4349212621063836e-11,2.8936752678293522e-11,1.9956702573882943e-11,1.3675491487095197e-11,8.618567592507098e-12,6.2074765866130844e-12,4.233638462217581e-12,2.80695528612594e-12,1.7887593260273894e-12,1.1321068907514504e-12,6.499828677221681e-13,3.2149143125548623e-13,2.2386173515941974e-13,9.228008685871214e-14,6.057997758796161e-09,5.2320723905079255e-09,4.017154189564497e-09,3.110616445508555e-09,2.0940197140731646e-09,1.5928949382472923e-09,1.0669584728693785e-09,6.9512038609294e-10,5.163724308774172e-10,3.0969199274929944e-10,2.0774953115191415e-10,1.3256149834070135e-10,7.806525069871435e-11,5.309845786365113e-11,3.365827426388207e-11,2.195410256261017e-11,1.3965238941486556e-11,9.035609513441403e-12,5.8430107563763975e-12,3.8694147045605885e-12,2.1806616347401194e-12
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.134492502695665e-10,1.1169998384310349e-10,6.75646881396059e-11,4.3781362250236974e-11,2.914963979757586e-11,2.0289665152508578e-11,1.3641100634663168e-11,8.534857738432078e-12,5.8722818213131295e-12,3.9269686824936265e-12,2.4040077038118703e-12,1.7674616851230175e-12,1.1433634869789975e-12,7.901510077686834e-13,5.380779317230871e-13,2.421485099891372e-13,1.3912815221819361e-13,5.889606307776936e-09,5.162031764214031e-09,3.671050573277792e-09,2.8779610410243068e-09,2.1393980551334193e-09,1.4244816374268726e-09,1.113783179903804e-09,7.553309461954816e-10,5.046742623668899e-10,3.2765407063105266e-10,2.067878358890664e-10,1.2617378710355118e-10,8.387007314433132e-11,4.923142901781091e-11,3.5513074796588675e-11,2.318244138298705e-11,1.3816108006791433e-11,8.91681305187729e-12,6.05982799634674e-12,3.319877853326706e-12,2.3069617740500876e-12
