line,id,E,N,elevation,alt, txrx_dx, txrx_dy, txrx_dz, TxRoll,TxPitch,TxYaw,RxRoll,RxPitch,RxYaw,Off[0],Off[1],Off[2],Off[3],Off[4],Off[5],Off[6],Off[7],Off[8],Off[9],Off[10],Off[11],Off[12],Off[13],Off[14],Off[15],Off[16],Off[17],Off[18],Off[19],Off[20],Off[21],Off[22],Off[23],Off[24],Off[25]
100101,     154.0,  431112.2,4194346.5, 2304.0, 36.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 4.9966e-09, 3.7827e-09, 2.8105e-09, 1.8249e-09, 1.1185e-09, 7.1179e-10, 4.5742e-10, 2.9205e-10, 1.9883e-10, 1.2524e-10, 9.0551e-11, 6.3083e-11, 3.9920e-11, 2.6904e-11, 1.8231e-11, 1.3699e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     155.0,  431140.7,4194354.0, 2304.1, 37.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 4.8250e-09, 3.5738e-09, 2.6799e-09, 1.7451e-09, 1.0869e-09, 6.8961e-10, 4.5026e-10, 2.8893e-10, 1.9883e-10, 1.2483e-10, 9.0203e-11, 6.0224e-11, 3.9182e-11, 2.6617e-11, 1.7990e-11, 1.2741e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     156.0,  431168.1,4194364.0, 2304.4, 37.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 4.5779e-09, 3.4494e-09, 2.5560e-09, 1.6495e-09, 1.0709e-09, 6.7971e-10, 4.4184e-10, 2.9048e-10, 1.9883e-10, 1.2497e-10, 8.7171e-11, 5.9542e-11, 3.7778e-11, 2.6205e-11, 1.7302e-11, 1.1865e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     157.0,  431194.8,4194376.0, 2304.9, 37.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 4.5412e-09, 3.4322e-09, 2.4776e-09, 1.6634e-09, 1.0458e-09, 6.7308e-10, 4.3968e-10, 2.9899e-10, 1.9605e-10, 1.2915e-10, 8.4099e-11, 5.9207e-11, 3.7894e-11, 2.5930e-11, 1.7225e-11, 1.1517e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     158.0,  431221.1,4194389.0, 2304.5, 36.4, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 4.7533e-09, 3.7583e-09, 2.6353e-09, 1.7782e-09, 1.1009e-09, 6.8750e-10, 4.5476e-10, 3.1140e-10, 1.9372e-10, 1.3147e-10, 8.3893e-11, 5.7257e-11, 3.7582e-11, 2.6232e-11, 1.6772e-11, 1.1399e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     159.0,  431245.5,4194400.5, 2304.2, 34.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 5.2926e-09, 4.1343e-09, 2.8959e-09, 1.9679e-09, 1.2047e-09, 7.8341e-10, 4.7884e-10, 3.2406e-10, 2.0416e-10, 1.3855e-10, 8.6736e-11, 5.6322e-11, 3.8070e-11, 2.7034e-11, 1.5841e-11, 1.0991e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     160.0,  431271.2,4194411.0, 2304.5, 33.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 5.8336e-09, 4.5318e-09, 3.2138e-09, 2.1209e-09, 1.3004e-09, 8.2634e-10, 5.1566e-10, 3.4301e-10, 2.1173e-10, 1.4251e-10, 8.7830e-11, 6.0918e-11, 3.8992e-11, 2.7710e-11, 1.5780e-11, 1.0662e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     161.0,  431297.6,4194420.5, 2305.0, 32.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.2270e-09, 4.7913e-09, 3.4214e-09, 2.2302e-09, 1.3930e-09, 8.6635e-10, 5.3638e-10, 3.5572e-10, 2.1954e-10, 1.4916e-10, 9.3171e-11, 6.3269e-11, 4.2196e-11, 2.8643e-11, 1.6587e-11, 1.1221e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     162.0,  431323.9,4194428.0, 2305.0, 31.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.3567e-09, 4.8959e-09, 3.4931e-09, 2.2730e-09, 1.4155e-09, 8.8519e-10, 5.6716e-10, 3.6200e-10, 2.3350e-10, 1.5081e-10, 9.5919e-11, 6.6773e-11, 4.3011e-11, 2.8100e-11, 1.5979e-11, 1.1311e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     163.0,  431350.6,4194434.5, 2305.0, 31.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4211e-09, 4.8822e-09, 3.4931e-09, 2.2640e-09, 1.4203e-09, 8.9000e-10, 5.6552e-10, 3.5572e-10, 2.3803e-10, 1.5268e-10, 9.9076e-11, 7.1143e-11, 4.4475e-11, 2.9539e-11, 1.7055e-11, 1.2547e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     164.0,  431377.5,4194442.0, 2305.0, 31.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4822e-09, 4.9375e-09, 3.4931e-09, 2.2443e-09, 1.4203e-09, 8.8359e-10, 5.5219e-10, 3.5865e-10, 2.4104e-10, 1.5421e-10, 9.9755e-11, 7.3212e-11, 4.6926e-11, 3.0699e-11, 1.7678e-11, 1.2228e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     165.0,  431404.8,4194449.5, 2305.0, 31.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4516e-09, 4.9270e-09, 3.4340e-09, 2.2059e-09, 1.3918e-09, 8.7022e-10, 5.5219e-10, 3.5247e-10, 2.4187e-10, 1.5714e-10, 1.0003e-10, 7.4296e-11, 4.6835e-11, 3.0747e-11, 1.8268e-11, 1.3163e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     166.0,  431430.8,4194459.0, 2305.0, 31.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.2726e-09, 4.9166e-09, 3.4214e-09, 2.1871e-09, 1.3906e-09, 8.6022e-10, 5.5534e-10, 3.4927e-10, 2.3967e-10, 1.5694e-10, 9.9618e-11, 7.4528e-11, 4.7421e-11, 3.1910e-11, 1.9463e-11, 1.3656e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     167.0,  431455.9,4194469.5, 2305.0, 30.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.4039e-09, 4.8550e-09, 3.3890e-09, 2.1669e-09, 1.3883e-09, 8.5191e-10, 5.5693e-10, 3.6275e-10, 2.4525e-10, 1.6016e-10, 1.0639e-10, 7.3980e-11, 4.7294e-11, 3.3244e-11, 1.9516e-11, 1.4693e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     168.0,  431481.0,4194480.5, 2305.0, 29.5, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.1661e-09, 5.3552e-09, 3.6026e-09, 2.3227e-09, 1.4497e-09, 8.8839e-10, 5.8915e-10, 3.7079e-10, 2.5834e-10, 1.6717e-10, 1.1161e-10, 7.5258e-11, 5.0983e-11, 3.5903e-11, 2.1171e-11, 1.3872e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     169.0,  431507.1,4194490.5, 2305.1, 28.0, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.9297e-09, 5.9240e-09, 4.0969e-09, 2.5088e-09, 1.5375e-09, 9.4332e-10, 6.1824e-10, 3.8322e-10, 2.6403e-10, 1.6586e-10, 1.0950e-10, 7.4394e-11, 5.2480e-11, 3.5577e-11, 2.1550e-11, 1.5004e-11, 9.6350e-12,        NaN,        NaN,        NaN,        NaN
100101,     170.0,  431534.3,4194499.5, 2305.3, 27.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 8.0167e-09, 6.0685e-09, 4.1762e-09, 2.6402e-09, 1.6060e-09, 9.9924e-10, 6.3239e-10, 3.9290e-10, 2.6695e-10, 1.7167e-10, 1.0999e-10, 7.6701e-11, 5.2883e-11, 3.6513e-11, 2.1424e-11, 1.4773e-11, 9.5318e-12,        NaN,        NaN,        NaN,        NaN
100101,     171.0,  431561.5,4194507.5, 2305.5, 26.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 8.1630e-09, 6.1681e-09, 4.1973e-09, 2.6425e-09, 1.6030e-09, 9.8858e-10, 6.2396e-10, 3.9333e-10, 2.6435e-10, 1.7144e-10, 1.1261e-10, 7.7257e-11, 5.3077e-11, 3.6918e-11, 2.2022e-11, 1.4529e-11, 9.7794e-12,        NaN,        NaN,        NaN,        NaN
100101,     172.0,  431589.3,4194514.0, 2305.4, 26.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 8.1437e-09, 6.1130e-09, 4.2151e-09, 2.6080e-09, 1.5986e-09, 9.9050e-10, 6.1951e-10, 3.9462e-10, 2.5958e-10, 1.6673e-10, 1.0966e-10, 7.9442e-11, 5.2995e-11, 3.5701e-11, 2.1128e-11, 1.3962e-11, 9.0842e-12,        NaN,        NaN,        NaN,        NaN
100101,     173.0,  431617.5,4194522.0, 2305.6, 27.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 8.0607e-09, 5.9619e-09, 4.1208e-09, 2.5921e-09, 1.5711e-09, 9.8189e-10, 6.1761e-10, 3.8822e-10, 2.5225e-10, 1.6413e-10, 1.0533e-10, 7.6894e-11, 5.2772e-11, 3.4014e-11, 2.0588e-11, 1.3357e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     174.0,  431646.5,4194530.5, 2306.0, 27.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.9606e-09, 5.8678e-09, 4.0867e-09, 2.5390e-09, 1.5556e-09, 9.6137e-10, 6.1137e-10, 3.8529e-10, 2.4468e-10, 1.6286e-10, 1.0746e-10, 7.6304e-11, 5.0518e-11, 3.2709e-11, 2.0516e-11, 1.2063e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     175.0,  431672.2,4194539.5, 2305.7, 28.1, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.7487e-09, 5.8033e-09, 4.0004e-09, 2.4835e-09, 1.5265e-09, 9.5317e-10, 6.0828e-10, 3.8240e-10, 2.4132e-10, 1.5576e-10, 1.0313e-10, 7.5432e-11, 4.8880e-11, 3.1617e-11, 1.9980e-11, 1.2085e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     176.0,  431697.9,4194550.0, 2305.3, 28.6, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.5460e-09, 5.6516e-09, 3.9138e-09, 2.3959e-09, 1.5011e-09, 9.2669e-10, 5.8683e-10, 3.7792e-10, 2.3939e-10, 1.5118e-10, 1.0170e-10, 7.4935e-11, 4.7219e-11, 3.1372e-11, 1.9405e-11, 1.1036e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     177.0,  431724.4,4194561.0, 2305.6, 29.4, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.2766e-09, 5.4896e-09, 3.8304e-09, 2.3627e-09, 1.4648e-09, 9.0141e-10, 5.6606e-10, 3.6350e-10, 2.3912e-10, 1.4790e-10, 9.9892e-11, 7.2480e-11, 4.6220e-11, 2.9337e-11, 1.9042e-11, 1.1469e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     178.0,  431752.0,4194572.5, 2306.0, 29.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.0029e-09, 5.3433e-09, 3.6892e-09, 2.3341e-09, 1.4300e-09, 8.8439e-10, 5.5959e-10, 3.6237e-10, 2.3803e-10, 1.4683e-10, 9.9211e-11, 7.1473e-11, 4.4751e-11, 2.9772e-11, 1.9283e-11, 1.1876e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     179.0,  431780.9,4194584.0, 2306.3, 29.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.9433e-09, 5.2531e-09, 3.6553e-09, 2.3134e-09, 1.4143e-09, 8.7647e-10, 5.5587e-10, 3.5755e-10, 2.4132e-10, 1.4772e-10, 9.6305e-11, 6.9682e-11, 4.4506e-11, 2.9766e-11, 1.9864e-11, 1.1757e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     180.0,  431808.7,4194593.5, 2306.6, 29.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.8797e-09, 5.1170e-09, 3.6385e-09, 2.3060e-09, 1.4131e-09, 8.7022e-10, 5.6120e-10, 3.5572e-10, 2.3482e-10, 1.4971e-10, 9.7476e-11, 6.7880e-11, 4.3851e-11, 2.9349e-11, 1.8959e-11, 1.1444e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     181.0,  431836.4,4194602.0, 2306.9, 29.8, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 6.8992e-09, 5.1768e-09, 3.6864e-09, 2.3023e-09, 1.4251e-09, 8.6558e-10, 5.6990e-10, 3.6464e-10, 2.3350e-10, 1.5325e-10, 9.7214e-11, 6.6549e-11, 4.1940e-11, 2.8848e-11, 1.8842e-11, 1.2256e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     182.0,  431864.5,4194611.0, 2307.0, 29.7, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.0583e-09, 5.3274e-09, 3.7705e-09, 2.3359e-09, 1.4435e-09, 8.9243e-10, 5.6825e-10, 3.6731e-10, 2.3193e-10, 1.5383e-10, 9.7608e-11, 6.6105e-11, 4.2889e-11, 2.8002e-11, 1.8231e-11, 1.1693e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     183.0,  431892.2,4194620.5, 2307.0, 29.4, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.3846e-09, 5.5569e-09, 3.8888e-09, 2.4380e-09, 1.4932e-09, 9.1644e-10, 5.8453e-10, 3.7473e-10, 2.3090e-10, 1.5137e-10, 9.5410e-11, 6.3928e-11, 4.2175e-11, 2.7873e-11, 1.8298e-11, 1.2055e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     184.0,  431919.6,4194630.0, 2306.9, 28.9, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.7133e-09, 5.7942e-09, 4.0732e-09, 2.5368e-09, 1.5347e-09, 9.4243e-10, 5.9799e-10, 3.7672e-10, 2.3013e-10, 1.5081e-10, 9.6305e-11, 6.2805e-11, 4.0479e-11, 2.6928e-11, 1.6717e-11, 1.1318e-11,        NaN,        NaN,        NaN,        NaN,        NaN
100101,     185.0,  431946.7,4194640.5, 2306.9, 28.3, 0.0, 0.0, 0.0, 0, 0, 0, 0, 0, 0,        NaN,        NaN,        NaN,        NaN,        NaN, 7.9236e-09, 5.8958e-09, 4.1518e-09, 2.5787e-09, 1.5668e-09, 9.6968e-10, 6.0462e-10, 3.7712e-10, 2.3245e-10, 1.4971e-10, 9.4155e-11, 6.0918e-11, 3.9580e-11, 2.6067e-11, 1.6113e-11, 1.0931e-11,        NaN,        NaN,        NaN,        NaN,        NaN
