Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_7.292e-05,S0Z_time_7.642e-05,S0Z_time_8.092e-05,S0Z_time_8.642e-05,S0Z_time_9.341e-05,S0Z_time_1.024e-04,S0Z_time_1.139e-04,S0Z_time_1.284e-04,S0Z_time_1.464e-04,S0Z_time_1.689e-04,S0Z_time_1.969e-04,S0Z_time_2.324e-04,S0Z_time_2.779e-04,S0Z_time_3.349e-04,S0Z_time_4.069e-04,S0Z_time_4.979e-04,S0Z_time_6.119e-04,S0Z_time_7.559e-04,S0Z_time_9.373e-04,S0Z_time_1.166e-03,S0Z_time_1.454e-03,S0Z_time_1.818e-03,S0Z_time_2.276e-03,S0Z_time_2.855e-03,S0Z_time_3.574e-03,S0Z_time_4.454e-03,S0Z_time_5.530e-03,S0Z_time_6.849e-03,S0Z_time_8.463e-03,S0Z_time_1.044e-02,S1Z_time_1.273e-05,S1Z_time_1.623e-05,S1Z_time_2.073e-05,S1Z_time_2.623e-05,S1Z_time_3.323e-05,S1Z_time_4.222e-05,S1Z_time_5.373e-05,S1Z_time_6.822e-05,S1Z_time_8.622e-05,S1Z_time_1.087e-04,S1Z_time_1.367e-04,S1Z_time_1.722e-04,S1Z_time_2.177e-04,S1Z_time_2.747e-04,S1Z_time_3.467e-04,S1Z_time_4.377e-04,S1Z_time_5.517e-04,S1Z_time_6.957e-04,S1Z_time_8.772e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.3559125975340526e-09,2.210590803267442e-09,2.0256856432723185e-09,1.9217107430521037e-09,1.708049490854318e-09,1.5952636819399344e-09,1.3136079666492194e-09,1.1455651908719444e-09,9.833335400084724e-10,8.431632245889619e-10,6.928039105171412e-10,5.30210088692994e-10,4.2428909469819094e-10,3.46894571913677e-10,2.6341652870375567e-10,1.7978441573320175e-10,1.3101745226811876e-10,1.077228027546172e-10,7.418815480216123e-11,4.9183210448388997e-11,3.577211970798668e-11,2.2012075520280785e-11,1.5635609325227024e-11,9.481183381099382e-12,5.361680215893944e-12,3.129267469302963e-12,1.756453374935822e-12,9.428762913432806e-13,5.135359232716401e-13,2.4668561583602877e-13,6.734638532510232e-09,5.652640327758099e-09,4.564581914589647e-09,3.71879011419668e-09,3.0277269920386444e-09,2.3990815436059195e-09,1.9053823668206183e-09,1.5099835827356046e-09,1.164828629766056e-09,9.77566818954432e-10,6.563005344014072e-10,5.076156366395024e-10,3.621040545571652e-10,2.516670881988464e-10,1.7966692746660413e-10,1.2050521446204856e-10,7.698522465782873e-11,5.1438576762669705e-11,3.358849402000049e-11,2.0514880569161975e-11,1.2438823400628525e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.299621079997996e-09,2.2025984325927907e-09,1.9293527662225816e-09,1.810176541864384e-09,1.7025726431716225e-09,1.5950117100983028e-09,1.3036558025358065e-09,1.1372832340474726e-09,9.627327372183943e-10,8.170481864526652e-10,6.770635694172878e-10,5.802545485743657e-10,4.4569536782872826e-10,3.321480830759451e-10,2.537403409805204e-10,1.8834947886063888e-10,1.4744919868927222e-10,1.0338715820759887e-10,6.842129700087706e-11,5.3262729695238943e-11,3.7211512644459867e-11,2.4496342297078755e-11,1.4947959341404308e-11,9.136162367110652e-12,5.491239887962065e-12,3.2518439039816693e-12,1.747334793602198e-12,9.395449494511298e-13,5.182965064535738e-13,2.4640473690419045e-13,7.311254345365458e-09,5.8601671342598675e-09,4.6520838893716625e-09,3.915881209537416e-09,3.052439546958815e-09,2.377310964982288e-09,1.906585777819342e-09,1.5462986892295639e-09,1.1667362967540373e-09,8.705390993220347e-10,6.790019064207739e-10,5.203894454994077e-10,3.636938804215458e-10,2.803392513868612e-10,1.7915184100940199e-10,1.175237549790318e-10,8.39583740716178e-11,5.2261334260250075e-11,3.2672339677236563e-11,2.039918204463287e-11,1.249191895145826e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2462953165525786e-09,2.2621922334245338e-09,2.1266459657982396e-09,1.8909643255796116e-09,1.6520028122751367e-09,1.5463189939725723e-09,1.3345402829951704e-09,1.1360226997323306e-09,9.559901651917377e-10,8.451249618684131e-10,6.987707525210942e-10,5.299597247551201e-10,4.4685306715370293e-10,3.369497866647048e-10,2.5909966718937324e-10,1.9786634019394065e-10,1.337805037820525e-10,1.046373911317433e-10,7.542556950092763e-11,5.2180422611341046e-11,3.438561607543699e-11,2.4543747170765035e-11,1.5081902761350442e-11,9.018141229972325e-12,5.404235898422561e-12,3.060452805986855e-12,1.8092511708650803e-12,9.58400286206849e-13,4.833028775687875e-13,2.4732754678707315e-13,7.456448552531641e-09,6.053359234068997e-09,4.684647129428439e-09,3.7130568419419392e-09,3.145985414150335e-09,2.4201288801222238e-09,1.910077913899812e-09,1.5088214810720665e-09,1.1576833297864325e-09,9.060435745338943e-10,6.785678192162793e-10,5.019765446686606e-10,3.825534232453399e-10,2.6446628508192946e-10,1.88678202466816e-10,1.212477329113171e-10,8.028792713203254e-11,4.937918801614215e-11,3.3132764360289346e-11,1.9878373135134892e-11,1.3131908647876148e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.296340965781733e-09,2.2459101948435503e-09,1.99264564734317e-09,1.9304312935869617e-09,1.6934082580752605e-09,1.5039973134222139e-09,1.3463873118463235e-09,1.2459256515633558e-09,1.0279563108616142e-09,8.359452862959271e-10,7.021228464016603e-10,5.540717924865267e-10,4.541640891300283e-10,3.063936939983501e-10,2.579947679028863e-10,1.9560195434119438e-10,1.437681051354268e-10,1.0144495019675668e-10,7.368724440467113e-11,4.986765419765767e-11,3.240561681226079e-11,2.2876829742416508e-11,1.5543702945112425e-11,9.075580454442e-12,5.520082497384116e-12,3.132156583328389e-12,1.8016404363710742e-12,9.51963108499392e-13,4.986372411185309e-13,2.4686136024241373e-13,7.559853206212718e-09,5.880594792930219e-09,4.56681026081346e-09,3.734145538458862e-09,3.1102551436683833e-09,2.491340182011136e-09,1.882481843401047e-09,1.5505011441373025e-09,1.2097230942961173e-09,9.197672632370656e-10,6.845998275569697e-10,5.12781392811395e-10,3.7112136532702067e-10,2.6136162131202053e-10,1.753968910294206e-10,1.22061143248363e-10,7.626702122558111e-11,5.376299231888594e-11,3.342098906042661e-11,2.0617451593829596e-11,1.2516603013304133e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2598013165641362e-09,2.13653355001632e-09,2.0045872475015663e-09,1.7962713866446478e-09,1.590260899461821e-09,1.5557561944232786e-09,1.3350000001947653e-09,1.1729890308905945e-09,9.901020088421953e-10,8.525309618664661e-10,6.72820229160514e-10,5.894715305418038e-10,4.355563350299543e-10,3.2428511563195955e-10,2.5660279274186214e-10,1.845503643977951e-10,1.3782543212137371e-10,1.0242583783612517e-10,7.543422126602969e-11,5.272643311490332e-11,3.4554907102719846e-11,2.2813913016351332e-11,1.5612993472951873e-11,9.336856581685215e-12,5.485831161052182e-12,3.0185859426484832e-12,1.743091281274475e-12,9.510929253898909e-13,4.993939462392937e-13,2.4443382831903316e-13,7.41491185243827e-09,5.6230475349144e-09,4.61250629126039e-09,3.6589885714747543e-09,3.0054115828796596e-09,2.408171131115424e-09,1.875596872810774e-09,1.4853345204860254e-09,1.1527405703476391e-09,9.270946036127348e-10,6.983901237837103e-10,5.13980153822327e-10,3.7956837585808787e-10,2.605338484927669e-10,1.7554168706756664e-10,1.2087562319954937e-10,7.844701739010824e-11,5.0361463260333706e-11,3.350062570252252e-11,1.9122629270831376e-11,1.3103268607037915e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.304580274246077e-09,2.2548660576285058e-09,2.007382615696532e-09,1.872672196681658e-09,1.727730431583204e-09,1.5007517492131661e-09,1.3485180570680489e-09,1.1201035160721296e-09,9.182927478359045e-10,7.975332466419437e-10,6.687220075774513e-10,5.464234388516175e-10,4.2435272532131565e-10,3.428008121134827e-10,2.5681293877213024e-10,1.9081174350359913e-10,1.375047253214527e-10,1.0168417608446795e-10,7.277684043333687e-11,5.3023287731685466e-11,3.4800181886306617e-11,2.4902173971008344e-11,1.5341343451984675e-11,9.574856091192429e-12,5.389124207343844e-12,3.1393845565838715e-12,1.6942993992137899e-12,9.179719636608043e-13,4.673263323429634e-13,2.407523334128944e-13,7.1832118438711155e-09,5.702655355478822e-09,4.6439860876720374e-09,3.891755765392348e-09,3.063629742864529e-09,2.425056347528297e-09,1.9948828793831305e-09,1.5130172945066408e-09,1.159811964952818e-09,9.032314210786447e-10,7.072518429226227e-10,5.087635655093028e-10,3.5426144532980425e-10,2.647620466718478e-10,1.7648544718162316e-10,1.1748818382994468e-10,8.558227067778798e-11,4.977319108142549e-11,3.358390171169182e-11,2.0838996057397864e-11,1.3120459097170324e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.3503308843678134e-09,2.1222209710466086e-09,1.9625879172506876e-09,1.944214810786784e-09,1.673982976963638e-09,1.528938378063161e-09,1.351478293587442e-09,1.1717857276172797e-09,9.372556866416212e-10,8.380629842051628e-10,6.629705170706816e-10,5.64372910058567e-10,4.225758371118116e-10,3.4151991143750915e-10,2.5214566671901085e-10,1.9132880423876274e-10,1.4155300878507885e-10,1.0052957350317635e-10,7.523908984534814e-11,5.1853316852309424e-11,3.5821523860261426e-11,2.461290652981669e-11,1.5284188029967676e-11,9.62825494802341e-12,5.6032351637664425e-12,3.226768840789912e-12,1.618249954714267e-12,9.099681491679584e-13,4.606990914330603e-13,2.573381964018153e-13,7.153230732343971e-09,5.8632351579535614e-09,4.512531298307094e-09,3.700563839500452e-09,2.8895112253265898e-09,2.4932606035610546e-09,1.9621544630072076e-09,1.465771652053501e-09,1.1535675921055095e-09,8.953641700337902e-10,6.488470234593086e-10,5.094367998598186e-10,3.8324736772542047e-10,2.810015581986357e-10,1.8145300584624467e-10,1.2186242740499093e-10,7.265075197362282e-11,5.2407232122183477e-11,3.302546151054027e-11,2.186824074353978e-11,1.2845952568670745e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.169370433576446e-09,2.137528881784966e-09,2.0178316071021197e-09,1.9307221355999175e-09,1.7158512347031946e-09,1.5119171295602732e-09,1.3103885535151754e-09,1.1475117267745777e-09,9.335735766848532e-10,8.409384754063733e-10,6.451624895862561e-10,5.830561772897564e-10,4.3860028449667093e-10,3.4687195368055245e-10,2.551928232003162e-10,1.905824145583863e-10,1.4290527144877083e-10,9.926165571595178e-11,7.035465275517853e-11,5.349159344159183e-11,3.6689011434707487e-11,2.437954284688861e-11,1.5413128106995254e-11,9.569616006081534e-12,5.688121327709524e-12,2.9980961791026694e-12,1.6722066709165477e-12,8.873465943078371e-13,4.627392323594997e-13,2.2874852277910085e-13,7.848784277830763e-09,5.575732169938571e-09,4.598196001600525e-09,3.6273783981308847e-09,3.071675669038471e-09,2.4099437879755993e-09,1.9676279099886086e-09,1.4395862624251892e-09,1.144521283895682e-09,9.375492153368266e-10,6.830609225640975e-10,5.217168466577784e-10,3.6177063258946274e-10,2.599713267551885e-10,1.744795597110149e-10,1.1987468386587208e-10,8.172186073852513e-11,5.2839814888776615e-11,3.3174297202174515e-11,2.1212734057586103e-11,1.3182364498107354e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.220407344225483e-09,2.2640994846168927e-09,2.1167773378790253e-09,1.8723360856399574e-09,1.7361791465110966e-09,1.5987383526467564e-09,1.3315919923195308e-09,1.1359580379654403e-09,9.362189973398792e-10,7.931243033827991e-10,6.42424630257585e-10,5.70888604329948e-10,4.207106202831134e-10,3.4486499471094164e-10,2.58856576157488e-10,1.8153110932855935e-10,1.4625084971167761e-10,9.965339437137924e-11,7.361492212577743e-11,5.167507667115113e-11,3.7245033815447905e-11,2.440552550243105e-11,1.549579990201005e-11,9.11381896332355e-12,5.565292302903455e-12,3.136201032371686e-12,1.6864160407119736e-12,8.96660527235468e-13,4.752368441293047e-13,2.187549498052813e-13,7.31242829292107e-09,6.0576133616157114e-09,4.6939808777996265e-09,3.844971762247746e-09,2.9537538301619383e-09,2.4389426469881054e-09,1.8856286126422403e-09,1.5535148791869044e-09,1.179627618237274e-09,8.8660412068468e-10,6.830566008626313e-10,4.942931277199649e-10,3.8535932753783163e-10,2.649728611608226e-10,1.7828404113973557e-10,1.2358418811515214e-10,8.170652719530072e-11,5.1299651175643504e-11,3.221266570521491e-11,2.112298357967517e-11,1.3247195041399518e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.308463679432128e-09,2.299900939305614e-09,2.1192779342387814e-09,1.8335222649656089e-09,1.6530181112170643e-09,1.5408521015222435e-09,1.3379377593456507e-09,1.10493131658944e-09,1.0302616718889822e-09,8.370542846313361e-10,6.675145773674898e-10,5.38924388023901e-10,4.301010227456293e-10,3.2904866558112004e-10,2.700778440860448e-10,1.9307619025378108e-10,1.4234535454101918e-10,1.0593059487635464e-10,7.527560772240137e-11,5.110001748416966e-11,3.824091345348765e-11,2.2686961173566133e-11,1.4958382808986134e-11,9.267816497821804e-12,5.282365896038394e-12,3.038607938539092e-12,1.6442791376945919e-12,8.766855568990714e-13,4.752304070703318e-13,2.2459052552144577e-13,7.20514804058463e-09,5.907585711740381e-09,4.619952735213818e-09,3.838781367731548e-09,3.060256928754426e-09,2.346514998302143e-09,1.9917618803795802e-09,1.5790754987432842e-09,1.1843152628689919e-09,9.33802786269979e-10,6.819807842962055e-10,4.713923087011375e-10,3.7462583805830084e-10,2.6042322052817435e-10,1.7998526841075726e-10,1.243243313956746e-10,7.800497939277247e-11,5.082269806437472e-11,3.293853801746416e-11,2.0669037312693375e-11,1.3850882004730456e-11
0.0,10,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2560416753535876e-09,2.172352245798131e-09,2.034651538972496e-09,1.883853268033885e-09,1.6637320606051493e-09,1.4744778019430328e-09,1.3764234709087547e-09,1.193448048278281e-09,8.853279761148782e-10,8.47619930176132e-10,6.271018933339738e-10,5.602505997678924e-10,4.4475856011482375e-10,3.303465740360823e-10,2.5136770371452405e-10,1.779690996672189e-10,1.4163130014159526e-10,1.0599911127142335e-10,7.3750814763762e-11,5.266618368234788e-11,3.577191008458213e-11,2.3060060641725225e-11,1.5248476366418252e-11,8.67716821740546e-12,5.396929841553541e-12,3.0784855879198867e-12,1.6290275474453997e-12,8.530886135088524e-13,4.70137698151067e-13,2.272431567900043e-13,7.667684099244365e-09,6.040170623624483e-09,4.5338999933050746e-09,3.920573455005883e-09,3.0000451081806846e-09,2.5335837229315817e-09,1.9740212812806188e-09,1.4929142257144287e-09,1.1775805647630542e-09,8.734907548268756e-10,6.818240217556341e-10,5.133395513915135e-10,3.789917168691467e-10,2.538562947772624e-10,1.6954487711364172e-10,1.2079849144917484e-10,8.417792590683177e-11,5.2187370902772135e-11,3.3237204722015236e-11,2.263797084438219e-11,1.3044560291301464e-11
0.0,11,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.500215345246776e-09,2.1631984305559034e-09,2.0608706663432624e-09,1.8911560675785615e-09,1.6458929731283127e-09,1.4817510404685147e-09,1.396207614744033e-09,1.1245695415979537e-09,1.0358402832121667e-09,8.20400465742664e-10,6.732278077557043e-10,5.363324712389377e-10,4.2280356439227577e-10,3.405139171697053e-10,2.619491862976456e-10,1.824143312339307e-10,1.4168242949652992e-10,1.0675434142297574e-10,7.775105305618138e-11,4.9219677547228637e-11,3.626226533050895e-11,2.449268603343886e-11,1.6059740926423354e-11,8.988167151968568e-12,5.529460446144328e-12,2.9440958641428857e-12,1.5321952677592815e-12,8.907661255886945e-13,4.710752301517025e-13,2.2428637025346192e-13,7.2301340066283486e-09,5.9778371612778715e-09,4.619566460011603e-09,3.866843606368104e-09,3.1793127124850426e-09,2.3253771583420387e-09,1.884242534809074e-09,1.5144180650010668e-09,1.1001632153131483e-09,8.911651513313928e-10,6.474556434676402e-10,5.176612844010482e-10,3.5587179984727686e-10,2.6499252973062143e-10,1.758535497254718e-10,1.1638535716836501e-10,8.461759826679623e-11,5.032689868560625e-11,3.511333841773016e-11,2.234409410389502e-11,1.3114475081099819e-11
0.0,12,12.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.3147428729687297e-09,2.249278297148893e-09,2.016360389343006e-09,1.9595188550686968e-09,1.6990946495980988e-09,1.5354087729528856e-09,1.3214215385169305e-09,1.128407119970841e-09,9.540868016056008e-10,8.455121745051777e-10,6.497461015256137e-10,5.52093839548556e-10,4.4655893832865256e-10,3.284359070991592e-10,2.5369588567759134e-10,1.8841078452792878e-10,1.4440476165558444e-10,1.0219251815520983e-10,7.312943081237513e-11,5.3276603580120084e-11,3.8429165346763463e-11,2.4730426881404236e-11,1.4892056769044208e-11,9.228688267230056e-12,5.525751532874205e-12,3.0828501318537298e-12,1.5945446537960613e-12,8.930556678689762e-13,4.267787869251376e-13,2.397443472578844e-13,7.309363300535937e-09,6.187859523514291e-09,4.52529390197726e-09,3.6356230389814853e-09,2.964681777422462e-09,2.268016612866802e-09,1.954615449852777e-09,1.5252048398954761e-09,1.20208550463119e-09,8.675785781957045e-10,6.589620772463626e-10,5.041190871218312e-10,3.616607977060751e-10,2.749377039058111e-10,1.7442296308054817e-10,1.1458385489515461e-10,8.239013273435863e-11,5.2731153028778727e-11,3.4037652540702286e-11,2.0979914515115876e-11,1.3418912731610986e-11
0.0,13,13.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.4281917441243407e-09,2.16137002731823e-09,2.0335291250095364e-09,1.8770893699029403e-09,1.735245338692275e-09,1.5999338849851791e-09,1.3254369034054217e-09,1.1594791913093795e-09,9.652803239855706e-10,7.896214558184737e-10,7.074017240287407e-10,5.385824907299819e-10,4.3928568207816967e-10,3.4044475834108656e-10,2.5989993677220915e-10,1.9985637806163037e-10,1.506223873768551e-10,1.0369402783786692e-10,7.644922578727948e-11,5.649885400853125e-11,3.5272653374734975e-11,2.3123151925911588e-11,1.469922473880285e-11,9.48679329921014e-12,5.517168255674105e-12,2.928232183690749e-12,1.6245190852573182e-12,8.51606430613445e-13,4.2416651858496314e-13,2.294475048443779e-13,7.314863633520115e-09,5.686858625728831e-09,4.71265478871442e-09,3.741656022364164e-09,3.046915522826916e-09,2.4672707618204384e-09,1.8428974630833453e-09,1.4852145951502726e-09,1.2163506626570879e-09,8.831809515525356e-10,6.736383301748773e-10,4.98827952706553e-10,3.7497447610880907e-10,2.52183485190065e-10,1.848213440833596e-10,1.258016156053196e-10,8.02044110181268e-11,5.265361486364825e-11,3.4927512377937996e-11,2.1427987804472022e-11,1.3925953054994422e-11
0.0,14,14.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2486151728514796e-09,2.1683644678814945e-09,2.030181079738076e-09,1.9039738490248235e-09,1.700190863043089e-09,1.5566217023636288e-09,1.3659514794424803e-09,1.174442620633654e-09,9.635491588866732e-10,8.276329672978112e-10,6.697321324659318e-10,5.626703275083805e-10,4.2835855021379683e-10,3.4121549333674346e-10,2.564700715895463e-10,1.9486813568232788e-10,1.4422070089029965e-10,1.0452868877547352e-10,7.361571831656038e-11,5.325436333148562e-11,3.551198774927856e-11,2.394936818968784e-11,1.4967446143048554e-11,8.708226501132795e-12,5.4115252818175464e-12,2.918695043865456e-12,1.5169247716642014e-12,8.378092073829552e-13,4.522150284889932e-13,2.1061858420920835e-13,7.245451401982367e-09,5.887604602142408e-09,4.711855452959338e-09,3.938926363076577e-09,2.8908418241791896e-09,2.298190673957129e-09,1.920136831430028e-09,1.4610228779181545e-09,1.1644726825793085e-09,9.404541703184823e-10,6.625392575689109e-10,5.15270551857286e-10,3.9364460000318683e-10,2.4852926399438723e-10,1.797112786859088e-10,1.2050890019021317e-10,7.824426107424739e-11,5.246073892460959e-11,3.2978932284956744e-11,2.0075661101256755e-11,1.3386718445266857e-11
0.0,15,15.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.3626868604080646e-09,2.257231600262499e-09,2.0922937872459035e-09,1.7928388339817744e-09,1.7691301503354605e-09,1.41341540261848e-09,1.3462602313416887e-09,1.1426282987400233e-09,9.82854217876342e-10,8.116485833006237e-10,6.71778849367999e-10,5.269759583228553e-10,4.244323648593306e-10,3.430951720688618e-10,2.6390029903511675e-10,1.9312236100905645e-10,1.4772996210827138e-10,1.077306359914063e-10,7.776864412065356e-11,5.081780296553856e-11,3.77275025074509e-11,2.3871706501511337e-11,1.4878970599018885e-11,9.220807574028045e-12,5.1734504122971034e-12,2.7919296998069483e-12,1.5421578374754993e-12,8.036902950936517e-13,4.2763654686133734e-13,2.1792651296951158e-13,7.200581679604342e-09,5.635230837926186e-09,4.600004431882916e-09,3.6931859006858933e-09,2.943968352567908e-09,2.523101102528944e-09,1.8555489022184694e-09,1.399548180781426e-09,1.1428592951136488e-09,8.91048647054536e-10,7.020585935623257e-10,4.992828743421199e-10,3.6278106308228256e-10,2.5386252718099814e-10,1.8140633903016587e-10,1.2217702128734987e-10,8.048312341372271e-11,5.539106010513302e-11,3.379923038303382e-11,2.195216076470164e-11,1.4177917776729895e-11
0.0,16,16.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2860196924677705e-09,2.097621401801683e-09,1.9673066870056122e-09,1.9382523938635225e-09,1.7234308768666259e-09,1.541126430398829e-09,1.3492292475514778e-09,1.157545237858623e-09,9.85562015281835e-10,8.695294418588159e-10,6.81112746010837e-10,5.332532642669724e-10,4.4375514538128757e-10,3.396931436063899e-10,2.551737567754187e-10,1.879433033521494e-10,1.4428358507871548e-10,1.0548356575432655e-10,7.742031699769242e-11,5.2166362484435385e-11,3.525662223974805e-11,2.4072146335070208e-11,1.5293269286179418e-11,9.46716198734178e-12,5.05286894435656e-12,2.901581856776833e-12,1.5906561263433714e-12,8.410851398158492e-13,4.2676201279829887e-13,2.1157150172886419e-13,7.130062207526715e-09,6.057184860009397e-09,4.756057088872096e-09,3.850337747524571e-09,3.1719195772626622e-09,2.386799946351443e-09,1.951117595620514e-09,1.5421718882385805e-09,1.1733933637281583e-09,8.863657225326253e-10,7.165860506463181e-10,4.939524670535043e-10,3.638405315529305e-10,2.637101087596554e-10,1.795755228720945e-10,1.2254211337990673e-10,7.883591790628525e-11,5.4004380882236917e-11,3.575403541727693e-11,2.0920222897835133e-11,1.3576911135506016e-11
0.0,17,17.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.2409470654728452e-09,2.307090276701094e-09,2.062239812617834e-09,1.787478647555351e-09,1.72144786452784e-09,1.44822197264651e-09,1.2381462041355132e-09,1.1852686114180527e-09,1.0332573160789154e-09,7.802858806207374e-10,6.90945061023749e-10,5.668233069692445e-10,4.484886289024422e-10,3.4584855013682245e-10,2.5477080089155924e-10,1.9298478824976477e-10,1.4838481546257445e-10,1.0447965958541624e-10,7.668228871053974e-11,5.532479223647272e-11,3.5351809701760616e-11,2.4776866462589986e-11,1.5245472546312537e-11,9.630544887421675e-12,5.30434266287436e-12,2.9126456356249084e-12,1.5606668550886195e-12,8.547633428080741e-13,4.101843226843371e-13,2.0061564426350737e-13,7.121930616317119e-09,5.810678825446427e-09,4.524702652477233e-09,3.603071552497792e-09,2.862236416403203e-09,2.242883071640066e-09,1.9221291650918172e-09,1.5438050785378845e-09,1.1873823825288778e-09,9.019559686826739e-10,6.476779330563647e-10,4.982200693910666e-10,3.7027112319411805e-10,2.5918385030118434e-10,1.7595593414684632e-10,1.1646988756768108e-10,8.337267114326094e-11,5.296861894573295e-11,3.315464321723377e-11,2.069511724594626e-11,1.2843461281277614e-11
