Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_7.292e-05,S0Z_time_7.642e-05,S0Z_time_8.092e-05,S0Z_time_8.642e-05,S0Z_time_9.341e-05,S0Z_time_1.024e-04,S0Z_time_1.139e-04,S0Z_time_1.284e-04,S0Z_time_1.464e-04,S0Z_time_1.689e-04,S0Z_time_1.969e-04,S0Z_time_2.324e-04,S0Z_time_2.779e-04,S0Z_time_3.349e-04,S0Z_time_4.069e-04,S0Z_time_4.979e-04,S0Z_time_6.119e-04,S0Z_time_7.559e-04,S0Z_time_9.373e-04,S0Z_time_1.166e-03,S0Z_time_1.454e-03,S0Z_time_1.818e-03,S0Z_time_2.276e-03,S0Z_time_2.855e-03,S0Z_time_3.574e-03,S0Z_time_4.454e-03,S0Z_time_5.530e-03,S0Z_time_6.849e-03,S0Z_time_8.463e-03,S0Z_time_1.044e-02,S1Z_time_1.273e-05,S1Z_time_1.623e-05,S1Z_time_2.073e-05,S1Z_time_2.623e-05,S1Z_time_3.323e-05,S1Z_time_4.222e-05,S1Z_time_5.373e-05,S1Z_time_6.822e-05,S1Z_time_8.622e-05,S1Z_time_1.087e-04,S1Z_time_1.367e-04,S1Z_time_1.722e-04,S1Z_time_2.177e-04,S1Z_time_2.747e-04,S1Z_time_3.467e-04,S1Z_time_4.377e-04,S1Z_time_5.517e-04,S1Z_time_6.957e-04,S1Z_time_8.772e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.589557206573506e-11,3.4766631540696644e-11,3.274181984960823e-11,3.04799691989529e-11,2.8335556267937067e-11,2.592642860096303e-11,2.345676263606068e-11,2.1031132678730642e-11,1.8721956114677198e-11,1.6564527271938038e-11,1.447972711855916e-11,1.255147658154254e-11,1.0728164762526744e-11,9.079211098290862e-12,7.6078691373722e-12,6.285404870727449e-12,5.128893034595174e-12,4.119324260687407e-12,3.2603984058291208e-12,2.5374587779312794e-12,1.936860037013149e-12,1.4467901756340942e-12,1.0566017635252013e-12,7.529312089857492e-13,5.247929569939917e-13,3.592733495880614e-13,2.4128037463835534e-13,1.5880429130427095e-13,1.0250262461182783e-13,6.482468418117485e-14,3.086837875689272e-10,1.433709539185621e-10,8.076455930760406e-11,5.630413378506515e-11,4.310345632321761e-11,3.394238368707923e-11,2.7079660790232764e-11,2.1662200079118255e-11,1.7407339760569273e-11,1.3949649570856374e-11,1.113557989706062e-11,8.807324419425567e-12,6.862815397105757e-12,5.291677889450783e-12,4.02469181536794e-12,3.0102154041208565e-12,2.2167432213037894e-12,1.6005151302737962e-12,1.1317304040261743e-12,7.845175431027943e-13,5.331669469382453e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.266617729084783e-11,3.160149270133044e-11,2.965940811289105e-11,2.752858515809071e-11,2.5545975048711805e-11,2.3303418204654176e-11,2.104397939362778e-11,1.8832905276205944e-11,1.6746145115901586e-11,1.48069669459841e-11,1.2935469665857873e-11,1.121271998285798e-11,9.585195785948092e-12,8.115684170007678e-12,6.806322874489045e-12,5.6295199260269625e-12,4.600220331070316e-12,3.7012912758886454e-12,2.935416380047235e-12,2.2899349772966486e-12,1.7524798034867928e-12,1.312862393746812e-12,9.618035705287843e-13,6.877090139753086e-13,4.810401624165727e-13,3.3051878102509416e-13,2.227930691374688e-13,1.471886344109572e-13,9.536485731111748e-14,6.054257584939675e-14,4.2980552957367833e-10,1.9683908607851099e-10,9.681132721122099e-11,5.840936144620742e-11,4.12753669867632e-11,3.1430602736089597e-11,2.469410052409313e-11,1.9581416619073188e-11,1.5654170185859208e-11,1.2492306800287441e-11,9.949355560957532e-12,7.854506952902841e-12,6.113048029778794e-12,4.711267381075412e-12,3.5824752565033586e-12,2.6805334893995077e-12,1.9752721492427258e-12,1.4278263590791636e-12,1.0111224360211522e-12,7.022693223218498e-13,4.784190378856353e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.01998420433374e-11,2.9096254196299243e-11,2.7149001301529024e-11,2.507717872768418e-11,2.3202179839597103e-11,2.108498011267674e-11,1.8990464942364812e-11,1.695413941809491e-11,1.5051906365855972e-11,1.329696592332502e-11,1.1605118287036408e-11,1.0057568610098269e-11,8.596420052642698e-12,7.28054211504637e-12,6.109820361552681e-12,5.058222195768592e-12,4.138409095213217e-12,3.3350455992216884e-12,2.6497428218991636e-12,2.0715843599314128e-12,1.5892004379071388e-12,1.1937741658340173e-12,8.771379253639577e-13,6.291901619788952e-13,4.415967739608293e-13,3.044724623631041e-13,2.0596600366781385e-13,1.3656553038225196e-13,8.880565427678566e-14,5.658926174649946e-14,5.530562417223814e-10,2.6584092746484196e-10,1.252990773299123e-10,6.678500676762474e-11,4.191550756000799e-11,2.985410351048973e-11,2.2810734021514926e-11,1.786501506829545e-11,1.4179240044171424e-11,1.1255608388319659e-11,8.939597258382306e-12,7.039638212754546e-12,5.4708683534957206e-12,4.212814818829533e-12,3.201876550569644e-12,2.39619462657882e-12,1.7664609587652237e-12,1.278117249336097e-12,9.062363618557721e-13,6.305143158003511e-13,4.304712574831083e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.8629022365964067e-11,2.7322349035267952e-11,2.5222272357967028e-11,2.3093439254674496e-11,2.125232496378712e-11,1.9212863308171768e-11,1.7241733552235033e-11,1.5344350167906222e-11,1.3593962228598776e-11,1.1994437497463282e-11,1.0454254874356455e-11,9.056747195112245e-12,7.737637041806075e-12,6.553863827381213e-12,5.502331372346162e-12,4.558834135290201e-12,3.733643752678451e-12,3.013160772764892e-12,2.397881431552741e-12,1.8784445724216773e-12,1.4442452505585688e-12,1.0876405564443108e-12,8.013664033120529e-13,5.765894174611569e-13,4.059804448387489e-13,2.8084536990239236e-13,1.906307277021278e-13,1.2683940357742832e-13,8.27722834463831e-14,5.293640624464223e-14,6.637236833823446e-10,3.402987601635466e-10,1.6345686848832972e-10,8.201509665194374e-11,4.592536251343936e-11,2.958636402960894e-11,2.1476796776987957e-11,1.647228141199177e-11,1.2940078951095835e-11,1.0205331003245344e-11,8.076441870005063e-12,6.339614856502576e-12,4.918584515917212e-12,3.782789812048159e-12,2.872947247480377e-12,2.149943719402814e-12,1.58518607571953e-12,1.147851899223466e-12,8.147038206707188e-13,5.677131455753461e-13,3.8834778324249093e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.8138204858538144e-11,2.6419225952327426e-11,2.3961856544172536e-11,2.1601319526457318e-11,1.9681787867017192e-11,1.7651486402508652e-11,1.5756328360730143e-11,1.3963639812086823e-11,1.2336420258329568e-11,1.0867141729430059e-11,9.45506499577548e-12,8.186190020831864e-12,6.9890249957141e-12,5.919227967141447e-12,4.97062497001665e-12,4.120824004934202e-12,3.377739158320611e-12,2.7294105162752843e-12,2.1752026180588615e-12,1.7071576628983497e-12,1.3152471658982929e-12,9.928443699312599e-13,7.334195500496068e-13,5.292238780039589e-13,3.737687038372079e-13,2.593826347349217e-13,1.7663766666868523e-13,1.179248165523457e-13,7.72173028258923e-14,4.955833030237265e-14,7.554065683023229e-10,4.12040491762422e-10,2.068860788135499e-10,1.0312585466257889e-10,5.3691702273268076e-11,3.104985504685288e-11,2.0840742929237127e-11,1.540261644046696e-11,1.1907368167362791e-11,9.314222720579692e-12,7.336368296440835e-12,5.736156977707306e-12,4.4417144355626414e-12,3.4102072516333048e-12,2.5875942840389446e-12,1.9358298931264217e-12,1.4272336095940376e-12,1.0341050515597554e-12,7.345576681402793e-13,5.125797810766446e-13,3.5123321895892596e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.8869516557445346e-11,2.652277843469119e-11,2.3478055738469406e-11,2.066655864625338e-11,1.8514125193836667e-11,1.6393021701381773e-11,1.4508239238120467e-11,1.2781437774139301e-11,1.1250391370476426e-11,9.889006177771572e-12,8.585023934667764e-12,7.426152107462995e-12,6.3342340238031356e-12,5.363007536215383e-12,4.5037277912752735e-12,3.735403998310771e-12,3.063842252036657e-12,2.4785528820710507e-12,1.9777919858846024e-12,1.554868412870179e-12,1.2001823024440095e-12,9.079943327501838e-13,6.723715465598637e-13,4.864984035492798e-13,3.4459087881452426e-13,2.398591420850861e-13,1.6385382278185197e-13,1.0974530455672746e-13,7.209798071298017e-14,4.643175451837616e-14,8.274975978301765e-10,4.761147748750237e-10,2.513754163254744e-10,1.2822584630778437e-10,6.494082845470439e-11,3.450093197918865e-11,2.1091238247926172e-11,1.470268757614924e-11,1.1069978344266521e-11,8.560875340033026e-12,6.700750947280963e-12,5.214762558920047e-12,4.028394478249685e-12,3.0861120324127536e-12,2.3391705493708265e-12,1.7489527399112027e-12,1.2891239743827649e-12,9.344444511828676e-13,6.641568660845099e-13,4.640355501175945e-13,3.1844075394422974e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.086411048350129e-11,2.7705675357213946e-11,2.3857348701580312e-11,2.036373983892573e-11,1.779636523143125e-11,1.5454522545341222e-11,1.3489164719759504e-11,1.1777622204111417e-11,1.0313200579507801e-11,9.038775945492151e-12,7.825677969768035e-12,6.760476470859561e-12,5.7597215167278914e-12,4.873851026166427e-12,4.092481626365488e-12,3.3952091456281097e-12,2.7861942325676116e-12,2.2561578467919653e-12,1.8023276905904285e-12,1.4191410825663751e-12,1.097315237474754e-12,8.31890381647358e-13,6.174190114081738e-13,4.478932711663817e-13,3.1812117753319906e-13,2.2207574351023265e-13,1.5216077723765767e-13,1.0223235357901072e-13,6.737578598540366e-14,4.3535555276843984e-14,8.82481168644955e-10,5.304115702926126e-10,2.937711326808576e-10,1.5523350000538758e-10,7.891775260104818e-11,3.9932888423517486e-11,2.2374971776746247e-11,1.4448570483274446e-11,1.0438005959343235e-11,7.931579932293098e-12,6.15490136174033e-12,4.763674085059811e-12,3.668961115840668e-12,2.8032020220338042e-12,2.122161767642652e-12,1.585258876942144e-12,1.1679720713015453e-12,8.468394451441738e-13,6.021269232532503e-13,4.2117183935411283e-13,2.8938738672571123e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.405201320026557e-11,2.995275221204061e-11,2.5129030663700737e-11,2.0744428933019168e-11,1.75766497810621e-11,1.4866516474741395e-11,1.2706229985011535e-11,1.0943311743178276e-11,9.508801123920891e-12,8.299444505471474e-12,7.161727612605194e-12,6.175884555423714e-12,5.254229944068316e-12,4.442295723878186e-12,3.729196603617298e-12,3.0940402489852034e-12,2.5399365169921907e-12,2.0584686786136094e-12,1.6459812339458104e-12,1.2978911120479554e-12,1.0051536571355414e-12,7.634947448843895e-13,5.678632259886038e-13,4.1295369834487353e-13,2.9407275062687e-13,2.0585599027390954e-13,1.414529520018229e-13,9.53245031425101e-14,6.301594047659794e-14,4.085054447394193e-14,9.240004075866883e-10,5.747913002349526e-10,3.3213403974286127e-10,1.8234163549942832e-10,9.465904774522707e-11,4.710228914186264e-11,2.4743922265742237e-11,1.471517972487992e-11,1.0038243989428106e-11,7.422211046944266e-12,5.68810848361042e-12,4.373183826560525e-12,3.3555354830469837e-12,2.5555202078222865e-12,1.931968747865379e-12,1.4413807194436108e-12,1.0613722369258252e-12,7.695887340657355e-13,5.473125978661882e-13,3.832202644150182e-13,2.6357711094177845e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.827472113549819e-11,3.316755228441756e-11,2.7256683155740557e-11,2.181889224728927e-11,1.7885136503660044e-11,1.4658780498692962e-11,1.2175371766293386e-11,1.0279390350139715e-11,8.828057815643871e-12,7.65826297075746e-12,6.580567824776243e-12,5.6613722427692364e-12,4.808347295684618e-12,4.0604503177330405e-12,3.4073870360718416e-12,2.8266603056588e-12,2.3209514419670768e-12,1.8822891617861928e-12,1.5063367116804958e-12,1.1893290784083899e-12,9.224107023398974e-13,7.019077584827771e-13,5.230951688555105e-13,3.8128094088142413e-13,2.721925966355651e-13,1.9104330921037594e-13,1.3163609436588734e-13,8.896655741466637e-14,5.898702425784753e-14,3.835927976017281e-14,9.557152417745162e-10,6.102596870078624e-10,3.655586575028467e-10,2.082077355668376e-10,1.1121331587790165e-10,5.561639820695237e-11,2.8145513612950672e-11,1.5550220633040284e-11,9.903865786625168e-12,7.0377429339262586e-12,5.2940951812613815e-12,4.035435919891512e-12,3.081648563076821e-12,2.338176003137934e-12,1.7647531510115392e-12,1.314511797379548e-12,9.673050614312524e-13,7.012620087015547e-13,4.987397457429222e-13,3.4952896874693254e-13,2.405879485921129e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.3320295145673674e-11,3.71957122619238e-11,3.014799170371715e-11,2.3552957434102592e-11,1.872383831702257e-11,1.4848959196862235e-11,1.1913300141177984e-11,9.792888108726504e-12,8.268000905109671e-12,7.106763717030556e-12,6.07217411378925e-12,5.207804624668529e-12,4.414150271165162e-12,3.721714486104922e-12,3.1215665342839537e-12,2.5886333263893467e-12,2.125733085807291e-12,1.7248911043990147e-12,1.381324357794056e-12,1.091914586370846e-12,8.479736861487176e-13,6.463475859408336e-13,4.825828623554614e-13,3.525247149357346e-13,2.5225718761934203e-13,1.7749855642796228e-13,1.2262595328520792e-13,8.310889072511308e-14,5.526062555064131e-14,3.604590084831627e-14,9.807483517890893e-10,6.38344765002467e-10,3.9389399899927535e-10,2.3196931158038525e-10,1.2776959573676537e-10,6.502582275567204e-11,3.244312795866661e-11,1.6961303563829058e-11,1.0063333592587373e-11,6.789233489363928e-12,4.971058394154755e-12,3.744548032457748e-12,2.8419930666501992e-12,2.147104493377217e-12,1.6173129777090228e-12,1.2023092358220606e-12,8.840649182390581e-13,6.406524513220547e-13,4.555840141214424e-13,3.1954351895456956e-13,2.2006046284989792e-13
