Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_7.292e-05,S0Z_time_7.642e-05,S0Z_time_8.092e-05,S0Z_time_8.642e-05,S0Z_time_9.341e-05,S0Z_time_1.024e-04,S0Z_time_1.139e-04,S0Z_time_1.284e-04,S0Z_time_1.464e-04,S0Z_time_1.689e-04,S0Z_time_1.969e-04,S0Z_time_2.324e-04,S0Z_time_2.779e-04,S0Z_time_3.349e-04,S0Z_time_4.069e-04,S0Z_time_4.979e-04,S0Z_time_6.119e-04,S0Z_time_7.559e-04,S0Z_time_9.373e-04,S0Z_time_1.166e-03,S0Z_time_1.454e-03,S0Z_time_1.818e-03,S0Z_time_2.276e-03,S0Z_time_2.855e-03,S0Z_time_3.574e-03,S0Z_time_4.454e-03,S0Z_time_5.530e-03,S0Z_time_6.849e-03,S0Z_time_8.463e-03,S0Z_time_1.044e-02,S1Z_time_1.273e-05,S1Z_time_1.623e-05,S1Z_time_2.073e-05,S1Z_time_2.623e-05,S1Z_time_3.323e-05,S1Z_time_4.222e-05,S1Z_time_5.373e-05,S1Z_time_6.822e-05,S1Z_time_8.622e-05,S1Z_time_1.087e-04,S1Z_time_1.367e-04,S1Z_time_1.722e-04,S1Z_time_2.177e-04,S1Z_time_2.747e-04,S1Z_time_3.467e-04,S1Z_time_4.377e-04,S1Z_time_5.517e-04,S1Z_time_6.957e-04,S1Z_time_8.772e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.182124391949943e-10,6.400431229690696e-10,5.391330909641655e-10,4.3365064843795476e-10,3.4462236574775864e-10,2.631443558363006e-10,1.915462729365146e-10,1.3525310035778971e-10,9.350739983719517e-11,6.401168429022148e-11,4.231621476376634e-11,2.7854823053547487e-11,1.7826781515273368e-11,1.122301187353022e-11,7.13439025119257e-12,4.404279895062644e-12,2.7124624900888695e-12,1.6529963350949304e-12,9.854868001265407e-13,5.946939977957114e-13,3.4881816653362425e-13,2.0281269045778475e-13,1.1441030681912365e-13,6.553245162184548e-14,3.6666463562947603e-14,2.0046385002499472e-14,1.0990816376821044e-14,6.06533968855697e-15,3.121331942169644e-15,1.9864565310708536e-15,1.058330944807385e-08,6.573195211267763e-09,4.123869501046417e-09,2.6495818385108447e-09,1.6919174443045357e-09,1.0440670486654892e-09,6.286023780519394e-10,3.683001824577804e-10,2.1341599862784448e-10,1.2228915343185755e-10,6.981511781074328e-11,3.9533953819341576e-11,2.2108528055584374e-11,1.2354355753007157e-11,6.896570386580855e-12,3.7999461183514716e-12,2.0856218025189976e-12,1.1251319534315638e-12,5.976659117250289e-13,3.171758216727569e-13,1.6112086181964677e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.21366120280223e-10,6.425116319472442e-10,5.407870692194796e-10,4.343814180764359e-10,3.445518163201008e-10,2.6243752151964544e-10,1.903483703119173e-10,1.3381653484231808e-10,9.204825427468876e-11,6.268701300158097e-11,4.121722428105146e-11,2.700806568805551e-11,1.7221231654756106e-11,1.0811389019856855e-11,6.868142880535661e-12,4.2386013291130054e-12,2.613051393616559e-12,1.5949040533364747e-12,9.523869334925288e-13,5.761499692164145e-13,3.386489055692375e-13,1.9735655851351763e-13,1.1151553588055648e-13,6.40429074544188e-14,3.589905779790632e-14,1.9664524127528653e-14,1.0791784368615583e-14,5.967205170276717e-15,3.0668083141455774e-15,1.958107416616844e-15,1.0585644411265441e-08,6.5792736417631796e-09,4.133686680472524e-09,2.660665346636504e-09,1.701488190675135e-09,1.0504393540220164e-09,6.316842494228257e-10,3.689503581077505e-10,2.1273756265276488e-10,1.2111766614434767e-10,6.864648228360127e-11,3.8593527263627e-11,2.1444665748100072e-11,1.1926311736589279e-11,6.638618656039432e-12,3.6524814021921225e-12,2.0050332011166714e-12,1.082419663187979e-12,5.758949914944472e-13,3.064871356725042e-13,1.5576190103878332e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.242189844793842e-10,6.447529985060024e-10,5.423027358463416e-10,4.3507423438382295e-10,3.445272680475026e-10,2.618381638377484e-10,1.892974126216119e-10,1.3253647585731292e-10,9.073260463206845e-11,6.148046180271091e-11,4.0206836808297215e-11,2.6223189550752714e-11,1.6655729059778476e-11,1.0424683007384762e-11,6.616702949862546e-12,4.0814948219548095e-12,2.5184193713116757e-12,1.5394195499640088e-12,9.206709014896057e-13,5.583233090521524e-13,3.2884602532733036e-13,1.9207949279322046e-13,1.0870953135934462e-13,6.259429261302096e-14,3.5151325386015826e-14,1.929120973818641e-14,1.0597171194596546e-14,5.870880117924212e-15,3.0134832370774565e-15,1.9305418682717174e-15,1.0588083604493277e-08,6.585273489344814e-09,4.1429611579659655e-09,2.6708314195247662e-09,1.7101197305159979e-09,1.056160394232395e-09,6.344824026590323e-10,3.6958667841018183e-10,2.1217153084900595e-10,1.2008474867172154e-10,6.759439252109223e-11,3.7734306133834805e-11,2.0831121049142214e-11,1.1527115865251831e-11,6.396358005757928e-12,3.5132804643327653e-12,1.928615963679269e-12,1.0417785476711863e-12,5.551119882247993e-13,2.96242428945963e-13,1.5062345307906852e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.26773900586278e-10,6.467591150682708e-10,5.436604240314872e-10,4.3569892161454375e-10,3.445125782549188e-10,2.613086960562647e-10,1.883587943667868e-10,1.3138429404239802e-10,8.953906307728932e-11,6.037730388528512e-11,3.927568662840201e-11,2.5494537629064612e-11,1.6127046813978145e-11,1.006106546001242e-11,6.379059369428193e-12,3.932408710106312e-12,2.4282740709068333e-12,1.486394548444058e-12,8.902636098438233e-13,5.411788656808806e-13,3.193922981632799e-13,1.8697408235353933e-13,1.0598874671693378e-13,6.118520305793238e-14,3.442262735994194e-14,1.8926211254151652e-14,1.0406840530364931e-14,5.776332299788885e-15,2.9613218632855033e-15,1.9037550638675445e-15,1.0590667052418804e-08,6.591297465026752e-09,4.151861318814124e-09,2.6802607787943278e-09,1.7179428966246385e-09,1.061283656728237e-09,6.369901809635978e-10,3.701753715361431e-10,2.1168241905651305e-10,1.191638670948473e-10,6.664224493467307e-11,3.6947129913127e-11,2.0263216295533188e-11,1.115443668185148e-11,6.168649001387002e-12,3.3817780097544266e-12,1.8561012034192302e-12,1.0030836237958957e-12,5.35259592869626e-13,2.864182023090585e-13,1.4569448809673566e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.290390404318064e-10,6.48528809842286e-10,5.448488012671976e-10,4.362343737360835e-10,3.4448040037784143e-10,2.608192722382005e-10,1.8750389863821442e-10,1.303355428166207e-10,8.844886465291456e-11,5.936433437992113e-11,3.8415238920937734e-11,2.4816907780567976e-11,1.5632210170116215e-11,9.71885380163231e-12,6.1542847212373115e-12,3.790836257022772e-12,2.3423470334170695e-12,1.435691836514207e-12,8.610955314571541e-13,5.24683779977084e-13,3.102715943333733e-13,1.820333314389095e-13,1.0334982470337484e-13,5.981430065429778e-14,3.371235097823974e-14,1.856930639373249e-14,1.0220662266076916e-14,5.6835296182017446e-15,2.9102903519328963e-15,1.8777357407100557e-15,1.0593428258374053e-08,6.5974247571711075e-09,4.160516796363673e-09,2.689097619348443e-09,1.7250686473500077e-09,1.0658609405236303e-09,6.392090107694981e-10,3.706921600842193e-10,2.1124164078402004e-10,1.1833238409422352e-10,6.57753302407761e-11,3.6223675325904444e-11,1.973664445037853e-11,1.0806126814065503e-11,5.9544442013098165e-12,3.2574560828437497e-12,1.7872427160611518e-12,9.662196226308223e-13,5.162849473366714e-13,2.769927261900379e-13,1.4096453308571427e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.310255791317565e-10,6.500653943496274e-10,5.458623926098278e-10,4.3666627437300604e-10,3.4441028608230796e-10,2.6034635997885913e-10,1.8670919620483308e-10,1.2936946375974822e-10,8.744563595381399e-11,5.842977127040441e-11,3.761774262168984e-11,2.4185521941383512e-11,1.5168472577104618e-11,9.396494824564916e-12,5.941524888816187e-12,3.656310543138803e-12,2.260390964435276e-12,1.3871841575973746e-12,8.331021534057717e-13,5.08807278786372e-13,3.0146879408459096e-13,1.7725062562305033e-13,1.007895848951887e-13,5.848030848250241e-14,3.301990863098364e-14,1.822028069211885e-14,1.0038512111792172e-14,5.5924401655125306e-15,2.8603558302465594e-15,1.8524670187542155e-15,1.0596396678628684e-08,6.6037180050734314e-09,4.1690282407266145e-09,2.6974570031184814e-09,1.7315902692993468e-09,1.0699405195634004e-09,6.411454518988773e-10,3.7112003692238326e-10,2.1082634935972329e-10,1.1757111258899285e-10,6.498069463056092e-11,3.5556411916883426e-11,1.9247445424811493e-11,1.0480204326826571e-11,5.752777040877467e-12,3.1398384181270064e-12,1.7218142453180486e-12,9.310799863256926e-13,4.981391903187948e-13,2.6794585325478356e-13,1.3642364567246717e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.327461532254857e-10,6.513749406037625e-10,5.466997586648737e-10,4.3698533513058825e-10,3.4428714884227034e-10,2.598715285149531e-10,1.859554335767504e-10,1.2846851049563117e-10,8.651515605235991e-11,5.756314778627703e-11,3.687618221898115e-11,2.3595998924224125e-11,1.4733296518458468e-11,9.092551404258422e-12,5.739990544173058e-12,3.528400098653168e-12,2.1821773913873454e-12,1.3407532476086384e-12,8.0622348801425e-13,4.935204941704888e-13,2.9296970703692245e-13,1.726197020450467e-13,9.830501215991709e-14,5.71820066319581e-14,3.23447367515674e-14,1.7878927067473917e-14,9.860271237770714e-15,5.503032270246234e-15,2.8114863678303376e-15,1.8279273381937682e-15,1.0599599318700064e-08,6.61022800151321e-09,4.177474379823799e-09,2.7054307599023963e-09,1.7375857190803985e-09,1.0735662821838582e-09,6.428091265778805e-10,3.714474947079021e-10,2.104184197362899e-10,1.1686387873618335e-10,6.424698885328715e-11,3.49385543713113e-11,1.8791985257894513e-11,1.0174837930031585e-11,5.562752936495193e-12,3.0284856712835147e-12,1.6596071660566828e-12,8.975659974828874e-13,4.807770567731376e-13,2.592588527566711e-13,1.3206239583532368e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.342138470243832e-10,6.524650864698124e-10,5.473621696838649e-10,4.371859508359359e-10,3.441000393374451e-10,2.5938044066840783e-10,1.8522692168459573e-10,1.2761790744175848e-10,8.564512090880664e-11,5.675520068365601e-11,3.618422816334038e-11,2.3044329169140473e-11,1.4324337646766451e-11,8.805691634927935e-12,5.548950134748407e-12,3.40670516182159e-12,2.107494648113049e-12,1.2962889918698418e-12,7.804036410865397e-13,4.787963041499027e-13,2.847609983449653e-13,1.681346230758551e-13,9.589324596240626e-14,5.5918228424177766e-14,3.1686294742375364e-14,1.754504542808628e-14,9.685825945132327e-15,5.415274535594356e-15,2.763650960672397e-15,1.8040914306025898e-15,1.0603061799245691e-08,6.6169969240602145e-09,4.1859171628323815e-09,2.7130921434557627e-09,1.7431198426762674e-09,1.076777458984858e-09,6.442112910086876e-10,3.7166714040875295e-10,2.1000357701590031e-10,1.1619711220340366e-10,6.356431335075915e-11,3.4364011968972094e-11,1.8366936689524898e-11,9.888334919769294e-12,5.383542102968343e-12,2.922991393042706e-12,1.6004285163879717e-12,8.655860179002556e-13,4.64156524848438e-13,2.5091426483313953e-13,1.2787185103758105e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.354415432156353e-10,6.533442188323317e-10,5.478526496218193e-10,4.372651820207229e-10,3.4384117986579854e-10,2.5886202621092655e-10,1.8451092492542708e-10,1.2680525167606664e-10,8.48249190695707e-11,5.59977584336812e-11,3.5536186425649704e-11,2.2526850568417462e-11,1.3939431146067702e-11,8.534679806703519e-12,5.3677240733049385e-12,3.2908544669631233e-12,2.0361461370998693e-12,1.2536886825971813e-12,7.555904306569425e-13,4.646091915402785e-13,2.768301211897038e-13,1.63789752864399e-13,9.355157043731815e-14,5.4687857013915556e-14,3.104406392226932e-14,1.7218442314638612e-14,9.515067362995879e-15,5.329135871776219e-15,2.7168195222850397e-15,1.7809312661807123e-15,1.0606809089152036e-08,6.6240605918325855e-09,4.194405538530568e-09,2.7204994880757987e-09,1.7482463634522043e-09,1.0796086918350757e-09,6.453638683752562e-10,3.717746242837026e-10,2.0957066451745876e-10,1.1555947345445909e-10,6.292406581516878e-11,3.382733629515704e-11,1.7969260352417117e-11,9.619131021018799e-12,5.214373680127228e-12,2.8229786271701174e-12,1.5440993216658236e-12,8.350548192600439e-13,4.482385045097767e-13,2.428957728864297e-13,1.238435621229123e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.36441522394681e-10,6.540209247051631e-10,5.48175293192717e-10,4.372219902597729e-10,3.435052087997928e-10,2.5830781075760167e-10,1.8379714376591679e-10,1.260201606025504e-10,8.404542347520713e-11,5.528363252241281e-11,3.4926948074706395e-11,2.2040224974804967e-11,1.3576579598102654e-11,8.278368771650283e-12,5.1956798862789375e-12,3.180502481573046e-12,1.967948827472709e-12,1.2128563617150113e-12,7.317350500788678e-13,4.509351181434752e-13,2.691652551767733e-13,1.595797363162879e-13,9.127740516265443e-14,5.348982232103083e-14,3.041754650257734e-14,1.689893057233378e-14,9.347891168659945e-15,5.244585523424216e-15,2.6709628792593908e-15,1.7584169374619992e-15,1.0610866022441625e-08,6.63145006293616e-09,4.202978254211613e-09,2.727699077607261e-09,1.75300960813123e-09,1.0820902891650716e-09,6.462788089301134e-10,3.71767819503055e-10,2.091110372646044e-10,1.1494152201113923e-10,6.231879567989496e-11,3.332366852627001e-11,1.7596186253765717e-11,9.365781538553145e-12,5.054530851282956e-12,2.728097029147323e-12,1.49045316305003e-12,8.058929923076395e-13,4.329865626431039e-13,2.3518809212743196e-13,1.1996954852986416e-13
