Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.028234392263977e-09,8.34592196908816e-10,6.230093852102515e-10,4.2830262526946413e-10,3.2420895801035464e-10,2.3742639770945056e-10,1.558222184396998e-10,1.1560034148117842e-10,7.979127542751942e-11,5.6183390344516776e-11,3.893689221203656e-11,2.5010493240707257e-11,1.5401103422277176e-11,1.016791558069061e-11,6.141644317454812e-12,3.2214766383170495e-12,1.930178909053664e-12,6.915757214237348e-09,5.989090409721275e-09,5.674432956624455e-09,4.351065277701285e-09,3.646084598144351e-09,3.146089700784495e-09,2.480415523873898e-09,2.0944815828661866e-09,1.7234063551006856e-09,1.3589531204027412e-09,1.0728031316716257e-09,8.189153560114393e-10,6.274714993088427e-10,4.5885403471643877e-10,3.2672733435153847e-10,2.387115404898228e-10,1.7035578301177956e-10,1.0879257188336068e-10,7.052173153827354e-11,4.8610160789194174e-11,3.003918647478872e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1057987497447456e-09,8.305200759744272e-10,6.389635208496785e-10,4.598636054667119e-10,3.1685587187294653e-10,2.3175074428161854e-10,1.6395211243711276e-10,1.1137757587124437e-10,8.18316826425027e-11,5.891244142516052e-11,3.6919250656033506e-11,2.5680419166885293e-11,1.679114849728069e-11,9.860448882833982e-12,5.898556036620637e-12,3.4048816734768096e-12,1.8053613818932453e-12,6.876165272663719e-09,5.661508401565898e-09,5.168285614717025e-09,4.332831978823337e-09,3.807400968115591e-09,3.135286904341728e-09,2.549982672533981e-09,2.1741983218141367e-09,1.6531304366011374e-09,1.3282984910158753e-09,1.0546862214576233e-09,7.897726407774261e-10,6.139255065454585e-10,4.6346921541193907e-10,3.203410832553353e-10,2.405413816139778e-10,1.6162932986856162e-10,1.1178142918743242e-10,7.336157942173608e-11,4.7779620205778505e-11,2.9447215645532054e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0822338226509707e-09,8.344623078524233e-10,5.878222881291756e-10,4.5161452625143597e-10,3.3017285547414e-10,2.283822542270173e-10,1.6285514525187515e-10,1.1471754788873781e-10,8.150922169964037e-11,5.923806245295432e-11,3.8661089088415915e-11,2.5866460479453298e-11,1.6613838300721115e-11,1.0335039262385444e-11,6.034017206821619e-12,3.468449434784944e-12,1.8314026610176006e-12,6.303973416210983e-09,6.312145068038478e-09,5.2402792537651746e-09,4.6664852156011965e-09,3.828183046181493e-09,3.0361071761281053e-09,2.518339821748517e-09,1.9933503736393727e-09,1.642017762308407e-09,1.350908947141691e-09,1.0544865775413802e-09,7.947274881727951e-10,6.384559620001324e-10,4.5320283768702887e-10,3.2064839023584903e-10,2.347017543088432e-10,1.6653827422898774e-10,1.1037297743089234e-10,7.266402624780247e-11,4.7400688802188354e-11,2.9772888924963324e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1017470539102123e-09,8.020089586621471e-10,6.324852345585074e-10,4.49926868185014e-10,3.2396207727906175e-10,2.2584415842244825e-10,1.6213963984087715e-10,1.1814526402935396e-10,7.766103792362061e-11,5.6107787548648896e-11,3.8253433852612767e-11,2.5314457316175412e-11,1.654934851702129e-11,1.0197460033625486e-11,6.404043398683755e-12,3.3996253576663243e-12,1.737622134895864e-12,6.405164620866143e-09,6.304883015066972e-09,5.472435881647464e-09,4.33050395001145e-09,3.9051712883867185e-09,3.12163410550747e-09,2.472924444365095e-09,2.0888692908019355e-09,1.630900046177129e-09,1.354269279738527e-09,1.0761095646090988e-09,7.829036406920034e-10,6.124045466027477e-10,4.386159690355758e-10,3.2464820702716514e-10,2.300074360764051e-10,1.6496019299666103e-10,1.1422232317799867e-10,7.207015575860342e-11,4.524619004357581e-11,2.932677273389753e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1030554685463118e-09,7.725883041436277e-10,6.076022317554373e-10,4.2120203591365146e-10,3.3308955177736717e-10,2.318424714750378e-10,1.6882980635079756e-10,1.0774923954347281e-10,7.975640978046197e-11,5.496145163251477e-11,3.811421379670201e-11,2.600900266536035e-11,1.664061024383823e-11,9.684281606562864e-12,5.77044173944682e-12,3.4316932729812344e-12,1.7579447893935376e-12,6.726558788149867e-09,6.061116269219312e-09,5.263090082152859e-09,4.326913920810127e-09,3.7949993040881665e-09,2.9937149808253073e-09,2.451766605478806e-09,2.058595791392408e-09,1.6360575859268697e-09,1.341839512085631e-09,1.0532690265915264e-09,8.102456960793006e-10,5.730212417893333e-10,4.5873546623645673e-10,3.1793499948568355e-10,2.437940980679687e-10,1.6258636302116557e-10,1.0673776444043227e-10,7.014802447543297e-11,4.4917496318619174e-11,3.091362701913135e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0976937354420879e-09,7.946163316341965e-10,6.340970011665049e-10,4.354120583172441e-10,3.203380982347718e-10,2.2059387983446997e-10,1.6057826704986125e-10,1.1812703872782003e-10,8.144209308815932e-11,5.4991221502281377e-11,3.874930527633411e-11,2.5947549828173997e-11,1.728744453894701e-11,1.0179432072036958e-11,5.865365280920323e-12,3.2833555065716875e-12,1.8329549845782267e-12,6.594063950791937e-09,6.025534047772728e-09,5.34336845019876e-09,4.401166834649894e-09,3.61712830307711e-09,2.984549969758007e-09,2.491782766249793e-09,2.0703741740469074e-09,1.6880451007756645e-09,1.3591379828816491e-09,1.0566377526185561e-09,8.437559834758992e-10,6.191958568708366e-10,4.5648615580308916e-10,3.2007561590207153e-10,2.3827359222336513e-10,1.5794487618298437e-10,1.1167812869276499e-10,7.289600276925775e-11,4.601819733552709e-11,3.151946678145424e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.919410756168171e-10,8.079746138294918e-10,6.031115580837352e-10,4.370620610083918e-10,3.193339740461604e-10,2.424187341509607e-10,1.6039783380637158e-10,1.2106943187491285e-10,8.223278802657688e-11,5.60143779239504e-11,3.9632062836293485e-11,2.701943372494422e-11,1.6917538194901755e-11,9.941183621327374e-12,5.695029088531843e-12,3.2928769282999525e-12,1.8681370214814645e-12,6.918460894231684e-09,5.969153981265139e-09,5.369498020056926e-09,4.380914803617074e-09,3.6808166832697236e-09,3.013282153957171e-09,2.5098851284494284e-09,2.168338331327487e-09,1.6541273245554654e-09,1.3320155385332348e-09,1.0355601948564952e-09,7.849185208722032e-10,5.84708307527034e-10,4.435268265882116e-10,3.312299447225351e-10,2.3198534040160507e-10,1.656923551417861e-10,1.0811974532668387e-10,7.385600264722278e-11,4.7829492504963806e-11,3.078882682853342e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1091544810202182e-09,7.550074589200882e-10,6.055510127235754e-10,4.188674944625163e-10,3.1857203525305956e-10,2.2388737809150795e-10,1.6351395252819245e-10,1.1547047691790125e-10,8.033631421891584e-11,5.671729750405562e-11,3.6487912677716015e-11,2.5333893604447705e-11,1.660424369503312e-11,1.029787135284842e-11,5.764666918722766e-12,3.185404620963527e-12,1.7793195110950911e-12,6.643779290387329e-09,6.093407740148349e-09,5.262198786096874e-09,4.541749617123316e-09,3.766967765305303e-09,2.771420773286658e-09,2.5235539971946435e-09,2.111285794187991e-09,1.6893357947786608e-09,1.3399658147965789e-09,1.0611257619446623e-09,8.100814983617925e-10,5.902688458510402e-10,4.300135797754594e-10,3.400360799368126e-10,2.41174712681864e-10,1.637236105090788e-10,1.1409896924938095e-10,7.375573090111697e-11,4.706249016656952e-11,3.063326413595534e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.083424968003115e-09,7.867320019026361e-10,5.783197323792205e-10,4.2661770759555435e-10,3.1485982073637475e-10,2.362803342952344e-10,1.664581562729241e-10,1.2205798218214628e-10,8.05176174234703e-11,5.517837006583402e-11,4.044637730818826e-11,2.617027270533488e-11,1.5103507820782012e-11,9.581666540287353e-12,5.7875074310522996e-12,3.365935387855562e-12,1.8670733352119675e-12,6.937890998116278e-09,6.0844594457671755e-09,5.24363826450207e-09,4.321900010270334e-09,3.6794165484296744e-09,3.0565789804982177e-09,2.5049700837200316e-09,2.0835037499944215e-09,1.6314057460639346e-09,1.3507098366915024e-09,9.806361404189442e-10,8.101318707877559e-10,5.837311299770428e-10,4.3193720409361024e-10,3.25827261636197e-10,2.193169531621852e-10,1.5338727329555913e-10,1.0881770723685987e-10,7.718525747590079e-11,4.953905430165275e-11,3.2212756247087016e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1301761110598297e-09,8.330663749333432e-10,6.02171125913873e-10,4.3962106406982906e-10,3.214889959764812e-10,2.2967166593237916e-10,1.6385979540095257e-10,1.1253365794971775e-10,8.545186368400344e-11,5.627497141635714e-11,3.639497554141998e-11,2.5675000918902006e-11,1.679024226787987e-11,9.69924431691834e-12,5.7051771399901195e-12,3.202273060258852e-12,1.7868070854181062e-12,6.531399755602902e-09,5.706174798259602e-09,5.3963288926692315e-09,4.480039341584369e-09,3.6248086067558694e-09,3.127161316071915e-09,2.4546300350969473e-09,2.0487698220725616e-09,1.6237830043457187e-09,1.2578952886583561e-09,9.85916235593673e-10,8.020630878312662e-10,5.94905322871653e-10,4.6073299599156505e-10,3.1533841198590294e-10,2.394790044286671e-10,1.6389066774008317e-10,1.113413528384401e-10,7.394365037302902e-11,5.039765725549253e-11,3.2609002546703594e-11
