Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.00858667872689e-11,5.278673901955429e-11,4.830136712878425e-11,4.4310962044490264e-11,3.799005492671979e-11,2.96726215357088e-11,2.6134420802905178e-11,2.0409702450039793e-11,1.5953384043005268e-11,1.22780521548753e-11,8.948117023773716e-12,6.607385136156008e-12,4.4746721422297464e-12,2.944610592429208e-12,1.935044469643472e-12,1.219660888092839e-12,7.794128019749895e-13,4.458196460695278e-13,2.6604272461649183e-13,1.470927531238221e-13,7.821237244512186e-14,4.864545052520691e-14,2.7456866812086718e-14,1.3654937141908802e-14,1.0301922330472022e-14,2.704062512116986e-15,3.5453102889770525e-09,1.6171986056111552e-09,8.507599374036829e-10,4.679682206962182e-10,2.763926759401868e-10,1.8780480371551136e-10,1.293708741478986e-10,9.08408065356208e-11,6.894718339495849e-11,4.9162609878423775e-11,3.4338721030147275e-11,2.2502365782237323e-11,1.3571260069701686e-11,8.293697422664203e-12,4.777509546174359e-12,2.6905707840948552e-12,1.4648201435688799e-12,8.786316198799909e-13,4.2180874589013327e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.6310167274105156e-11,5.031020256425037e-11,4.827767444511405e-11,3.98921700869743e-11,3.6282303376219024e-11,3.037770889624019e-11,2.642254578835252e-11,2.0898380661260895e-11,1.6094517246974436e-11,1.2723255314908143e-11,9.534730629300625e-12,6.739892197609592e-12,4.710706472560616e-12,3.0808012579871137e-12,2.025542296858111e-12,1.2695813223357422e-12,7.911529288767903e-13,4.684450104539776e-13,2.6669001869183675e-13,1.6166771926996794e-13,8.923629570036958e-14,4.72549913362501e-14,2.8339996303131105e-14,1.4184778719634901e-14,8.386819686963532e-15,5.0769774157461555e-15,3.5397479127498274e-09,1.6733241616498608e-09,7.799890928291197e-10,4.517586335183884e-10,2.668960033348559e-10,1.774505614414672e-10,1.2733462680173373e-10,9.334335149034362e-11,6.858444505093428e-11,4.693538102208345e-11,3.425473031258911e-11,2.247828099557188e-11,1.353921923941275e-11,9.140432755784039e-12,5.5038593799691385e-12,3.095924363003061e-12,1.6438907593097807e-12,8.567325743192942e-13,4.798219989801051e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.625670183977161e-11,5.414802069747527e-11,4.75267562095522e-11,4.332751536436146e-11,3.720721333181677e-11,3.229840527184379e-11,2.6624075015332782e-11,2.2932133353770817e-11,1.7295244935067552e-11,1.339926844620647e-11,1.0408275695223485e-11,6.7953221105929195e-12,4.751635779500108e-12,3.433656260426578e-12,2.104978150744069e-12,1.4633828505174623e-12,8.430979331703429e-13,5.007049443160228e-13,3.169600423540552e-13,1.7854712273613335e-13,1.0142672521817557e-13,5.4703842048827346e-14,2.8027357123131744e-14,1.804489965929948e-14,8.430287062446629e-15,5.330244294366928e-15,3.611280944029892e-09,1.6023056732531597e-09,8.221570683135926e-10,4.583564658543274e-10,2.749803025259516e-10,1.7458742201547483e-10,1.2848081173411953e-10,9.588470217286261e-11,6.576206859869451e-11,4.784992282071879e-11,3.28809933157248e-11,2.365039721436314e-11,1.4809195490538514e-11,9.158556040472958e-12,5.3126445726395364e-12,3.1991449805998525e-12,1.7159696832051834e-12,9.459329764238178e-13,4.813379165004308e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.796725071605437e-11,5.303413212000558e-11,4.689111588923377e-11,4.2629117576045076e-11,3.5736053394721076e-11,3.0439567844356827e-11,2.7298433480052897e-11,2.2269488031968944e-11,1.7987880233813856e-11,1.4628859168826755e-11,1.0514906673586195e-11,7.19303715491615e-12,5.361212115438323e-12,3.3810205594254436e-12,2.2779082356084655e-12,1.4645736130882477e-12,9.537675372226757e-13,5.321849081841303e-13,3.101056515282925e-13,1.8051897785740244e-13,9.912040817579623e-14,5.809574164650371e-14,2.918646118962333e-14,1.5416999977248547e-14,8.636336011087805e-15,4.2030093672434105e-15,3.6990259308146874e-09,1.6472030003699549e-09,8.069451694010193e-10,4.299435382239433e-10,2.7943367850609025e-10,1.7483303373743435e-10,1.2030720486405116e-10,9.397833361164558e-11,6.659167297692568e-11,4.868743823411102e-11,3.3412700114939795e-11,2.3060726288940383e-11,1.4433627511877406e-11,8.984652749359673e-12,5.7438127330588466e-12,3.2059969010636235e-12,1.803200876211091e-12,9.847384923377913e-13,5.227221506462647e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.611787876673601e-11,4.9891566476274985e-11,4.6200416610416635e-11,3.928765827944014e-11,3.7675531015984074e-11,3.0444613350408475e-11,2.6244039659551127e-11,2.246536825339623e-11,1.757036844464535e-11,1.4630329637548318e-11,1.0129429349042446e-11,7.73030436779426e-12,5.403437351859574e-12,3.5600739276918247e-12,2.469219414906871e-12,1.541457429111093e-12,9.817438169578821e-13,5.906322405406528e-13,3.5856444732014513e-13,1.9925746910376981e-13,1.0561670997547262e-13,5.838646761629955e-14,3.370831383626763e-14,1.823685025951837e-14,1.0147389964098664e-14,3.264022100624139e-15,3.478948026508744e-09,1.5581219803980564e-09,8.092598806911238e-10,4.456900242014028e-10,2.812814364683945e-10,1.825841645823053e-10,1.2881865997978035e-10,8.860381393672788e-11,6.316929354031688e-11,4.612043689569209e-11,3.2756606233780005e-11,2.2694776849527587e-11,1.5835757389686942e-11,9.420820735559015e-12,5.613962742159994e-12,3.367302128821447e-12,1.894975280263256e-12,1.0650299205099242e-12,5.208894203054396e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.679833371407558e-11,5.2230641020680936e-11,4.737682881115822e-11,4.12917860144681e-11,3.6702856122735e-11,3.065495614531355e-11,2.6849473877927464e-11,2.2239588692910265e-11,1.8426957284954214e-11,1.3747027019891533e-11,1.1048943352257908e-11,8.257839567854824e-12,5.259091912912522e-12,3.893231742443959e-12,2.5961070575176677e-12,1.5965084629273367e-12,9.984266662183708e-13,6.055254162024526e-13,3.519878466994765e-13,2.0006116418999605e-13,1.0665905596238604e-13,6.434862650328507e-14,3.5282703747482704e-14,1.7386661396471088e-14,8.352919050282188e-15,5.6243556504642105e-15,3.406226137947751e-09,1.5919998639602888e-09,7.926668097709487e-10,4.5712012621536837e-10,2.811590350394852e-10,1.780933193282983e-10,1.2097477847293845e-10,8.52727778451811e-11,6.554451900410498e-11,4.4457095336807793e-11,3.192054566253883e-11,2.1917919094162898e-11,1.4841266600125662e-11,8.983956775364984e-12,5.930128775994646e-12,3.5557567373942315e-12,1.9978641002308966e-12,1.0839810450298322e-12,5.791480883007511e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.741634406775488e-11,4.7671662646090683e-11,4.97894863118551e-11,4.250282563410108e-11,3.621627131358656e-11,3.1649868883213604e-11,2.7707873796328728e-11,2.2636834886991875e-11,1.7242478219047755e-11,1.5331532710317117e-11,1.0967958712500311e-11,8.350135879813058e-12,5.660640874374209e-12,4.167574302157017e-12,2.672307521666889e-12,1.7327981655319005e-12,1.0263938280291419e-12,6.621373002141498e-13,3.8135950552849865e-13,2.2088044086648912e-13,1.1601249698979184e-13,6.396424447634295e-14,3.870693508080977e-14,1.7929225049961653e-14,1.0149476864860348e-14,6.4532219939551435e-15,3.460568225178923e-09,1.6047186137850271e-09,7.887097274944244e-10,4.5375728700971925e-10,2.6634596114253837e-10,1.9271553123292816e-10,1.2658922688782746e-10,8.781311724381328e-11,6.531812378738393e-11,4.502085038232728e-11,3.0784985678509513e-11,2.1255831680057332e-11,1.515301857509848e-11,9.552889505435616e-12,5.95870933912588e-12,3.69637156665764e-12,1.983016490900457e-12,1.10962099794447e-12,5.939815158367172e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.702231963724949e-11,5.200966548065993e-11,4.666099682957308e-11,4.1936047001721885e-11,3.6806143178198036e-11,3.1325494988772174e-11,2.66551250366187e-11,2.2964255163490094e-11,1.7975262298446336e-11,1.4076454852258793e-11,1.1065335115088058e-11,8.228995145039994e-12,6.332697360159027e-12,4.022328969921122e-12,2.8238786585852622e-12,1.8110137888530584e-12,1.0672216671063185e-12,6.845293152819038e-13,3.778029365319491e-13,2.0498488688306023e-13,1.2646792019415706e-13,6.41646643414442e-14,3.765546286541126e-14,1.920772093908579e-14,1.2452746176115181e-14,6.595045165450744e-15,3.387840989612286e-09,1.536694639955375e-09,7.673484792193931e-10,4.4388377872207617e-10,2.767654213527823e-10,1.832719986594701e-10,1.2877248517856699e-10,9.16755230497922e-11,6.467278565389135e-11,4.433118690945025e-11,3.040648573635073e-11,2.286975797817294e-11,1.448011876585491e-11,9.435065001583105e-12,5.947868488733477e-12,3.441056119204446e-12,2.0744925534826665e-12,1.1543291508348033e-12,6.379179336333899e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.825620206626698e-11,5.2229704044549835e-11,4.848126803898149e-11,4.2492603073382356e-11,3.69227475475462e-11,3.2170969731538236e-11,2.7171278714447236e-11,2.253839654784101e-11,1.8389072352322613e-11,1.4190396823360501e-11,1.1393883396843934e-11,8.154343918504086e-12,6.2133897105512104e-12,4.1887964054605355e-12,2.838477758113668e-12,1.8634181420479427e-12,1.1737214196745686e-12,6.65155997365694e-13,4.0703388373163287e-13,2.395963883615805e-13,1.2310392121017236e-13,7.224757102851816e-14,3.518754738414723e-14,1.966698099971356e-14,1.1176502860535478e-14,4.045638159773632e-15,3.3173504903627053e-09,1.4921369355377403e-09,8.338600461519873e-10,4.5322982046911415e-10,2.8588021024164707e-10,1.8587440123607598e-10,1.2811717283794457e-10,8.643053724691866e-11,6.364965546678038e-11,4.422851087920598e-11,3.237569401947797e-11,2.2545856804295483e-11,1.5354024032742446e-11,9.867150744313607e-12,5.970812540321391e-12,3.567877488396071e-12,2.1982574724794907e-12,1.2170116725300062e-12,6.070601213008009e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.794083685362787e-11,5.3719511603108557e-11,4.740368644868177e-11,4.1930944479792485e-11,3.60973058786309e-11,3.064749568027485e-11,2.799348099475304e-11,2.261522623157698e-11,1.845105107696963e-11,1.5528089029185723e-11,1.1631181843149342e-11,8.610412373566896e-12,6.196439937566053e-12,4.515120713390658e-12,3.0643556812569695e-12,1.949229743731914e-12,1.214669308109222e-12,6.803748797148907e-13,4.285513867138003e-13,2.426743219193942e-13,1.361197269599898e-13,7.682857911627313e-14,3.601986364551304e-14,2.107334874440625e-14,1.185542442575161e-14,5.4714186596549754e-15,3.257431184023732e-09,1.593614908067222e-09,7.995266539787186e-10,4.391229973663707e-10,2.8582836481040146e-10,1.936778300661663e-10,1.3094723522063643e-10,9.393897663516996e-11,6.477059408811643e-11,4.477590323003521e-11,3.034539916094378e-11,2.1600714170418112e-11,1.470538501941816e-11,9.851626445449441e-12,6.078815032976212e-12,3.779205680775853e-12,2.119724757898213e-12,1.2012212325037872e-12,6.620780755220778e-13
