Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.3859757517037381e-11,1.3546274258175007e-11,1.2446012022144786e-11,1.1404615810034301e-11,1.0783795259907028e-11,1.0415843956816352e-11,9.71788599960309e-12,7.91201644435117e-12,7.887660477675738e-12,7.112028490363418e-12,5.748318069962412e-12,5.178970534732645e-12,3.973953058658733e-12,3.409307168668762e-12,2.770592379316406e-12,2.1713063357372392e-12,1.7390082373183574e-12,1.3129229526396221e-12,9.439449112341904e-13,6.942043319101057e-13,4.845018199688696e-13,3.402124995516416e-13,2.119770762696254e-13,1.4799544997523997e-13,1.0017885847281099e-13,6.716075429263013e-14,1.457051751772372e-10,6.77336043695881e-11,4.95968477497232e-11,3.664818899324388e-11,2.881860245324778e-11,2.156827790434189e-11,1.8473165054882946e-11,1.377082600815863e-11,1.0765725690631485e-11,8.829631482708667e-12,7.014321292560214e-12,5.014628462127295e-12,4.050294310472555e-12,3.0986195573249967e-12,2.070468996194495e-12,1.5243355956676904e-12,1.1537666034682737e-12,7.726491677503912e-13,5.235256604389534e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.277439512830858e-11,1.1818388227172117e-11,1.0739547151315337e-11,1.0593056284069953e-11,9.857903764546018e-12,9.620083132773052e-12,8.108248801015481e-12,8.015394633027508e-12,6.850811369153387e-12,6.3950939436795326e-12,5.445111542365324e-12,4.528710940211314e-12,3.9045498207586704e-12,3.244100216507353e-12,2.379444844884211e-12,2.0185250455371565e-12,1.524372839680614e-12,1.1814541623997445e-12,9.092459254358927e-13,6.436641347867106e-13,4.626464219961629e-13,3.210982550833277e-13,2.190381438800974e-13,1.4419009112823862e-13,1.0189910301189816e-13,5.892913643902694e-14,1.884573632392869e-10,7.763606859304455e-11,4.552050898990578e-11,3.563285366682273e-11,2.6341204148568217e-11,2.0159770557631083e-11,1.5748494559150077e-11,1.273368842739483e-11,1.0071837335877172e-11,8.233349126603522e-12,6.079692333645915e-12,4.773051375234091e-12,3.366285297834926e-12,2.544280339904341e-12,1.981242221432248e-12,1.3724408301532811e-12,1.0034145831844706e-12,6.945237949694494e-13,5.032948019742901e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0902410066376717e-11,1.0655682312315518e-11,1.082612064713308e-11,9.285687846739834e-12,8.645382777832208e-12,8.329703257938254e-12,7.5482401090874e-12,6.7355902504944405e-12,6.017548465759134e-12,5.730454020979593e-12,4.6178229422542584e-12,4.12144418910977e-12,3.2886968524034134e-12,2.674306139446071e-12,2.2268319683145026e-12,1.8066959962233002e-12,1.441227417509219e-12,1.0063692811924993e-12,7.98887954181302e-13,6.208606661403023e-13,3.9957072449113054e-13,3.1550345716139763e-13,1.965154591752241e-13,1.294638500370377e-13,9.382094824402863e-14,5.634595007446886e-14,2.3142128747928873e-10,1.0281721870980717e-10,5.010774577942636e-11,3.367061339805611e-11,2.4484637043631836e-11,1.9252238043082288e-11,1.4380390117792786e-11,1.1765563602912194e-11,9.474659943166347e-12,7.192458500280054e-12,5.432317465133965e-12,4.455313652215789e-12,3.1817775495360627e-12,2.3935978324595715e-12,1.7805151764284852e-12,1.2321453404890637e-12,8.715524880131589e-13,6.321860604214053e-13,4.4626664674541154e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0720286745964908e-11,9.474850915611731e-12,9.26000525124621e-12,8.55957523338665e-12,8.29884307008496e-12,7.684807762562684e-12,6.505131385774533e-12,6.243142620418941e-12,5.438459630979653e-12,4.943907821907775e-12,4.246851778705412e-12,3.6150649393249807e-12,2.9902344362561825e-12,2.59674915094269e-12,2.04809098732357e-12,1.6498525624505973e-12,1.3108439408161735e-12,9.93244987623659e-13,7.595461121359625e-13,5.589381958060353e-13,3.846313071589989e-13,2.600103502425559e-13,1.9568315945535997e-13,1.2905554249045493e-13,8.485741077770129e-14,5.152832351902665e-14,3.107484483589198e-10,1.2546546230967878e-10,5.917866066990008e-11,3.34832306560948e-11,2.260690479165932e-11,1.6871343819070836e-11,1.3950279891989468e-11,1.0407753694024874e-11,8.103582355326196e-12,6.373284851338669e-12,4.833218945133515e-12,3.737134832774856e-12,2.7671837680800757e-12,2.159100794395293e-12,1.6550469352613562e-12,1.1229125462278352e-12,8.227004889409627e-13,5.708924171214354e-13,3.8629954580697646e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.195203437847004e-12,9.142232987122384e-12,8.649867743397267e-12,7.529600020780353e-12,7.22415775243626e-12,6.8736247830953e-12,6.1303598556536705e-12,5.691700328981625e-12,4.967534589762715e-12,4.504227376005251e-12,4.193706638043838e-12,3.2586584598629475e-12,2.8741957188059027e-12,2.2873784232940985e-12,1.880778191746848e-12,1.5592208561384443e-12,1.1991060633832296e-12,9.049036710990121e-13,6.682740172516327e-13,4.597736763540974e-13,3.629497249111779e-13,2.6208210667354205e-13,1.7953918226934662e-13,1.1088974760703126e-13,7.649537024226793e-14,4.7920726793762673e-14,3.779891184326224e-10,1.6015026538610255e-10,6.940255341681311e-11,3.86713896746214e-11,2.3468539861745247e-11,1.5865657739986214e-11,1.1925987506884099e-11,8.987694417773323e-12,7.533349930585616e-12,5.9171801937366374e-12,4.5819103480507025e-12,3.4233018948981685e-12,2.5553067162116572e-12,1.932254626445527e-12,1.394327168642004e-12,1.0224130067184338e-12,7.577418972381879e-13,5.083054606270127e-13,3.4255651559281186e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.57831193297667e-12,7.978095972039722e-12,6.980605818214111e-12,6.926660733176572e-12,6.92816250102584e-12,5.804698139627603e-12,5.630475660605695e-12,5.416852948894271e-12,4.63471897300415e-12,4.18873314859924e-12,3.2803977802784753e-12,2.886206803457532e-12,2.487190751147604e-12,2.1402959928285232e-12,1.6758709352131652e-12,1.3653876879561554e-12,1.0542221583553982e-12,8.477430121085971e-13,6.321107277689084e-13,4.592680177638853e-13,3.2348790297611715e-13,2.4326769944629923e-13,1.5900915798433086e-13,1.0114912408418104e-13,7.666647508207354e-14,4.614523559036569e-14,3.9455274866396103e-10,1.9910906450487225e-10,9.253229584246394e-11,4.3892153509396095e-11,2.40100743350177e-11,1.547720319929337e-11,1.1440367451137882e-11,8.753756656881136e-12,6.893615050123405e-12,5.024746887550831e-12,4.005291709840979e-12,3.1884716678869606e-12,2.391435909060658e-12,1.7893579706789266e-12,1.2401037514616591e-12,9.151233374063537e-13,7.119926143710025e-13,4.785279753906141e-13,2.8056008701395765e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.536282931001707e-12,7.2162037228612216e-12,6.911034051962832e-12,6.332600000001851e-12,5.986228425050646e-12,5.4672328336951695e-12,5.1348820790707424e-12,4.481001476595855e-12,3.940268776459092e-12,3.758517912990599e-12,3.194127236671613e-12,2.7457539909049104e-12,2.269532695154498e-12,1.7884764644216796e-12,1.575226564998246e-12,1.2478566176352541e-12,9.86511594700057e-13,7.723736802197398e-13,5.850193778331465e-13,4.2884749087820426e-13,2.9147397012174893e-13,2.161374585484153e-13,1.4709118557083226e-13,9.85123157029943e-14,6.493396676223985e-14,4.4140182887140214e-14,4.763750125542705e-10,2.2086002319910886e-10,1.0923037970168016e-10,4.857555930686923e-11,2.5554666941835067e-11,1.5626755491678508e-11,1.0668275513157145e-11,7.87026388850008e-12,6.225334153915642e-12,4.9074223800615374e-12,3.792912826245699e-12,2.827010952952849e-12,2.1353559456366336e-12,1.5342971554001489e-12,1.1651096528486413e-12,8.383440442406414e-13,6.224210995337247e-13,3.7751517209679303e-13,2.656242728838755e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.879857041741475e-12,6.839003605786839e-12,6.182052720236098e-12,6.188078430594938e-12,5.580529717726153e-12,5.0932891059389176e-12,4.4643620498616905e-12,4.256302991920448e-12,3.821343866347017e-12,3.374650556904508e-12,2.8572569901249666e-12,2.448909633028249e-12,2.120018253114628e-12,1.7488070068414416e-12,1.351043724884507e-12,1.1647891498250101e-12,8.872487205511883e-13,6.867189134662194e-13,5.592103399257956e-13,3.7129210777983877e-13,2.6423584370718756e-13,2.0370243390829625e-13,1.344502237839336e-13,9.173418165521434e-14,5.782561837785016e-14,4.021144982224357e-14,5.079391927193319e-10,2.588449227818515e-10,1.2955672794917165e-10,6.155483441520942e-11,2.838588263108713e-11,1.4635029906726947e-11,1.0128747659093168e-11,7.883965771818885e-12,5.923681911607338e-12,4.3216722878132735e-12,3.4094606178560816e-12,2.6079563194153826e-12,1.927759720747686e-12,1.4575073649598932e-12,1.0320036510431633e-12,7.315072318073636e-13,5.595539392647017e-13,3.95594889373946e-13,2.5102920559618737e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.571115830053445e-12,6.4222673932632585e-12,5.93322063433425e-12,5.424268640905815e-12,5.185721194070245e-12,4.643202036101864e-12,4.383935237217047e-12,3.8748864830521245e-12,3.2399414443559848e-12,3.050244721480104e-12,2.5560221682751766e-12,2.307701910737873e-12,1.906658568250305e-12,1.5583685127525545e-12,1.314527140499462e-12,1.0587886587917374e-12,8.154881156761559e-13,6.381913712488046e-13,5.14109947982904e-13,3.3024588762926033e-13,2.457011156365525e-13,1.8389006244548633e-13,1.267344518465354e-13,8.683061156038671e-14,5.647351958545314e-14,3.566623673549194e-14,5.370766068231653e-10,2.978006460888269e-10,1.543458599940952e-10,6.781088782314367e-11,3.380700240270075e-11,1.782043719146097e-11,1.026930172523719e-11,6.826574751835668e-12,5.484155110381007e-12,4.152729789195e-12,3.0347019342485096e-12,2.4130383846701213e-12,1.7595952708345509e-12,1.2679541563713244e-12,9.051944046552427e-13,7.28746439814139e-13,5.164589883554743e-13,3.378683216604179e-13,2.3352253767254314e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.242649151731722e-12,5.673872017862298e-12,5.697240395094677e-12,4.866239323198331e-12,4.398884237102475e-12,4.538482266954918e-12,3.951896436334487e-12,3.4028475456677542e-12,2.9739764868295e-12,2.7459427508330313e-12,2.4795522112932e-12,2.0071815446970287e-12,1.6873773551787798e-12,1.495830659102474e-12,1.250391794251815e-12,9.886270863522022e-13,7.609836975894706e-13,5.792823698073758e-13,4.614722874874157e-13,3.3678461155819176e-13,2.329108150272878e-13,1.7688512293961922e-13,1.1327985648635352e-13,8.271945960242012e-14,5.375646406277088e-14,3.667844158716859e-14,5.635818607068441e-10,3.1094561662095683e-10,1.7178876736080936e-10,8.203787070421474e-11,3.90840632098481e-11,1.925770304315434e-11,1.0964340962836438e-11,6.591510778539836e-12,5.1863561555660235e-12,4.025075496480216e-12,2.8216578322396744e-12,2.1561851534435157e-12,1.583781803847103e-12,1.1067680506188089e-12,9.053563685282057e-13,6.159692427318224e-13,4.4754628418539633e-13,3.2286906008132766e-13,2.1848995062758435e-13
