Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.4961646119037045e-11,3.3754629430153186e-11,2.2474234306348174e-11,1.6094048988479026e-11,1.2043431583276678e-11,9.209915665712725e-12,7.12089114625814e-12,5.501157516955638e-12,4.2230645944242705e-12,3.2121164047170627e-12,2.421079493456801e-12,1.7956758492568623e-12,1.3080768012783684e-12,9.347283747134985e-13,6.519350990459249e-13,4.4438052848657645e-13,2.945809104409093e-13,4.231390948713285e-09,3.100617514114056e-09,2.084673260031196e-09,1.2651972033734556e-09,7.648313720292891e-10,4.739159225057427e-10,3.1025359111815034e-10,2.0366156196905086e-10,1.3252876759726638e-10,8.435152527276106e-11,5.314791457291292e-11,3.403786403014798e-11,2.2435883050041762e-11,1.5315191915244827e-11,1.0865878103836177e-11,7.826746537390592e-12,5.6665156472295555e-12,4.081687420074877e-12,2.9058308945104806e-12,2.046214349751145e-12,1.412614924769582e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.178791469617113e-11,3.7122691384400885e-11,2.3607203208984743e-11,1.6121577215248365e-11,1.1648405439614303e-11,8.720349019354182e-12,6.660744739303713e-12,5.111380755833347e-12,3.908353991973446e-12,2.96701478157786e-12,2.235671075394402e-12,1.6588498208095715e-12,1.210021640519414e-12,8.662028657730821e-13,6.054796289853112e-13,4.1380549188294825e-13,2.750917869161124e-13,4.213625189434281e-09,3.0854747697929485e-09,2.073883178321243e-09,1.259924659674028e-09,7.649474217965898e-10,4.792139045499214e-10,3.1991074881347757e-10,2.1617584236202618e-10,1.454453263450156e-10,9.530476077703593e-11,6.087776600546866e-11,3.8628939740808334e-11,2.4653924517865244e-11,1.6094418276123775e-11,1.0947029344689656e-11,7.632662253714675e-12,5.406094022281519e-12,3.843836993700085e-12,2.710078443065028e-12,1.8985307553348796e-12,1.3045882321849992e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.848756003975355e-11,4.111207148614196e-11,2.5411958293745964e-11,1.6618134719919962e-11,1.1526000102930182e-11,8.383899599209464e-12,6.293802495961795e-12,4.783285504329913e-12,3.6365284322129882e-12,2.752488205167158e-12,2.071730313229481e-12,1.5369901447615084e-12,1.122146363748504e-12,8.044110150338174e-13,5.63366307048776e-13,3.859304979079906e-13,2.5723240012866887e-13,4.1953223125417876e-09,3.0700099961932956e-09,2.062987143285247e-09,1.2544554360125037e-09,7.639633374505508e-10,4.818334426806441e-10,3.255860811988031e-10,2.244524589672756e-10,1.5509797089567206e-10,1.0459678241877379e-10,6.835409426392893e-11,4.372717105213913e-11,2.7560070700063624e-11,1.743217277998938e-11,1.1385264142260629e-11,7.637487527296678e-12,5.253468281141221e-12,3.66614932551174e-12,2.553610967756192e-12,1.7738737476201672e-12,1.2118786765497505e-12
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.451430774901117e-11,4.527102341640761e-11,2.7674323995792654e-11,1.7526828126144298e-11,1.1675278533193102e-11,8.204988747306245e-12,6.018654803361001e-12,4.5122909867575954e-12,3.4031585751487392e-12,2.564958879041423e-12,1.9266633258780047e-12,1.4283345309592994e-12,1.0432692728702658e-12,7.486126971791985e-13,5.2513874422204e-13,3.604859065025487e-13,2.4084973856455336e-13,4.176507414522003e-09,3.054231289801675e-09,2.0519918102833007e-09,1.2490225335366136e-09,7.627696709721127e-10,4.83431175307979e-10,3.2918490572718624e-10,2.2991595867234318e-10,1.62010647728594e-10,1.1197397951872663e-10,7.499035811950098e-11,4.8802263383686464e-11,3.084214348332451e-11,1.9207905077511405e-11,1.2158891649539283e-11,7.849734284310574e-12,5.215584595683036e-12,3.5490040883972077e-12,2.4336700423836857e-12,1.6699991520824648e-12,1.1327394220197084e-12
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.962901135546654e-11,4.925967660947849e-11,3.0167303017685456e-11,1.87517877660189e-11,1.2073896373972299e-11,8.183753664470373e-12,5.835762534534119e-12,4.2960581463424544e-12,3.20506772825179e-12,2.4015314242032956e-12,1.7983253651242594e-12,1.3313814948164497e-12,9.723698119643189e-13,6.981628565687428e-13,4.903938902857414e-13,3.3723253183180753e-13,2.2580659221875866e-13,4.157199851573425e-09,3.0381637872885755e-09,2.0409046915967496e-09,1.2436508908937848e-09,7.616268472682904e-10,4.84743612180981e-10,3.3184381080472357e-10,2.337213028274294e-10,1.6692574954422413e-10,1.1760708785793767e-10,8.054915485601782e-11,5.349165207672362e-11,3.4209958659822134e-11,2.1263001622329854e-11,1.3210180438791812e-11,8.26134178923239e-12,5.296764419274043e-12,3.4951377792125598e-12,2.3488579693573113e-12,1.585988631346422e-12,1.0658102156207069e-12
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.380967876241779e-11,5.287100867635352e-11,3.269633868713077e-11,2.0182350897590305e-11,1.2681011279583391e-11,8.312085645699e-12,5.744763476122131e-12,4.13365409330915e-12,3.040187240281109e-12,2.259949345566211e-12,1.6849512202839999e-12,1.2448503060625225e-12,9.085704077367863e-13,6.52498318589801e-13,4.587752938939255e-13,3.1595804798095934e-13,2.1197990753790794e-13,4.137408310843252e-09,3.021828614538626e-09,2.0297456166870385e-09,1.2383431229464462e-09,7.605885351611067e-10,4.860467482750436e-10,3.3415017147880497e-10,2.366483165572381e-10,1.7052532162344606e-10,1.2184695803803722e-10,8.503360667737548e-11,5.760378052266247e-11,3.744255354403084e-11,2.3439908660450903e-11,1.4460323004703144e-11,8.84713257684046e-12,5.494587408231103e-12,3.507062649498419e-12,2.299058903733854e-12,1.5216423859816566e-12,1.0101972612740318e-12
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.715829138695119e-11,5.6012014314210664e-11,3.5118693702710796e-11,2.171339562493589e-11,1.3445359423088828e-11,8.573439288071987e-12,5.7425347933759075e-12,4.0244513504213365e-12,2.9072713781018013e-12,2.1385494162651994e-12,1.5851083987913328e-12,1.1676500604919052e-12,8.511182271521089e-13,6.111268474352334e-13,4.299678480401751e-13,2.96473689523909e-13,1.9925928853421383e-13,4.117137212348877e-09,3.005240237011837e-09,2.018534904101374e-09,1.2331097347426203e-09,7.596605439282866e-10,4.874239571162526e-10,3.363700856997319e-10,2.3916113595734743e-10,1.7332942558788086e-10,1.250708526472968e-10,8.857895987393817e-11,6.108050800991105e-11,4.0398740722356286e-11,2.5606460452679768e-11,1.582592311381677e-11,9.569947546124369e-12,5.79885886002985e-12,3.5849195494951857e-12,2.284708729166951e-12,1.4771028666753156e-12,9.654080318650404e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.982984225145749e-11,5.867171426647833e-11,3.7344731149128995e-11,2.325732398715039e-11,1.4313617480477207e-11,8.945135606265385e-12,5.822518247973602e-12,3.967175325291745e-12,2.8054973480898992e-12,2.0361680450754084e-12,1.4976638355860952e-12,1.0988589370598208e-12,7.993677273030556e-13,5.736176934603686e-13,4.036934888659501e-13,2.786113944360738e-13,1.8754558460554362e-13,4.096391549654734e-09,2.988410481576064e-09,2.0072896501829532e-09,1.2279656539475399e-09,7.588459042248969e-10,4.888931920840423e-10,3.3860799828209865e-10,2.4150825142327564e-10,1.7569013609043298e-10,1.2760565857494998e-10,9.137205189257382e-11,6.39513019389271e-11,4.3007616659243764e-11,2.7665559673972848e-11,1.7231036114681663e-11,1.0387427272506725e-11,6.19302923784828e-12,3.725486557249593e-12,2.3058842081217034e-12,1.4525928890493243e-12,9.312249325819296e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.198688980368967e-11,6.088992762276165e-11,3.93299649363315e-11,2.47486490513483e-11,1.5236608682686736e-11,9.401506500596467e-12,5.975110572683603e-12,3.9593500598661335e-12,2.7340611966833632e-12,1.9519959922575845e-12,1.4217471439033294e-12,1.0377101354900407e-12,7.527660385371909e-13,5.395934409819989e-13,3.797072707185643e-13,2.622214040780003e-13,1.767495904831606e-13,4.075178660625562e-09,2.9713518438123307e-09,1.9960250701732657e-09,1.2229259183413695e-09,7.581518590812601e-10,4.9045698823777e-10,3.4089822396672525e-10,2.4380991722079093e-10,1.7782490770187067e-10,1.2970187636597898e-10,9.360114595128441e-11,6.629363921886761e-11,4.525159639716272e-11,2.955518119582634e-11,1.8613695878429736e-11,1.1257835921443505e-11,6.6567339971194844e-12,3.922293496518349e-12,2.3616408051367153e-12,1.4481647125498244e-12,9.075731796068721e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.377495644404148e-11,6.273226577390112e-11,4.1063924097930154e-11,2.6143720452033207e-11,1.6172882879136124e-11,9.916754973684107e-12,6.188638975515378e-12,3.997169516335717e-12,2.6918695194835758e-12,1.8854101162487424e-12,1.3567008767629814e-12,9.835787238817687e-13,7.10841854214337e-13,5.08723313866144e-13,3.577935774751686e-13,2.4717021967149265e-13,1.6679090902223429e-13,4.053508404585452e-09,2.9540788584774546e-09,1.9847564791011518e-09,1.2180046272278403e-09,7.575881717391195e-10,4.921177839089181e-10,3.4324992246714583e-10,2.4611859997379305e-10,1.7985785992420957e-10,1.315355454723934e-10,9.543002761843481e-11,6.820392491069924e-11,4.714889181302137e-11,3.1243409592020063e-11,1.9928095354103055e-11,1.2143985839424801e-11,7.168377519441672e-12,4.166421021423705e-12,2.4497540724548287e-12,1.4634737093290297e-12,8.944027100033134e-13
0.0,10,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.531240178284991e-11,6.427248380065755e-11,4.255913686434628e-11,2.74178604201393e-11,1.709013970909096e-11,1.0467044602331092e-11,6.450483561577666e-12,4.075684257952742e-12,2.677371536421416e-12,1.83581810748986e-12,1.3020193841664853e-12,9.35964970584139e-13,6.731968630078095e-13,4.807179785036205e-13,3.3776254500021223e-13,2.3333880049591064e-13,1.5759699906425932e-13,4.031392883812914e-09,2.9366082761939117e-09,1.9735004083253255e-09,1.213215459315474e-09,7.571652743888859e-10,4.938805333985055e-10,3.456659711419285e-10,2.4845502653724703e-10,1.818549559063679e-10,1.3322220195067824e-10,9.698859991453229e-11,6.977869925384611e-11,4.873853038228466e-11,3.2721647739622626e-11,2.114400822092188e-11,1.3015322912000808e-11,7.707198080690528e-12,4.447546684508695e-12,2.5668067764576407e-12,1.4976334289304435e-12,8.915920829569132e-13
0.0,11,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.668909833779546e-11,6.558142006879506e-11,4.384175440050257e-11,2.8561462258416177e-11,1.796519094835182e-11,1.1031760844825051e-11,6.74807226120622e-12,4.189156274351997e-12,2.688524458698522e-12,1.8025417346731802e-12,1.2572846312411572e-12,8.944728066901932e-13,6.394980997003816e-13,4.55325568251805e-13,3.1944687710681093e-13,2.2062093915134622e-13,1.4910239101311952e-13,4.0088461581862e-09,2.918958794324734e-09,1.9622748928172425e-09,1.2085723415958942e-09,7.568935252821872e-10,4.957519170167626e-10,3.4814931758987513e-10,2.5082718030135565e-10,1.838491499586778e-10,1.3483346979772677e-10,9.837318443355547e-11,7.110418229122191e-11,5.0068925809446824e-11,3.399776452994645e-11,2.2244738060370718e-11,1.3848614306335758e-11,8.254655099844838e-12,4.754939342048754e-12,2.7084820197628333e-12,1.5491842212940476e-12,8.988786678860013e-13
0.0,12,12.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.796966459376312e-11,6.672107334910728e-11,4.4944324664907154e-11,2.9575974896599864e-11,1.8783068185297003e-11,1.1594086435469273e-11,7.069629971768723e-12,4.331458442787398e-12,2.722856544849392e-12,1.784748373824177e-12,1.2221083339012875e-12,8.587847782217445e-13,6.094699059183845e-13,4.3232843194028155e-13,3.0269917242680186e-13,2.089218027327384e-13,1.4124803011608306e-13,3.985884040133675e-09,2.901150721173614e-09,1.951099317219528e-09,1.2040897867839574e-09,7.567831229651953e-10,4.977392889738819e-10,3.507042454184864e-10,2.532391002579433e-10,1.8585633480183943e-10,1.3641170155432986e-10,9.96515229076298e-11,7.225179939861996e-11,5.118997077922909e-11,3.5090060316338346e-11,2.3224459286349178e-11,1.4627716533727e-11,8.795198726935029e-12,5.078254944552716e-12,2.8699305225897237e-12,1.6161662135488767e-12,9.158168452372387e-13
0.0,13,13.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.919845372665951e-11,6.774228514432549e-11,4.590069284065094e-11,3.047026860795711e-11,1.9535712853439572e-11,1.2141084282201298e-11,7.404666500963241e-12,4.496439309585531e-12,2.7775855104182024e-12,1.781427701289127e-12,1.196087040960578e-12,8.286362243042941e-13,5.828849519717421e-13,4.115400919436381e-13,2.8738975327238477e-13,1.9815665354680842e-13,1.339807059757865e-13,3.962523951330119e-09,2.8832057002983672e-09,1.9399941216756688e-09,1.1997829122384855e-09,7.568442011568892e-10,4.998500504483124e-10,3.5333602945940763e-10,2.556943087597343e-10,1.8788448303976827e-10,1.3798110121094696e-10,1.0086926104569822e-10,7.327753355687305e-11,5.214814202148044e-11,3.6022407508462225e-11,2.4085477109551623e-11,1.5342808972448444e-11,9.316561377464482e-12,5.408094280724395e-12,3.0461231853464023e-12,1.6962604795216636e-12,9.417635629371503e-13
0.0,14,14.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.004046697819533e-10,6.868469452290161e-11,4.674274300760785e-11,3.1257609907240626e-11,2.0220534629379853e-11,1.2663462580292323e-11,7.744239083017898e-12,4.678214639451993e-12,2.8497562982010922e-12,1.7914032097272581e-12,1.1787729178266109e-12,8.037914905860685e-13,5.59554488184011e-13,3.928020426112771e-13,2.7340488657675165e-13,1.8824975851776898e-13,1.272525379871905e-13,3.938784818194439e-09,2.8651465130336615e-09,1.9289805203883567e-09,1.1956672867083609e-09,7.570868865738567e-10,5.020913860448898e-10,3.560503461243838e-10,2.5819675889664e-10,1.899383819116114e-10,1.3955535538652524e-10,1.020561330358064e-10,7.422340294720576e-11,5.298393396698504e-11,3.682062728927587e-11,2.483570609856987e-11,1.5989366420654507e-11,9.809715699814161e-12,5.736341473851462e-12,3.2321437524117506e-12,1.7869559489135443e-12,9.758883711970895e-13
0.0,15,15.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0160681439167136e-10,6.957793817996694e-11,4.749859286600154e-11,3.195331206760577e-11,2.0839013764414114e-11,1.3155156855865614e-11,8.081041758273544e-12,4.871375706564558e-12,2.936373398834417e-12,1.8133660801733062e-12,1.1696596693325194e-12,7.840242511244554e-13,5.393184272995319e-13,3.759802295900496e-13,2.60645245573029e-13,1.7913347702895442e-13,1.2102050021158578e-13,3.9146869967682435e-09,2.8469969454678766e-09,1.9180802853935175e-09,1.1917587291608742e-09,7.575212777975148e-10,5.044701867904479e-10,3.58852842782045e-10,2.607508243157109e-10,1.9202180238633827e-10,1.4114245300629557e-10,1.0323105947245811e-10,7.511986532520465e-11,5.3730936079329945e-11,3.75099993209959e-11,2.5486520248002614e-11,1.656705265745666e-11,1.026861936173432e-11,6.056324990356148e-12,3.4234074876375495e-12,1.885707649446448e-12,1.0172031314117604e-12
0.0,16,16.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.028161895544096e-10,7.044338001405945e-11,4.819184475794071e-11,3.257303213839463e-11,2.139544775162628e-11,1.3612824745152215e-11,8.409372300793012e-12,5.071120462646502e-12,3.0345137819231486e-12,1.8459201017490434e-12,1.1681809553012514e-12,7.691029958209771e-13,5.220359811516837e-13,3.609612406784892e-13,2.490244736910282e-13,1.7074749735350482e-13,1.1524597958490289e-13,3.890252224995815e-09,2.8287817028775644e-09,1.9073155989933156e-09,1.1880731283098925e-09,7.581573724766513e-10,5.069930384775232e-10,3.617489052020445e-10,2.633610344536427e-10,1.9413832105772081e-10,1.427475040456443e-10,1.0440597125691378e-10,7.598839582999041e-11,5.441596020031886e-11,3.811371945298153e-11,2.6051032914710905e-11,1.7078650654578747e-11,1.0689837704490604e-11,6.3628462043941275e-12,3.6158091666095925e-12,1.9900655632121263e-12,1.064605265369211e-12
0.0,17,17.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0403946970870404e-10,7.129592089628682e-11,4.884154052423168e-11,3.313163264793144e-11,2.189589234975878e-11,1.4035318501591324e-11,8.725018749101858e-12,5.2733207491959005e-12,3.1414148023836376e-12,1.8876290006559857e-12,1.1737177889351348e-12,7.587818104442623e-13,5.075774698580154e-13,3.4764836465002927e-13,2.384677566738058e-13,1.6303818058762252e-13,1.0989436657714981e-13,3.865503601749887e-09,2.810526358643209e-09,1.8967089611701476e-09,1.1846263078493515e-09,7.590049798003128e-10,5.096662202564011e-10,3.6474356247555813e-10,2.6603182633666656e-10,1.9629151657244706e-10,1.4437425974204087e-10,1.0558847898107541e-10,7.684382733023208e-11,5.505975415945942e-11,3.865209250722169e-11,2.6542804083514086e-11,1.752909867135464e-11,1.1072109871324498e-11,6.6521152741410455e-12,3.8058110557915104e-12,2.0977663668998312e-12,1.1169279278804882e-12
