Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0977204965236911e-09,8.199088327015754e-10,6.174887196697644e-10,4.494320295976512e-10,3.353336818001014e-10,2.6231292669426664e-10,1.9048481346073154e-10,1.352351167480505e-10,8.922328304416328e-11,5.796311365576766e-11,3.567896100668795e-11,2.028420187744701e-11,1.1867271871291284e-11,6.488878317627657e-12,3.2632894203891628e-12,1.7014706129427888e-12,8.295600164725725e-13,6.592964739381127e-09,6.189892152493508e-09,5.120951890686025e-09,4.3421648751701164e-09,3.564123656377678e-09,3.112525009663063e-09,2.5790480946479995e-09,2.035837944787988e-09,1.7130505381460168e-09,1.3001352765614465e-09,1.016125970580874e-09,8.080780915223816e-10,6.025324411173054e-10,4.885012061949928e-10,3.7041867545259936e-10,2.768121831590567e-10,1.9870830067940377e-10,1.412421830877875e-10,9.697704305629564e-11,6.259066787995575e-11,3.665828624347078e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.019298469441e-09,8.055516294309389e-10,6.007517009113739e-10,4.4495226775855533e-10,3.376185408240418e-10,2.468745211159126e-10,1.790402431674146e-10,1.2964061566316414e-10,8.985671738539896e-11,5.949463406738808e-11,3.714419799874752e-11,2.2871624068455472e-11,1.346032022903434e-11,7.603018814542227e-12,4.070096405349059e-12,1.9726565019763827e-12,1.0068954766039174e-12,6.363799311395204e-09,6.081950298924469e-09,5.176114246913521e-09,4.414996640027742e-09,3.5539260134538146e-09,3.168539598390084e-09,2.6075467551258645e-09,2.1035054567759324e-09,1.675525887998324e-09,1.3112149229914626e-09,1.07636169635429e-09,8.15921853990028e-10,6.205721502688766e-10,4.73747109839115e-10,3.4519174535844077e-10,2.511065042561588e-10,1.7906399870174337e-10,1.3290803513873447e-10,8.943286240059013e-11,5.997936387680591e-11,3.877152441355954e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1122186998251498e-09,8.515872383433547e-10,5.827974120277864e-10,4.3017053272670986e-10,3.182140859918528e-10,2.4355463399383386e-10,1.7402988999228354e-10,1.2701703689840664e-10,8.30498168076033e-11,6.244775307441873e-11,3.795607849038159e-11,2.4105336190853467e-11,1.396868621143619e-11,8.417098198585035e-12,4.613170535098304e-12,2.505854719434027e-12,1.2349786879386122e-12,6.777970875405922e-09,5.887440508430428e-09,5.247137376466963e-09,4.538629160586312e-09,3.881305181885991e-09,3.0170902461186465e-09,2.603899805609253e-09,2.0291638439837823e-09,1.5935951490419175e-09,1.3611190971151417e-09,1.0721598678777722e-09,8.234059538264878e-10,6.138216852332662e-10,4.43381010506789e-10,3.4197178266473254e-10,2.4633708204292753e-10,1.7754926648563402e-10,1.2191907716900932e-10,8.71563268421985e-11,5.5447398869967263e-11,3.5632572351341097e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0462833563580204e-09,8.168916988072953e-10,5.767792211313464e-10,4.499631920113544e-10,3.382497801122908e-10,2.428437164498772e-10,1.742601941782566e-10,1.225081783179916e-10,8.711521413524657e-11,6.090332612373075e-11,4.123923889236106e-11,2.411486528971714e-11,1.493692423690829e-11,8.709549474109376e-12,4.972036199764934e-12,2.9462564508667564e-12,1.3074486105749898e-12,6.850612710863271e-09,6.162245462266319e-09,5.367100717909325e-09,4.300459760046425e-09,3.603042757767342e-09,3.099446309822456e-09,2.5415763135236737e-09,2.062478242054173e-09,1.7342832190720287e-09,1.3122392244971538e-09,1.0266912657989612e-09,7.542546267768044e-10,6.10594331472281e-10,4.579890243471053e-10,3.254218653040086e-10,2.383264103679403e-10,1.6692218692166812e-10,1.1906252716496023e-10,8.087730321792932e-11,5.4644337212489924e-11,3.5175150856133214e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0994474542584153e-09,7.711947371545333e-10,5.668545300462051e-10,4.241914620498946e-10,3.3446637566509547e-10,2.367600993956669e-10,1.584498395480608e-10,1.2115787841687065e-10,8.331629168730955e-11,5.6984481504831154e-11,3.777232115673257e-11,2.5191330254524096e-11,1.5897814284814938e-11,9.137655181508005e-12,5.608301252241903e-12,3.03335806912103e-12,1.5366534791134473e-12,6.144557822873526e-09,5.631777161252134e-09,5.208746705263783e-09,4.602034757327799e-09,3.881658733138649e-09,2.9745891760481544e-09,2.5504216810822107e-09,2.1289883364459967e-09,1.672075439497568e-09,1.3385618689478526e-09,1.0641564160452091e-09,8.192649344126724e-10,6.210605369252191e-10,4.4902304420504343e-10,3.253938158183451e-10,2.1910317973534204e-10,1.578284553568902e-10,1.1770444372106027e-10,7.183362717985637e-11,4.962636061428275e-11,3.262976544258596e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0612793567572017e-09,8.694818873337422e-10,5.788832991007328e-10,4.2639214866196244e-10,3.1610217568975437e-10,2.34227648168774e-10,1.6170193246354175e-10,1.22124201485989e-10,7.645944353303664e-11,5.7989930132371164e-11,3.965207938060433e-11,2.6154932030834054e-11,1.6691760037812165e-11,9.771951828155255e-12,5.509675633763096e-12,3.1338034461929984e-12,1.6946030223220621e-12,6.654652888381321e-09,5.980998752325743e-09,5.206726186133009e-09,4.650762157089485e-09,3.854785511006166e-09,2.989840465535879e-09,2.465667600273365e-09,1.981031973252099e-09,1.745005521297044e-09,1.3209871222843225e-09,1.0602561834953664e-09,7.896402790564582e-10,5.936052781031174e-10,4.5960057739590344e-10,3.362755321268667e-10,2.415668422416684e-10,1.637767335485203e-10,1.0997534813234795e-10,7.072758510414694e-11,5.1762292909992387e-11,3.352493090739415e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0430381371055035e-09,7.88022259411269e-10,5.846564377623429e-10,4.437950382847186e-10,3.3267715488321107e-10,2.298259283486686e-10,1.621928944924681e-10,1.1386034822934613e-10,8.273892906274945e-11,5.604605953397808e-11,3.722034340776236e-11,2.6113628219047525e-11,1.5655704276474233e-11,1.0716742466704663e-11,6.3845076540918275e-12,3.366390534283939e-12,1.7933188992716506e-12,6.598839002463847e-09,5.771371013906387e-09,5.2061193863495376e-09,4.428624506414153e-09,3.8261519333463705e-09,2.9331166901066888e-09,2.5640571364708894e-09,2.0649962547515643e-09,1.6758119677713623e-09,1.3223609688932941e-09,1.0442221089014485e-09,8.198378764557e-10,6.346640257030285e-10,4.5738400699194033e-10,3.271069272926716e-10,2.3162871524345042e-10,1.5645413982169372e-10,1.1510221618255801e-10,7.505569544925777e-11,4.755639639165874e-11,3.168625142788334e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0612322968606765e-09,7.255140147725223e-10,5.629297865834305e-10,4.229985512873938e-10,3.345426043611175e-10,2.2768472839294925e-10,1.6019429851909937e-10,1.1370033665723807e-10,8.251041375088226e-11,5.353946973135841e-11,3.639793085143029e-11,2.6083176142246945e-11,1.6709810242003556e-11,1.0136566230159811e-11,5.685422121300616e-12,3.4539624512217766e-12,1.8958588061262827e-12,6.940978950057094e-09,6.0930713290998805e-09,5.167796512207891e-09,4.2682305670827186e-09,3.50924699103356e-09,3.069252785958757e-09,2.5939964622027616e-09,2.0392852075071964e-09,1.7647780341658558e-09,1.3226562047780933e-09,1.0643315362837631e-09,8.14726897571425e-10,6.136361458075556e-10,4.4032989582812946e-10,3.3406056517926174e-10,2.359013560203964e-10,1.6544176997877023e-10,1.1013142367840383e-10,7.205668403442445e-11,4.90688749197382e-11,2.9906651067969575e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0394913730714502e-09,8.006875355979084e-10,5.640356048912725e-10,4.3539919878622305e-10,3.296555484017338e-10,2.3535303568303787e-10,1.663657830673191e-10,1.0796520011213445e-10,7.982974950076514e-11,5.2281421136053264e-11,3.7484474164469595e-11,2.5027785131500964e-11,1.5859106122798146e-11,1.0406657077066592e-11,6.319936603901037e-12,3.630346541359657e-12,2.010992486365643e-12,6.506277423473039e-09,6.110369548396545e-09,5.09191424270841e-09,4.330377156366061e-09,3.825706320934316e-09,3.100112707088716e-09,2.566887981938291e-09,2.049109936729741e-09,1.7637473598213179e-09,1.3833693995423914e-09,1.0080118075472518e-09,8.015822286080536e-10,6.055143052506959e-10,4.468991304278992e-10,3.3183193853403096e-10,2.4225329230923096e-10,1.6142673594898238e-10,1.1185890461285557e-10,7.189088603376004e-11,4.629766667570316e-11,2.893220105816914e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0598973297889915e-09,8.349724402803611e-10,5.849509838241503e-10,4.5712086137598504e-10,3.271916324007507e-10,2.2827165300945015e-10,1.5648157924964386e-10,1.1746646228985292e-10,7.431990660979719e-11,5.04880810746862e-11,3.5716918112910624e-11,2.38468300277094e-11,1.6490155861202e-11,1.0190988522215158e-11,6.1991256562730385e-12,3.713073550612652e-12,2.0693235519343432e-12,6.5105479333481795e-09,6.102824675193195e-09,5.336634331241238e-09,4.4032567632672646e-09,3.6921694168033e-09,3.0022556176293776e-09,2.6601259912033953e-09,2.0481085994614718e-09,1.7943391126726605e-09,1.3038871750136188e-09,1.0445247113118914e-09,8.378172859172037e-10,6.286721094938529e-10,4.707566873199741e-10,3.211787938488574e-10,2.417128092078037e-10,1.6965612181003444e-10,1.1233166731071939e-10,7.140174950969399e-11,4.624532380194334e-11,2.997564243646377e-11
