Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.484375057856803e-11,6.702621213491264e-11,4.676958418558198e-11,2.86201080345128e-11,1.934065791040868e-11,1.3005815628254013e-11,7.873825799900578e-12,4.980267418724787e-12,2.9859760945691133e-12,1.642211581097777e-12,1.0249670199038945e-12,5.944737686111656e-13,3.3192902931101834e-13,1.7093537561478372e-13,1.086604816679336e-13,6.15934787133025e-14,3.4868462825343204e-14,4.1711085424588405e-09,2.7383559654644484e-09,2.0927773418328875e-09,1.3161292580428877e-09,7.681669548714347e-10,4.8392791259252e-10,3.3722372658853714e-10,2.401849360690754e-10,1.8064298772945781e-10,1.336798046664351e-10,9.770838383956089e-11,7.162880051127399e-11,5.137687705917742e-11,3.526671786836069e-11,2.4063604563301595e-11,1.7052968924692967e-11,1.042646796222205e-11,6.057944977412389e-12,3.5881068963834847e-12,2.087523325516095e-12,1.0708438589364905e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.702473313792348e-11,6.96455519498661e-11,4.640589165201499e-11,3.213039812124712e-11,2.1535175842945564e-11,1.3359074436715289e-11,8.53999508950545e-12,5.119575391728156e-12,3.1183924109873647e-12,1.8110221962678588e-12,1.0664158981733296e-12,6.149443362179509e-13,3.6022010883976514e-13,1.955442574681625e-13,1.1080038286851471e-13,5.0754831926153487e-14,1.8856136435912952e-14,4.116018551776292e-09,3.0548441561794547e-09,2.030677865371738e-09,1.2924576756309403e-09,7.760570130824508e-10,5.179560046356324e-10,3.2598358978280353e-10,2.2747764293680815e-10,1.6982276597171592e-10,1.2861955176872812e-10,9.973634021927575e-11,6.852115709670997e-11,5.5266419196621524e-11,3.7117545956477817e-11,2.5387300123427624e-11,1.6277632243064465e-11,1.0662226762610974e-11,6.55978484857639e-12,3.868802257085094e-12,2.26198741214514e-12,1.1614274104021978e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.29670107184146e-11,6.87538985334945e-11,4.683940874654383e-11,3.2557780977359615e-11,2.2284117744178342e-11,1.3587595463166936e-11,8.662312632874301e-12,5.672458955647246e-12,3.168945158230459e-12,1.8727879286988865e-12,1.1859851863582881e-12,6.575722343463969e-13,3.761453534426319e-13,2.0487696148606203e-13,1.1219011526476016e-13,6.051580992888254e-14,4.6147139284250794e-14,3.998180616854506e-09,2.9628823634663493e-09,2.1249179419692226e-09,1.2372790983018712e-09,8.039300219683778e-10,4.776201000505629e-10,3.4102825723352646e-10,2.216340464822446e-10,1.7239162190240293e-10,1.2253535637026885e-10,9.913096714193422e-11,6.975838117686903e-11,5.343482408162233e-11,3.7337893204976276e-11,2.5134447002890805e-11,1.6471068015037935e-11,1.0946624757971811e-11,7.2746678114941085e-12,4.0593517465372425e-12,2.470981646113498e-12,1.2991323683109738e-12
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.694134277811154e-11,6.340869110478537e-11,4.613692600099362e-11,3.363380163277689e-11,2.1951198968707124e-11,1.4428703861564528e-11,9.138164327006013e-12,5.934641249589207e-12,3.532583687940827e-12,2.070163468282957e-12,1.251815343351606e-12,7.068892957974515e-13,4.0072262188037666e-13,2.3679528534534275e-13,1.1768673167286795e-13,6.75930753578146e-14,2.7703507547232013e-14,4.0456070134874735e-09,3.1023736054654423e-09,1.9663876305170283e-09,1.1885749269391912e-09,7.742540716908748e-10,4.773913637331475e-10,3.2928430254809405e-10,2.329869942993596e-10,1.7116460023560397e-10,1.3049822503058088e-10,9.2906354470942e-11,6.928314133142045e-11,5.271973110775518e-11,3.586488372349901e-11,2.5225485984999617e-11,1.869239855152747e-11,1.1733369928970358e-11,7.143845709153682e-12,4.501504604361493e-12,2.3551222437156094e-12,1.3479763466093978e-12
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.546938914844233e-11,6.831162783872897e-11,4.727088088243803e-11,3.0365038670503046e-11,2.173663228437343e-11,1.503652255011349e-11,9.469080926935649e-12,6.434873229449656e-12,3.7739706786574905e-12,2.2155827770795273e-12,1.251354326064947e-12,7.330240891014099e-13,4.242380962189441e-13,2.4453445473037174e-13,1.34344282089521e-13,7.869990372489188e-14,2.6563540685732137e-14,4.177821606291947e-09,2.8231798930079256e-09,1.9617406594787368e-09,1.2405302212420398e-09,7.468793417606121e-10,4.657591121628603e-10,3.2154824059160584e-10,2.2337039340702158e-10,1.7359149271631967e-10,1.313907477373509e-10,9.405449236418473e-11,6.975595705990768e-11,4.978505813902817e-11,3.858907411011541e-11,2.8203390082742452e-11,1.6940175376663467e-11,1.1332652611492291e-11,7.2057057417689636e-12,4.373407946393888e-12,2.6281876793960847e-12,1.6301716632610549e-12
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.617398744433931e-11,6.712935608187714e-11,4.533338154422236e-11,3.181567072854523e-11,2.2065296116076633e-11,1.5804511881857147e-11,9.81660350556802e-12,6.1092057922135994e-12,3.806246705340975e-12,2.340670048196218e-12,1.3073940512615904e-12,8.094595775937729e-13,4.4581882161052903e-13,2.407394758957934e-13,1.36411225481234e-13,7.386044324519172e-14,3.4127216353161325e-14,3.957943973731688e-09,2.852449740706989e-09,2.0215626871442205e-09,1.1996687330454064e-09,7.27411529790828e-10,4.835586496422419e-10,3.445262125835512e-10,2.353655886777787e-10,1.6849608039187255e-10,1.2812101911059298e-10,9.926091260236512e-11,6.689524256234538e-11,5.21879224999826e-11,3.756015576001666e-11,2.736829592653596e-11,1.8611372929335972e-11,1.1842952764239473e-11,7.135061342786502e-12,4.7492035536112715e-12,2.5941950218220863e-12,1.4163133523320624e-12
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.655135828421633e-11,6.399250643716335e-11,4.8062128446375074e-11,3.3228018793992147e-11,2.295722494929522e-11,1.545466838798073e-11,9.558282603760085e-12,6.0384762783471785e-12,3.994513184571732e-12,2.4225387255343413e-12,1.4297930906215404e-12,7.90856660635072e-13,4.661602083766904e-13,2.5499726708023734e-13,1.2807413966348993e-13,8.555116334730198e-14,2.194333075741814e-14,4.038027325432016e-09,2.9458373478828314e-09,2.0309855886475335e-09,1.1770927336865772e-09,7.499828241018859e-10,5.13635565814191e-10,3.3974982506600693e-10,2.3816875316758484e-10,1.7561632877810878e-10,1.2738768481104459e-10,9.98426826130138e-11,7.157645918486727e-11,5.10365306469079e-11,3.734736699045983e-11,2.605489599764775e-11,1.880010669077161e-11,1.1517321362623646e-11,7.291430308948162e-12,4.985340260697705e-12,3.072907689204537e-12,1.6325287681886376e-12
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.394304196084893e-11,6.697215722895855e-11,4.505211357258483e-11,3.3001913393843826e-11,2.2837035555506285e-11,1.575800088869506e-11,9.751340220876573e-12,6.440176374928429e-12,4.1998381829411675e-12,2.4217653657868997e-12,1.4410250054355964e-12,9.059803894877788e-13,4.887490648843928e-13,2.6115068690206827e-13,1.26804914223592e-13,8.622671471885379e-14,4.822064425771777e-14,3.911945586974717e-09,2.799816994018867e-09,1.9586121609344054e-09,1.1781230660530176e-09,7.255933262530141e-10,4.819345088198364e-10,3.24509176672585e-10,2.4113956131708687e-10,1.7746185282401379e-10,1.2466001648732764e-10,9.004223162391594e-11,7.259624723167046e-11,4.9415809277066834e-11,3.607778588446719e-11,2.6417521987640725e-11,1.8471092058569986e-11,1.2031298338335523e-11,7.921125805122687e-12,4.760558445837793e-12,2.74252325934916e-12,1.7937841477880345e-12
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.011906785838655e-10,6.908739995936306e-11,4.603285175222455e-11,3.4563697703596704e-11,2.3082277611827845e-11,1.5351925353856573e-11,1.0516227218557249e-11,6.6580364840563814e-12,4.08412152743705e-12,2.486309331830571e-12,1.5811772753864088e-12,8.336927695764961e-13,5.20845654400078e-13,2.5969947337212844e-13,1.28783829282128e-13,6.339793503171881e-14,6.284508697785349e-14,3.9032133418482646e-09,2.8861949736487383e-09,2.0318629781287517e-09,1.2370416639273436e-09,7.147322322215436e-10,4.974250770226186e-10,3.3900008870230396e-10,2.3892356716507003e-10,1.7604090116108326e-10,1.3389985363531272e-10,9.187790985958604e-11,7.022919285893436e-11,5.0656959880357765e-11,3.46130505260631e-11,2.547945334257453e-11,1.821491586975687e-11,1.2663474563754848e-11,8.139869652151931e-12,5.0173283652005826e-12,2.829437455658656e-12,1.884905676599054e-12
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.549545526567103e-11,6.39782182119633e-11,4.5566379928009445e-11,3.3584026062509896e-11,2.284683569031599e-11,1.6063586496199312e-11,1.0828900392569422e-11,6.874288666193274e-12,4.1971609569401245e-12,2.6427147719448133e-12,1.598536318343794e-12,9.75256391176385e-13,5.003421931678229e-13,2.914610447799762e-13,1.5243734521229933e-13,8.9422995446476e-14,2.027932572129928e-14,4.035573709131938e-09,2.862912415027996e-09,1.8305325099995267e-09,1.1854017833291397e-09,7.5884210360482e-10,4.630751274715004e-10,3.3933849458672304e-10,2.357915172128442e-10,1.746895198977608e-10,1.3027982939009679e-10,9.560606170371442e-11,6.865449390461859e-11,5.10425298004711e-11,3.73390878663765e-11,2.5763279494513466e-11,1.8841335880759244e-11,1.2740517180301638e-11,7.825809314230054e-12,4.859116682419755e-12,2.7712018217645424e-12,1.7113029302329837e-12
