Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.810927042641612e-11,6.814555324215762e-11,4.5853453179008985e-11,3.0975518568745223e-11,2.0173020248885907e-11,1.2813171491367126e-11,7.989027629925151e-12,4.843913002445316e-12,2.91475796458248e-12,1.704641562403908e-12,1.0119687889228927e-12,5.706487340617748e-13,3.298548426505166e-13,1.8207313926189808e-13,9.948328889016961e-14,5.515284215485607e-14,2.9421259963275795e-14,4.083404470887082e-09,3.008648231974742e-09,2.038893143234665e-09,1.2484103050932731e-09,7.582346265721782e-10,4.811459227073108e-10,3.30321906688957e-10,2.3777208175172613e-10,1.771779368924596e-10,1.336739038022956e-10,1.0001000590947761e-10,7.385633354300183e-11,5.296612537736271e-11,3.678828191715825e-11,2.486728429723092e-11,1.6180091703069125e-11,1.018404836466481e-11,6.189767837704869e-12,3.645963760839991e-12,2.0742662068907094e-12,1.140126938099767e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.682860508279709e-11,6.805787045674073e-11,4.645570655255452e-11,3.1809723480450966e-11,2.097722153229246e-11,1.346906894675905e-11,8.467594318430177e-12,5.167637607138771e-12,3.12107882785251e-12,1.829134930698456e-12,1.0844158337290817e-12,6.113157279226835e-13,3.5198079005968247e-13,1.9385179472087003e-13,1.0556896941043558e-13,5.824596022085171e-14,3.0945248886422357e-14,4.065158101435808e-09,2.9930776454363447e-09,2.027645076039837e-09,1.242220754057889e-09,7.554842485087453e-10,4.794028719480687e-10,3.27959403040912e-10,2.3450541638338487e-10,1.7367988227682833e-10,1.3083996336278316e-10,9.833127047951196e-11,7.326969423521754e-11,5.315948453144039e-11,3.73870081073914e-11,2.5578278074045623e-11,1.683328274601332e-11,1.0700633258700537e-11,6.55686329019327e-12,3.8875364454707065e-12,2.2212430847862164e-12,1.2242416032818003e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.55344647213026e-11,6.764119787559918e-11,4.670116866328753e-11,3.2366310128493154e-11,2.159785452837052e-11,1.4017738224426579e-11,8.890580425701226e-12,5.46592009575571e-12,3.3172616852165644e-12,1.9505197623114815e-12,1.1564553886684801e-12,6.523373031317029e-13,3.745624322232742e-13,2.0595440016080006e-13,1.1186030347313681e-13,6.145245364931963e-14,3.252832693585743e-14,4.046513992475266e-09,2.9772960763917074e-09,2.016369631368864e-09,1.2362588212390265e-09,7.53476379416289e-10,4.791291014622923e-10,3.275890560550354e-10,2.3321685322979544e-10,1.7160050866072162e-10,1.2865281835916617e-10,9.668025021346891e-11,7.239535169419629e-11,5.298288443265465e-11,3.765794723458169e-11,2.6046854422094404e-11,1.7328325721515962e-11,1.112467119555488e-11,6.875660137469044e-12,4.105915802812409e-12,2.3586200246065245e-12,1.3052583924050075e-12
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.445693947460991e-11,6.708551522463051e-11,4.670182933443485e-11,3.2702320340619724e-11,2.20592497532762e-11,1.4466234292091092e-11,9.257795649756926e-12,5.736504977212879e-12,3.5011927293938735e-12,2.0673978599131625e-12,1.2272813373187588e-12,6.933139637854352e-13,3.9741455638315773e-13,2.1830256943316047e-13,1.18326464611591e-13,6.476027007811998e-14,3.4166720037613044e-14,4.027469472451814e-09,2.96131753486092e-09,2.0050811956246243e-09,1.2304189016740066e-09,7.517737195859511e-10,4.795315573778692e-10,3.2833859723737205e-10,2.3330277829841993e-10,1.7075920014874366e-10,1.2725020511622361e-10,9.530705509114364e-11,7.145437040793896e-11,5.2585419521820965e-11,3.768829303910601e-11,2.6318237040955718e-11,1.768461268717338e-11,1.1462113713523985e-11,7.146224690265859e-12,4.299452310134181e-12,2.484915142999672e-12,1.3821421671685103e-12
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.371654059598059e-11,6.653381205983347e-11,4.655450482545955e-11,3.2871172491262e-11,2.2386874333922863e-11,1.4824302864439915e-11,9.571350990525356e-12,5.9785579684057206e-12,3.671495299481014e-12,2.1786818347440883e-12,1.2962012616203932e-12,7.338775980546425e-13,4.2035606621846623e-13,2.3081675112113014e-13,1.2493440651802464e-13,6.815628914076242e-14,3.585595933932106e-14,4.008023434571563e-09,2.945147120795299e-09,1.993795830839303e-09,1.224703159519691e-09,7.502530738818596e-10,4.802540598535737e-10,3.296739635328816e-10,2.3425194238341314e-10,1.70864112620608e-10,1.2660139528735636e-10,9.433879975067379e-11,7.060489921082697e-11,5.2090589167130804e-11,3.7556139291738736e-11,2.6435777236445465e-11,1.792323433404113e-11,1.1721428176211515e-11,7.37062934898957e-12,4.4677772397057476e-12,2.599357743584751e-12,1.4540567206318188e-12
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.334941056990879e-11,6.608338022210409e-11,4.6339809119718184e-11,3.2921523422349575e-11,2.2605704880201667e-11,1.5102930698955384e-11,9.834831014020101e-12,6.1923347611607114e-12,3.82742591461021e-12,2.283578949789736e-12,1.3626449217733964e-12,7.737007083863081e-13,4.4321549692018406e-13,2.434183634488701e-13,1.3164988781903008e-13,7.162662084668153e-14,3.7590998788647084e-14,3.988179651087978e-09,2.9287913022541852e-09,1.982523332596464e-09,1.2191258275689312e-09,7.488958824587233e-10,4.811643637006332e-10,3.313146255872234e-10,2.357074785412893e-10,1.7162768111834629e-10,1.2658665207279604e-10,9.380714853228632e-11,6.994532013239032e-11,5.15950954832246e-11,3.7329568066312955e-11,2.6439685238264632e-11,1.8065276078289296e-11,1.191223953343551e-11,7.552239406042885e-12,4.611520706547531e-12,2.7017024461780967e-12,1.5203703022686471e-12
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.333586880435464e-11,6.579028262482094e-11,4.6121057274575245e-11,3.289655772134463e-11,2.2739503739559194e-11,1.5313476193248526e-11,1.0052670136616194e-11,6.378881256133047e-12,3.96875848255526e-12,2.3815608276023343e-12,1.4261633272707378e-12,8.125012891380174e-13,4.658350442246798e-13,2.56031668613663e-13,1.3843838383646108e-13,7.515690004385013e-14,3.9366337606134066e-14,3.967944386851118e-09,2.912259837361626e-09,1.9712729725938065e-09,1.2136971978090258e-09,7.477081131092698e-10,4.822251078684576e-10,3.3313273527237713e-10,2.3745218573783984e-10,1.7282046578784888e-10,1.2705908526718862e-10,9.368139462305256e-11,6.952255540635611e-11,5.116823219493106e-11,3.706564980625448e-11,2.6366475474568293e-11,1.8131003817807574e-11,1.2044494129071648e-11,7.695154798382265e-12,4.732040070968448e-12,2.7920434977145015e-12,1.580699557605325e-12
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.362638258543803e-11,6.567711713719999e-11,4.59439835418324e-11,3.283323033861528e-11,2.2810407010247368e-11,1.546719758909445e-11,1.0229731171857149e-11,6.539782421394865e-12,4.095670194036789e-12,2.472327426260342e-12,1.4864217804746338e-12,8.500441050273769e-13,4.880731886760969e-13,2.685853182374405e-13,1.452658721558714e-13,7.873256353888129e-14,4.1176143124252365e-14,3.947324633514004e-09,2.8955644129319387e-09,1.9600557101616233e-09,1.2084252691336228e-09,7.466972986692423e-10,4.834314330532503e-10,3.350786540051731e-10,2.3936819215385183e-10,1.7428239964730844e-10,1.2788233532359819e-10,9.389896331659678e-11,6.934451177963705e-11,5.085336477174132e-11,3.680953337118328e-11,2.6248433816017283e-11,1.8139463565848012e-11,1.2128015052542722e-11,7.803818014507923e-12,4.831166348768524e-12,2.870691229164188e-12,1.6349199355144743e-12
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.416119542379764e-11,6.574244162374601e-11,4.5837843281142756e-11,3.276161531370185e-11,2.283853919480033e-11,1.557498826382054e-11,1.0371046954990107e-11,6.676967702614348e-12,4.208637897727766e-12,2.555769799560544e-12,1.5431893908748449e-12,8.861394399708217e-13,5.098061065243038e-13,2.810135133643279e-13,1.5209948862567413e-13,8.233910435067675e-14,4.301436936858754e-14,3.926327715838499e-09,2.8787175131233836e-09,1.9488839551387574e-09,1.2033180732861454e-09,7.458689608346294e-10,4.847863069961654e-10,3.371371671581593e-10,2.4139821756819115e-10,1.7591268575061229e-10,1.289473487247321e-10,9.438821768890059e-11,6.939366281470224e-11,5.067167205983338e-11,3.6594192355119244e-11,2.6113030896432628e-11,1.8108189927225168e-11,1.2172283580682727e-11,7.882770690922463e-12,4.910987606983564e-12,2.9381148541868723e-12,1.6831245443496124e-12
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.488277311120676e-11,6.596993982382901e-11,4.58177956724786e-11,3.270463603341957e-11,2.2841615255551612e-11,1.5647183994264037e-11,1.0481668321297467e-11,6.792571449853084e-12,4.3083507731715015e-12,2.6319341043728822e-12,1.59632668161021e-12,9.206403052249176e-13,5.309281253697636e-13,2.932567643190281e-13,1.589080523711804e-13,8.596230070713479e-14,4.487486688194301e-14,3.904961535937682e-09,2.8617320796096613e-09,1.937770916602216e-09,1.1983844040139658e-09,7.452275028577364e-10,4.86292970335007e-10,3.393056935124645e-10,2.435176457215175e-10,1.7765321734455073e-10,1.3017537479233117e-10,9.50824532342896e-11,6.963908214942094e-11,5.062730434231177e-11,3.64411141065247e-11,2.5982467745975015e-11,1.8052911268486825e-11,1.2186309970445339e-11,7.93651866207388e-12,4.973686413676737e-12,2.994923946993986e-12,1.7255552140104191e-12
