Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.9638513980779523e-11,1.6544288694908505e-11,1.3082155855712592e-11,1.0934062578167232e-11,8.810240780213051e-12,7.1008493356058376e-12,6.17668226096756e-12,4.4659870700927344e-12,3.5432085561385103e-12,2.7126163390289623e-12,2.142675641965382e-12,1.5690964300363758e-12,1.2170383996933376e-12,9.009501550088632e-13,6.042571808695493e-13,4.1370540331624607e-13,2.7267291852944747e-13,1.55068437366541e-10,1.12733784215014e-10,8.777525586749258e-11,6.628763762317776e-11,5.53019912845624e-11,4.045604278659292e-11,3.61608256549977e-11,3.0307024354722335e-11,2.491155669260107e-11,1.9965153347609867e-11,1.7140559427760335e-11,1.39818083978441e-11,1.1086240154404651e-11,8.261623511935857e-12,7.173541482668933e-12,5.5079606034516036e-12,3.9866615515432314e-12,3.0380127703837694e-12,2.2673101607081507e-12,1.6637944174537947e-12,1.1938265083374898e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.8226548624045154e-11,1.4845404179478866e-11,1.1408597378168005e-11,1.0112760711752807e-11,7.904352091034889e-12,6.360404455953091e-12,4.962008986777984e-12,4.1738528447699644e-12,3.1686139689181703e-12,2.3822998782316605e-12,2.0205854273605252e-12,1.4780242632091489e-12,1.0884055771617633e-12,7.795696226064884e-13,5.437167800774529e-13,3.772696938303341e-13,2.510785965954609e-13,2.1992208665353656e-10,1.5142592833118752e-10,1.0215108289301814e-10,6.635409301978779e-11,4.93299387373029e-11,3.9901790472005586e-11,3.0623808684830514e-11,2.7231439206602135e-11,2.1784178818899458e-11,1.8370827752298368e-11,1.5272259910885534e-11,1.229824219656636e-11,1.0458514613641193e-11,7.979651999531461e-12,6.2034610363202515e-12,4.709807759663048e-12,3.643352838389603e-12,2.912546263694516e-12,2.062712237486162e-12,1.4211172323807645e-12,1.0683819832107935e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.574349439686374e-11,1.3254720885532105e-11,1.0190713729585183e-11,8.99734119697596e-12,6.938613615933941e-12,5.619398847384714e-12,4.7173156434862934e-12,3.798572479929115e-12,3.1191796063089633e-12,2.3533924432346672e-12,1.6486997042236733e-12,1.288135401421018e-12,1.0437907190371819e-12,7.232198679784357e-13,4.853108299990582e-13,3.584020577668713e-13,2.362957183994707e-13,2.8435449450996675e-10,2.0031745876724016e-10,1.319297267157066e-10,7.696202085811174e-11,5.1747770244857896e-11,3.752816299372491e-11,2.961841514748795e-11,2.566112159929694e-11,2.1005222114606218e-11,1.6515897819394786e-11,1.3611643326888485e-11,1.0760628627040985e-11,9.225119182409166e-12,6.7703288723620625e-12,5.485852820576195e-12,4.186628163073248e-12,3.412037610703415e-12,2.452657087313794e-12,1.8118704305321028e-12,1.2988841024270143e-12,9.490895640957605e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.469305438773359e-11,1.1514891664156714e-11,9.732652847760324e-12,7.785463402408672e-12,6.2789350138985195e-12,5.404201174191994e-12,4.224064317044759e-12,3.2736616755016682e-12,2.6523082517944115e-12,2.0716805121227315e-12,1.6075331595844221e-12,1.210848676866412e-12,8.972236950891566e-13,6.427884954193152e-13,4.804247621972867e-13,3.3484229070041856e-13,2.200644418410692e-13,3.817320998560387e-10,2.517832835088602e-10,1.604250466343129e-10,9.427542329316403e-11,6.146575619905168e-11,3.792653695176206e-11,2.8590239406807184e-11,2.2190422392594363e-11,1.821532952051968e-11,1.5284930691066256e-11,1.2670013268453719e-11,9.393001273495388e-12,7.91444511997504e-12,6.3081262961182445e-12,5.253179821922221e-12,3.919916817200404e-12,3.1234405630424356e-12,2.1456542877097807e-12,1.6701770074679541e-12,1.2485203039780246e-12,8.123972557473515e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.3197417640924909e-11,1.1115388535730063e-11,8.75427906821394e-12,6.967094886608337e-12,5.753984011405397e-12,4.577675330508585e-12,3.5946877777389923e-12,3.0779058449612036e-12,2.4470661197299893e-12,1.844735991884418e-12,1.448296066351936e-12,1.1221337153696536e-12,7.97445387657907e-13,6.145478030336662e-13,4.280080476370677e-13,2.8597360757981885e-13,1.8749941563001594e-13,4.4241172270969716e-10,3.149290843605884e-10,2.0297971592017753e-10,1.151479583427418e-10,6.581838153183452e-11,4.019908177440452e-11,2.728381565762762e-11,2.1627983094590225e-11,1.7374697906896093e-11,1.385892391605135e-11,1.1033742444987205e-11,9.128473174642739e-12,7.282115225452116e-12,5.9370669878993915e-12,4.312757284835188e-12,3.5957214086717027e-12,2.68262351967601e-12,1.9881750396227123e-12,1.5656596575184722e-12,1.1303109658085367e-12,7.570660781638272e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.193534339767983e-11,9.696828513863036e-12,7.661430254706408e-12,6.302683689025238e-12,5.248971892623082e-12,4.277323326932246e-12,3.3774776518947094e-12,2.8636305081084677e-12,2.1636469946416676e-12,1.6975554119410376e-12,1.3954610465430935e-12,1.038158232943022e-12,8.081552622416423e-13,5.83117595519576e-13,3.6779099619465517e-13,2.7434163318473037e-13,1.94194820468525e-13,5.315214413482235e-10,3.86314923539824e-10,2.591683561998875e-10,1.446751725655771e-10,8.229552765955433e-11,4.2603183732933427e-11,3.050262372195595e-11,2.0933694596114157e-11,1.6192615897004885e-11,1.285763483256282e-11,9.7260292173426e-12,7.999828210958674e-12,6.594102234258696e-12,5.214740959249261e-12,4.015812660058282e-12,3.118216833203499e-12,2.3653268477070333e-12,1.8478325185769168e-12,1.3253847425145357e-12,1.012190759406136e-12,7.143460006236388e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1036478064356163e-11,9.28206793110847e-12,7.161071925712282e-12,6.198742571118148e-12,5.035132231769388e-12,3.911141145902548e-12,3.1877499621750844e-12,2.3234364082002954e-12,2.0000818717886316e-12,1.5924043813798424e-12,1.1158226454065749e-12,9.534653916410377e-13,7.031174197664698e-13,4.905649232157001e-13,3.6518934968152305e-13,2.5708499554789847e-13,1.7002364848450044e-13,5.598436617723805e-10,4.437713917599887e-10,3.039657149588113e-10,1.7516411498802327e-10,9.945386203983528e-11,5.0872309772153556e-11,3.2317084740682654e-11,2.0525674456284865e-11,1.532063804321534e-11,1.1641694955340233e-11,9.183983904819502e-12,7.452646052999478e-12,6.149265067817475e-12,4.29341028000239e-12,3.770385070103457e-12,2.9319871472142406e-12,2.2418092183934002e-12,1.6381276112115596e-12,1.1775584385326691e-12,9.464802758626215e-13,6.752640016650088e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.011183498172814e-11,7.885764058268664e-12,6.527822042793528e-12,5.37424885803937e-12,4.4382587908756585e-12,3.4901411667272744e-12,2.82992782581178e-12,2.333422007827769e-12,1.7223482201772165e-12,1.403767976520388e-12,1.0971091421566919e-12,8.445592483540813e-13,6.2646598943634e-13,5.056896916630045e-13,3.504910853565619e-13,2.555791900846193e-13,1.643344420843407e-13,6.185830508778994e-10,4.773450883539042e-10,3.255775089919591e-10,2.1290168435488827e-10,1.1511878774496071e-10,6.355357197280773e-11,3.657380040350824e-11,2.1942927097064653e-11,1.5419021263358003e-11,1.0513981896790039e-11,8.683682726702659e-12,6.942588025751759e-12,5.2587267596112675e-12,4.458083618663703e-12,3.3919953077932937e-12,2.545458705892014e-12,2.0390309273041445e-12,1.5488175372602691e-12,1.1010318046797025e-12,8.210487474695159e-13,5.662053452518742e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.806629626278496e-12,7.103307361647578e-12,6.044448949920475e-12,5.133660104238325e-12,3.9466272698678546e-12,3.2950622027799266e-12,2.614013006255908e-12,2.0703572712136645e-12,1.7336544878906095e-12,1.3141145974323136e-12,1.0492818092249714e-12,7.748002014997699e-13,6.088622425140972e-13,4.341401619548161e-13,3.116573348518534e-13,2.1758589940654253e-13,1.3743747973318267e-13,6.686049606058461e-10,5.091815157501723e-10,3.747726127197236e-10,2.3316431904554076e-10,1.3749790675683822e-10,7.203152414799115e-11,4.1389995601724816e-11,2.4010944069486718e-11,1.5155779233920627e-11,1.0542870472424898e-11,7.606171577381706e-12,5.938328699547855e-12,4.993853953092978e-12,3.941587414424563e-12,3.2147867413836235e-12,2.389535508152581e-12,1.836005929782208e-12,1.3881402309892587e-12,9.86122511054525e-13,7.092421401830892e-13,5.220269946017337e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.412754146410096e-12,7.21558427212608e-12,5.4094801305461274e-12,4.4478274041940304e-12,3.66845430739754e-12,3.026451238526499e-12,2.3629211236307964e-12,1.880679923308818e-12,1.5414620772425549e-12,1.2307378802181486e-12,9.594069527273971e-13,7.849505395375159e-13,5.63864851995849e-13,4.1104009059928655e-13,2.8920003935027054e-13,2.0947774471694182e-13,1.4490521930464596e-13,7.02552083519093e-10,5.485387610974055e-10,3.925197688295314e-10,2.7096169957173937e-10,1.6558704859273102e-10,8.83352936018986e-11,4.7779642585932064e-11,2.6281528072555322e-11,1.5977087075177268e-11,1.0536731743581707e-11,7.711503576126539e-12,5.944262208520744e-12,4.570716347461038e-12,3.617917590059809e-12,2.868559927321297e-12,2.3441555971730184e-12,1.661213928811932e-12,1.1802660312209815e-12,9.014750829668954e-13,7.651976207246786e-13,4.674823948321634e-13
0.0,10,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.447386581830152e-12,6.141703629449822e-12,5.300318823026468e-12,4.134843395160419e-12,3.4492270467254664e-12,2.708149233272549e-12,2.1516141261171223e-12,1.7528233490812523e-12,1.4413297480364935e-12,1.1225112417994125e-12,8.741943624095718e-13,6.269817154515803e-13,4.776584433843438e-13,3.6366352059945443e-13,2.7356339298890113e-13,1.9193208606810077e-13,1.2848080815764269e-13,6.870116065605147e-10,5.851356971701144e-10,4.252188887507881e-10,2.84146925086185e-10,1.7475446432279913e-10,1.0526260043800454e-10,5.722420169257231e-11,3.024870196304096e-11,1.7091389174276247e-11,1.0708360814015052e-11,7.111416768619225e-12,5.698913345606796e-12,4.3017570005370005e-12,3.3579564520857617e-12,2.678518947914113e-12,1.951811932054755e-12,1.4704771846280307e-12,1.1220279374811177e-12,8.606982996398619e-13,6.423587429016257e-13,4.57257424778819e-13
0.0,11,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.684055554196094e-12,5.9756607852233635e-12,4.902389707227457e-12,3.855279796937886e-12,3.2224724559181795e-12,2.450233521436564e-12,2.0425937139596573e-12,1.6403547142227933e-12,1.283352316593916e-12,1.0346404412334504e-12,8.193886264859419e-13,6.205212563305488e-13,4.805556776596888e-13,3.4747365095912387e-13,2.5112123530547156e-13,1.8650489672763204e-13,1.2419347762303126e-13,6.888689826401587e-10,6.253786477047576e-10,4.469252597588101e-10,2.9695179830454506e-10,1.999627539427112e-10,1.103095035251684e-10,6.093702676319063e-11,3.334270363122229e-11,1.9353598083616608e-11,1.0767494886975287e-11,7.583939282461663e-12,5.4532143010593e-12,4.109983742521854e-12,3.0695123837983244e-12,2.3766565279455277e-12,1.7578048102632685e-12,1.4422669049780724e-12,1.0608377060957527e-12,7.640071577896233e-13,5.727406033859719e-13,3.872319025022102e-13
