Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.9832985475876546e-11,1.6196746374774444e-11,1.3189221627003369e-11,1.0847256717426553e-11,8.851992559750082e-12,7.174546118843435e-12,5.763348865806393e-12,4.585508582983964e-12,3.6098677537617643e-12,2.797019131831218e-12,2.1396262145790636e-12,1.6052574240150398e-12,1.1824504887347457e-12,8.520704899027761e-13,5.997984891420805e-13,4.1161982487982033e-13,2.749317766825157e-13,1.4955844863309657e-10,1.118475983954464e-10,8.456517133209647e-11,6.443154735651804e-11,5.139560672547134e-11,4.2170698374551347e-11,3.518940724964299e-11,2.938534768534347e-11,2.447308836300259e-11,2.0267394879181444e-11,1.666938932480936e-11,1.3655484730544871e-11,1.1062405659702681e-11,8.860102186540235e-12,7.0224422680722346e-12,5.4744874903733954e-12,4.19678706014999e-12,3.158096092035426e-12,2.329469549342471e-12,1.6827715895266363e-12,1.1893171048799267e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.7748147228599844e-11,1.4479905188798907e-11,1.178203117327558e-11,9.696933634836395e-12,7.918234668259664e-12,6.425055668212397e-12,5.170248017005622e-12,4.121150865174785e-12,3.2517693741636635e-12,2.525888368991767e-12,1.9379496195323305e-12,1.4582603013433618e-12,1.0777959893772719e-12,7.793273761000962e-13,5.505887565935339e-13,3.7929922756249867e-13,2.543325109235021e-13,2.0484256736539657e-10,1.4419621301773742e-10,9.853494125063833e-11,6.675695347902159e-11,4.939169760846586e-11,3.911856223975336e-11,3.213287447093714e-11,2.6607191133549518e-11,2.2017673886088328e-11,1.8165880808826386e-11,1.4898994407442948e-11,1.218048010151984e-11,9.856930878323782e-12,7.887889741683261e-12,6.25087129832329e-12,4.873431657898492e-12,3.737979140078412e-12,2.8152988999707693e-12,2.079197461762323e-12,1.504406349367526e-12,1.0652883985311929e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.596275624699714e-11,1.3003354817204224e-11,1.056769321269285e-11,8.701432853274846e-12,7.10788357746941e-12,5.772650628317617e-12,4.652374449647533e-12,3.714304113295908e-12,2.936897478151899e-12,2.2865549606884246e-12,1.7591851182807316e-12,1.3273972161414294e-12,9.841985630421658e-13,7.13961417957365e-13,5.061526829953618e-13,3.4996743638980074e-13,2.355432318825582e-13,2.770139286032803e-10,1.9293988791126706e-10,1.25053718842495e-10,7.621340201897448e-11,5.057424467869817e-11,3.7404835376422394e-11,2.980723405661441e-11,2.4333012058547102e-11,1.9961865030141468e-11,1.6389668431815438e-11,1.3390721696283544e-11,1.0921289216857546e-11,8.824754001430759e-12,7.0534124319504365e-12,5.5874978403418724e-12,4.355415274860773e-12,3.3417758520480697e-12,2.5185091109890236e-12,1.86198625934659e-12,1.3491325404493181e-12,9.57096983875315e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.4428957079104404e-11,1.172827209001288e-11,9.515386064211734e-12,7.836553873232618e-12,6.40189027512258e-12,5.20266982566701e-12,4.198638650741148e-12,3.3566936123818997e-12,2.659210737598654e-12,2.074707591247832e-12,1.6003363566851913e-12,1.2106328620015404e-12,9.003210150582847e-13,6.551182315565339e-13,4.659629808454186e-13,3.2331094776191544e-13,2.183841046913535e-13,3.550859308266386e-10,2.512959478282106e-10,1.6169337083536402e-10,9.325519919809103e-11,5.593050298409633e-11,3.7578109407897916e-11,2.8353232298269062e-11,2.253829574936291e-11,1.8252975803090014e-11,1.488702663703346e-11,1.2101928155369225e-11,9.84225779624094e-12,7.936765669937917e-12,6.334161254008211e-12,5.0146940748186974e-12,3.907090763002765e-12,2.998279986163486e-12,2.2605585003063405e-12,1.6728017116632437e-12,1.2135120993640344e-12,8.62347740571516e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.3108825385450606e-11,1.0623356899052252e-11,8.599965691916386e-12,7.082406807232698e-12,5.784553845206526e-12,4.7029776941147744e-12,3.7997995674409745e-12,3.0413917457171795e-12,2.4136212561734895e-12,1.886693299835287e-12,1.458846960255599e-12,1.1062197385835955e-12,8.250067785465793e-13,6.020537362174843e-13,4.2955717735692607e-13,2.990526901850425e-13,2.026950457727776e-13,4.302141252770597e-10,3.1210462684979765e-10,2.0418764994888313e-10,1.1660725298038084e-10,6.572144061527464e-11,4.013740390245162e-11,2.803028240576078e-11,2.1278235270018582e-11,1.6864842029145645e-11,1.3618404138488194e-11,1.0999537602982368e-11,8.914737913760215e-12,7.169575539184849e-12,5.711856769437644e-12,4.518053566992112e-12,3.5175690036900666e-12,2.6993602832098904e-12,2.0355357578518617e-12,1.5074735048746622e-12,1.0946799860827962e-12,7.790285473767996e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.1972545890494979e-11,9.663289719218656e-12,7.80089857893418e-12,6.422519803199531e-12,5.242862874358508e-12,4.263484813996678e-12,3.448121269184941e-12,2.762574647100178e-12,2.1958274087735102e-12,1.719406742672592e-12,1.3325289668636207e-12,1.0126533728435727e-12,7.572530407668762e-13,5.541185676247745e-13,3.965289117290398e-13,2.7694741045049445e-13,1.8833336277820975e-13,4.971061774993509e-10,3.699681675578312e-10,2.4829828815963346e-10,1.440645841178842e-10,7.941921031071908e-11,4.527672004675914e-11,2.9088122979589198e-11,2.066862862198907e-11,1.5807638791360682e-11,1.2559015618274816e-11,1.0057408431324099e-11,8.11557994767328e-12,6.504510759174095e-12,5.17153469896411e-12,4.085734847972552e-12,3.1779182601143865e-12,2.438300968235584e-12,1.8385450623793327e-12,1.3625281731385896e-12,9.902406123021645e-13,7.055169395872595e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.099826446551964e-11,8.827453191782925e-12,7.101366878627718e-12,5.8432096023129705e-12,4.765982681313479e-12,3.875757949293729e-12,3.1371015915980726e-12,2.5153278754185816e-12,2.002178546511435e-12,1.5701993011510654e-12,1.2195043226789206e-12,9.28635063041719e-13,6.9618831826477e-13,5.107448560435205e-13,3.665204708519256e-13,2.5677769370624437e-13,1.751716989270002e-13,5.535574135616808e-10,4.2168714880957144e-10,2.90765646711367e-10,1.7331042773102266e-10,9.599648633304947e-11,5.282771881983596e-11,3.16542878089788e-11,2.0833819492486685e-11,1.5123173379865576e-11,1.1702163927831735e-11,9.256257666981753e-12,7.426017206867288e-12,5.926573053691993e-12,4.7009055336275825e-12,3.707992225801758e-12,2.88075990226588e-12,2.2095250354513565e-12,1.6655178451091558e-12,1.2350587534764378e-12,8.981810262771437e-13,6.404752465745287e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0172481894605875e-11,8.099221984586452e-12,6.4874867926871055e-12,5.333098075446749e-12,4.344862144365964e-12,3.5327073513704503e-12,2.8612538185227613e-12,2.2954899808474298e-12,1.8295654288010448e-12,1.4368044814653996e-12,1.1181565419725084e-12,8.530408354232299e-13,6.410536086767582e-13,4.714349944798296e-13,3.392163938652748e-13,2.383505198052017e-13,1.6309623865261977e-13,5.994815714670827e-10,4.659052424974139e-10,3.29521071654411e-10,2.024000987136995e-10,1.1426827073538066e-10,6.23500930790115e-11,3.569334835644946e-11,2.1856452960559176e-11,1.486625828835355e-11,1.1058063204264446e-11,8.584832515054828e-12,6.83132451449514e-12,5.423537125272843e-12,4.289839243069836e-12,3.3768146868834284e-12,2.6199580881734076e-12,2.00837712254088e-12,1.5130610685498754e-12,1.1226226321463912e-12,8.167971627712631e-13,5.827724260886817e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.489569309483137e-12,7.465759391647368e-12,5.9477212012747135e-12,4.882698844046506e-12,3.9719225130497776e-12,3.2283430616394714e-12,2.61593021201342e-12,2.0995247388893615e-12,1.6753311269327767e-12,1.3172767337488433e-12,1.0270905146870222e-12,7.848954910945676e-13,5.911864705630662e-13,4.3575208479240105e-13,3.1433798901558805e-13,2.2149427660191383e-13,1.5200513886583043e-13,6.360118532094158e-10,5.025529184170337e-10,3.635361475001371e-10,2.2993468745233666e-10,1.3313518902424017e-10,7.326882639711189e-11,4.10287213823192e-11,2.3751085494359296e-11,1.5083170369837333e-11,1.064746234650858e-11,8.040178568098305e-12,6.321006351132032e-12,4.985420746730554e-12,3.92993484830132e-12,3.0856107289573886e-12,2.3903871857245657e-12,1.8309562782755096e-12,1.3783327344430242e-12,1.0231591499834792e-12,7.446367906294073e-13,5.314488742466489e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.94993079581618e-12,6.917948391656906e-12,5.472531190374792e-12,4.484065718385581e-12,3.640797992596887e-12,2.957586227991581e-12,2.3971799807859402e-12,1.924415965955681e-12,1.537198049291757e-12,1.209941176443851e-12,9.450989864993618e-13,7.233508397802741e-13,5.460075262299772e-13,4.033117966504862e-13,2.9163862593576495e-13,2.060561650215257e-13,1.4180715564732605e-13,6.648266304999213e-10,5.323359910404106e-10,3.925580489611217e-10,2.5505100955613433e-10,1.5170704875520167e-10,8.499227568314608e-11,4.739390569271451e-11,2.6463247994365384e-11,1.579640189140669e-11,1.0492955150585011e-11,7.626071110197695e-12,5.888905737933567e-12,4.604315476452301e-12,3.6142061532742062e-12,2.8289257765934178e-12,2.1877516007899413e-12,1.6739868847870211e-12,1.2589407833105892e-12,9.349218408792861e-13,6.804596587643126e-13,4.856963684304635e-13
0.0,10,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.557268660899225e-12,6.450112227619646e-12,5.05420781673016e-12,4.130520935317968e-12,3.346115759590133e-12,2.716119272436464e-12,2.2016349881223228e-12,1.767581117011501e-12,1.413207782780279e-12,1.113352037398082e-12,8.71134553073399e-13,6.676674035743251e-13,5.05008989934843e-13,3.7377541369050523e-13,2.708996854007276e-13,1.9189994184127805e-13,1.3242044045831577e-13,6.8770333064706e-10,5.5634011020555e-10,4.1684724039797874e-10,2.773312572412983e-10,1.693388017796827e-10,9.698865146946171e-11,5.4485715226309564e-11,2.9884757880214183e-11,1.6998763774964936e-11,1.061128448678133e-11,7.350060810953881e-12,5.5328026048750446e-12,4.27437793154402e-12,3.3368970605882684e-12,2.6022087791704514e-12,2.0084387740772655e-12,1.5347153858398856e-12,1.152862652565546e-12,8.564232276372748e-13,6.232098697309082e-13,4.448359796250562e-13
0.0,11,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.31574585563417e-12,6.059399103078931e-12,4.686770303086789e-12,3.816467631412638e-12,3.083315331067778e-12,2.500262500228157e-12,2.0264167607130394e-12,1.6268007783329786e-12,1.301671335198335e-12,1.0262580387780538e-12,8.042862110724833e-13,6.171990086010101e-13,4.677449024231136e-13,3.4684387790413084e-13,2.519270662783701e-13,1.789039543902131e-13,1.2377148352624624e-13,7.062605492283982e-10,5.757560826317814e-10,4.369594660959987e-10,2.966913340027369e-10,1.8561676643773057e-10,1.0882383292558828e-10,6.200570982327593e-11,3.387492856748188e-11,1.8655304512949044e-11,1.1008528892152397e-11,7.220167166759696e-12,5.253454493180452e-12,3.99176858451248e-12,3.093391419622483e-12,2.401642973616832e-12,1.8493973687739705e-12,1.410823607838771e-12,1.0583818340057882e-12,7.863910973881589e-13,5.71993778225714e-13,4.0829203541329174e-13
0.0,12,12.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.227690777887008e-12,5.7449097749986395e-12,4.365832087350159e-12,3.537267780480803e-12,2.848508922359806e-12,2.306870467451163e-12,1.8690594230068806e-12,1.5001613249502008e-12,1.2011279438108442e-12,9.475733864680523e-13,7.437596670025607e-13,5.713797789371512e-13,4.3382280845640994e-13,3.222526764715113e-13,2.345481655408127e-13,1.6695942762544367e-13,1.1579418516841007e-13,7.218389285338988e-10,5.917092229279757e-10,4.5358161712146894e-10,3.132752452505607e-10,2.0032234821456853e-10,1.2017198009737331e-10,6.968657235844355e-11,3.8280590207766697e-11,2.070978851995931e-11,1.1678470338651925e-11,7.2421139240865805e-12,5.053308078910323e-12,3.7544243454097265e-12,2.8801566046709162e-12,2.2240383913767004e-12,1.708039595059526e-12,1.300354091254164e-12,9.74037232873468e-13,7.23734702287921e-13,5.260587426266662e-13,3.7556682300355013e-13
0.0,13,13.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.292155084671453e-12,5.506742256009868e-12,4.088387931957186e-12,3.2891546501874192e-12,2.6383797646878784e-12,2.133245533960129e-12,1.7274448234586708e-12,1.3860081000816623e-12,1.1103109429496237e-12,8.763533785703027e-13,6.888607479165977e-13,5.297131240734242e-13,4.0289665492293933e-13,2.9976744307557955e-13,2.1860926130612757e-13,1.55968969198603e-13,1.0842903852372557e-13,7.354737272217595e-10,6.051695356654906e-10,4.674184434912653e-10,3.2736611957034255e-10,2.1338908739790794e-10,1.3081012091613407e-10,7.73055397805454e-11,4.2951588684517706e-11,2.309271639045966e-11,1.2603461259033467e-11,7.417565665614376e-12,4.935187769101602e-12,3.5616636943848085e-12,2.6946676448593978e-12,2.0667683638966035e-12,1.582167399398858e-12,1.201646357829368e-12,8.985816904230307e-13,6.675186282526419e-13,4.847712511079749e-13,3.462207344983082e-13
0.0,14,14.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.504335087022229e-12,5.345122964555814e-12,3.852526004566044e-12,3.0691512402275816e-12,2.4501101312371466e-12,1.9770675267409005e-12,1.5997476552684282e-12,1.28290678524597e-12,1.028119390728719e-12,8.117738856150735e-13,6.389813844790705e-13,4.917623794466785e-13,3.746607199223343e-13,2.791801676769633e-13,2.0397324065471395e-13,1.4584526271434133e-13,1.0162240948038473e-13,7.479200339218435e-10,6.169190568882066e-10,4.791222302622001e-10,3.393166807445565e-10,2.248610723387486e-10,1.406047781703702e-10,8.46886107830278e-11,4.775107156156429e-11,2.5728872617641904e-11,1.3756786397048144e-11,7.743417222006378e-12,4.901204082358168e-12,3.4136932784666296e-12,2.53528481162555e-12,1.9277269165096515e-12,1.4699197155715564e-12,1.1132844310278774e-12,8.309472267791882e-13,6.169418892962628e-13,4.475952556843862e-13,3.198597997383306e-13
0.0,15,15.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.855686661864853e-12,5.2597357288692746e-12,3.657099311798049e-12,2.8749771990340307e-12,2.281328349034967e-12,1.836338117351975e-12,1.4843893644823078e-12,1.1896111265655981e-12,9.535943396331506e-13,7.531140967637728e-13,5.935877404798296e-13,4.57142821483413e-13,3.4884441161941174e-13,2.6030592566876457e-13,1.9051762349139682e-13,1.36509923560312e-13,9.532590153733905e-14,7.597019422086883e-10,6.275553595680821e-10,4.892558897682926e-10,3.4949854170137827e-10,2.348563628612617e-10,1.494956206278336e-10,9.170898975740209e-11,5.2561235782135186e-11,2.8543401385006047e-11,1.5105611442592903e-11,8.211937416917613e-12,4.952008150411249e-12,3.311104434454259e-12,2.4010844218464093e-12,1.8052875804500783e-12,1.3697353534621628e-12,1.0340556374842083e-12,7.70215712883892e-13,5.713202138224181e-13,4.1407237170614946e-13,2.961297370615091e-13
0.0,16,16.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.334498492488661e-12,5.249292034682799e-12,3.5013992967640456e-12,2.704939156994631e-12,2.130064800051232e-12,1.7093375961738152e-12,1.3800000328823046e-12,1.1050357084699909e-12,8.858988325782505e-13,6.997420117597724e-13,5.522101422185135e-13,4.2551483250514564e-13,3.25207801027434e-13,2.429800506827084e-13,1.7813284134233025e-13,1.2789249542573834e-13,8.949579497180311e-14,7.711671339400521e-10,6.375145963849927e-10,4.982799518599147e-10,3.5826809359214763e-10,2.4353680353118806e-10,1.5747892740992521e-10,9.828234826733305e-11,5.7285671663534036e-11,3.1466139247359214e-11,1.6613877865973186e-11,8.811475478360818e-12,5.086411816706663e-12,3.2544330323172357e-12,2.291660250704331e-12,1.6982522261383286e-12,1.2803250687927172e-12,9.629196998626918e-13,7.155944039373128e-13,5.30070211078281e-13,3.8380530113425614e-13,2.747140841878064e-13
0.0,17,17.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.926700453195845e-12,5.311332118306341e-12,3.384867682196361e-12,2.5578087192253896e-12,1.994709702465308e-12,1.5945910629467076e-12,1.2853874132797572e-12,1.0282328934663716e-12,8.243009064729645e-13,6.511022217283935e-13,5.14434520304719e-13,3.9657803503473943e-13,3.035377753219211e-13,2.2705568632471517e-13,1.667207361045096e-13,1.1992956886904684e-13,8.40925510656822e-14,7.82536602439467e-10,6.471022845375959e-10,5.065550281622113e-10,3.6594603317634875e-10,2.5108444952922556e-10,1.6459231486765774e-10,1.0436061206164867e-10,6.184940820638667e-11,3.443434490714099e-11,1.824478201632921e-11,9.527450602545269e-12,5.301322077416423e-12,3.2438264541389415e-12,2.206919444879003e-12,1.6057867668946128e-12,1.200647055128128e-12,8.989861853730485e-13,6.663960202835356e-13,4.926948216586167e-13,3.564450592214033e-13,2.553337956069473e-13
0.0,18,18.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.0616733246311617e-11,5.442214567242161e-12,3.306869122043429e-12,2.43269709635829e-12,1.873968866315301e-12,1.4908409707854046e-12,1.1995121250600633e-12,9.583733261171417e-13,7.681590666350151e-13,6.067055818106938e-13,4.798951215335677e-13,3.7006624933272325e-13,2.8364471757535566e-13,2.1240166157805746e-13,1.5619324878956238e-13,1.1256400603198497e-13,7.90803733275196e-14,7.939451134277818e-10,6.565244151462107e-10,5.143529993078529e-10,3.728073638386255e-10,2.5768420507196027e-10,1.7090141841960738e-10,1.0992532201075148e-10,6.619754277009652e-11,3.739413872634865e-11,1.9962693821571603e-11,1.0343408033504214e-11,5.591905851066394e-12,3.2788320352936715e-12,2.1468948584133186e-12,1.5273465765252968e-12,1.129881869854918e-12,8.414979006486742e-13,6.22022999474264e-13,4.587699681807626e-13,3.316818297520331e-13,2.3774641601017755e-13
