Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_1.431e-04,S0Z_time_1.801e-04,S0Z_time_2.266e-04,S0Z_time_2.846e-04,S0Z_time_3.581e-04,S0Z_time_4.506e-04,S0Z_time_5.671e-04,S0Z_time_7.136e-04,S0Z_time_8.981e-04,S0Z_time_1.131e-03,S0Z_time_1.423e-03,S0Z_time_1.791e-03,S0Z_time_2.255e-03,S0Z_time_2.838e-03,S0Z_time_3.573e-03,S0Z_time_4.498e-03,S0Z_time_5.662e-03,S1Z_time_1.409e-05,S1Z_time_1.610e-05,S1Z_time_1.909e-05,S1Z_time_2.360e-05,S1Z_time_2.960e-05,S1Z_time_3.709e-05,S1Z_time_4.609e-05,S1Z_time_5.759e-05,S1Z_time_7.209e-05,S1Z_time_9.060e-05,S1Z_time_1.141e-04,S1Z_time_1.431e-04,S1Z_time_1.801e-04,S1Z_time_2.266e-04,S1Z_time_2.846e-04,S1Z_time_3.581e-04,S1Z_time_4.506e-04,S1Z_time_5.671e-04,S1Z_time_7.136e-04,S1Z_time_8.981e-04,S1Z_time_1.131e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.496164611903706e-11,3.375462943015318e-11,2.247423430634817e-11,1.609404898847904e-11,1.2043431583276675e-11,9.209915665712725e-12,7.12089114625814e-12,5.5011575169556376e-12,4.2230645944242665e-12,3.212116404717064e-12,2.4210794934568036e-12,1.7956758492568623e-12,1.308076801278367e-12,9.347283747134957e-13,6.519350990459248e-13,4.4438052848657645e-13,2.945809104409094e-13,4.231390948713285e-09,3.100617514114056e-09,2.084673260031196e-09,1.2651972033734556e-09,7.648313720292887e-10,4.739159225057429e-10,3.1025359111815034e-10,2.036615619690509e-10,1.325287675972666e-10,8.435152527276106e-11,5.3147914572912843e-11,3.4037864030147917e-11,2.243588305004182e-11,1.5315191915244776e-11,1.086587810383621e-11,7.82674653739063e-12,5.666515647229548e-12,4.0816874200748805e-12,2.905830894510473e-12,2.046214349751127e-12,1.4126149247695413e-12
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.178791469617115e-11,3.7122691384400885e-11,2.3607203208984746e-11,1.6121577215248358e-11,1.1648405439614311e-11,8.720349019354184e-12,6.6607447393037086e-12,5.111380755833347e-12,3.908353991973448e-12,2.9670147815778592e-12,2.2356710753944017e-12,1.6588498208095725e-12,1.210021640519414e-12,8.662028657730831e-13,6.054796289853112e-13,4.1380549188294764e-13,2.750917869161139e-13,4.213625189434281e-09,3.085474769792949e-09,2.073883178321243e-09,1.2599246596740278e-09,7.649474217965899e-10,4.792139045499213e-10,3.199107488134777e-10,2.1617584236202618e-10,1.4544532634501554e-10,9.530476077703588e-11,6.08777660054688e-11,3.862893974080831e-11,2.4653924517865186e-11,1.6094418276123755e-11,1.094702934468961e-11,7.63266225371469e-12,5.406094022281499e-12,3.843836993700127e-12,2.7100784430650494e-12,1.898530755334903e-12,1.3045882321850015e-12
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.848756003975355e-11,4.1112071486141957e-11,2.5411958293745967e-11,1.6618134719919962e-11,1.1526000102930182e-11,8.383899599209464e-12,6.293802495961797e-12,4.7832855043299086e-12,3.63652843221299e-12,2.7524882051671605e-12,2.0717303132294847e-12,1.5369901447615084e-12,1.1221463637485047e-12,8.044110150338182e-13,5.633663070487762e-13,3.859304979079899e-13,2.5723240012866837e-13,4.1953223125417876e-09,3.070009996193296e-09,2.062987143285247e-09,1.2544554360125037e-09,7.639633374505506e-10,4.818334426806441e-10,3.2558608119880305e-10,2.2445245896727554e-10,1.5509797089567224e-10,1.0459678241877387e-10,6.835409426392884e-11,4.372717105213913e-11,2.756007070006361e-11,1.7432172779989398e-11,1.1385264142260564e-11,7.637487527296717e-12,5.253468281141195e-12,3.666149325511726e-12,2.553610967756178e-12,1.773873747620178e-12,1.2118786765496907e-12
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.451430774901117e-11,4.527102341640761e-11,2.7674323995792647e-11,1.7526828126144298e-11,1.1675278533193112e-11,8.204988747306242e-12,6.018654803361003e-12,4.5122909867575954e-12,3.4031585751487376e-12,2.564958879041428e-12,1.9266633258780034e-12,1.4283345309592983e-12,1.0432692728702677e-12,7.48612697179199e-13,5.251387442220396e-13,3.60485906502549e-13,2.408497385645536e-13,4.176507414522002e-09,3.054231289801675e-09,2.051991810283301e-09,1.2490225335366138e-09,7.627696709721127e-10,4.834311753079789e-10,3.2918490572718624e-10,2.2991595867234339e-10,1.6201064772859406e-10,1.1197397951872661e-10,7.499035811950099e-11,4.880226338368639e-11,3.0842143483324427e-11,1.920790507751141e-11,1.2158891649539323e-11,7.849734284310528e-12,5.215584595683021e-12,3.549004088397196e-12,2.43367004238368e-12,1.6699991520824753e-12,1.13273942201966e-12
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,7.962901135546654e-11,4.925967660947849e-11,3.016730301768546e-11,1.8751787766018905e-11,1.2073896373972294e-11,8.183753664470376e-12,5.835762534534116e-12,4.296058146342451e-12,3.2050677282517884e-12,2.4015314242032944e-12,1.798325365124261e-12,1.3313814948164515e-12,9.72369811964318e-13,6.981628565687416e-13,4.903938902857422e-13,3.372325318318062e-13,2.258065922187602e-13,4.157199851573425e-09,3.038163787288576e-09,2.0409046915967496e-09,1.2436508908937852e-09,7.616268472682903e-10,4.847436121809814e-10,3.318438108047236e-10,2.3372130282742927e-10,1.6692574954422434e-10,1.1760708785793754e-10,8.054915485601782e-11,5.349165207672367e-11,3.420995865982213e-11,2.1263001622329857e-11,1.3210180438791788e-11,8.261341789232394e-12,5.296764419274078e-12,3.4951377792125606e-12,2.348857969357324e-12,1.5859886313464506e-12,1.0658102156206774e-12
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.380967876241775e-11,5.287100867635351e-11,3.269633868713078e-11,2.0182350897590315e-11,1.2681011279583391e-11,8.312085645698999e-12,5.7447634761221265e-12,4.133654093309151e-12,3.0401872402811075e-12,2.2599493455662092e-12,1.6849512202839979e-12,1.2448503060625215e-12,9.08570407736786e-13,6.524983185897996e-13,4.587752938939258e-13,3.1595804798095874e-13,2.1197990753790693e-13,4.137408310843252e-09,3.021828614538626e-09,2.029745616687038e-09,1.2383431229464468e-09,7.605885351611069e-10,4.860467482750434e-10,3.3415017147880513e-10,2.366483165572382e-10,1.7052532162344625e-10,1.2184695803803716e-10,8.503360667737548e-11,5.76037805226625e-11,3.744255354403076e-11,2.3439908660450916e-11,1.4460323004703133e-11,8.847132576840429e-12,5.4945874082310994e-12,3.507062649498405e-12,2.2990589037338556e-12,1.521642385981669e-12,1.010197261274053e-12
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.715829138695119e-11,5.601201431421068e-11,3.511869370271079e-11,2.1713395624935897e-11,1.3445359423088832e-11,8.573439288071987e-12,5.742534793375912e-12,4.024451350421335e-12,2.907271378101801e-12,2.1385494162651966e-12,1.5851083987913308e-12,1.1676500604919026e-12,8.511182271521066e-13,6.11126847435231e-13,4.299678480401764e-13,2.964736895239106e-13,1.9925928853421254e-13,4.1171372123488764e-09,3.005240237011837e-09,2.0185349041013744e-09,1.2331097347426205e-09,7.596605439282867e-10,4.874239571162526e-10,3.3637008569973205e-10,2.391611359573473e-10,1.7332942558788091e-10,1.2507085264729684e-10,8.857895987393824e-11,6.108050800991105e-11,4.039874072235631e-11,2.560646045267977e-11,1.5825923113816825e-11,9.569947546124406e-12,5.7988588600298734e-12,3.584919549495138e-12,2.2847087291670144e-12,1.4771028666753433e-12,9.654080318650196e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,8.982984225145749e-11,5.867171426647831e-11,3.7344731149129e-11,2.3257323987150388e-11,1.431361748047721e-11,8.945135606265386e-12,5.822518247973599e-12,3.967175325291745e-12,2.8054973480898948e-12,2.0361680450754076e-12,1.4976638355860968e-12,1.0988589370598182e-12,7.993677273030585e-13,5.736176934603676e-13,4.036934888659522e-13,2.786113944360734e-13,1.8754558460554332e-13,4.096391549654734e-09,2.9884104815760637e-09,2.0072896501829532e-09,1.2279656539475399e-09,7.588459042248968e-10,4.888931920840423e-10,3.3860799828209865e-10,2.415082514232756e-10,1.7569013609043311e-10,1.276056585749499e-10,9.137205189257385e-11,6.395130193892704e-11,4.3007616659243815e-11,2.7665559673972858e-11,1.723103611468171e-11,1.0387427272506719e-11,6.1930292378482764e-12,3.725486557249569e-12,2.3058842081216767e-12,1.4525928890493152e-12,9.312249325819405e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.198688980368966e-11,6.088992762276165e-11,3.93299649363315e-11,2.4748649051348297e-11,1.5236608682686746e-11,9.401506500596467e-12,5.975110572683606e-12,3.959350059866134e-12,2.73406119668336e-12,1.9519959922575845e-12,1.42174714390333e-12,1.03771013549004e-12,7.52766038537191e-13,5.395934409819988e-13,3.797072707185625e-13,2.6222140407799943e-13,1.7674959048316025e-13,4.075178660625562e-09,2.9713518438123307e-09,1.9960250701732657e-09,1.2229259183413691e-09,7.581518590812601e-10,4.904569882377701e-10,3.4089822396672525e-10,2.43809917220791e-10,1.7782490770187064e-10,1.2970187636597903e-10,9.360114595128443e-11,6.629363921886761e-11,4.525159639716277e-11,2.9555181195826385e-11,1.8613695878429745e-11,1.125783592144353e-11,6.656733997119498e-12,3.922293496518345e-12,2.3616408051367133e-12,1.44816471254984e-12,9.075731796068861e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,9.377495644404151e-11,6.27322657739011e-11,4.106392409793014e-11,2.6143720452033204e-11,1.6172882879136115e-11,9.91675497368411e-12,6.188638975515381e-12,3.997169516335719e-12,2.691869519483577e-12,1.8854101162487436e-12,1.356700876762983e-12,9.835787238817681e-13,7.108418542143333e-13,5.087233138661447e-13,3.5779357747516787e-13,2.471702196714921e-13,1.6679090902223441e-13,4.053508404585452e-09,2.9540788584774542e-09,1.9847564791011518e-09,1.2180046272278401e-09,7.575881717391195e-10,4.921177839089178e-10,3.432499224671457e-10,2.461185999737932e-10,1.7985785992420954e-10,1.315355454723935e-10,9.543002761843476e-11,6.820392491069932e-11,4.7148891813021445e-11,3.1243409592020096e-11,1.9928095354102994e-11,1.214398583942477e-11,7.1683775194416605e-12,4.1664210214236714e-12,2.449754072454794e-12,1.4634737093290176e-12,8.944027100033414e-13
