Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_5.811e-05,S0Z_time_8.588e-05,S0Z_time_1.137e-04,S0Z_time_1.414e-04,S0Z_time_1.692e-04,S0Z_time_1.970e-04,S0Z_time_2.248e-04,S0Z_time_2.525e-04,S0Z_time_2.803e-04,S0Z_time_3.081e-04,S0Z_time_3.359e-04,S0Z_time_3.637e-04,S0Z_time_3.914e-04,S0Z_time_4.192e-04,S0Z_time_4.470e-04,S0Z_time_4.748e-04,S0Z_time_5.026e-04,S0Z_time_5.442e-04,S0Z_time_5.998e-04,S0Z_time_6.692e-04,S0Z_time_7.526e-04,S0Z_time_8.359e-04,S0Z_time_9.331e-04,S0Z_time_1.044e-03,S0Z_time_1.169e-03,S0Z_time_1.308e-03,S0Z_time_1.461e-03,S0Z_time_1.628e-03,S0Z_time_1.822e-03,S0Z_time_2.044e-03,S0Z_time_2.280e-03,S0Z_time_2.544e-03,S0Z_time_2.850e-03,S0Z_time_3.197e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.420620376918587e-06,5.4091313572748975e-06,4.391583872649086e-06,3.7306426166086723e-06,3.08388492644233e-06,2.4038709229398247e-06,2.1866906902380155e-06,1.835294809543415e-06,1.6086342656129673e-06,1.4393801692501486e-06,1.2667987568099304e-06,1.1743957123184914e-06,1.0321076707863226e-06,9.122856799714763e-07,8.33302903794764e-07,7.543150962394452e-07,7.112394817326219e-07,5.92845005281192e-07,5.088838890762765e-07,4.0413007816577745e-07,3.07549485263813e-07,2.773565571017188e-07,2.2414491908859888e-07,1.688477556134574e-07,1.4516560009642485e-07,1.0086218705422939e-07,8.216801971935283e-08,6.307494187058433e-08,5.1016437211875546e-08,3.843506214635787e-08,2.7615696036884182e-08,2.1159970596068698e-08,1.4338391030841323e-08,9.049349421397292e-09
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.041677666015502e-06,5.470538225810696e-06,4.550332409247312e-06,3.757872789025609e-06,3.0169372967932134e-06,2.580949444851493e-06,2.1769367940361257e-06,1.8742210543536313e-06,1.6317084393034093e-06,1.609212679169953e-06,1.3316040568362297e-06,1.1933674200292928e-06,1.045748657148191e-06,1.0034723779809123e-06,8.454731501460493e-07,8.028663253566713e-07,7.175077947444356e-07,6.546397017830336e-07,5.393972112595136e-07,4.35373621058333e-07,3.627566899887352e-07,3.004469841425532e-07,2.388184583560312e-07,1.9031238038610225e-07,1.4516349188896523e-07,1.140132574124697e-07,8.754245978253384e-08,6.832688553458207e-08,5.104160724303002e-08,3.670947927398174e-08,2.996284879087955e-08,2.1921755947215773e-08,1.4755922781857347e-08,1.249459161623883e-08
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,6.970259834348039e-06,5.517504548112157e-06,4.567581856238242e-06,3.734360535097915e-06,3.258132473917332e-06,2.603070878658848e-06,2.372402422336811e-06,2.0081427661943185e-06,1.760540313043371e-06,1.5753758642167376e-06,1.4168027606289114e-06,1.2842942851087868e-06,1.1142855222985982e-06,1.0723208730856436e-06,9.60994984305457e-07,8.234378202637456e-07,8.2409140790556e-07,7.330763808498045e-07,6.092221142639156e-07,4.83218093217534e-07,3.788916395258725e-07,3.3049564248094903e-07,2.545572804308883e-07,2.1167296714490288e-07,1.6134606343772737e-07,1.287058666086241e-07,9.802490808455104e-08,7.66418920213033e-08,5.6903461815744643e-08,4.54682515584911e-08,3.227480330694985e-08,2.4639361275742936e-08,2.0012477478440847e-08,1.1454526245037635e-08
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,6.933156224609049e-06,5.713767564454667e-06,4.364402159630171e-06,4.0044744373734025e-06,3.1809385053623066e-06,2.714631791537917e-06,2.5579893305638393e-06,2.2178736566613e-06,1.98417504713175e-06,1.7169568696457243e-06,1.4566273459473716e-06,1.4208965843783774e-06,1.203255779200131e-06,1.1255910947125328e-06,1.02798547199528e-06,9.077506100074876e-07,8.500483849770326e-07,7.557131748648616e-07,6.323721411520123e-07,5.004862707529496e-07,4.218354453499697e-07,3.563801451813735e-07,2.7037672524901815e-07,2.1805187685631391e-07,1.699750123045798e-07,1.4201747777242094e-07,1.0652022773541357e-07,8.170578776823538e-08,5.961664366477782e-08,4.671119112170223e-08,3.353855491689618e-08,2.5951789648324946e-08,1.8464256491269605e-08,1.4554440952900919e-08
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.375392225129543e-06,5.550717756590768e-06,4.614297188722136e-06,3.701606868707259e-06,3.123932628886147e-06,2.867697997660468e-06,2.486556732306911e-06,2.221508935128453e-06,2.0732739101845076e-06,1.7752966002974768e-06,1.5060296831097105e-06,1.4417907181595898e-06,1.2121489894830482e-06,1.1299539939771769e-06,1.041855186862226e-06,1.003244841198504e-06,8.550810760361889e-07,7.530241531376129e-07,6.563341984595401e-07,5.35440214973114e-07,4.574682373695014e-07,3.516242760642915e-07,2.833433896647363e-07,2.3014592533604933e-07,1.8092349073713181e-07,1.5197643913659488e-07,1.1482898082766683e-07,8.652551056127736e-08,6.283354036067214e-08,5.0515315370557754e-08,3.543760669201086e-08,2.5687340442747622e-08,2.1925408967948516e-08,1.5110951444295677e-08
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.496140055018703e-06,5.669154305975112e-06,4.704965765118795e-06,3.781539186131831e-06,3.2017703884425782e-06,2.926940452769334e-06,2.4542414721613795e-06,2.176332607585663e-06,1.950932698074735e-06,1.7703335879309853e-06,1.5740117557885094e-06,1.3772630406294227e-06,1.2771076803475077e-06,1.1056503369002729e-06,1.1016648996492728e-06,9.423905349015874e-07,8.787637133974569e-07,8.053825975897896e-07,6.719900953409899e-07,5.984616243377026e-07,4.4644844284762824e-07,3.8551757211729157e-07,3.091845984283103e-07,2.378035887472525e-07,1.9763609128173946e-07,1.5134962048345571e-07,1.213001319215759e-07,9.41788703097339e-08,7.47795767910413e-08,5.4676254362263916e-08,3.876602700317241e-08,2.9160791953778903e-08,2.3173999241381023e-08,1.644455121192439e-08
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.484237870637285e-06,5.371751480388371e-06,4.606381210885897e-06,3.7927788835823954e-06,3.3560262466006127e-06,2.886300519315303e-06,2.613401587580504e-06,2.274764308302659e-06,2.057679063358811e-06,1.7771523480166722e-06,1.5780463223410215e-06,1.451408353801276e-06,1.3340329110640983e-06,1.2302824195491354e-06,1.1876621323966415e-06,1.0186033569956703e-06,9.108467742927305e-07,8.227230518612946e-07,7.024024136521827e-07,6.030180523066911e-07,4.617172300373202e-07,4.0033741243293255e-07,3.25724346722374e-07,2.6060604896732344e-07,2.0093219370759915e-07,1.5918998751160998e-07,1.1952667984935563e-07,9.551792592951269e-08,7.254017143529216e-08,5.610745168842319e-08,3.985418727667923e-08,3.232129793108832e-08,2.499272331136097e-08,1.4367661416474286e-08
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.491039253940659e-06,5.793497187074836e-06,4.543095418766465e-06,3.8501162684068536e-06,3.3322696952791996e-06,2.887611653968463e-06,2.540758304794723e-06,2.161196902404203e-06,2.1042700605567994e-06,1.8862636957472368e-06,1.609140934015081e-06,1.4293115933492978e-06,1.38160596368461e-06,1.2203887926933615e-06,1.1421096641223073e-06,1.0343962841353695e-06,9.816194103611689e-07,8.720334695907953e-07,7.176910190688941e-07,5.883597515542572e-07,4.775530034732973e-07,4.2246054693413685e-07,3.2530877231036233e-07,2.6585253873283174e-07,2.1011044419014073e-07,1.6774938732265328e-07,1.234107751779555e-07,1.0265563905529817e-07,7.912505552960927e-08,5.8490440228454405e-08,4.3501773853569956e-08,3.3129260189628146e-08,2.4955539243152835e-08,1.4506324722744534e-08
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.892079227079173e-06,5.781119048898096e-06,4.563840354934732e-06,3.867499191637697e-06,3.4097375206775085e-06,2.9175241375447673e-06,2.4222302497413455e-06,2.433565325014792e-06,2.044298128466432e-06,1.901727187590977e-06,1.6337029841149887e-06,1.5844244376024925e-06,1.392012208557836e-06,1.284846145598424e-06,1.1208681143734129e-06,1.102822875489647e-06,1.0014247702645992e-06,9.072134422445411e-07,7.374321877382296e-07,6.213720597515704e-07,5.521746142746365e-07,4.146139100793719e-07,3.477481675464646e-07,2.897247996760863e-07,2.2317801015701476e-07,1.7821562408295168e-07,1.3539445241151997e-07,1.0801013563445818e-07,7.808631762959422e-08,6.46703669024693e-08,4.6049540738992443e-08,3.371105812267248e-08,2.655625829427957e-08,1.8066924723201073e-08
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,2.0,2.0,-12.0,0.0,0.0,0.0,7.217048835793533e-06,5.521825274888086e-06,4.7782365944748905e-06,3.912227943665296e-06,3.3598486959983174e-06,3.034430640441605e-06,2.5031271642920172e-06,2.252857210544716e-06,2.0397217028149197e-06,1.8637484611718092e-06,1.6801922019509124e-06,1.516014697780673e-06,1.3926168923383567e-06,1.2730387233919214e-06,1.14738291931254e-06,1.0533928240511855e-06,1.0048806410074608e-06,8.646581378863926e-07,7.397983913391739e-07,6.384235570101723e-07,5.267508651184746e-07,4.6983428173616924e-07,3.519346761035561e-07,2.9738264255065944e-07,2.3545695444451009e-07,1.74994578320871e-07,1.4584919171750348e-07,1.070545550984e-07,7.778268344669479e-08,6.52703703283396e-08,4.5301045763683834e-08,3.7007776655342844e-08,2.604926406358866e-08,2.145090682988869e-08
