Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0.0,0.0,0.0,30.0,0.0,1057.4382758310016,2274.832171514503,980.8593374074906,3413.141717234087,3847.963212923226,3950.6821225399367,1024.072079590874,1065.3746597750983,377.5684588632697,884.5104706316475,458.11882821957585,272.29207600388435
0.0,1.0,1.0,0.0,30.0,0.0,879.3322397076648,2114.4053958115255,1083.8841370006617,3461.0671792000567,3634.6603436130986,3605.258282629153,1034.138454916155,1109.078324943505,346.74457515361917,783.4005907286712,459.6716588501133,264.1237957279377
0.0,2.0,2.0,0.0,30.0,0.0,1041.4854620914634,2172.809124358697,917.0788234236718,3170.1274815450915,3786.0253618936677,4182.105803087605,1076.1555057070648,1055.1936016429968,358.8789324822153,832.265070384316,390.0175834083585,267.72533715312863
0.0,3.0,3.0,0.0,30.0,0.0,960.2286836629778,2132.7378797304127,901.5699365320412,3198.9228660291974,3714.781963764371,4029.055684818448,1018.56968200417,1093.4688566956866,336.2528944300131,705.0550898920625,410.2965747391988,271.1604601362469
0.0,4.0,4.0,0.0,30.0,0.0,996.3142383391506,2319.282452475635,1052.2788583034444,3241.0792503987573,3917.2686455442604,4058.285227686514,1159.5445177046936,1084.7599893268573,349.1811655114538,800.1559422154277,469.96795535376765,268.31278687649547
0.0,5.0,5.0,0.0,30.0,0.0,956.3974544541554,1867.3838204008557,936.7935782207181,3185.1412715872757,3775.4669512580053,3869.20825439319,1027.0887094090795,977.1068863204778,353.9071871495593,773.7349588329456,430.13560327474323,239.58260016302438
0.0,6.0,6.0,0.0,30.0,0.0,799.2586466902475,2217.550894812519,947.4126509541421,3404.7345918687374,4027.809277989858,4229.80537284838,1174.0981336909556,1093.6772759282637,383.87493721063396,803.597027082881,415.5689619490718,265.16509460783783
0.0,7.0,7.0,0.0,30.0,0.0,1015.926482505372,2230.056705752443,958.1435313773535,3342.378304927538,3768.946840608875,3876.8810173973216,1128.2028690355023,1057.6788609054524,331.4703646319057,790.0448705344303,465.2108613197392,275.50692259993286
0.0,8.0,8.0,0.0,30.0,0.0,942.40373645669,2189.1253217201815,934.8870501517464,3228.395111214696,3518.96668231074,4337.072051808228,1034.0414751695255,1055.645606679998,329.84340167100095,767.9238100776349,462.64899148345296,278.8927576089046
0.0,9.0,9.0,0.0,30.0,0.0,1003.5586410657229,2366.159417952331,929.8304862204583,3029.5974229356893,3694.2566386483813,4233.237149652399,1052.28761303304,1082.1877394639166,360.90716631763183,750.1515762628554,494.9193076812468,252.96998258039304
0.0,10.0,10.0,0.0,30.0,0.0,982.1113125893673,2133.5651164841215,955.0994059940807,3336.2844128179527,3671.0518392965237,4028.5191243351196,953.9815205741261,1117.5036444417,327.1079295557808,739.3400303597188,449.6958840181638,264.50030666330736
0.0,11.0,11.0,0.0,30.0,0.0,892.7705257038883,2382.4675363467536,960.8865982403463,3273.3433032337057,3960.4052214356434,4106.248016607679,1085.09263083537,1072.6361011976087,343.339574180513,792.4690203385837,450.16709620349354,274.00823480623956
0.0,12.0,12.0,0.0,30.0,0.0,962.535800196261,2222.0794164385698,989.8661855332031,3280.086555893159,3623.488463158685,4323.115834660952,1022.7591407823496,1013.2198084338296,332.419322293334,800.2342867068738,418.13907469408576,266.9379868174078
0.0,13.0,13.0,0.0,30.0,0.0,985.885596953651,2097.260597192851,940.5866591249911,3359.777213757294,3804.49078685023,4184.465684965689,1149.2477089239856,1068.8068398659484,364.20319798011116,801.793052425637,460.4488412237411,257.8213787683002
0.0,14.0,14.0,0.0,30.0,0.0,886.371370270634,2153.427686760921,900.134894972097,3282.094255159964,3932.967897650237,3659.1009974443973,1114.8997048768256,1069.3116157900038,352.6333056967482,854.0387223694885,462.5405370163446,276.97952702344725
0.0,15.0,15.0,0.0,30.0,0.0,927.2509331377566,2309.0299076847455,912.26338220345,3155.3118350101986,3946.0092188859817,3660.6918874783496,1123.126118818568,1136.7360188170549,373.92512526146595,782.0395627939838,471.1867456971573,270.70432457572525
0.0,16.0,16.0,0.0,30.0,0.0,925.9354815913039,2363.9847321181,925.6046695290614,3351.7493963966986,3791.6285475031955,3901.0584598266646,1046.6865581744817,1149.7404014973283,335.2317212411796,713.6597017595398,459.42361399180334,275.3074840929174
0.0,17.0,17.0,0.0,30.0,0.0,942.8446378155077,2370.6595530011105,913.051012386345,3233.6610756752116,3643.512789865202,4407.754896692014,1102.1762110858049,999.5834469355252,330.0524518228585,776.1208598203064,473.02018150229605,259.8161409484185
0.0,18.0,18.0,0.0,30.0,0.0,945.8474940162242,2108.0551136619247,1081.059478029846,3069.8769036456515,3429.5877321164903,4239.113721558884,1075.410782752802,1072.6961758955956,360.68313007226953,825.4668523762501,460.36363537836576,242.26435464958874
0.0,19.0,19.0,0.0,30.0,0.0,833.0051957147571,2384.054152960977,982.1253833820202,3064.699351045867,4006.1128498380517,4346.488958194078,1153.8834247712875,1109.8517901596363,351.14588255793495,791.9825443874635,399.74402184571983,256.16291882687693
0.0,20.0,20.0,0.0,30.0,0.0,911.7225990631581,2376.936517817599,950.249997530274,3369.692738063411,3483.1043387567906,3993.7004202161934,1035.453361225674,1141.6189846945529,374.2692663367891,779.2375270381409,432.6465726781399,248.5113415662185
0.0,21.0,21.0,0.0,30.0,0.0,871.65910775095,2342.424874375912,1139.85424225913,3559.964776537982,3756.415813784168,4024.122137843104,1065.703924181449,1153.712191026801,363.1345044572821,809.4871521051112,433.5411795302335,270.2335895369329
0.0,22.0,22.0,0.0,30.0,0.0,852.0230736266496,2225.735441968185,937.5664260726414,3404.6814749927503,3468.4655138908447,4358.812444892342,1107.885504154933,1136.1091361490753,349.8840895729331,788.5270440739599,417.1769770253526,246.4722560726106
0.0,23.0,23.0,0.0,30.0,0.0,906.3204205037127,2324.584182347576,905.6274633615737,2984.613402802362,3503.563529877093,4523.08549283158,1153.4735664763627,1099.1691206785201,352.2012846602422,809.2405923993099,399.7241136885856,262.3451710673838
0.0,24.0,24.0,0.0,30.0,0.0,783.9328785710923,2172.5801738001182,948.7064038168135,3187.1971973957534,3769.3536753771455,4003.973575024174,1139.4859419062159,1142.1760357061828,331.851920343001,798.0200037687474,423.3251028467698,252.70505170979243
0.0,25.0,25.0,0.0,30.0,0.0,883.3317315790473,2080.508326633552,968.1253490968708,3181.7631640408713,3687.9055631225806,3730.671869009222,1090.684653573789,1143.3637195602348,347.25370430494877,786.8721831446202,452.66162415755764,237.31772786983407
0.0,26.0,26.0,0.0,30.0,0.0,859.2258944704619,2442.8979822754022,952.8086261278067,3195.695032217571,3927.1034726258627,4347.829320076879,1090.3195115306266,1211.7213876349717,332.84576655170315,722.7524940755554,435.7757383665756,269.7935265992826
0.0,27.0,27.0,0.0,30.0,0.0,921.0007819565376,2290.021239828408,1002.2028745957325,3144.9058084136827,3981.6927179743425,4003.887164691222,1174.9353546382767,1097.365774791592,318.63852685357165,820.6824926955795,439.0500907690076,265.1128331394799
0.0,28.0,28.0,0.0,30.0,0.0,863.2425090152701,2254.3561373277084,893.3016435348331,3451.538666932932,3856.705024713401,4199.21066151173,1047.064296884767,1128.5542510835999,318.7464645620025,793.3469542051132,437.0809119164924,267.50383101147315
0.0,29.0,29.0,0.0,30.0,0.0,923.3308340692237,2368.7140622633233,963.2894659921892,2900.8587621150937,3712.0801861518253,3860.6124314751005,1068.3570614085672,1193.2579677993842,365.40560636162445,724.889646025631,430.5708156296056,267.5898829963298
