Line_number,Fiducial,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0,0.0,0.0,30.0,0.0,439.53477009605905,748.9125837890047,313.42081501735674,989.7747529559134,1345.9760442689835,1937.592290445697,295.1068078029438,292.43153154263007,103.59060434830828,314.2757280329239,590.4321579846044,871.8374265168721
0.0,1,1.0,0.0,30.0,0.0,418.68706226839197,708.1429885041338,296.9198998614032,947.0023052130083,1362.0083141698126,1945.9678283995322,279.0464325048375,283.4027927580399,103.6377030410057,333.1572908166503,619.7799264967766,859.4726199362292
0.0,2,2.0,0.0,30.0,0.0,399.2435116707826,671.241611381925,282.3479837341604,913.182651021313,1383.9559926810189,1950.1374518145453,264.8495397062067,277.3588288027036,104.92433040092689,355.45440695163495,636.4195955565547,849.1431688905261
0.0,3,3.0,0.0,30.0,0.0,381.0932774475425,637.8656465848377,269.55800140730094,887.6925347948214,1406.0836492023063,1953.4058979293343,252.31441861276616,273.9037422645661,107.25369114075605,379.84041024270766,643.2080362315029,840.9648806653662
0.0,4,4.0,0.0,30.0,0.0,364.13640172655147,607.7185294008068,258.4211604918787,869.7902885526285,1425.686927382124,1957.1288417677288,241.26394785210098,272.6878238591035,110.44307270594837,405.07280960829075,643.7843440023466,833.9860787463217
0.0,5,5.0,0.0,30.0,0.0,348.2825367278696,580.540829637016,248.82048139426436,858.6100834547624,1442.1442889004372,1961.577390561753,231.54218609270802,273.4007012448597,114.32316134755585,430.06615275072636,641.1755357565883,827.4100607533395
0.0,6,6.0,0.0,30.0,0.0,333.4498438976263,556.1029954883473,240.64608403249093,853.1924775146687,1455.8754669476089,1966.6226412513713,223.01149345261683,275.7657998164028,118.73790339823606,453.9467508962768,637.4110965838047,820.8272518851905
0.0,7,7.0,0.0,30.0,0.0,319.5640384989048,534.1995509398579,233.7919330754716,852.5369179234965,1467.6479559116415,1972.0866043746012,215.550091931165,279.53587183821344,123.54475932660472,476.0805923516795,633.6448814654924,814.1116502777024
0.0,8,8.0,0.0,30.0,0.0,306.55755760816544,514.6444536315839,228.15381375546409,855.6605184231636,1478.2204853055732,1977.8584269326332,209.0499905775969,284.4893950717792,128.615176846517,496.07269642049965,630.4150528518062,807.2709834999334
0.0,9,9.0,0.0,30.0,0.0,294.36883341185785,497.2673935477631,223.62833432462074,861.6500806663769,1488.2001826287074,1983.8967485855471,203.4152149502381,290.4276758708455,133.83510676881326,513.7426719845746,627.8830550741362,800.3478628254544
0.0,10,10.0,0.0,30.0,0.0,282.9416566003829,481.91086452226807,220.11275385081595,869.6994807510088,1498.0118968984787,1990.1998470975625,198.56029144300206,297.1725177814191,139.10540182043107,529.08507864933,626.0097812355856,793.3778385051163
0.0,11,11.0,0.0,30.0,0.0,272.2246171024961,468.42787691020646,217.50543092600623,879.1299945957592,1507.9185445359897,1996.7801536150898,194.40894588396097,304.5643373986757,144.34197206689205,542.2237968812977,624.6711165804454,786.3813022124161
0.0,12,12.0,0.0,30.0,0.0,262.1706115882833,456.68020484337256,215.70668958267586,889.39523570813,1518.0596763576652,2003.6511679371667,190.89298291756452,312.460626411942,149.47561564798823,553.3678596356644,623.7262825353781,779.3680697704992
0.0,13,13.0,0.0,30.0,0.0,252.73640864183088,446.5370790351755,214.6199100459956,900.0745387889981,1528.4916196697247,2010.8234632302915,187.95131843142696,320.7346737234887,154.45149304721056,562.7734481282404,623.0528344459186,772.3433480053463
0.0,14,14.0,0.0,30.0,0.0,243.8822639722768,437.87424793595744,214.1526752635363,910.8591080756321,1539.2214452239812,2018.3048849282457,185.52914196127222,329.2744751406784,159.22825950189514,570.7141243536531,622.5599470675166,765.3114458264894
0.0,15,15.0,0.0,30.0,0.0,235.57157918966928,430.57333895114465,214.217837580785,921.5346944469819,1550.232056541362,2026.1017854153056,183.57718982189138,337.98177092648467,163.7769072511097,577.4594378055921,622.1890058476635,758.2772467482719
0.0,16,16.0,0.0,30.0,0.0,227.77059860151522,424.52145809134765,214.7344089749997,931.9635781789522,1561.4985535833794,2034.2199922422487,182.0511128385097,346.77116365283126,168.0793934940902,583.2609126807181,621.9079993502759,751.2464318647701
0.0,17,17.0,0.0,30.0,0.0,220.4481392522934,419.61097230341085,215.62821759314687,942.0676279565647,1572.9974497404737,2042.6652774718739,180.91092512589995,355.5692802994285,172.12714044464636,588.3439454343004,621.703956748989,744.2252679568077
0.0,18,18.0,0.0,30.0,0.0,213.5753501076342,415.7394245735343,216.83230873233035,951.8133834900699,1584.7107845215826,2051.4434855122886,180.120522487953,364.31395318730483,175.91949237459386,592.9040944178363,621.5758411436517,737.2203704953203
0.0,19,19.0,0.0,30.0,0.0,207.12549694255046,412.8095377303176,218.287096626971,961.1995258403264,1596.627047741541,2060.560512002115,179.64726077240692,372.9534038700555,179.4622041888705,597.1064219785424,621.5289767065143,730.2385624426569
0.0,20,20.0,0.0,30.0,0.0,201.07376980836023,410.72926916003684,219.94029327825157,970.2467329666273,1608.740421413644,2070.022251044103,179.4615859812162,381.44542227232597,182.76602050409284,601.0868138796973,621.5712406863573,723.2868190380585
0.0,21,21.0,0.0,30.0,0.0,195.39711051822275,409.4118851628892,221.74665239902424,978.989716842466,1621.0493685125107,2079.834556554232,179.53670916046485,389.756539975665,185.84538674327246,604.9544689636575,621.7108006789043,716.3722579912616
0.0,22,22.0,0.0,30.0,0.0,190.07405777601372,408.7760302708783,223.66757129047647,987.4711490672732,1633.555177599152,2090.0032238038048,179.8483201181201,397.8612015205968,188.71731697161945,608.7949844985128,621.9550041045125,709.5021441146926
0.0,23,23.0,0.0,30.0,0.0,185.08460807332392,408.7457731864227,225.6705931217528,995.7371607399624,1646.2607589544866,2100.533984252099,180.37433487831177,405.74094094896225,191.40042871709764,612.6736470951686,622.3100186923006,702.6838936410369
0.0,24,24.0,0.0,30.0,0.0,180.4100904793644,409.2506168428895,227.7288481512111,1003.8341186619735,1659.16978448901,2111.432506140757,181.09467250562656,413.38357268562424,193.91414363276084,616.6386769146162,622.7808943617471,695.925074327221
0.0,25,25.0,0.0,30.0,0.0,176.03305391600787,410.22546548803854,229.82046676195634,1011.8064136686413,1672.286150632758,2122.704396453611,181.99105754526533,420.7824064673379,196.27804470341985,620.7242714838447,623.3718124401198,689.2334020839869
