Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.950180214206653e-10,6.24516204833454e-10,5.871428954385073e-10,5.552506306166288e-10,4.936978894752839e-10,4.022576753857402e-10,3.7228110342239e-10,3.082280144469423e-10,2.581124328519568e-10,2.150116623037464e-10,1.7128144519178653e-10,1.3985546487481408e-10,1.0587192610732805e-10,7.876684722801652e-11,5.911171274549835e-11,4.280735159095402e-11,3.132976123930652e-11,2.0370870860871228e-11,1.3580503961439116e-11,8.234827084945112e-12,4.7047197862612155e-12,3.0277646020656782e-12,1.717520240630344e-12,8.897715486859654e-13,5.15154923254028e-13,2.3510148758910753e-13,5.452688747419151e-09,4.222718951620451e-09,3.4721818753759206e-09,2.713737436099039e-09,2.033080635905878e-09,1.5854689260343335e-09,1.1770619934148946e-09,8.68993506456898e-10,6.90044568131354e-10,5.192774141965921e-10,3.873130974381525e-10,2.7428270092882957e-10,1.8079957135578036e-10,1.2178942269437626e-10,7.813774578426847e-11,4.951957077323333e-11,3.09541589067468e-11,2.155661753039914e-11,1.2327027020711698e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.514473397770613e-10,5.939516958339692e-10,5.837398556872532e-10,4.951239096893754e-10,4.6456598296001543e-10,4.033231029925537e-10,3.662231832080365e-10,3.0495693520002235e-10,2.4982888250262515e-10,2.1233395294248503e-10,1.7289850124356793e-10,1.3448660415482138e-10,1.0470163794527321e-10,7.724870163027621e-11,5.794209039874964e-11,4.1713066315423597e-11,2.977946192545314e-11,2.005012354352321e-11,1.2766775761818957e-11,8.482781831660552e-12,5.012803405336924e-12,2.8053698416191007e-12,1.6813247173978475e-12,8.745098559267163e-13,4.758279606212317e-13,2.472868015946846e-13,5.4661701691775915e-09,4.391603008424953e-09,3.196454328751876e-09,2.6304161880850693e-09,1.981978902670477e-09,1.526606875592854e-09,1.1881409005497677e-09,9.151235170704872e-10,6.983527080422428e-10,4.98639272193449e-10,3.8345252767674176e-10,2.6825171007537083e-10,1.7432468318579657e-10,1.2824113520896627e-10,8.519004504896149e-11,5.357092859029126e-11,3.252924927940967e-11,1.9806506980738945e-11,1.2997868509711e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.521772662699834e-10,6.398211370152201e-10,5.740410695564318e-10,5.356064828320992e-10,4.725970707918647e-10,4.2329706970168703e-10,3.6219715331370505e-10,3.2637491352663536e-10,2.6008588789184793e-10,2.152075955139317e-10,1.8053310089223067e-10,1.2900781767296465e-10,1.0006020932908042e-10,8.132141534859573e-11,5.675717355811109e-11,4.525221953529758e-11,2.984325680142573e-11,2.0139198652732545e-11,1.4247359726661274e-11,8.796096539535894e-12,5.334751227332582e-12,3.0087566479222773e-12,1.5998114479559455e-12,9.38807364887972e-13,4.641559877465039e-13,2.4377091319930987e-13,5.599712923123935e-09,4.226581941925492e-09,3.3804468699100492e-09,2.670820625257879e-09,2.046271467884126e-09,1.5157270260966837e-09,1.2198164247702923e-09,9.603639155172924e-10,6.825011054500266e-10,5.142203471206189e-10,3.6831769336797384e-10,2.7903690752666404e-10,1.8624646299425405e-10,1.2411768972731288e-10,7.868456764902199e-11,5.260944759839999e-11,3.213423018009634e-11,2.0588428961701636e-11,1.2439534273837496e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.73601091477937e-10,6.279062481875462e-10,5.669560585302023e-10,5.265903614249395e-10,4.5231462564316507e-10,3.960218712918686e-10,3.669245855526189e-10,3.1141041454276863e-10,2.6414439157963253e-10,2.2799861791773035e-10,1.7591655321982647e-10,1.3099717961578982e-10,1.0780027420596908e-10,7.617842925219399e-11,5.826115513655439e-11,4.2856582505536174e-11,3.1886664704325046e-11,2.0184685946265623e-11,1.313862004631981e-11,8.37887822697626e-12,4.927991142967112e-12,3.0062333479704757e-12,1.5732116072659642e-12,8.465020355267687e-13,4.546795244005536e-13,2.305099980756067e-13,5.760031715065978e-09,4.367141292664187e-09,3.3278831275559087e-09,2.5032441806191548e-09,2.0745346165916496e-09,1.5202528721733432e-09,1.152829651551883e-09,9.563701520728444e-10,7.034889173650823e-10,5.306336921619486e-10,3.765734533071387e-10,2.709660901771512e-10,1.788150111384592e-10,1.1868036582152561e-10,8.214121278613898e-11,5.056738506740877e-11,3.2220140666480115e-11,2.0396840745120567e-11,1.2772399237658075e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.532358835545974e-10,5.918134612007404e-10,5.595521836931731e-10,4.857432602406454e-10,4.7647860329812e-10,3.947043052316552e-10,3.5022417828730327e-10,3.1043762190392907e-10,2.535708842091194e-10,2.227998563292762e-10,1.646337419634858e-10,1.3602668592992034e-10,1.0447763592802421e-10,7.681647131644227e-11,6.026640885814458e-11,4.290641695593758e-11,3.1137447557179175e-11,2.119683309515612e-11,1.4345270712805862e-11,8.718883413556466e-12,4.9475303291496135e-12,2.8652555904408607e-12,1.6622914440330123e-12,8.82422683348336e-13,4.622623374971708e-13,2.18825865344063e-13,5.440740187005534e-09,4.152047434243231e-09,3.346896062396052e-09,2.590987422973524e-09,2.0783777284829673e-09,1.5820431588307677e-09,1.2372070092510717e-09,9.103734091244435e-10,6.769511653117292e-10,5.098379203324201e-10,3.726230052292394e-10,2.669736700511609e-10,1.9453342631215783e-10,1.2219143646330404e-10,7.815013371115121e-11,5.133698277172163e-11,3.2556217485496615e-11,2.1096682587581868e-11,1.2257525071242678e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.615477690132781e-10,6.202225226523931e-10,5.74595232962883e-10,5.11187098639273e-10,4.6442840756034164e-10,3.969851904850395e-10,3.5694545164400667e-10,3.050045133953432e-10,2.6269397272686505e-10,2.0572388178058605e-10,1.7552273375516813e-10,1.4128822739683918e-10,9.839880172355616e-11,8.093588115993019e-11,6.080483727045061e-11,4.248221440092543e-11,3.0169154020010495e-11,2.063783757271036e-11,1.3345015371368356e-11,8.281629070181118e-12,4.726021161269036e-12,2.962184420521484e-12,1.643673521630157e-12,8.331012146403462e-13,4.265758659446265e-13,2.297381309981928e-13,5.350518674572347e-09,4.2639914691521684e-09,3.287077952139821e-09,2.6523932608903865e-09,2.0651410412785626e-09,1.5328574676047074e-09,1.1583709146738258e-09,8.792799251613917e-10,7.092616400634044e-10,4.975923405362689e-10,3.669429400997211e-10,2.59038160129581e-10,1.8170188539005668e-10,1.151182969553642e-10,8.088884074480953e-11,5.27668699830761e-11,3.323010305410362e-11,2.0724088848517502e-11,1.2977594047535018e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.682504330668842e-10,5.660248215406544e-10,6.041623571697876e-10,5.266671644436923e-10,4.586778607594942e-10,4.0991423497804495e-10,3.677665274203495e-10,3.090864106062545e-10,2.4378613178846945e-10,2.2651838905253316e-10,1.7118130036262652e-10,1.396744403250982e-10,1.0305980496761799e-10,8.393127202964405e-11,6.037236869083595e-11,4.428479758684631e-11,2.9667829766253345e-11,2.150367070726615e-11,1.3733798912335809e-11,8.65810985529318e-12,4.85464248195655e-12,2.798556783337424e-12,1.6834332250868524e-12,8.155454474013088e-13,4.371435350197608e-13,2.2987893955162054e-13,5.460369473205093e-09,4.320001982756422e-09,3.2789401038046295e-09,2.6271647948503575e-09,1.9435223007933467e-09,1.6447317200241038e-09,1.2040624239727104e-09,9.040969030289149e-10,7.102329201603581e-10,5.086624121357294e-10,3.5748467535949826e-10,2.5288455487223485e-10,1.8557276433881112e-10,1.2151123936635498e-10,8.010158405092576e-11,5.372488264528975e-11,3.215639877539445e-11,2.0586975627699114e-11,1.287911665873689e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.622691496317974e-10,6.166530396341474e-10,5.658254689589781e-10,5.196788073389821e-10,4.66402337808404e-10,4.059081684136533e-10,3.536586212475729e-10,3.128477536623609e-10,2.5282025314121526e-10,2.0610510483518495e-10,1.7040947656148564e-10,1.3520790993994626e-10,1.1274340282956213e-10,7.886077663791536e-11,6.182668287759914e-11,4.464678570823231e-11,2.9622455233378585e-11,2.1255388970665452e-11,1.2963634749407832e-11,7.640924537319725e-12,5.0072650221919515e-12,2.6666660655411543e-12,1.577675517938847e-12,8.135236766886648e-13,4.53099982698549e-13,2.253268015871474e-13,5.370187585249609e-09,4.157969727837453e-09,3.1976665911387304e-09,2.563774095420955e-09,2.005614801983329e-09,1.5494671946057124e-09,1.213833034454076e-09,9.387439611330934e-10,7.03406675291959e-10,5.037548993086711e-10,3.561070507283375e-10,2.740742948283476e-10,1.778308469643555e-10,1.195951525113054e-10,7.917426637119198e-11,4.9268425216804165e-11,3.295440602367117e-11,2.0878975416836075e-11,1.3365476593335221e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.742983846994509e-10,6.175666183289255e-10,5.867616137723522e-10,5.260252608065741e-10,4.67770562776087e-10,4.1696249824065477e-10,3.605388714058549e-10,3.0675522240054937e-10,2.5785530264995553e-10,2.065186137308507e-10,1.7376574456411173e-10,1.3214056594192944e-10,1.0863891341299418e-10,8.030073850543514e-11,6.048519787897828e-11,4.4492023682251626e-11,3.13967384180257e-11,1.9811802969727465e-11,1.3338868077623385e-11,8.489415491987197e-12,4.637068667692001e-12,2.8218425325011907e-12,1.434072848505153e-12,7.934928814754384e-13,4.245859961215974e-13,2.034850386893539e-13,5.283099804114869e-09,4.057937506380656e-09,3.4824206282362207e-09,2.6107505306749165e-09,2.0568510654358072e-09,1.555943710953465e-09,1.1951394353491793e-09,8.777788384907694e-10,6.897907727049594e-10,5.03569740458481e-10,3.814869036595789e-10,2.7205471857905786e-10,1.893630782656082e-10,1.2499641665817935e-10,7.901335112269752e-11,5.053089232962819e-11,3.4372285552043016e-11,2.1553365355061536e-11,1.2513074676066807e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.675684398383889e-10,6.326560188633323e-10,5.718874502613916e-10,5.179042340420952e-10,4.567406315206598e-10,3.9705268978707883e-10,3.7144802959453473e-10,3.0770869912010913e-10,2.583215690371534e-10,2.2513435967547046e-10,1.761826533278677e-10,1.3809110845370764e-10,1.0680555390370097e-10,8.496520251478484e-11,6.379812572567044e-11,4.5240850529502566e-11,3.1419683321948883e-11,1.9496184556992688e-11,1.3448447872356374e-11,8.203503565245646e-12,4.866019988081954e-12,2.841096673572406e-12,1.3943686674936268e-12,7.926905612236684e-13,4.199464903744223e-13,2.0726657433123127e-13,5.212455515011498e-09,4.355862140447213e-09,3.345707956708357e-09,2.5220657654563525e-09,2.0413221823202473e-09,1.6047968817682477e-09,1.2079183318085941e-09,9.44437552518752e-10,6.972804891775974e-10,5.089887023365439e-10,3.5872770519977257e-10,2.6211548436765694e-10,1.8223468431446123e-10,1.2498885864545529e-10,8.022765746057559e-11,5.315000736941581e-11,3.2801111516518135e-11,2.096871996756928e-11,1.3264943144724841e-11
