Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.00858667872714e-11,5.278673901955256e-11,4.830136712878227e-11,4.4310962044491596e-11,3.7990054926721364e-11,2.9672621535705727e-11,2.6134420802905272e-11,2.040970245004028e-11,1.5953384043006447e-11,1.2278052154873921e-11,8.948117023773994e-12,6.6073851361563495e-12,4.4746721422296075e-12,2.944610592429109e-12,1.9350444696437115e-12,1.2196608880928177e-12,7.79412801974959e-13,4.4581964606960665e-13,2.660427246164579e-13,1.470927531238888e-13,7.821237244513002e-14,4.864545052522397e-14,2.745686681208445e-14,1.3654937141939424e-14,1.0301922330445107e-14,2.7040625121000554e-15,3.5453102889770484e-09,1.6171986056111525e-09,8.507599374036868e-10,4.679682206962151e-10,2.7639267594018774e-10,1.8780480371551208e-10,1.2937087414789849e-10,9.084080653562106e-11,6.894718339495778e-11,4.916260987842434e-11,3.433872103014667e-11,2.250236578223772e-11,1.3571260069701664e-11,8.293697422664225e-12,4.77750954617434e-12,2.690570784094816e-12,1.4648201435688877e-12,8.786316198799101e-13,4.218087458901369e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.625880921745395e-11,5.0301211139847114e-11,4.8324525719549405e-11,3.999756552604082e-11,3.6459195749466286e-11,3.06079116785525e-11,2.6704060636006985e-11,2.1192443128438177e-11,1.637942724790998e-11,1.2994368992658446e-11,9.770533474583546e-12,6.9275479544069294e-12,4.8541812291408966e-12,3.18087226282989e-12,2.0941161882755575e-12,1.3135064017969094e-12,8.185302992629686e-13,4.844363671869431e-13,2.755090205902427e-13,1.6680281323882502e-13,9.192855628679478e-14,4.8620087106740115e-14,2.90756597913299e-14,1.4559718254703642e-14,8.577583553753335e-15,5.1680389906143574e-15,3.532259214190856e-09,1.6689581919822333e-09,7.786058518032528e-10,4.514506360135516e-10,2.6641095242028323e-10,1.76422077632723e-10,1.260682348774122e-10,9.22642748436041e-11,6.791022486246921e-11,4.667605252840806e-11,3.426397873610208e-11,2.262593851382739e-11,1.3712504852371146e-11,9.31044938797514e-12,5.634858037441612e-12,3.182664235204403e-12,1.6955116903991504e-12,8.858826266182663e-13,4.961937743227154e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.612412926590204e-11,5.404143381469278e-11,4.747898902638595e-11,4.3362687307279315e-11,3.7344541311827505e-11,3.254496841337836e-11,2.6958318104086035e-11,2.3354672440721143e-11,1.7728210386948477e-11,1.3826984009950503e-11,1.0812105992132466e-11,7.1037433995052565e-12,4.995446499925874e-12,3.6270119959993594e-12,2.2316808681895507e-12,1.5554375434626687e-12,8.971882419236526e-13,5.329459003618604e-13,3.36984009354017e-13,1.8951650167907936e-13,1.0736395292421382e-13,5.774215673320797e-14,2.952150566419522e-14,1.8857460625344082e-14,8.822266238627782e-15,5.5212586699864335e-15,3.5955904144946876e-09,1.5939285862344948e-09,8.195961881102514e-10,4.587158676663119e-10,2.7563445260663293e-10,1.7430266244726285e-10,1.2726420346690056e-10,9.432383309384193e-11,6.456262152978809e-11,4.714791319505583e-11,3.265693811110933e-11,2.3730385767400458e-11,1.5022183561138277e-11,9.390891393244091e-12,5.502538290656105e-12,3.3423293896750573e-12,1.8061902648201269e-12,1.0014751127374623e-12,5.113081830739232e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.784584754419408e-11,5.2903018585739985e-11,4.677914519479655e-11,4.256786451182686e-11,3.576463523511506e-11,3.0578697077445434e-11,2.7570082993923332e-11,2.264858330453399e-11,1.8447831522856102e-11,1.5140473526918626e-11,1.0986160817258475e-11,7.586247777175386e-12,5.7041746100841675e-12,3.6255002315685992e-12,2.4585807311459675e-12,1.588773046706909e-12,1.0379281669148628e-12,5.801625895161708e-13,3.37984298914233e-13,1.965177931368108e-13,1.0763275279555952e-13,6.283918679358428e-14,3.1498575175493653e-14,1.6631676319851056e-14,9.240490914541312e-15,4.501045897810448e-15,3.6742850230972416e-09,1.6342661655081897e-09,8.034322818809977e-10,4.3098374273417837e-10,2.8160171162267856e-10,1.7600739521461177e-10,1.2013800565061433e-10,9.281106571164424e-11,6.523833661985488e-11,4.7640695637501665e-11,3.289201462126178e-11,2.2956500212123637e-11,1.4566596737563397e-11,9.200998775612888e-12,5.966641122619882e-12,3.3740128590327942e-12,1.920069215592087e-12,1.058840013048245e-12,5.655076487438836e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.613902364453149e-11,4.985409223946994e-11,4.612224241136609e-11,3.920811668482701e-11,3.763087657020838e-11,3.048592304929567e-11,2.6400312179401203e-11,2.2755608861028118e-11,1.796021917199542e-11,1.5114675617730824e-11,1.0586747729064565e-11,8.176428508737313e-12,5.7820964541844185e-12,3.850867521974832e-12,2.6963853201510956e-12,1.6966116732644397e-12,1.0867087725258002e-12,6.563015070509979e-13,3.989385908610082e-13,2.2166478429290868e-13,1.1726109225637717e-13,6.465317344133752e-14,3.703665778762325e-14,1.9951284843872842e-14,1.0983051760341175e-14,3.6753226765022675e-15,3.447125722544912e-09,1.5418118138449393e-09,8.048767604163295e-10,4.4750511062474297e-10,2.8487868726235127e-10,1.8541554950322905e-10,1.3008938900979497e-10,8.840415037059809e-11,6.221507024763474e-11,4.5071875472541603e-11,3.2035821610688464e-11,2.239359834530686e-11,1.5847997167255496e-11,9.588749872280528e-12,5.814464751672906e-12,3.5463859277400494e-12,2.0272362262059595e-12,1.15465823024533e-12,5.712889733441513e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.7072941106506704e-11,5.239565833690994e-11,4.744127785541868e-11,4.128239096201333e-11,3.666562211279611e-11,3.064677268110959e-11,2.6920890051593574e-11,2.2425887518690687e-11,1.8742808731878805e-11,1.4138185873414624e-11,1.151035388602178e-11,8.722869554351458e-12,5.633531819715353e-12,4.226981367642273e-12,2.8537049147505454e-12,1.7739108588565658e-12,1.118765580674817e-12,6.828003240943332e-13,3.9826490127122546e-13,2.2670785145104642e-13,1.207854091970141e-13,7.262644881615872e-14,3.9549954782237536e-14,1.9538700111651515e-14,9.40552855267872e-15,6.16098852384081e-15,3.3663110513514825e-09,1.5712111208809956e-09,7.877122271222525e-10,4.5982757483823476e-10,2.86062963488469e-10,1.8226290476378262e-10,1.235475087383581e-10,8.619672776935649e-11,6.526663032371338e-11,4.3674050216969605e-11,3.1164793551047445e-11,2.1480133418125523e-11,1.4719750065160183e-11,9.065433639436446e-12,6.1005997391886855e-12,3.7304116280708084e-12,2.13614779436747e-12,1.1788124417739222e-12,6.388520056434312e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.8039436350489e-11,4.809396575392866e-11,5.011203008348043e-11,4.266855270930397e-11,3.62753248196846e-11,3.166481954901417e-11,2.7743304789949627e-11,2.2748609409194446e-11,1.7451641077913517e-11,1.5679893910973793e-11,1.1365793697679301e-11,8.784103703392229e-12,6.049573201958517e-12,4.52456157088953e-12,2.944897937402415e-12,1.9354924600910813e-12,1.1594114930400293e-12,7.546313889662054e-13,4.371679201781619e-13,2.540506041331534e-13,1.3352797183692677e-13,7.35830867524497e-14,4.407216018621712e-14,2.055430441854588e-14,1.1459463301454102e-14,7.117602769931328e-15,3.410743544613695e-09,1.5796703963118935e-09,7.833203016608653e-10,4.574267592292447e-10,2.7221066804905034e-10,1.9857689649440326e-10,1.3057578799928488e-10,8.993704828826216e-11,6.594953624980195e-11,4.469666900091412e-11,3.017499363563147e-11,2.077241098682372e-11,1.4917749619603788e-11,9.551041039662807e-12,6.076292700682403e-12,3.851213941591869e-12,2.1113145226817173e-12,1.2051132554996442e-12,6.573182057611668e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.8048794422977634e-11,5.283543448590836e-11,4.727609749465579e-11,4.235310970615003e-11,3.704654338379503e-11,3.1440704186378096e-11,2.671680724886363e-11,2.3044667580618255e-11,1.812532195006945e-11,1.4318973200045379e-11,1.1397274808755448e-11,8.606914774981437e-12,6.736514673187387e-12,4.354368576327536e-12,3.1099119338838413e-12,2.0265728105446387e-12,1.2110047292300988e-12,7.857484455438543e-13,4.3735275762851126e-13,2.386766022042646e-13,1.4753106173153766e-13,7.503883824244245e-14,4.3752680400291e-14,2.2336985980892715e-14,1.4042835981889585e-14,7.39093862385627e-15,3.329635347152092e-09,1.508879990938808e-09,7.618655355166278e-10,4.485921905750956e-10,2.8416819375068217e-10,1.900326585009194e-10,1.33974067582942e-10,9.501274575287001e-11,6.624385923883353e-11,4.462226608900661e-11,3.0073685315170774e-11,2.239529133206664e-11,1.4194491036069086e-11,9.356445278859652e-12,6.008364784349774e-12,3.5542073605623623e-12,2.193428873059426e-12,1.2478734327495373e-12,7.049875885075428e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.976590791390085e-11,5.3472361907417704e-11,4.949898219642163e-11,4.323202204373183e-11,3.7411160776077324e-11,3.246236696940277e-11,2.7327897720079065e-11,2.2638379930039805e-11,1.8508824891974105e-11,1.4373870217073998e-11,1.1667161495969344e-11,8.474039389337692e-12,6.5697252977327224e-12,4.512624817489971e-12,3.116430880305203e-12,2.0833522619153777e-12,1.3339702803592664e-12,7.666756642527138e-13,4.743724520426924e-13,2.8141937089170275e-13,1.4531418848453288e-13,8.541922701566305e-14,4.1775192243891344e-14,2.3261927449966488e-14,1.3001015429317437e-14,4.967301410752217e-15,3.2508009389605446e-09,1.4615336546482905e-09,8.278862663571303e-10,4.593471987477862e-10,2.949527397750834e-10,1.9390088368272698e-10,1.3430610526184267e-10,9.050094173278987e-11,6.607748429338787e-11,4.5188893138689847e-11,3.2428069905509274e-11,2.2228099822427518e-11,1.504786177580236e-11,9.728033828097837e-12,5.978632574449914e-12,3.650523408649443e-12,2.3043862354108567e-12,1.3065063998185891e-12,6.696381015569597e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.99280363838108e-11,5.545241978071537e-11,4.8801938101553296e-11,4.301228481010448e-11,3.686272834680023e-11,3.114218505787918e-11,2.831035465993339e-11,2.2789672876798632e-11,1.857902744410571e-11,1.5690095840677815e-11,1.185241745459177e-11,8.891584509891267e-12,6.507972327194943e-12,4.83438078527985e-12,3.34819904827005e-12,2.1727133379836077e-12,1.3793951664414338e-12,7.854394675871591e-13,5.015164834573603e-13,2.8690631803764167e-13,1.6200618099700072e-13,9.176221545037853e-14,4.3358385896790745e-14,2.5176799263260446e-14,1.394809805797437e-14,6.546568125260912e-15,3.1824073302153034e-09,1.5572585140400583e-09,7.940389621258581e-10,4.464848698731471e-10,2.9640987488481947e-10,2.0326756633893554e-10,1.3823339683143746e-10,9.924042375894672e-11,6.804489025377995e-11,4.642029619407412e-11,3.084013860604028e-11,2.152359735674544e-11,1.4470382881912277e-11,9.687432629966912e-12,6.04331586870534e-12,3.831125719569247e-12,2.2014173904566333e-12,1.2790810162898788e-12,7.253197946827562e-13
