Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.706585178080474e-11,5.2160566096214406e-11,4.69235897907819e-11,4.151972318539573e-11,3.597451904686567e-11,3.0568849892943486e-11,2.5410163129435904e-11,2.0502799970050625e-11,1.6002938297999505e-11,1.2128651407692398e-11,8.909615568994683e-12,6.331163986233493e-12,4.37478788435449e-12,2.9339004297543604e-12,1.9096123940846103e-12,1.207568247962349e-12,7.459444371553533e-13,4.4858820526488735e-13,2.6354775616834953e-13,1.5105636689818193e-13,8.522094492794858e-14,4.7507466308456503e-14,2.6354881257383987e-14,1.4463960173882143e-14,7.96821801250203e-15,4.169763141709323e-15,3.5404501165181596e-09,1.6263312943960554e-09,8.133589437777904e-10,4.4821074362514745e-10,2.751138296113444e-10,1.8569807872141524e-10,1.329107740065698e-10,9.658000043043893e-11,6.96744089180335e-11,4.893308542936303e-11,3.31163760491931e-11,2.171884449048743e-11,1.3730856950625295e-11,8.369662759131237e-12,4.933040016731837e-12,2.811166961929019e-12,1.5457636811552779e-12,8.264776903847377e-13,4.301288824581802e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.700802182595706e-11,5.2265552800511665e-11,4.722306120534547e-11,4.203265868746384e-11,3.669338064853098e-11,3.145286173107504e-11,2.6397660765099063e-11,2.152225385930329e-11,1.6980873375338088e-11,1.3005364633446363e-11,9.64657467332329e-12,6.9137512880998364e-12,4.8105286889521165e-12,3.2425807412623326e-12,2.1171584595102673e-12,1.3405589470476527e-12,8.27463047044882e-13,4.965773284611146e-13,2.9066055099941897e-13,1.659021040963558e-13,9.312072382521769e-14,5.1625435017798045e-14,2.846708137384967e-14,1.5561011750496318e-14,8.523966639312232e-15,4.432530568827799e-15,3.518643866295954e-09,1.6137954031922026e-09,8.085587302709017e-10,4.4606650067162073e-10,2.7199898612924274e-10,1.8115455165863513e-10,1.2829616821597662e-10,9.313477163686255e-11,6.779598993244279e-11,4.8366727213119544e-11,3.336232378702887e-11,2.2314177504881826e-11,1.4375197115430086e-11,8.912260435388907e-12,5.331053308919859e-12,3.0733430352455047e-12,1.7048884853836786e-12,9.172317825667453e-13,4.777654734257447e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.681127932878423e-11,5.2129663904052023e-11,4.718417049058283e-11,4.212836086790498e-11,3.6949514193567614e-11,3.186942561314568e-11,2.6949828884741105e-11,2.2167046850751596e-11,1.766096855283517e-11,1.3662221487984931e-11,1.0233941313743842e-11,7.403073203429851e-12,5.193394470094712e-12,3.5245080179128554e-12,2.313095722424052e-12,1.4697182402875598e-12,9.084686235642019e-13,5.45193964416996e-13,3.1850940765854887e-13,1.8132779686268242e-13,1.0138457040965479e-13,5.5971420021849715e-14,3.069220580627756e-14,1.6720560214455826e-14,9.100077331604498e-15,4.710828277386467e-15,3.4962359232987495e-09,1.601375467203161e-09,8.047703998265435e-10,4.4636659662185583e-10,2.725565331717412e-10,1.802476033413387e-10,1.2613564558693593e-10,9.071414966233079e-11,6.593656157977878e-11,4.7360521556973485e-11,3.3088922898602466e-11,2.2482942013265723e-11,1.4725118870622283e-11,9.277412471596291e-12,5.632871034733212e-12,3.2888515012294623e-12,1.844100941464788e-12,1.0004681180196575e-12,5.231408795483214e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.669532909726356e-11,5.2003476589933437e-11,4.7073304591567346e-11,4.206808700959667e-11,3.697718588556946e-11,3.2010787762876454e-11,2.7211388970002e-11,2.2535899069192138e-11,1.810295261782192e-11,1.4130238588221755e-11,1.0683450352582424e-11,7.79984590869474e-12,5.519219494806027e-12,3.7745133443783826e-12,2.4931072139904232e-12,1.5920330477632432e-12,9.871589974864375e-13,5.93442565644217e-13,3.466176922682065e-13,1.971082332912397e-13,1.0991900784689409e-13,6.050438436921562e-14,3.301863673368689e-14,1.79346914411936e-14,9.696458827134069e-15,5.004660380851039e-15,3.4732335577681428e-09,1.5890070731833924e-09,8.013275650067261e-10,4.4743274670175144e-10,2.746447117116942e-10,1.8145214088565628e-10,1.2597615581973038e-10,8.961701317069506e-11,6.462386673242943e-11,4.63599339062925e-11,3.258046942054482e-11,2.2381131257912826e-11,1.4856835159329348e-11,9.495809433932421e-12,5.846890730371403e-12,3.457738634497419e-12,1.961221832692147e-12,1.0742106796268573e-12,5.651635849666173e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.674160927444617e-11,5.199897439311482e-11,4.70303302200809e-11,4.2010292039294646e-11,3.693803171311774e-11,3.2025105863661193e-11,2.7304967385428118e-11,2.272005302176078e-11,1.8367742933081392e-11,1.444596384575735e-11,1.1013932861554916e-11,8.11144292349554e-12,5.788918718533841e-12,3.990718365487068e-12,2.6547076386334975e-12,1.7053899512991033e-12,1.062104986691757e-12,6.404575088728111e-13,3.745362119172573e-13,2.1301964539692163e-13,1.1862581099556208e-13,6.517890706469804e-14,3.5431805826131014e-14,1.9195141133438038e-14,1.0312982987900636e-14,5.3126870332429e-15,3.4496432160568374e-09,1.5767218995374763e-09,7.981739045260818e-10,4.488266864138234e-10,2.773067199644828e-10,1.8366766476056783e-10,1.270913150548965e-10,8.96587151488641e-11,6.402926069722434e-11,4.563324742177289e-11,3.205218874122724e-11,2.2141717686482405e-11,1.4841778592223697e-11,9.600928442351024e-12,5.9864110810604175e-12,3.5837437857143012e-12,2.0562070380344404e-12,1.1375362330818814e-12,6.031430030718507e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.6964829825975416e-11,5.215080005184548e-11,4.711311462014881e-11,4.203564824380447e-11,3.692921006627606e-11,3.2014490976072006e-11,2.7325293673116557e-11,2.2797158895376444e-11,1.8511753875607436e-11,1.4646197475518457e-11,1.1246773973996411e-11,8.348562636000078e-12,6.006541065072769e-12,4.173608552934295e-12,2.796903487893664e-12,1.8085008957600834e-12,1.1322659475671413e-12,6.855363868929058e-13,4.0186740382477894e-13,2.2885178300103715e-13,1.2740706773286692e-13,6.994782241071438e-14,3.7914846833535535e-14,2.0493488864959038e-14,1.0949035588865049e-14,5.632537040130203e-15,3.42548158424232e-09,1.564548343135486e-09,7.953313851613064e-10,4.504818035652001e-10,2.802224305466762e-10,1.8631868166364327e-10,1.288968649328961e-10,9.049415720824192e-11,6.409298338939419e-11,4.528937474002985e-11,3.164598126792027e-11,2.1871446371699475e-11,1.4743006005964795e-11,9.624861583895756e-12,6.066192890526373e-12,3.6724553667595856e-12,2.1304277326571804e-12,1.1903413369895842e-12,6.367518907472763e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.735284296263725e-11,5.245724386576385e-11,4.7334561832010393e-11,4.217498712924035e-11,3.699948863137759e-11,3.204061130637663e-11,2.7338361749344956e-11,2.28281225423991e-11,1.858377648706018e-11,1.4765399711654605e-11,1.1403610738011024e-11,8.523246212480674e-12,6.177836186748519e-12,4.325201443157301e-12,2.9198141919715993e-12,1.9007689777409437e-12,1.1969598333485411e-12,7.281469296630767e-13,4.282780957757554e-13,2.444164612535736e-13,1.3616952058348472e-13,7.476437224826413e-14,4.044941011213318e-14,2.1821256378768048e-14,1.1603414411151326e-14,5.962665480625886e-15,3.4007733306475097e-09,1.5525189958407117e-09,7.928210504702718e-10,4.524043114913027e-10,2.833154531464049e-10,1.891669749436201e-10,1.3104031712055614e-10,9.181048536707725e-11,6.465693053320495e-11,4.5323123740736566e-11,3.143326748184868e-11,2.164709012462968e-11,1.4613516542000437e-11,9.597011587707875e-12,6.1007997925797875e-12,3.7301296272418e-12,2.186068225458674e-12,1.233113685262385e-12,6.659166349136911e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.788494828975098e-11,5.290236358266378e-11,4.768651712531225e-11,4.243155685588658e-11,3.716618727173108e-11,3.213442679598367e-11,2.7384715186875143e-11,2.28564334347321e-11,1.86230699650985e-11,1.48340214837579e-11,1.1505063526796593e-11,8.647819355068042e-12,6.309354645475765e-12,4.4484151990954095e-12,3.0243249281254537e-12,1.982135668844179e-12,1.2558132920143939e-12,7.679178285625201e-13,4.535030108039236e-13,2.5955250173808975e-13,1.4482782911761755e-13,7.958393032933409e-14,4.3016485698700286e-14,2.3170010286130158e-14,1.2274348335487115e-14,6.303491768459132e-15,3.3755481152460457e-09,1.540671955194084e-09,7.906633326443826e-10,4.5460556871193804e-10,2.865785111936045e-10,1.9213477098336323e-10,1.3334718508457623e-10,9.339185947604289e-11,6.555618992968476e-11,4.566922991193506e-11,3.1429430576750876e-11,2.151447023689221e-11,1.4494364129322099e-11,9.543310370565749e-12,6.103946335583842e-12,3.763091223383458e-12,2.225699605225168e-12,1.2667216813615153e-12,6.907142566806978e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.853929210285611e-11,5.3466313440107204e-11,4.815284729992788e-11,4.279555223466624e-11,3.7428769647343095e-11,3.230639660946067e-11,2.7485101755824875e-11,2.2909757414744624e-11,1.8658691858073182e-11,1.4877325223784937e-11,1.156982127968926e-11,8.734267502839496e-12,6.407929689764938e-12,4.546651770775005e-12,3.11181004578723e-12,2.052933826303155e-12,1.3087048265623893e-12,8.046208751590019e-13,4.773425854792844e-13,2.7412761299257293e-13,1.533065900129464e-13,8.436530074249293e-14,4.559715268490771e-14,2.4531490083354228e-14,1.295956797300409e-14,6.65672914362411e-15,3.3498400392984597e-09,1.5290488866368543e-09,7.888808026302348e-10,4.5709516675059e-10,2.900170214151684e-10,1.9520490373071243e-10,1.3574541174903765e-10,9.511342179800368e-11,6.666111773380137e-11,4.624538561149361e-11,3.161434362572468e-11,2.1492265412962386e-11,1.4413534717951327e-11,9.485283174730324e-12,6.088136951823253e-12,3.7774729205423864e-12,2.252025568973477e-12,1.292241777660346e-12,7.113161244536931e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.929568024245648e-11,5.412972745010363e-11,4.871581982981552e-11,4.32524053732412e-11,3.777807075440876e-11,3.25549413683885e-11,2.7646588924793477e-11,2.3002989793306796e-11,1.8710073000494246e-11,1.491479829433956e-11,1.1613924154139683e-11,8.79375547551083e-12,6.4803536397425925e-12,4.62354248183762e-12,3.1839380712570287e-12,2.1137633930983863e-12,1.3557082100699825e-12,8.381487722850093e-13,4.99657802556835e-13,2.8803809411478227e-13,1.6154126890445075e-13,8.907157893637023e-14,4.817320119794515e-14,2.5897743419213333e-14,1.3656420470124027e-14,7.0236647860842145e-15,3.323687943900931e-09,1.5176938956964096e-09,7.874978803702474e-10,4.5988269912211384e-10,2.9363661732761655e-10,1.9837802295898057e-10,1.3821145163777328e-10,9.691285926733144e-11,6.788550638379888e-11,4.697731409763719e-11,3.195155783290503e-11,2.157923359599762e-11,1.4386504489464906e-11,9.439261597980833e-12,6.064288828232411e-12,3.779066261678261e-12,2.2677474299791624e-12,1.310837494478883e-12,7.27971317185702e-13
