Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.594771895594814e-11,5.781263787696242e-11,5.2630947632595796e-11,4.782224160453093e-11,4.038461365192849e-11,3.0873390380247546e-11,2.6424321811756005e-11,1.9864630326198352e-11,1.477986681665153e-11,1.0703132854230815e-11,7.243181625357562e-12,4.89225412449253e-12,2.985582289372533e-12,1.7416071106034619e-12,9.971019984953112e-13,5.373188549760794e-13,2.899294111713311e-13,1.3701112884069882e-13,6.723716390555165e-14,2.9261217539562755e-14,1.096086559498921e-14,6.544854649630064e-15,3.640654283996719e-15,3.990262230500022e-16,2.9820350177431557e-15,-1.2622572718869105e-15,3.5438473249273594e-09,1.6159463596756156e-09,8.510509158113932e-10,4.728490973994333e-10,2.87725329602295e-10,2.0471966312135245e-10,1.4731148656039703e-10,1.0636682985987638e-10,8.138217317276564e-11,5.7430788139390704e-11,3.902353903929135e-11,2.4487494042033404e-11,1.3921863853210599e-11,7.89129357318084e-12,4.147208132195904e-12,2.097451423346238e-12,1.0056554375901182e-12,5.265915533394233e-13,2.149311978651054e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.134799611099422e-11,5.497988726608232e-11,5.28619796366083e-11,4.3661728133502e-11,3.95582690884466e-11,3.284361475589139e-11,2.8173433078605713e-11,2.1816206044933455e-11,1.6303626484981054e-11,1.2387536908759615e-11,8.820942195115202e-12,5.84744200173583e-12,3.78017489918502e-12,2.251604500836882e-12,1.325799851675123e-12,7.307787150608044e-13,3.9450383336405567e-13,1.9833681086953507e-13,9.45858146790507e-14,4.7190880888623295e-14,2.1030280579728638e-14,7.722884644134776e-15,4.826810907427594e-15,9.829692901768528e-16,1.1182836571894937e-15,1.0372336158976454e-15,3.5308619814631908e-09,1.6675434662229438e-09,7.774422671733679e-10,4.513568738093744e-10,2.6924933564153126e-10,1.832856092725517e-10,1.362106508064353e-10,1.0350793496386829e-10,7.810263690907512e-11,5.413695098311958e-11,3.942138334633604e-11,2.543711001806028e-11,1.485580846969069e-11,9.580101539501436e-12,5.428463187075128e-12,2.8291267285471934e-12,1.3672207147575462e-12,6.364627755631061e-13,3.1751378057030804e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.042302175647234e-11,5.843958000431137e-11,5.155329249526415e-11,4.7208300443097324e-11,4.066266660496298e-11,3.5308612212913464e-11,2.900306119547396e-11,2.475924318079208e-11,1.8379472204639208e-11,1.3904995493580888e-11,1.0446354306783744e-11,6.522147568526386e-12,4.3078407061258096e-12,2.899121841923029e-12,1.6292664235999283e-12,1.0206365448156932e-12,5.214115207603553e-13,2.6945874510554104e-13,1.464641013713354e-13,6.953711704655512e-14,3.343072471840155e-14,1.480144285872445e-14,5.471162758731099e-15,4.761730017425984e-15,1.217029357295609e-15,1.2715710940656996e-15,3.594263419684873e-09,1.5926672188487423e-09,8.183198326827494e-10,4.5759759553910503e-10,2.75498329950794e-10,1.76262162213588e-10,1.320356538894456e-10,1.0133519774325112e-10,7.168964760413693e-11,5.35349509728833e-11,3.736060459499896e-11,2.6944842628655284e-11,1.670279064701558e-11,1.0089321078915504e-11,5.6409104869588384e-12,3.2257554009699488e-12,1.6165538076849457e-12,8.193587004335167e-13,3.753487316362307e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.140689702135391e-11,5.643936457999527e-11,5.017748131691557e-11,4.589703515242483e-11,3.8719924854511595e-11,3.316065366809378e-11,2.9839865483067226e-11,2.434039955395366e-11,1.955849471770983e-11,1.5722240282091397e-11,1.1080413848895108e-11,7.361065920294673e-12,5.2707803021531185e-12,3.1530070954680782e-12,1.985963107583945e-12,1.1747679115471278e-12,6.926037132202827e-13,3.4366516503692903e-13,1.7511915271747065e-13,8.75480787026336e-14,4.0540413054649896e-14,2.0296438411375456e-14,7.606132389785112e-15,2.833931035249216e-15,1.5375738027320665e-15,1.8273514232487798e-16,3.6730536932927913e-09,1.633076892232719e-09,8.022907900933108e-10,4.29898410981382e-10,2.8065712498227735e-10,1.759398784089414e-10,1.2160886335952447e-10,9.629661856419903e-11,6.987482533099328e-11,5.2565229818208596e-11,3.701122104608414e-11,2.597615011269174e-11,1.6350737398393757e-11,1.0113306825564605e-11,6.347953577503589e-12,3.431843918637802e-12,1.842505737176035e-12,9.46025149449281e-13,4.626606015572725e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.882356368031417e-11,5.2480899634877494e-11,4.8820555253622555e-11,4.175399705430672e-11,4.03202753274699e-11,3.282902781971516e-11,2.850663042019136e-11,2.4544063676900406e-11,1.9246126193758794e-11,1.59886313251942e-11,1.097139754260135e-11,8.23118488809592e-12,5.603350944060774e-12,3.5551652364843952e-12,2.3435652004971003e-12,1.3701687097770192e-12,8.045050884693079e-13,4.3878326188831633e-13,2.373970275485066e-13,1.1559432062388133e-13,5.267771439900876e-14,2.4537421857050622e-14,1.2615208553375142e-14,5.974966557533492e-15,3.1852685787578356e-15,-6.736299013837017e-16,3.446093442400646e-09,1.540800770531014e-09,8.038448070805725e-10,4.4649477355511854e-10,2.8386167909745613e-10,1.8467100719088065e-10,1.3011777870681742e-10,8.964813669778643e-11,6.464255293319705e-11,4.824955666056187e-11,3.5228294794177445e-11,2.5028244239902803e-11,1.7769484977102804e-11,1.0646295143168277e-11,6.320163490064284e-12,3.730102697953675e-12,2.039077569131154e-12,1.097661778931896e-12,5.035659524681214e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.913913270823379e-11,5.450765200658842e-11,4.9597889180787417e-11,4.341391082261261e-11,3.8817956222545393e-11,3.266402320302816e-11,2.885673417686402e-11,2.4118355593605154e-11,2.0140860057671142e-11,1.5095597589928976e-11,1.2127174154356624e-11,8.998334024897717e-12,5.643264393785713e-12,4.073387662561683e-12,2.6175345167699195e-12,1.5305362215668657e-12,8.96567667739786e-13,5.013197038610795e-13,2.639991751870211e-13,1.336847883524976e-13,6.219959764173978e-14,3.277814214554542e-14,1.5672003605264952e-14,5.9623541550368725e-15,1.7139908152500345e-15,1.7722853191039214e-15,3.365418621107902e-09,1.5702973912309593e-09,7.868124976697315e-10,4.589110995602622e-10,2.8514943805508826e-10,1.8143600438221324e-10,1.230184072999753e-10,8.63259006269669e-11,6.636525392937965e-11,4.551488834028748e-11,3.3415908834555467e-11,2.3576406627576564e-11,1.636389217378945e-11,1.0079490098352727e-11,6.704847967266456e-12,4.006679019990272e-12,2.2180694248820114e-12,1.170606405440231e-12,5.966256908974322e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.95954388712979e-11,4.954155637195595e-11,5.183356313892915e-11,4.4363523936317505e-11,3.7956772285212723e-11,3.336899237483901e-11,2.9447420001864694e-11,2.4296521141529418e-11,1.870477267865524e-11,1.6788649320430602e-11,1.2082696398437782e-11,9.204958229814386e-12,6.2009042095905214e-12,4.497508481428704e-12,2.8115309774704835e-12,1.7559198019818815e-12,9.878617118865585e-13,5.96329083168724e-13,3.159274609484696e-13,1.656883271508978e-13,7.732493182493333e-14,3.723056575020088e-14,2.0410750220341746e-14,7.319264450908423e-15,3.7680049152471316e-15,2.7292217584596074e-15,3.409949420931944e-09,1.5788638488816324e-09,7.825348108392399e-10,4.5662758605376606e-10,2.714569154310851e-10,1.9775683274513826e-10,1.2988311789805795e-10,8.957317024131741e-11,6.618713623189731e-11,4.5631313768468176e-11,3.159490544291228e-11,2.2328211009370318e-11,1.635705439070595e-11,1.0566418075864669e-11,6.702796994090478e-12,4.187408601971098e-12,2.2394812149213103e-12,1.234375563651217e-12,6.397880188243647e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.917801262870054e-11,5.399798094244968e-11,4.847531032685717e-11,4.361352053390812e-11,3.836054641869065e-11,3.2774037129302086e-11,2.8060088709728876e-11,2.43912471848662e-11,1.9309084164584744e-11,1.5303395089317748e-11,1.2157485084104193e-11,9.103530322513045e-12,7.013552651522002e-12,4.426441194046741e-12,3.0594072612510044e-12,1.9106299967030624e-12,1.0823953110279243e-12,6.581435985196147e-13,3.387173316159614e-13,1.686601529555869e-13,9.398385068949959e-14,4.203922791498642e-14,2.184696796133619e-14,9.435115886018929e-15,6.367430600551615e-15,3.0292964254082714e-15,3.3289600290783582e-09,1.5082087122115984e-09,7.612025275289302e-10,4.47912806803886e-10,2.834902779683233e-10,1.8935638639748849e-10,1.3330214677575762e-10,9.446111931333503e-11,6.603584464381167e-11,4.493005061014859e-11,3.087491493812685e-11,2.35760999136794e-11,1.5303490949640792e-11,1.0250421056982682e-11,6.615271707774211e-12,3.887553684639235e-12,2.3585453103306255e-12,1.3062488363306354e-12,7.078949021588177e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.059356165302598e-11,5.4315971980213744e-11,5.040748094743704e-11,4.417455630063629e-11,3.840066824592669e-11,3.351478850444949e-11,2.841382474363849e-11,2.3729984913454108e-11,1.9559894504678804e-11,1.528566164834261e-11,1.2436527865753658e-11,9.002723995117972e-12,6.9086751081443836e-12,4.66118675107478e-12,3.13545672835693e-12,2.0232608963838835e-12,1.238060808617866e-12,6.727423828800027e-13,3.8865928124020123e-13,2.1275985851764463e-13,9.98413948912863e-14,5.28896023526889e-14,2.2161085330468485e-14,1.0896504608054924e-14,5.579361992750382e-15,6.960773213889221e-16,3.2502313533520773e-09,1.4609712871932001e-09,8.272665017748283e-10,4.5875118753157334e-10,2.9435068543470846e-10,1.9331431859028133e-10,1.3372005649200805e-10,8.997289260697423e-11,6.568876350464871e-11,4.513296774381444e-11,3.2811060546430626e-11,2.2970076909230013e-11,1.5935866257747673e-11,1.0519203393283638e-11,6.5414976428617256e-12,3.996703538866169e-12,2.4975720650965735e-12,1.388061438826965e-12,6.885385351446547e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.050859916607983e-11,5.60687727937094e-11,4.943846549555984e-11,4.368619497242108e-11,3.757424714139606e-11,3.1894842460083824e-11,2.917378170697849e-11,2.3666592852016922e-11,1.946261342245322e-11,1.6570667328745655e-11,1.2587891349400673e-11,9.45278608621392e-12,6.882479795535384e-12,5.0487423625049464e-12,3.425400927667789e-12,2.158950984875596e-12,1.3189509647421008e-12,7.155001931690138e-13,4.302075781608717e-13,2.291490893234386e-13,1.1893019596518114e-13,6.132727273465826e-14,2.513374765503419e-14,1.3272510671135627e-14,6.71780543271229e-15,2.323305479816206e-15,3.181929593967484e-09,1.5567443373093583e-09,7.935315454506415e-10,4.459935855765874e-10,2.958970967797787e-10,2.0274779854543347e-10,1.3772315617540482e-10,9.872256290684482e-11,6.760424799809662e-11,4.617602201489235e-11,3.090548149427846e-11,2.1912337050402037e-11,1.5065350460980188e-11,1.0321272872327817e-11,6.549599561847152e-12,4.181792642203705e-12,2.394604280350255e-12,1.372415808422044e-12,7.587306349981187e-13
