Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.263307765914027e-11,5.7126846181492896e-11,5.1129670786160874e-11,4.480982013510238e-11,3.824203622846613e-11,3.180588657432101e-11,2.5692030186341946e-11,1.9955241542133883e-11,1.4825775919708166e-11,1.0572895752271278e-11,7.212015956471501e-12,4.6877316362716804e-12,2.918935346625778e-12,1.735271765445689e-12,9.839917498072826e-13,5.319831379569724e-13,2.774059741566933e-13,1.3788421771232517e-13,6.65382021990404e-14,3.0417468924501675e-14,1.3721705032076624e-14,5.881140758269769e-15,2.7732315464283317e-15,1.1416263881521614e-15,7.117630100386906e-16,1.921325620187384e-16,3.5389891580073202e-09,1.6250719767428653e-09,8.136371302340352e-10,4.52885551295331e-10,2.863940480860053e-10,2.0242319405503176e-10,1.5134228196546588e-10,1.130869244704446e-10,8.2240554869632e-11,5.716266387379413e-11,3.7634445335010847e-11,2.3634866636511295e-11,1.4085581379181612e-11,7.963579169890647e-12,4.282322880035544e-12,2.1919011669682033e-12,1.0626645348789745e-12,4.918207202185116e-13,2.2104650163663856e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.216498266947159e-11,5.712693853759546e-11,5.165709264549291e-11,4.5883255330227515e-11,3.981235995589605e-11,3.375028268536051e-11,2.7850173792879358e-11,2.2155724161027283e-11,1.6902289249347545e-11,1.2398019060768466e-11,8.709030712936564e-12,5.835796382795067e-12,3.7461801271513095e-12,2.295287656728371e-12,1.3403908091179236e-12,7.458401750177036e-13,3.9882075074843885e-13,2.033639496676319e-13,1.0004711441391894e-13,4.6884680379597464e-14,2.150844239712856e-14,9.416887426648753e-15,4.360086497699907e-15,1.8917275796209998e-15,1.066311689845648e-15,3.08111907763074e-16,3.517252019302561e-09,1.6124274372711222e-09,8.07350382680696e-10,4.4597385670292357e-10,2.7489690502942273e-10,1.8820219503117226e-10,1.3861782419822992e-10,1.044845123653981e-10,7.797125723811818e-11,5.609785790561176e-11,3.83840238710602e-11,2.508662215217672e-11,1.5573723907107325e-11,9.170395318956342e-12,5.135744501874771e-12,2.731804360202801e-12,1.3748568405245248e-12,6.602205058979935e-13,3.0325842369009726e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.116280485421997e-11,5.637222132107702e-11,5.123317477690617e-11,4.5864508020537966e-11,4.0232540690088266e-11,3.4575703932225435e-11,2.8993928084068383e-11,2.3500192882148545e-11,1.8309760189639078e-11,1.3739303391210233e-11,9.887747570675886e-12,6.796971261489432e-12,4.47854308836998e-12,2.8171869543145546e-12,1.6887099557820603e-12,9.643717627214052e-13,5.27975991264995e-13,2.7568564564367125e-13,1.3825961528056618e-13,6.624338985613232e-14,3.0884753963179866e-14,1.3820606828018685e-14,6.347865913247097e-15,2.8447219918633445e-15,1.485298656777865e-15,4.690352611570701e-16,3.494945596428768e-09,1.6001082066723509e-09,8.035171325641979e-10,4.452784299238932e-10,2.7242193055065904e-10,1.822739355309917e-10,1.308647838649201e-10,9.745719941505447e-11,7.32152522467282e-11,5.377635963603415e-11,3.785480331690741e-11,2.5528456445176377e-11,1.637250768447971e-11,9.967412756493912e-12,5.774509141337936e-12,3.17412371930893e-12,1.6506198993624928e-12,8.185147584736436e-13,3.8506380048809603e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.018555150662119e-11,5.547969197965861e-11,5.049301032213517e-11,4.535817080354614e-11,4.00326704442099e-11,3.47136648734697e-11,2.945164103463853e-11,2.4219297987723787e-11,1.9192852230365185e-11,1.4673187660096637e-11,1.0775106379630205e-11,7.568323960069681e-12,5.099877272310416e-12,3.2826017766261587e-12,2.0138538453400063e-12,1.1771788547720613e-12,6.587028761504946e-13,3.515550635414575e-13,1.796492472669473e-13,8.782553307581835e-14,4.160148372029831e-14,1.8999638071441276e-14,8.72242464543282e-15,3.989589287442864e-15,1.9761625749347408e-15,6.8087147856794795e-16,3.4720696045166207e-09,1.5878507354405822e-09,8.001890635352944e-10,4.4630599200363685e-10,2.7372346115003527e-10,1.8138253547140356e-10,1.27518489873487e-10,9.298261380818263e-11,6.921668618018327e-11,5.115208436724396e-11,3.6660663539036764e-11,2.5325113745198905e-11,1.6676507450757836e-11,1.0437313436251039e-11,6.220573819589372e-12,3.516991340117727e-12,1.8820445633081685e-12,9.599117006865212e-13,4.623617127840527e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.945496464387896e-11,5.47387953787002e-11,4.978176935558765e-11,4.4738124493299874e-11,3.9577914359470514e-11,3.448650991047568e-11,2.948346238384815e-11,2.450571336701813e-11,1.968282754754758e-11,1.5281253716662718e-11,1.1414103508064502e-11,8.165764110894735e-12,5.609962314661374e-12,3.684277954176385e-12,2.307340104164545e-12,1.377258695704212e-12,7.862833544409798e-13,4.281731835048785e-13,2.227784172797535e-13,1.1094928147561831e-13,5.3374673606431736e-14,2.4835940412921838e-14,1.145245548258419e-14,5.311436324758829e-15,2.5432765160758584e-15,9.439743952912814e-16,3.448610182021141e-09,1.5756879639309916e-09,7.971505450939361e-10,4.478133656100721e-10,2.7631674345221785e-10,1.8293014111465249e-10,1.2711905047996075e-10,9.09203549425313e-11,6.652752680168746e-11,4.8850504684105e-11,3.5246292793704703e-11,2.474673567220643e-11,1.6641322086563893e-11,1.0659815351497099e-11,6.50701874034313e-12,3.769379477284171e-12,2.068213221972175e-12,1.0813174669630076e-12,5.326092763719831e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.902710751437428e-11,5.425292383996835e-11,4.9254808130535034e-11,4.4206060760959404e-11,3.9097017222924926e-11,3.412176818514059e-11,2.929021786337228e-11,2.4517646536246394e-11,1.9892570562013097e-11,1.5638010616464816e-11,1.1849469561741033e-11,8.612206832568725e-12,6.016918034369044e-12,4.021954104651909e-12,2.565433247968983e-12,1.5603823947183626e-12,9.073893688802774e-13,5.033305848553151e-13,2.663976573328284e-13,1.3497363899068095e-13,6.591341976095694e-14,3.119979100464385e-14,1.449473039983769e-14,6.792433502094057e-15,3.1871028177467552e-15,1.250853697367982e-15,3.4245734675182665e-09,1.5636384881889963e-09,7.944229530640395e-10,4.495839551904302e-10,2.7932755648960243e-10,1.8547338087046893e-10,1.2834485463705759e-10,9.062977002423741e-11,6.517185168892334e-11,4.7198294190784626e-11,3.393185022658458e-11,2.4005899675566475e-11,1.6389744455361488e-11,1.0701419882831483e-11,6.667042954325329e-12,3.9444639743821985e-12,2.2121351316892314e-12,1.1820609526938026e-12,5.946337910307279e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.889043833207642e-11,5.4036165673024595e-11,4.896067865317696e-11,4.385035190379505e-11,3.8714502782418686e-11,3.376500889352139e-11,2.901760362266522e-11,2.4381444673875266e-11,1.9918201872925183e-11,1.5809489780215498e-11,1.2122898746258978e-11,8.931602996672457e-12,6.332375618524557e-12,4.299340292443493e-12,2.7875830610093134e-12,1.7244169000631471e-12,1.0198591244752536e-12,5.753876879087671e-13,3.094857526262476e-13,1.5933087791336461e-13,7.893953286037193e-14,3.795957763601339e-14,1.7798955486620376e-14,8.412517206006589e-15,3.904884277168483e-15,1.5910360677470314e-15,3.3999815283314204e-09,1.5517263113601753e-09,7.920260325757023e-10,4.51613913061222e-10,2.8253095137072637e-10,1.8838577126725816e-10,1.3034518283095715e-10,9.14390276469437e-11,6.48898736954903e-11,4.6270867490252024e-11,3.291238173154686e-11,2.326838573923006e-11,1.6023482379753055e-11,1.0617270148084176e-11,6.729823723354575e-12,4.0558320335309395e-12,2.318669124999515e-12,1.2630091161986357e-12,6.482040621096046e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.901097921177887e-11,5.406638269017187e-11,4.8896140720545685e-11,4.369430223658238e-11,3.848443394969839e-11,3.349717899766911e-11,2.87615780189131e-11,2.4192013889573843e-11,1.9839339928392082e-11,1.5853852492839026e-11,1.2272463364542235e-11,9.146795046274427e-12,6.568826193126374e-12,4.522044368711015e-12,2.9752100147524574e-12,1.8687344361773636e-12,1.1224488584004637e-12,6.432028205475106e-13,3.512484684460139e-13,1.8354173509053313e-13,9.220052457223415e-14,4.498869797394043e-14,2.1311746275530025e-14,1.0150135588418244e-14,4.691523099688693e-15,1.958943453838946e-15,3.374863485125025e-09,1.539986532685786e-09,7.899752635860493e-10,4.539170778065104e-10,2.8589484533069854e-10,1.9145101808317081e-10,1.3267840826469918e-10,9.284964348444422e-11,6.535033465310999e-11,4.598423553094397e-11,3.2266776067489293e-11,2.264884730292375e-11,1.5626780608576536e-11,1.0455119234598283e-11,6.720480155277408e-12,4.115874054843199e-12,2.393193104580593e-12,1.3259221082248209e-12,6.935736256799217e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.934995935457221e-11,5.4309828088916e-11,4.90366392538955e-11,4.372857068631164e-11,3.8418742863126126e-11,3.335376163108035e-11,2.8577275577607514e-11,2.401444798094175e-11,1.9718272012195533e-11,1.5821052636123226e-11,1.2332768805310737e-11,9.279187175110756e-12,6.738532244198117e-12,4.696333859656835e-12,3.130807686810575e-12,1.9937196065037696e-12,1.2146106841591942e-12,7.060474786622705e-13,3.9109565642316785e-13,2.0721785374098901e-13,1.0547664828144802e-13,5.217030596582411e-14,2.497971735241479e-14,1.1983076162784253e-14,5.540201501933814e-15,2.3569287180081223e-15,3.3492531006601666e-09,1.5284605407397456e-09,7.882902379535264e-10,4.565020775846749e-10,2.8942504179659455e-10,1.94614393888884e-10,1.3515308255998721e-10,9.455846041593301e-11,6.626896363167081e-11,4.618815277995905e-11,3.1987724814888026e-11,2.2209685863212434e-11,1.5264124921667664e-11,1.0256732967006061e-11,6.661281403811065e-12,4.1355996171644695e-12,2.4409103193136678e-12,1.3729598473698178e-12,7.311728729292292e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.987011697173394e-11,5.473137875835078e-11,4.9351223977169083e-11,4.393007770705119e-11,3.850725733543809e-11,3.334174282121265e-11,2.8489772054235064e-11,2.388811793706775e-11,1.9599891256327275e-11,1.5751858145153066e-11,1.233459902395886e-11,9.348782556023386e-12,6.85327180513101e-12,4.828555719655858e-12,3.257352855189338e-12,2.1003743488322616e-12,1.2963013249853638e-12,7.635243042340384e-13,4.2861191386669374e-13,2.300564243134186e-13,1.1858300431756776e-13,5.940023717649928e-14,2.875177984374162e-14,1.3889267885379622e-14,6.4429055048362045e-15,2.791785545838864e-15,3.3231889989068515e-09,1.5171927824390967e-09,7.869946436578854e-10,4.5937667269206124e-10,2.931286368493031e-10,1.978707579971295e-10,1.3770129198434227e-10,9.640714407648033e-11,6.744589623461066e-11,4.6730108913021075e-11,3.2019255287831e-11,2.1968977902748987e-11,1.4978025108744388e-11,1.0056883328721518e-11,6.5723244419013006e-12,4.125002907504918e-12,2.4666334324716752e-12,1.4063501489593345e-12,7.614834514006304e-13
