Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.2649318897077716e-11,2.8846959710885676e-11,2.5139334461423224e-11,2.1757502525035746e-11,1.8700871286237155e-11,1.6083762057782755e-11,1.3842468607026734e-11,1.188331432862682e-11,1.0149269959261914e-11,8.620497144343176e-12,7.2684718728615486e-12,6.057036591130745e-12,4.991892677765192e-12,4.0544475554637656e-12,3.237484018427154e-12,2.5379974936613393e-12,1.9519017268682706e-12,1.4687317108913691e-12,1.0784779192358188e-12,7.727021769816052e-13,5.408205051560222e-13,3.7177589193581764e-13,2.502869018113614e-13,1.6526531003011892e-13,1.0685163637577362e-13,6.773388457823615e-14,3.5501477682897408e-09,1.6357115215619698e-09,8.202756551810424e-10,4.4724259633263525e-10,2.603234677572696e-10,1.5634358932090446e-10,9.436601425817855e-11,5.637921679489867e-11,3.3910829652097143e-11,2.080454763408005e-11,1.3213832924413211e-11,8.79810695018028e-12,6.0214571444887735e-12,4.185698495881701e-12,2.9153572786349865e-12,2.017809991612164e-12,1.378947748075554e-12,9.317287480309846e-13,6.174956468874306e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.663948222406395e-11,3.229184272580311e-11,2.7935899960091535e-11,2.3829043568011346e-11,2.003336077738344e-11,1.6750324474407995e-11,1.3971051711955394e-11,1.1617995286023895e-11,9.643073605494911e-12,8.007907434199374e-12,6.6418234043082596e-12,5.470821361520721e-12,4.473637118824801e-12,3.6147181923160062e-12,2.8771385763833424e-12,2.2517516300208556e-12,1.7313194853953072e-12,1.3037019559977922e-12,9.589137464166582e-13,6.887108418045717e-13,4.835215399835694e-13,3.336005353565203e-13,2.2547478630018072e-13,1.4950552643106215e-13,9.708922870725059e-14,6.181151789184159e-14,3.5270801612780152e-09,1.6221826072065626e-09,8.166970991576587e-10,4.5236656548910994e-10,2.727027279821971e-10,1.7268943356583815e-10,1.1039542167937188e-10,6.900047528633143e-11,4.214832036618506e-11,2.5260682268156634e-11,1.5132728089698527e-11,9.376626846109269e-12,6.021041932902158e-12,3.999047609951414e-12,2.701466237277236e-12,1.8347733115492817e-12,1.2383576378498776e-12,8.294170742400457e-13,5.484634411244668e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.066664620006204e-11,3.5994529610122255e-11,3.1209189258563145e-11,2.6562559897217785e-11,2.2142905228484094e-11,1.821732245442742e-11,1.4839232313516487e-11,1.1970766614574515e-11,9.609350933354114e-12,7.735929758065733e-12,6.253842652110259e-12,5.053361939172393e-12,4.077919433432477e-12,3.2660892882356344e-12,2.5849438487621463e-12,2.0159070467401417e-12,1.5475838977748922e-12,1.1648106234884954e-12,8.575000768119286e-13,6.168392090288573e-13,4.341277077104617e-13,3.004289652868829e-13,2.037712891458585e-13,1.3561024021235875e-13,8.842995185553953e-14,5.651487756341741e-14,3.503519267590248e-09,1.6086281954380455e-09,8.119940473895495e-10,4.5333825953094807e-10,2.7789372790911373e-10,1.813229136646072e-10,1.208278578000793e-10,7.903265411861895e-11,5.0107433661261727e-11,3.0539976102963434e-11,1.8033982786306645e-11,1.0678584426763851e-11,6.445378307133143e-12,4.031655808990909e-12,2.600979488314112e-12,1.7142148478619877e-12,1.134081205626299e-12,7.49183980815757e-13,4.939371517155867e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.4332984904671416e-11,3.948285714777693e-11,3.444398215158425e-11,2.9447863780125164e-11,2.457945690194012e-11,2.0136653659160276e-11,1.6216542497352897e-11,1.2819021136075343e-11,1.0001448870199425e-11,7.79455609457281e-12,6.103297691047466e-12,4.799421900208618e-12,3.794873969889571e-12,2.9970075693474805e-12,2.35030435218743e-12,1.8220884203510574e-12,1.3943577561562378e-12,1.0476323713759351e-12,7.712148142321549e-13,5.551466708036248e-13,3.9142642113109335e-13,2.7152316916277484e-13,1.8474295804049678e-13,1.2333240932805787e-13,8.074118579503755e-14,5.17999438348691e-14,3.4794671809650543e-09,1.5952400261585177e-09,8.07537034594476e-10,4.5362581310810097e-10,2.8052046983745126e-10,1.8579456953543955e-10,1.2693626090417274e-10,8.591672344277457e-11,5.653652419938355e-11,3.5562525959765446e-11,2.13168226439428e-11,1.2485583791450339e-11,7.258025481055055e-12,4.295974982313832e-12,2.6235075291654317e-12,1.656281084266725e-12,1.06319766512697e-12,6.883620890902895e-13,4.506542061418401e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.751304377358878e-11,4.25621166169236e-11,3.737837469905201e-11,3.217248168037015e-11,2.7012662074758604e-11,2.2200521606483428e-11,1.7851780024996198e-11,1.3988165590267481e-11,1.0720131297449419e-11,8.139722385866191e-12,6.176294143523702e-12,4.7050601892107665e-12,3.6206251944272553e-12,2.80144233577261e-12,2.1663550509567964e-12,1.6642100904852527e-12,1.266792403003786e-12,9.487029191515868e-13,6.976231750612787e-13,5.02058067979974e-13,3.5441129967895087e-13,2.462683288469242e-13,1.6802169127792027e-13,1.1246243087973088e-13,7.390737063906039e-14,4.760384711188124e-14,3.4549425164002474e-09,1.582032758286259e-09,8.034809694982314e-10,4.54124423215969e-10,2.8258109294045566e-10,1.8853544694927622e-10,1.304983543656166e-10,9.028525841281719e-11,6.118161831771322e-11,3.973269077780453e-11,2.446060774497657e-11,1.449682214752359e-11,8.340030179758716e-12,4.767066929125548e-12,2.77120953995427e-12,1.6639617764690337e-12,1.025740152488882e-12,6.457199800476765e-13,4.164373327802199e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.021622527019211e-11,4.519792049165878e-11,3.992490468589665e-11,3.459332394731054e-11,2.925376127501635e-11,2.41979138029367e-11,1.954075156674616e-11,1.5307868583517474e-11,1.1645041274764951e-11,8.70065131337018e-12,6.439643000178246e-12,4.758262272066935e-12,3.5510442736748823e-12,2.6762306201767274e-12,2.0291409712870756e-12,1.5381262379080507e-12,1.1612780612920917e-12,8.653067291712204e-13,6.347750589031486e-13,4.562920507738847e-13,3.2224658418213975e-13,2.2415129142925237e-13,1.53293974877804e-13,1.028223404579117e-13,6.782600562394908e-14,4.384718435302995e-14,3.4299598708486096e-09,1.5690381389827773e-09,7.998331529139038e-10,4.5498107628378343e-10,2.847290983052908e-10,1.907686221757531e-10,1.3284497475635838e-10,9.303862027364425e-11,6.433032876624505e-11,4.289830382555469e-11,2.716006505921715e-11,1.6453945108982676e-11,9.543662270539411e-12,5.386742193801011e-12,3.030051262397483e-12,1.7370432540940496e-12,1.0226271714902971e-12,6.209640159149039e-13,3.9042592125283457e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.2506423760396575e-11,4.743142872070926e-11,4.20921595017491e-11,3.6677342243719216e-11,3.122498381771685e-11,2.6014033944121447e-11,2.1148566186035936e-11,1.664482336806113e-11,1.266462618192503e-11,9.398388693892507e-12,6.846938398448479e-12,4.93701826518666e-12,3.5776238741452394e-12,2.618050452629248e-12,1.9362409891468245e-12,1.4411955833687608e-12,1.0752599943724653e-12,7.953442024359437e-13,5.811178891744047e-13,4.1680196672519856e-13,2.9424047634497613e-13,2.0474296369299959e-13,1.4029225099718686e-13,9.42605370998896e-14,6.240441546129757e-14,4.0457128400384117e-14,3.404534004680723e-09,1.556289554718908e-09,7.966081890557018e-10,4.562020421028332e-10,2.8711968990077607e-10,1.929868257617223e-10,1.3474423455376567e-10,9.491982068820347e-11,6.643525062531671e-11,4.5171404533032046e-11,2.9309600362691274e-11,1.819215489344815e-11,1.0739488693317829e-11,6.084385513614838e-12,3.372375848770543e-12,1.868977954586977e-12,1.0534408431299254e-12,6.140454325412227e-13,3.726405757285414e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.446235606824333e-11,4.9330975408646816e-11,4.393134981395604e-11,3.845004049756205e-11,3.29186225618709e-11,2.760628787461875e-11,2.2603819012976944e-11,1.7911550525954882e-11,1.3692148241103712e-11,1.016117226446741e-11,7.348399611788304e-12,5.212752725242088e-12,3.686835339967979e-12,2.6215305092289106e-12,1.8853362989423607e-12,1.371645379143932e-12,1.0070089997443915e-12,7.372440874195084e-13,5.354309991748645e-13,3.827306116538938e-13,2.6982167636338794e-13,1.8768401317741557e-13,1.2878836237617223e-13,8.664706374975656e-14,5.755849240347288e-14,3.737997330991107e-14,3.3786849851782044e-09,1.5438186431187167e-09,7.938257753573866e-10,4.5778656948395955e-10,2.8977148038458134e-10,1.9534782336889191e-10,1.3656511103580283e-10,9.641501528440004e-11,6.791102844208359e-11,4.677003025257851e-11,3.093657996212877e-11,1.9637985887151097e-11,1.1837491856632333e-11,6.795330619721662e-12,3.764772315654302e-12,2.0476069922368194e-12,1.1153066033111073e-12,6.244683902136613e-13,3.6338017859245294e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.616011896285941e-11,5.096830624696104e-11,4.550620132325571e-11,3.996126275102427e-11,3.4363520271104046e-11,2.8977209284479708e-11,2.3881989517255434e-11,1.9061321424447572e-11,1.466955480950115e-11,1.0932494323488133e-11,7.898675644441994e-12,5.555189372347836e-12,3.8617871426350635e-12,2.6788877496250267e-12,1.873286056623427e-12,1.3279210001476287e-12,9.553216470100234e-13,6.898674420867376e-13,4.967754675211726e-13,3.533794257624318e-13,2.4851859525398463e-13,1.7267288280367555e-13,1.1858837369598972e-13,7.9869470169959e-14,5.321335087157362e-14,3.457940662989488e-14,3.3524387649439724e-09,1.531658194199522e-09,7.915043509551381e-10,4.5973909912142307e-10,2.926800359336113e-10,1.9788673435527272e-10,1.3845659253783692e-10,9.779571376819076e-11,6.906234222544147e-11,4.791912488724247e-11,3.213566622527136e-11,2.0785525220071756e-11,1.2788746460160258e-11,7.470464052811704e-12,4.175298903468381e-12,2.257856164895299e-12,1.203041963355773e-12,6.508997929057672e-13,3.6277390180643074e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.7666429913467997e-11,5.2408433933625784e-11,4.687834980996536e-11,4.126597472419877e-11,3.5602904923193684e-11,3.0152807788941674e-11,2.498809872226618e-11,2.007780704226357e-11,1.556436601976875e-11,1.1673130444302168e-11,8.461086491274398e-12,5.936273259971377e-12,4.084542312285411e-12,2.7805931580507863e-12,1.895853736217065e-12,1.3082269212546225e-12,9.192156578811815e-13,6.523852346633306e-13,4.644452703798686e-13,3.281871907178096e-13,2.2994267443524956e-13,1.5945588249295542e-13,1.0952808964014119e-13,7.382945952557781e-14,4.930444256025885e-14,3.202974883488372e-14,3.3258265466923227e-09,1.5198436408469788e-09,7.896610445436086e-10,4.6206499822934416e-10,2.9584190428670705e-10,2.0060427259529042e-10,1.404667363915471e-10,9.919382978961881e-11,7.008308849994264e-11,4.8803700085412944e-11,3.302124383177321e-11,2.1669585844593314e-11,1.3577784309828347e-11,8.078530750331715e-12,4.5778124023743315e-12,2.4845095141453253e-12,1.3100358386644396e-12,6.91153513150933e-13,3.705568534754259e-13
