Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.600852721878642e-10,6.17107998405559e-10,5.703948813212632e-10,5.202742590782035e-10,4.675051027087142e-10,4.1440741131510484e-10,3.619641645691457e-10,3.0963397447420494e-10,2.5891417758229267e-10,2.1239538545888786e-10,1.7054447014208018e-10,1.340088970343154e-10,1.0350870510090152e-10,7.848037417750456e-11,5.83349306911268e-11,4.2383087018155715e-11,2.9985728907256537e-11,2.0497025049838112e-11,1.345414185556675e-11,8.451377330343196e-12,5.094948701999483e-12,2.9695326803219412e-12,1.6740971306839349e-12,9.10047294250969e-13,4.822396046422687e-13,2.4592975526137937e-13,5.4452138001086845e-09,4.246565606683303e-09,3.3195382955841883e-09,2.599164289845939e-09,2.0236737446626885e-09,1.5676837485436363e-09,1.2092691521893542e-09,9.238949453743958e-10,6.973227809881268e-10,5.168531300704809e-10,3.73526699429303e-10,2.647333905366296e-10,1.829251291274548e-10,1.2290405379942283e-10,8.067554490052488e-11,5.172304612787081e-11,3.2624217991904976e-11,2.036465202433184e-11,1.2518497244898767e-11
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.601228251563522e-10,6.171464418317497e-10,5.70434632893336e-10,5.203160167243082e-10,4.675499844085073e-10,4.144570766235651e-10,3.6202117626892874e-10,3.097028697369542e-10,2.5900248257962945e-10,2.1251362617083217e-10,1.7070495008439524e-10,1.3421876835667768e-10,1.0376010244381306e-10,7.874723509565311e-11,5.857956711631765e-11,4.2571904232167434e-11,3.010418375788591e-11,2.055146461420997e-11,1.3464061133460149e-11,8.437868527356121e-12,5.073963377755921e-12,2.9496336916789386e-12,1.6582971518008605e-12,8.989964098961712e-13,4.750857849680395e-13,2.4194482278342777e-13,5.445100422083919e-09,4.246450741524585e-09,3.3194215526265187e-09,2.599045066105327e-09,2.023551354854723e-09,1.5675576176577499e-09,1.2091381782211657e-09,9.237574871584744e-10,6.971779906947026e-10,5.167002731826973e-10,3.733624793368651e-10,2.645558948386907e-10,1.8274701566655713e-10,1.2276017213870306e-10,8.060543660447997e-11,5.174114836002113e-11,3.270579599727517e-11,2.0463948992271853e-11,1.2599172472076162e-11
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.601621308528915e-10,6.171868271515228e-10,5.70476589574748e-10,5.20360355708124e-10,4.675979845072134e-10,4.1451060747803765e-10,3.6208309691261165e-10,3.097782009676511e-10,2.5909940246214066e-10,2.1264318650688412e-10,1.7087935349893722e-10,1.344437513634648e-10,1.0402507858696628e-10,7.902326826055212e-11,5.882753254943887e-11,4.275899983879462e-11,3.0218221934259105e-11,2.0601152166681254e-11,1.3470280304258747e-11,8.42202560522882e-12,5.05171386131356e-12,2.9291337140769186e-12,1.6422506403374342e-12,8.878934961709742e-13,4.679277075104115e-13,2.3798579174950577e-13,5.444979885503063e-09,4.24632865599413e-09,3.319297505928743e-09,2.59891842729132e-09,2.023421442832965e-09,1.5674238374478106e-09,1.208999331759546e-09,9.236119376793283e-10,6.970250428771296e-10,5.165391103736897e-10,3.731895378978202e-10,2.6437018978268136e-10,1.8256434529202798e-10,1.226188096291209e-10,8.054496958430589e-11,5.177189171660503e-11,3.279776252033845e-11,2.056878490547786e-11,1.2681522720038598e-11
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.602035809528688e-10,6.172295809287817e-10,5.705212243683014e-10,5.20407811808325e-10,4.676497230367139e-10,4.145687345444615e-10,3.6215080379853345e-10,3.0986104582617404e-10,2.5920626768030485e-10,2.12785647603501e-10,1.7106940676166945e-10,1.3468549718706683e-10,1.0430496372517595e-10,7.930934205678854e-11,5.907925753908786e-11,4.294450058180775e-11,3.03278059929102e-11,2.0645972167299976e-11,1.3472650598867724e-11,8.4036993848001e-12,5.028073877385018e-12,2.9079411617786384e-12,1.6258984450079005e-12,8.767035364922267e-13,4.607470701418257e-13,2.340421028998275e-13,5.444851263253929e-09,4.2461984184278064e-09,3.3191652164600256e-09,2.5987834269178297e-09,2.023283056778386e-09,1.5672814417896919e-09,1.2088516252091612e-09,9.23457306177544e-10,6.968629497040752e-10,5.163686114250933e-10,3.730068241947828e-10,2.6417547573573126e-10,1.8237697952692826e-10,1.2248062106280298e-10,8.049524513865088e-11,5.181630245332276e-11,3.290077730674876e-11,2.0679482752958118e-11,1.2765702943445574e-11
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.60247592392324e-10,6.172751596109238e-10,5.705690458518976e-10,5.204589632999831e-10,4.677058706706354e-10,4.146322483268641e-10,3.6222524407853725e-10,3.09952560903923e-10,2.5932448812081717e-10,2.1294264780220852e-10,1.7127683528864702e-10,1.3494556597567838e-10,1.046009064861618e-10,7.960609232578957e-11,5.933495086294877e-11,4.312837244416203e-11,3.043281437701422e-11,2.0685787474261978e-11,1.3471037085484e-11,8.382766696759302e-12,5.002941412188657e-12,2.885982294866748e-12,1.6091931163459875e-12,8.653981477629645e-13,4.5352929314522837e-13,2.301044376684877e-13,5.444713650460321e-09,4.246059120735443e-09,3.3190237703118893e-09,2.5986391463792325e-09,2.0231352760390913e-09,1.5671294978251898e-09,1.2086941089028043e-09,9.232926496769496e-10,6.966907774602451e-10,5.161878011411716e-10,3.728133684400487e-10,2.639711144716146e-10,1.8218503709390094e-10,1.2234653752469145e-10,8.045754309555618e-11,5.187543251509697e-11,3.301541529689363e-11,2.0796253676785814e-11,1.2851784593844126e-11
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.602946223745377e-10,6.173240650813138e-10,5.70620614390322e-10,5.2051444797553e-10,4.677671667717761e-10,4.147020185469448e-10,3.6230745582211956e-10,3.100540046630114e-10,2.5945557754887743e-10,2.1311590793178229e-10,1.7150338999815056e-10,1.352254565668149e-10,1.0491390864683276e-10,7.991396037144939e-11,5.95946344735461e-11,4.331044508493166e-11,3.05330518641963e-11,2.0720437992643257e-11,1.3465311145379995e-11,8.35912199952888e-12,4.976232302999001e-12,2.863197139816134e-12,1.5920965111995843e-12,8.539543617715805e-13,4.4626287886759327e-13,2.261645465898911e-13,5.444566145369268e-09,4.245909859026532e-09,3.3188722590559022e-09,2.5984846750412426e-09,2.0229771905823977e-09,1.566967084639058e-09,1.2085258495651585e-09,9.23117050766122e-10,6.965076219087119e-10,5.159957335194335e-10,3.726082611821139e-10,2.6375661710304415e-10,1.8198888578177145e-10,1.222177565795189e-10,8.043331418749245e-11,5.19503633052107e-11,3.314218357638181e-11,2.0919218488252266e-11,1.2939771427636796e-11
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.60345183091591e-10,6.173768599085423e-10,5.706765579981179e-10,5.205749797247309e-10,4.678344368345437e-10,4.147790126422459e-10,3.6239858771344483e-10,3.101667580836236e-10,2.596011740794703e-10,2.1330725004161438e-10,1.7175086397487486e-10,1.355266233151271e-10,1.0524484545554006e-10,8.023321748072509e-11,5.985816834904491e-11,4.34904309315805e-11,3.062825906153673e-11,2.0749741195128496e-11,1.3455345799603522e-11,8.33267154058481e-12,4.947875570385872e-12,2.8395364273931823e-12,1.5745779483990812e-12,8.423536586865167e-13,4.3893889801151755e-13,2.222151111071801e-13,5.444407835775857e-09,4.2457497198525945e-09,3.318709765836281e-09,2.5983190962112037e-09,2.022807886456566e-09,1.5667932781658852e-09,1.2083459153739479e-09,9.229296022351239e-10,6.963125906587085e-10,5.157914737683854e-10,3.7239064241029987e-10,2.6353164372752894e-10,1.8178914512800487e-10,1.220957386485813e-10,8.042417193836823e-11,5.204220326406931e-11,3.328152980514701e-11,2.1048421889183422e-11,1.3029610906898784e-11
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.603998563484698e-10,6.174341825018646e-10,5.707375880945625e-10,5.206413649641002e-10,4.679086096914806e-10,4.1486431387000143e-10,3.6249991803639926e-10,3.102923439250969e-10,2.5976305798940954e-10,2.1351861156647503e-10,1.7202110231019084e-10,1.3585048417381158e-10,1.0559447639163242e-10,8.056398056351599e-11,6.012526848589783e-11,4.366794015908596e-11,3.0718120510905177e-11,2.0773493382020273e-11,1.3441012864859758e-11,8.303329362577623e-12,4.917810040041908e-12,2.814959275924526e-12,1.5566127799479842e-12,8.305811943659957e-13,4.315505820915421e-13,2.1824962190020585e-13,5.444237789180593e-09,4.245577770234915e-09,3.318535355336968e-09,2.5981414770780588e-09,2.0226264352895165e-09,1.5666071403138134e-09,1.2081533655337207e-09,9.22729396317465e-10,6.961047901821455e-10,5.155740859315184e-10,3.721596984050722e-10,2.6329601236051923e-10,1.8158669730379481e-10,1.2198220782786515e-10,8.043188432531063e-11,5.2152081519455106e-11,3.343384511452895e-11,2.1183841737628016e-11,1.3121202403726413e-11
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.60459308901906e-10,6.174967629746986e-10,5.708045159416364e-10,5.20714519698064e-10,4.679907352648227e-10,4.149591398055734e-10,3.6261287375055856e-10,3.1043244542827485e-10,2.599431677781395e-10,2.1375205605961386e-10,1.7231600669387184e-10,1.3619842212702895e-10,1.0596344874132427e-10,8.090622108798765e-11,6.039551961127192e-11,4.384249244059088e-11,3.080227166242054e-11,2.0791471378148586e-11,1.3422181294097245e-11,8.271014540958901e-12,4.8859818884168025e-12,2.789431448485331e-12,1.538181285977249e-12,8.186251860697049e-13,4.2409299190635464e-13,2.1426228483609742e-13,5.444055045534119e-09,4.245393050315376e-09,3.318348066442598e-09,2.5979508614045153e-09,2.0224318865623275e-09,1.5664077110254032e-09,1.2079472430321656e-09,9.225155170704097e-10,6.958833159551789e-10,5.153426247766777e-10,3.7191466514427975e-10,2.630497157008113e-10,1.813827043811453e-10,1.2187915568304473e-10,8.045836503311332e-11,5.2281138861199976e-11,3.3599463378582116e-11,2.1325394959410115e-11,1.3214403096906371e-11
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.605243088654211e-10,6.175654400629135e-10,5.708782701071713e-10,5.207954875525163e-10,4.680820032085677e-10,4.1506486159099635e-10,3.6273905002142934e-10,3.1058892482821147e-10,2.6014361489082293e-10,2.1400978108377834e-10,1.7263753573294627e-10,1.3657178147721527e-10,1.0635229590716739e-10,8.125976925346059e-11,6.066838411461723e-11,4.4013526248849356e-11,3.088030482199474e-11,2.080343436015463e-11,1.3398716273689298e-11,8.2356492858766e-12,4.852342866905361e-12,2.762924043810966e-12,1.5192678193393411e-12,8.064764240959229e-13,4.1656274576301345e-13,2.102479517885511e-13,5.443858611828133e-09,4.245194567878288e-09,3.318146906830133e-09,2.5977462641793883e-09,2.022223261834847e-09,1.5661940024525611e-09,1.2077265697144971e-09,9.222870349078138e-10,6.956472447333923e-10,5.150961312126126e-10,3.716548377151183e-10,2.6279294489191827e-10,1.8117863067321902e-10,1.2178884679912652e-10,8.050566393882151e-11,5.24305167313338e-11,3.377865809221346e-11,2.147294120473394e-11,1.3309032208501904e-11
