Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.373559829045996e-11,5.6163659726471905e-11,5.199432466083919e-11,4.4423382964483554e-11,3.764909081902187e-11,3.1928080290193024e-11,2.505420471211411e-11,2.0503361442181515e-11,1.50100805035104e-11,1.0845911776264655e-11,7.450518555471795e-12,4.4099352865185666e-12,2.896698563895956e-12,1.7802062937432758e-12,1.0231854533390886e-12,5.208205087760063e-13,2.9703303865765874e-13,1.4140873062038711e-13,6.751763347846478e-14,3.200127252381693e-14,1.3291935239273039e-14,6.9645092823574005e-15,3.053857417846397e-15,7.837940415939723e-16,1.574565117778804e-16,8.553016262605045e-16,3.733171903321938e-09,1.6798433715448483e-09,8.351364755579231e-10,4.6499977119643647e-10,2.9202052935356406e-10,2.0676996276270862e-10,1.5933494894097535e-10,1.157846310741132e-10,8.364000267642991e-11,5.354069651823875e-11,3.7452234031055037e-11,2.4509565364343325e-11,1.50700325014144e-11,8.176236939963529e-12,4.4060768929825846e-12,2.2377140505223012e-12,1.0309414623291427e-12,5.037531398906236e-13,2.289184056151705e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.325779689810165e-11,5.368340113844551e-11,5.2271727567203975e-11,4.691920123319953e-11,3.910054682999274e-11,3.357157432784732e-11,2.6358411111095446e-11,2.190740240583969e-11,1.7611894291021005e-11,1.2298235331547322e-11,8.94181659000834e-12,5.978431208155946e-12,3.700506376188329e-12,2.2019377699006336e-12,1.385593452509685e-12,7.490338776683907e-13,4.2287943635136116e-13,1.9570840309642122e-13,1.042344248364295e-13,4.326281597510326e-14,2.3070079218910117e-14,9.654972014918005e-15,5.549158220525977e-15,2.3271401731653507e-15,1.427144952015283e-15,6.320694762666587e-17,3.616951643786742e-09,1.644857440260591e-09,7.975130232989338e-10,4.595168737464146e-10,2.597566327211756e-10,1.8917093131059172e-10,1.3385622170935072e-10,1.0551550029443795e-10,7.815315592137917e-11,5.488969174793459e-11,3.8089582935657503e-11,2.5810161997211127e-11,1.573355122186355e-11,9.120177481070948e-12,5.00901484016251e-12,2.8173186855739164e-12,1.4009940553464558e-12,6.55883308180641e-13,3.10738293559009e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.078059731775784e-11,5.878520682422516e-11,5.400559706170446e-11,4.413169778700572e-11,3.9888794655772575e-11,3.5246756901691255e-11,2.930192668628691e-11,2.30011563172362e-11,1.8140582941159155e-11,1.3639951560083474e-11,1.042805214944331e-11,6.9071545198168676e-12,4.53800112790654e-12,2.7979374155310388e-12,1.7217515146981364e-12,9.600968134145729e-13,5.523104001197285e-13,2.8445688747140254e-13,1.3155080675338897e-13,6.527920362349386e-14,3.116633922814346e-14,1.3009279352232804e-14,6.301294071932345e-15,2.4146510197911784e-15,1.0255317109622847e-15,4.048758469481381e-17,3.518620151942516e-09,1.5324902160409375e-09,8.277290623971536e-10,4.2813981740646453e-10,2.8082095739715425e-10,1.8138770661170258e-10,1.2151452150313444e-10,9.643952360213029e-11,7.307467398535012e-11,5.45742165769699e-11,3.733186895870037e-11,2.555309819242204e-11,1.6443328918237057e-11,1.0444722163404894e-11,5.784956479893068e-12,3.1939263496376042e-12,1.614555054289088e-12,8.253009468646734e-13,3.982364665857059e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.935894454719488e-11,5.55337294232806e-11,5.1504365931588573e-11,4.6117998797194365e-11,3.9419847530738785e-11,3.6652939849012585e-11,3.0301062791016296e-11,2.4355056356930427e-11,1.9952591856213837e-11,1.433063571502525e-11,1.1015462409215912e-11,7.75831804198194e-12,5.1097011360191825e-12,3.308825611359642e-12,1.93838691122978e-12,1.1892915830945154e-12,6.557420978711316e-13,3.533502283255019e-13,1.8695039575880703e-13,8.580626276210165e-14,4.108847547388597e-14,2.149453947769195e-14,7.22043125668332e-15,4.244041924377135e-15,2.3274297746317058e-15,3.0682021304684275e-16,3.4440334080718034e-09,1.5803192300267244e-09,7.79261975458816e-10,4.5644474310554016e-10,2.7452692459408343e-10,1.7728014226377458e-10,1.2347822265742965e-10,9.269684266918803e-11,7.020949951350677e-11,5.178212424087877e-11,3.6303488077599484e-11,2.4968762133928133e-11,1.671293437710737e-11,1.0093196156390763e-11,5.8570425034206076e-12,3.4600174428288604e-12,1.899974388962844e-12,9.282850094044305e-13,4.950969207638746e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.885286638005954e-11,5.94662535163531e-11,5.032167008318967e-11,4.43333514991642e-11,3.783768550849624e-11,3.3962476512220336e-11,3.0344133402480195e-11,2.52950748465571e-11,2.0650962840066737e-11,1.510041095312016e-11,1.0771352075485521e-11,7.727854638872664e-12,5.482773489812958e-12,3.641762580726854e-12,2.2724796050837157e-12,1.4319771497557696e-12,8.338118331945933e-13,4.206212240371381e-13,2.229155546514349e-13,1.0589444701232893e-13,5.39436799591845e-14,2.3263391506249897e-14,1.0394292484323545e-14,6.145923455120088e-15,2.28697494957726e-15,1.6709034382115062e-15,3.2662299455675248e-09,1.6068935011521293e-09,7.719030709262195e-10,4.3774555383257473e-10,2.762548852030561e-10,1.714056575971345e-10,1.2768273300256177e-10,8.91241640305987e-11,6.735906955810755e-11,4.940376494617355e-11,3.662283083217643e-11,2.424832352730459e-11,1.7588128304142342e-11,1.0170019967938164e-11,6.765439209974336e-12,3.674385560755327e-12,2.0373161020746463e-12,1.1094435465791667e-12,5.140606629716724e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.610996294696527e-11,5.3197621539876724e-11,4.8422073604497886e-11,4.5068910191525797e-11,4.0341261102242636e-11,3.359043979578244e-11,2.941983312389378e-11,2.4135613022063034e-11,1.9826747394043437e-11,1.5760153321522678e-11,1.2295456748923607e-11,8.876874264284011e-12,5.722385125281886e-12,3.886989197229784e-12,2.564806052250764e-12,1.680182557774961e-12,8.844798575118864e-13,5.214519373088737e-13,2.6443726039572534e-13,1.3530906659918154e-13,6.27286915624295e-14,3.2178648628651515e-14,1.530654746250313e-14,7.116706393393418e-15,2.97853543224591e-15,1.4703070488155752e-15,3.4085032664598186e-09,1.6418103070854898e-09,8.059319176107536e-10,4.646665601134735e-10,2.846157159644912e-10,1.790898376587169e-10,1.2538957588378514e-10,9.091993049320765e-11,6.316565983104816e-11,4.8065999649114456e-11,3.448801268231797e-11,2.341906695641463e-11,1.5690954200846562e-11,1.0369288140024832e-11,6.3159290844950015e-12,3.771927914757902e-12,2.2587761332354526e-12,1.1890788235510725e-12,5.911276971582089e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.850672137936969e-11,5.297957619632971e-11,4.956585636879522e-11,4.318270844120427e-11,3.925416628685433e-11,3.410371976378626e-11,2.910188159271705e-11,2.6017108817821076e-11,1.8587544588177784e-11,1.5696795454483682e-11,1.2095896785670818e-11,8.95033859045254e-12,6.250222722117729e-12,4.407456556197632e-12,2.804570393978594e-12,1.7874979511258425e-12,1.0124624675133298e-12,5.992025285931453e-13,3.0601653452073864e-13,1.6057363599922272e-13,7.462295973460323e-14,3.58513716168069e-14,1.6529717193412472e-14,7.389364904030052e-15,3.3038828870140844e-15,2.3738442128718998e-15,3.460822725192778e-09,1.4990766269277141e-09,7.88805279154712e-10,4.5888353579162436e-10,2.869368395468792e-10,1.880008109235294e-10,1.1921262478072637e-10,9.700864686502882e-11,6.81779546751521e-11,4.531126997181171e-11,3.114439458567931e-11,2.1734996666485425e-11,1.6451117814881326e-11,1.0387099009209517e-11,6.849634386591309e-12,3.994877978401809e-12,2.352710652730758e-12,1.2484299225133896e-12,6.265275156797735e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.071193082251877e-11,5.065257499144982e-11,4.703567786757245e-11,4.365954683886542e-11,3.91699774081062e-11,3.203684653799567e-11,2.88185359669242e-11,2.305123943010008e-11,2.0379783668044684e-11,1.6321604351259287e-11,1.2400513837332509e-11,9.056603388208861e-12,6.4346560889359635e-12,4.3083079007405365e-12,3.0902369042092368e-12,1.8687129532351334e-12,1.0831692598414479e-12,6.102021158537054e-13,3.4487171122715216e-13,1.7458068544731687e-13,9.308137546231325e-14,4.7250070920344985e-14,2.2529488782125627e-14,9.222170935516477e-15,4.553989122419518e-15,2.062971548266067e-15,3.26425162278921e-09,1.512833968964415e-09,7.771962094780102e-10,4.4445957590343064e-10,2.9163285303619005e-10,1.9454953985172682e-10,1.3173160632942411e-10,9.295642977255714e-11,6.25831174618442e-11,4.536281360947484e-11,3.2221687990052596e-11,2.3079857314751514e-11,1.6384075114355515e-11,1.0680081516279878e-11,6.9423430455964945e-12,4.012683953876289e-12,2.3827205625722782e-12,1.3278055541404671e-12,7.043351572143635e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.97375767961962e-11,5.539064898532072e-11,4.8029988980664596e-11,4.31676665412701e-11,3.715042305730277e-11,3.4289546563151904e-11,2.759109730752216e-11,2.4459060540686345e-11,1.9756497588556078e-11,1.5854883419920616e-11,1.2161318628357916e-11,9.805706482244535e-12,7.000781669153054e-12,4.539246670373227e-12,3.15081362048489e-12,1.9964729560235243e-12,1.2531174520836802e-12,7.253889383288037e-13,3.968380238289083e-13,2.1391419783384995e-13,1.0168057064115381e-13,5.13920653670412e-14,2.5077972863832032e-14,1.3168528757619594e-14,4.8465382750015876e-15,3.3085646088483816e-15,3.2070229607460308e-09,1.4768403286677763e-09,8.064521431752695e-10,4.5648485532038874e-10,2.924395022403457e-10,2.007249757661706e-10,1.372071319685332e-10,9.395107495615771e-11,6.878784468718211e-11,4.522913209712862e-11,3.040876704172028e-11,2.1885316999164586e-11,1.5443911134131872e-11,1.020899267170961e-11,6.709280992140528e-12,4.3403691062829185e-12,2.3692611609583226e-12,1.3578119504565806e-12,7.458622961600201e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.056481938181188e-11,5.588612224498253e-11,5.100525683515415e-11,4.6611292104693934e-11,3.7808142916789854e-11,3.2636574484804795e-11,2.8858666005429988e-11,2.4355069238360363e-11,1.9194739476256094e-11,1.6080748321348094e-11,1.2507893047222315e-11,9.575582946999883e-12,7.295472701099661e-12,5.0410234386675455e-12,3.308088005008836e-12,2.0463691451887397e-12,1.2742578509327165e-12,7.236088703565143e-13,4.3951684031378685e-13,2.295242567042076e-13,1.184364844098988e-13,5.667733494334853e-14,2.6421694785390353e-14,1.3090348270089359e-14,5.16152763631924e-15,3.7597376430107305e-15,3.334217919242313e-09,1.450603733430254e-09,7.801479655256183e-10,4.706069658486466e-10,3.021484570641454e-10,1.8913667835658796e-10,1.3895918041390393e-10,9.64630940393086e-11,6.538910889380777e-11,4.675226784593735e-11,3.155510668551539e-11,2.112457264470206e-11,1.445237361673829e-11,1.0103878819890685e-11,6.133108957060049e-12,4.291488685289685e-12,2.3501790161151325e-12,1.4582162371760827e-12,7.266348385305348e-13
