Line_number,Fiducial,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.263307765913941e-11,5.712684618149349e-11,5.112967078616704e-11,4.480982013510056e-11,3.824203622846383e-11,3.180588657432464e-11,2.569203018634117e-11,1.995524154213388e-11,1.4825775919706644e-11,1.0572895752272937e-11,7.21201595647179e-12,4.68773163627127e-12,2.9189353466259677e-12,1.7352717654458878e-12,9.83991749806854e-13,5.31983137957004e-13,2.77405974156752e-13,1.3788421771220208e-13,6.653820219902688e-14,3.041746892445602e-14,1.3721705032042725e-14,5.8811407582624035e-15,2.773231546433214e-15,1.1416263881186257e-15,7.117630100638606e-16,1.92132562023656e-16,3.538989158007325e-09,1.625071976742867e-09,8.136371302340313e-10,4.5288555129533356e-10,2.8639404808600506e-10,2.0242319405503122e-10,1.5134228196546622e-10,1.1308692447044424e-10,8.224055486963263e-11,5.716266387379368e-11,3.763444533501133e-11,2.3634866636510823e-11,1.40855813791818e-11,7.963579169890584e-12,4.282322880035576e-12,2.191901166968253e-12,1.0626645348789753e-12,4.918207202185545e-13,2.2104650163663437e-13
0.0,1,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.21649826694707e-11,5.712693853759605e-11,5.165709264549908e-11,4.588325533022569e-11,3.981235995589376e-11,3.375028268536413e-11,2.7850173792878566e-11,2.215572416102727e-11,1.6902289249346007e-11,1.2398019060770127e-11,8.709030712936847e-12,5.835796382794659e-12,3.746180127151506e-12,2.2952876567285798e-12,1.340390809117498e-12,7.458401750177316e-13,3.9882075074849903e-13,2.033639496675095e-13,1.0004711441390551e-13,4.6884680379549716e-14,2.1508442397093427e-14,9.41688742664096e-15,4.360086497703334e-15,1.8917275795874807e-15,1.0663116898716599e-15,3.081119077679937e-16,3.517252019302569e-09,1.6124274372711226e-09,8.073503826806899e-10,4.4597385670292616e-10,2.748969050294232e-10,1.8820219503117154e-10,1.3861782419823026e-10,1.0448451236539773e-10,7.797125723811896e-11,5.6097857905611186e-11,3.8384023871060686e-11,2.508662215217625e-11,1.5573723907107406e-11,9.170395318956331e-12,5.1357445018748e-12,2.731804360202815e-12,1.3748568405245177e-12,6.602205058980609e-13,3.032584236901164e-13
0.0,2,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.116280485421907e-11,5.637222132107761e-11,5.123317477691232e-11,4.586450802053616e-11,4.023254069008597e-11,3.457570393222907e-11,2.8993928084067607e-11,2.350019288214854e-11,1.830976018963754e-11,1.3739303391211886e-11,9.88774757067617e-12,6.796971261489021e-12,4.478543088370181e-12,2.8171869543147626e-12,1.6887099557816376e-12,9.643717627214385e-13,5.279759912650471e-13,2.756856456435482e-13,1.3825961528055568e-13,6.624338985608673e-14,3.0884753963145106e-14,1.3820606828010768e-14,6.3478659132499e-15,2.844721991830493e-15,1.4852986568038586e-15,4.690352611629404e-16,3.4949455964287776e-09,1.6001082066723515e-09,8.03517132564192e-10,4.4527842992389563e-10,2.724219305506592e-10,1.8227393553099105e-10,1.3086478386492055e-10,9.745719941505421e-11,7.321525224672884e-11,5.377635963603359e-11,3.785480331690787e-11,2.552845644517593e-11,1.6372507684479873e-11,9.967412756493881e-12,5.774509141337933e-12,3.174123719308952e-12,1.6506198993624883e-12,8.185147584736949e-13,3.8506380048811446e-13
0.0,3,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.018555150662027e-11,5.5479691979659165e-11,5.049301032214131e-11,4.535817080354429e-11,4.0032670444207595e-11,3.471366487347332e-11,2.945164103463774e-11,2.421929798772378e-11,1.919285223036364e-11,1.4673187660098282e-11,1.0775106379630474e-11,7.568323960069266e-12,5.099877272310605e-12,3.28260177662637e-12,2.013853845339589e-12,1.1771788547721087e-12,6.587028761505692e-13,3.515550635413383e-13,1.796492472669294e-13,8.782553307576386e-14,4.1601483720261433e-14,1.8999638071436653e-14,8.722424645435526e-15,3.9895892874105826e-15,1.9761625749594014e-15,6.808714785767734e-16,3.4720696045166248e-09,1.587850735440583e-09,8.001890635352902e-10,4.463059920036395e-10,2.7372346115003507e-10,1.8138253547140307e-10,1.275184898734873e-10,9.298261380818214e-11,6.9216686180184e-11,5.115208436724345e-11,3.666066353903722e-11,2.532511374519853e-11,1.667650745075802e-11,1.0437313436250992e-11,6.220573819589359e-12,3.516991340117728e-12,1.882044563308149e-12,9.599117006866125e-13,4.623617127840508e-13
0.0,4,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.945496464387808e-11,5.473879537870079e-11,4.978176935559382e-11,4.473812449329807e-11,3.957791435946822e-11,3.448650991047931e-11,2.948346238384737e-11,2.4505713367018114e-11,1.9682827547546045e-11,1.528125371666438e-11,1.1414103508064783e-11,8.165764110894332e-12,5.6099623146615645e-12,3.684277954176589e-12,2.3073401041641203e-12,1.3772586957042423e-12,7.862833544410406e-13,4.2817318350476117e-13,2.2277841727974844e-13,1.1094928147557636e-13,5.337467360639362e-14,2.4835940412911817e-14,1.1452455482587947e-14,5.31143632472465e-15,2.5432765160991156e-15,9.439743953017713e-16,3.448610182021146e-09,1.575687963930991e-09,7.971505450939302e-10,4.4781336561007473e-10,2.763167434522184e-10,1.8293014111465187e-10,1.271190504799608e-10,9.092035494253098e-11,6.652752680168821e-11,4.8850504684104576e-11,3.5246292793705136e-11,2.4746735672206e-11,1.6641322086563964e-11,1.0659815351497078e-11,6.507018740343193e-12,3.769379477284181e-12,2.0682132219721696e-12,1.0813174669630674e-12,5.326092763719962e-13
0.0,5,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.902710751437344e-11,5.425292383996894e-11,4.9254808130541225e-11,4.420606076095762e-11,3.909701722292265e-11,3.412176818514423e-11,2.92902178633715e-11,2.4517646536246384e-11,1.989257056201157e-11,1.5638010616466486e-11,1.184946956174132e-11,8.612206832568312e-12,6.016918034369239e-12,4.021954104652112e-12,2.5654332479685536e-12,1.5603823947183937e-12,9.073893688803317e-13,5.033305848551951e-13,2.663976573328158e-13,1.349736389906344e-13,6.591341976092274e-14,3.119979100463504e-14,1.4494730399839833e-14,6.792433502061795e-15,3.187102817772122e-15,1.250853697373795e-15,3.424573467518273e-09,1.563638488188998e-09,7.944229530640349e-10,4.495839551904325e-10,2.7932755648960186e-10,1.8547338087046834e-10,1.283448546370581e-10,9.062977002423724e-11,6.517185168892391e-11,4.7198294190784096e-11,3.393185022658496e-11,2.4005899675565994e-11,1.638974445536159e-11,1.0701419882831472e-11,6.667042954325349e-12,3.944463974382199e-12,2.2121351316892504e-12,1.182060952693848e-12,5.946337910307173e-13
0.0,6,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.88904383320756e-11,5.403616567302518e-11,4.8960678653183095e-11,4.385035190379321e-11,3.8714502782416366e-11,3.376500889352501e-11,2.9017603622664474e-11,2.4381444673875275e-11,1.9918201872923648e-11,1.580948978021715e-11,1.2122898746259252e-11,8.931602996672044e-12,6.332375618524752e-12,4.299340292443704e-12,2.7875830610088917e-12,1.7244169000631766e-12,1.0198591244753124e-12,5.75387687908648e-13,3.0948575262623215e-13,1.593308779133175e-13,7.893953286033577e-14,3.795957763600443e-14,1.7798955486623906e-14,8.412517205974055e-15,3.904884277193212e-15,1.5910360677529796e-15,3.3999815283314254e-09,1.5517263113601766e-09,7.920260325756967e-10,4.5161391306122474e-10,2.825309513707267e-10,1.883857712672574e-10,1.3034518283095723e-10,9.143902764694346e-11,6.48898736954912e-11,4.627086749025159e-11,3.291238173154728e-11,2.326838573922947e-11,1.6023482379753114e-11,1.0617270148084129e-11,6.729823723354601e-12,4.0558320335309605e-12,2.3186691249995494e-12,1.263009116198711e-12,6.482040621096067e-13
0.0,7,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.901097921177799e-11,5.406638269017243e-11,4.8896140720551844e-11,4.3694302236580585e-11,3.848443394969612e-11,3.3497178997672754e-11,2.8761578018912343e-11,2.419201388957386e-11,1.9839339928390564e-11,1.5853852492840674e-11,1.2272463364542508e-11,9.146795046274007e-12,6.568826193126564e-12,4.522044368711229e-12,2.975210014752049e-12,1.8687344361774e-12,1.122448858400526e-12,6.432028205473853e-13,3.512484684459935e-13,1.8354173509048355e-13,9.220052457219855e-14,4.498869797393232e-14,2.131174627553039e-14,1.0150135588384082e-14,4.69152309971146e-15,1.9589434538441464e-15,3.3748634851250294e-09,1.5399865326857879e-09,7.899752635860443e-10,4.5391707780651206e-10,2.858948453306985e-10,1.9145101808317066e-10,1.326784082646998e-10,9.284964348444389e-11,6.535033465311048e-11,4.598423553094358e-11,3.2266776067489927e-11,2.2648847302923396e-11,1.562678060857655e-11,1.045511923459815e-11,6.7204801552774395e-12,4.115874054843218e-12,2.393193104580582e-12,1.3259221082249005e-12,6.935736256799347e-13
0.0,8,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.934995935457133e-11,5.4309828088916573e-11,4.9036639253901665e-11,4.3728570686309844e-11,3.841874286312383e-11,3.335376163108397e-11,2.8577275577606745e-11,2.4014447980941738e-11,1.9718272012193998e-11,1.5821052636124877e-11,1.233276880531101e-11,9.279187175110344e-12,6.738532244198317e-12,4.6963338596570475e-12,3.1308076868101543e-12,1.993719606503804e-12,1.2146106841592568e-12,7.060474786621439e-13,3.910956564231538e-13,2.0721785374094115e-13,1.0547664828141254e-13,5.21703059658172e-14,2.4979717352419777e-14,1.1983076162750961e-14,5.540201501957655e-15,2.356928718015485e-15,3.349253100660172e-09,1.5284605407397466e-09,7.882902379535222e-10,4.565020775846772e-10,2.894250417965941e-10,1.9461439388888333e-10,1.3515308255998747e-10,9.455846041593281e-11,6.626896363167155e-11,4.618815277995847e-11,3.198772481488843e-11,2.220968586321198e-11,1.526412492166779e-11,1.0256732967006079e-11,6.66128140381106e-12,4.1355996171644905e-12,2.440910319313658e-12,1.3729598473698907e-12,7.311728729292419e-13
0.0,9,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.987011697173309e-11,5.4731378758351355e-11,4.935122397717525e-11,4.393007770704941e-11,3.850725733543581e-11,3.3341742821216293e-11,2.8489772054234314e-11,2.3888117937067737e-11,1.9599891256325753e-11,1.5751858145154714e-11,1.2334599023959128e-11,9.348782556022972e-12,6.853271805131203e-12,4.828555719656063e-12,3.257352855188915e-12,2.1003743488322927e-12,1.2963013249854213e-12,7.635243042339194e-13,4.286119138666794e-13,2.300564243133707e-13,1.1858300431753396e-13,5.940023717649309e-14,2.8751779843743024e-14,1.3889267885348053e-14,6.442905504861067e-15,2.791785545845401e-15,3.323188998906857e-09,1.517192782439098e-09,7.869946436578797e-10,4.5937667269206295e-10,2.931286368493037e-10,1.978707579971295e-10,1.377012919843427e-10,9.640714407647988e-11,6.744589623461123e-11,4.673010891302061e-11,3.201925528783151e-11,2.1968977902748454e-11,1.4978025108744498e-11,1.0056883328721449e-11,6.5723244419013846e-12,4.125002907504904e-12,2.4666334324716934e-12,1.4063501489593846e-12,7.614834514006597e-13
