Fiducial,Line_number,Easting,Northing,Height,Elevation,In_Phase_380.0,In_Phase_1776.0,In_Phase_3345.0,In_Phase_8171.0,In_Phase_41020.0,In_Phase_129550.0,Quadrature_380.0,Quadrature_1776.0,Quadrature_3345.0,Quadrature_8171.0,Quadrature_41020.0,Quadrature_129550.0
0.0,0.0,0.0,0.0,30.0,0.0,31.373482584617935,155.67378781146678,98.24989172342912,485.41391930331446,1069.1614047626695,1952.9121356376322,90.03918875654196,247.18589602861195,123.17356101115108,468.6865607444316,835.934493750487,1101.7765227401483
1.0,0.0,1.0,0.0,30.0,0.0,34.20842880681522,171.94708520168575,107.38756184245896,512.0496699592604,1063.3124589512045,1951.8457994685928,96.63080300115898,258.8669634655367,125.72237352393128,458.4764235006797,826.8794194255487,1101.9033538216745
2.0,0.0,2.0,0.0,30.0,0.0,37.09916659477451,187.0566861004919,115.13691288704847,530.0167617196747,1060.8762585735599,1950.2803661391256,102.59013287503619,267.4290465354699,126.750183588443,447.5425312620685,822.7566253334369,1101.0212775753428
3.0,0.0,3.0,0.0,30.0,0.0,40.011907681593165,200.8321506438175,121.59022923930132,542.055700146057,1061.4481378625096,1948.313862472444,107.98031888203268,273.56516477419274,126.82465844795574,437.78544121536936,819.8993572064793,1099.9952734193819
4.0,0.0,4.0,0.0,30.0,0.0,42.918674557572004,213.22767007717894,126.90551819911282,550.2584249828933,1063.8840480639806,1946.2269370973931,112.85927946965904,277.8578218271836,126.35217190698857,429.93949249498496,816.7480913243793,1098.9324614024972
5.0,0.0,5.0,0.0,30.0,0.0,45.79660723264445,224.2776271400174,131.26001889447946,556.1382322728515,1067.206147958522,1944.1016196208045,117.28008704050782,280.78473502868957,125.6151359261715,424.1482868687494,812.9192011815808,1097.7586870417567
6.0,0.0,6.0,0.0,30.0,0.0,48.62731418868554,234.0648423351969,134.82636419041893,560.7567411865858,1070.856572943657,1941.9348732381225,121.29130700745522,282.7306445620976,124.80451042102167,420.26708542595554,808.5395575587208,1096.4302575362717
7.0,0.0,7.0,0.0,30.0,0.0,51.39627472905357,242.69870190276328,137.76159963731823,564.8364864730563,1074.6283241325893,1939.719839043411,124.93731260625319,284.00098700744405,124.04527986122703,418.022425195241,803.841670539056,1094.9333946017516
8.0,0.0,8.0,0.0,30.0,0.0,54.09229613336655,250.30055240115593,140.20311326637346,568.8482441836813,1078.5047924410226,1937.4585986754341,128.2585823242837,284.8352326664125,123.4154540899261,417.0990058928303,798.9964161231849,1093.2601266372035
9.0,0.0,9.0,0.0,30.0,0.0,56.70702636759957,256.9942437408748,142.2680824688573,573.0776606704976,1082.5347310672112,1935.1571205855435,131.29198326318357,285.4188816927506,122.95991294871553,417.188463630483,794.0887063375377,1091.400695236006
