Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.946133593699116e-11,5.3408498679597353e-11,4.781975638627646e-11,4.327681841620977e-11,3.625659789816777e-11,3.012922648285676e-11,2.5353406627748433e-11,2.0447952415972617e-11,1.6720960693402188e-11,1.2806154352966722e-11,8.991518920821566e-12,6.38056338626784e-12,3.982502614203837e-12,2.7754782470551877e-12,1.98391503170042e-12,1.2086990299199248e-12,6.872566787734888e-13,3.9382169409578896e-13,2.4671833937860773e-13,1.4353020965033463e-13,7.842142018193785e-14,4.286119637364184e-14,2.4936754179402958e-14,1.3334081012981783e-14,8.209498348252652e-15,3.339294940797799e-15,3.440973585288568e-09,1.6094749768630363e-09,8.065794730484722e-10,4.5486865249570176e-10,2.814748323715908e-10,1.848156435983666e-10,1.3618911289107024e-10,9.985710746866989e-11,6.556078600904428e-11,5.021827994129753e-11,3.290837146042716e-11,2.140499853471784e-11,1.3288335879254948e-11,8.336576006172051e-12,4.81470857754259e-12,2.75781955189932e-12,1.4969170829033914e-12,8.15431976794493e-13,4.0476318796282225e-13
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.327246489983538e-11,5.032285781492178e-11,4.855309885839982e-11,4.261381923634934e-11,3.793720553600127e-11,3.3432299670484607e-11,2.662986301533225e-11,2.1882348037966512e-11,1.6957595259884403e-11,1.3854651593026814e-11,9.674244898605547e-12,6.8642456116385744e-12,4.7426067279475655e-12,3.2932034067332555e-12,2.0947839000066e-12,1.2780971684097377e-12,7.191638166601577e-13,4.662532308735472e-13,2.731632830145366e-13,1.5431846208966135e-13,8.393530150024398e-14,4.713284842148079e-14,2.3939836611212157e-14,1.4567489710789464e-14,7.0669773642078014e-15,3.4171922520381304e-15,3.353337535402497e-09,1.4378369690765556e-09,8.069133716218541e-10,4.4187484226754773e-10,2.8117175052596006e-10,1.8685414969681696e-10,1.3163045998339029e-10,1.004609163403355e-10,6.923528953699655e-11,5.1801851983478076e-11,3.3795862658218754e-11,2.1720552955945178e-11,1.461392638247474e-11,9.193623729950427e-12,5.342662614347094e-12,3.0529823039739706e-12,1.7252554309279558e-12,8.913631432766928e-13,4.488865376855955e-13
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.959273547789617e-11,5.196828412355838e-11,4.61842341870003e-11,4.204139452470303e-11,3.82716637857882e-11,3.3057877823420627e-11,2.6684253123101447e-11,2.2065495033779014e-11,1.7440309206128004e-11,1.3708067106405883e-11,9.72418268115428e-12,7.654350445602582e-12,5.096065123747973e-12,3.44567264073224e-12,2.204890806119025e-12,1.398558758879634e-12,9.030169720830811e-13,5.443689605284414e-13,3.116678396961182e-13,1.7831188525061009e-13,9.334318941344919e-14,5.0003582558191066e-14,2.748040731768293e-14,1.6223689347541382e-14,8.271662088825531e-15,4.421618687958091e-15,3.573803856607393e-09,1.5396972232640113e-09,8.592061438894044e-10,4.3812466098058127e-10,2.762674855929971e-10,1.7554467663398297e-10,1.2577143858590574e-10,9.297084552554931e-11,6.464180636137822e-11,4.7401097343975645e-11,3.1451115319662496e-11,2.324699064194276e-11,1.4372996603300332e-11,8.915390720866744e-12,5.706303258178762e-12,3.31308164612803e-12,1.7639622990203572e-12,1.0322081270633376e-12,5.137365782870266e-13
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.745068493436788e-11,5.32423875021635e-11,4.747637428508147e-11,4.2873536313070176e-11,3.711479091148803e-11,3.2025862510407054e-11,2.7199367480409388e-11,2.2881150722497983e-11,1.869809350621955e-11,1.4308566585137758e-11,1.0672926049891498e-11,7.931345263187802e-12,5.5585681931971976e-12,3.621607038980338e-12,2.5500992315741776e-12,1.5284020313854965e-12,9.291069829079328e-13,5.618045415712797e-13,3.3326634102866955e-13,1.8194828089319076e-13,1.0552819518593062e-13,5.86552127474076e-14,2.914117587395034e-14,1.613327081029403e-14,9.829145602631323e-15,4.405543887854603e-15,3.524501392443853e-09,1.6633042997529236e-09,7.963997167499687e-10,4.605632490985229e-10,2.744833432152354e-10,1.8545901597965906e-10,1.2503981723596553e-10,8.677362331580355e-11,6.337478981415843e-11,4.4828422179545415e-11,3.3208338580565086e-11,2.2932203246832695e-11,1.4068850927505452e-11,9.834403915844697e-12,5.849260188130398e-12,3.5095349454064188e-12,2.0380305911274437e-12,1.0972935121392833e-12,5.807982482258871e-13
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.670336897190998e-11,5.3115445760866985e-11,4.571584477584865e-11,4.1658398568406316e-11,3.775100730753368e-11,3.0207738709123235e-11,2.829269723906684e-11,2.3542481006073426e-11,1.934683804541418e-11,1.4309154473235833e-11,1.1466214841549711e-11,8.292859449215947e-12,5.782676128553142e-12,4.10378649087677e-12,2.5720055962876655e-12,1.724161822406738e-12,1.0354112677590625e-12,6.082795888011941e-13,3.579871574720982e-13,2.1240764296438368e-13,1.1127709321852887e-13,5.71631742237296e-14,3.433180495915434e-14,1.9072865376779756e-14,1.0073729675152438e-14,6.0086287325228515e-15,3.339521762001087e-09,1.5792526717862333e-09,7.737112726782342e-10,4.700996578418433e-10,2.8165514759186444e-10,1.7475185101806824e-10,1.2382855592113827e-10,8.795739815333369e-11,6.66531439904192e-11,4.565863170305182e-11,3.29059002105093e-11,2.1484008567256747e-11,1.6054834138111498e-11,9.411037836359248e-12,5.649001389976122e-12,3.688460548441313e-12,2.062925277463158e-12,1.1255991032765366e-12,6.174847319667249e-13
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.808368890096434e-11,5.345579971702757e-11,4.531469459806368e-11,4.009724816416989e-11,3.838930652633469e-11,3.249707627573371e-11,2.6656082869302722e-11,2.3529311134069526e-11,1.9343613542984036e-11,1.536375541088942e-11,1.1414148806604834e-11,8.47140537858483e-12,5.9726514445321e-12,3.93013554826787e-12,2.753957939458325e-12,1.8056395644876154e-12,1.1539229705722626e-12,6.66075878840926e-13,4.0247450203153385e-13,2.0915563906854777e-13,1.2081340244969784e-13,6.497241973054424e-14,3.714752077055695e-14,2.1203334953961572e-14,9.645156806784063e-15,4.7397139755724645e-15,3.3301390618888924e-09,1.5406153473099437e-09,8.134743400313702e-10,4.985576703951099e-10,2.976638461298479e-10,1.8384615005234053e-10,1.2771478586914336e-10,8.97772743236572e-11,6.605409962975973e-11,4.681921113546898e-11,3.195372099767541e-11,2.1723309977216268e-11,1.514160983726934e-11,9.480726969416836e-12,6.065459322854385e-12,3.6312089568394226e-12,2.2144251112385596e-12,1.1211109047408728e-12,6.642654629406499e-13
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.83107756810165e-11,5.3527621723394285e-11,4.7900291932413416e-11,4.1859221789729934e-11,3.582691860627995e-11,3.112771091491354e-11,2.7958417478805914e-11,2.333444000939874e-11,1.7968317548754612e-11,1.419221729856804e-11,1.0867271890601733e-11,9.117990521184818e-12,6.444012502696549e-12,4.3151573204491e-12,2.955872670956727e-12,1.901350028354292e-12,1.1172162410834662e-12,7.1900660893592e-13,3.944141109338111e-13,2.3225198909939085e-13,1.2998042997476183e-13,7.124250574162888e-14,3.799116290866674e-14,2.020330401297004e-14,1.2007116634606048e-14,6.14059758553524e-15,3.3319930978937024e-09,1.5478960859449809e-09,7.715940484447404e-10,4.43827507344097e-10,2.871394186967151e-10,1.7989903902168184e-10,1.308501483258056e-10,9.107023486517683e-11,6.312605555862619e-11,4.301266350940618e-11,3.163355343907378e-11,2.2080605284690583e-11,1.4794809162935186e-11,9.567011341408982e-12,6.226504837835888e-12,3.564211897996753e-12,2.2067820045476782e-12,1.2980902197000988e-12,6.580365010615515e-13
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.767142139857044e-11,5.370943047093122e-11,4.9620745811525815e-11,4.265099580186986e-11,3.908234300194772e-11,3.163368204071735e-11,2.5875244810626877e-11,2.2717880674556934e-11,1.904802120126148e-11,1.57001907254185e-11,1.1637634884622967e-11,8.85691889133429e-12,6.2464851014313985e-12,4.56090722022294e-12,2.9908274183386578e-12,2.075302692122322e-12,1.2296441558336543e-12,7.274726259775567e-13,4.5278699476352083e-13,2.5238374546699e-13,1.4188060637701289e-13,7.836706115701705e-14,4.1009247049915524e-14,2.0112862932585526e-14,1.3117453321129175e-14,6.0059984342544875e-15,3.432722572531461e-09,1.5081299973711872e-09,7.896521432327177e-10,4.3524898902045894e-10,2.8496675180629507e-10,1.9044019472614597e-10,1.3501339266214875e-10,9.976446070211495e-11,6.722547439414261e-11,4.5376597295880155e-11,2.959184428472954e-11,2.115335766770609e-11,1.4091200802584967e-11,9.518453475413323e-12,6.33465016477483e-12,3.927356451055837e-12,2.1148443487475544e-12,1.251114289598285e-12,7.025625248493715e-13
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.924611961788987e-11,5.589363160217791e-11,4.7998705859690075e-11,4.2836960670143915e-11,3.9576808793693776e-11,3.238138362341332e-11,2.7877407343347425e-11,2.3463956227306995e-11,1.8692636245914775e-11,1.542350209074028e-11,1.1498007479720133e-11,7.977554817585351e-12,6.379640561780636e-12,4.560313053124601e-12,3.1064757886386976e-12,1.9654997641051185e-12,1.3460497469273152e-12,7.679997769929256e-13,4.877279598165269e-13,2.6565961065091143e-13,1.499725217229611e-13,8.2031327037948e-14,4.492577982116136e-14,2.27371989189305e-14,1.2363486644366002e-14,7.274984206470306e-15,3.2113666795247123e-09,1.4756054948122742e-09,7.860682430410097e-10,4.559014462468476e-10,2.8528085161652276e-10,1.8817301203476065e-10,1.3816829305980313e-10,9.218149843022693e-11,6.475079071447314e-11,4.6287086942753564e-11,3.0427086479747627e-11,2.087508503642281e-11,1.4328839097082784e-11,9.390924382987337e-12,6.083964635858222e-12,3.5799816365159616e-12,2.391300111710147e-12,1.1868659374943677e-12,7.255588432015425e-13
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.96748280893705e-11,5.404870300697078e-11,4.8421682756002193e-11,4.373398921253754e-11,3.7515300895478865e-11,3.34294562139064e-11,2.7412780636221517e-11,2.3179249008437443e-11,1.9343669231943705e-11,1.5126640899351836e-11,1.2116072174576433e-11,8.796043657362598e-12,6.3416060378691764e-12,4.90549101385105e-12,3.2093493910565417e-12,2.0087124062076742e-12,1.3544925947216905e-12,8.266153551754525e-13,5.045191878934542e-13,2.939346814760031e-13,1.6187367883024692e-13,8.823999792988828e-14,4.681804368710408e-14,2.5283105114643726e-14,1.2387190561065744e-14,7.599934550733355e-15,3.459166196994761e-09,1.5540673866460845e-09,8.040181945019747e-10,4.58658162884275e-10,2.8113782599093885e-10,2.062612129162559e-10,1.419968607098339e-10,9.658570857998988e-11,7.057156211999649e-11,4.444221204202013e-11,3.1925774093960463e-11,2.215515319929082e-11,1.488350069060694e-11,9.9028022142883e-12,6.319217443487835e-12,3.779724224751493e-12,2.4070025994455855e-12,1.3102180638598616e-12,7.279980707485851e-13
