Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.477043632249106e-11,5.8049158591228094e-11,5.171544002998645e-11,4.637333711078047e-11,3.829529060451458e-11,3.118408483539406e-11,2.5542388528348648e-11,1.9875612312532624e-11,1.5517229972558188e-11,1.1224062641668736e-11,7.35059772647415e-12,4.796270241755691e-12,2.713574440341866e-12,1.6873112183462356e-12,1.0581934056822602e-12,5.553300726376555e-13,2.6848385904590065e-13,1.2791382614476245e-13,6.642204352289938e-14,3.1337889279110326e-14,1.3577287929364203e-14,5.4232249610353836e-15,3.4844896987731777e-15,1.329972900967241e-15,1.6788615446513798e-15,-2.1567448957597737e-16,3.4396736139609607e-09,1.6083415383618839e-09,8.06896682353953e-10,4.594258008891785e-10,2.924261222704979e-10,2.0047625139834338e-10,1.5381213074155334e-10,1.1565897944711719e-10,7.643022283084122e-11,5.792670349237228e-11,3.696869732637501e-11,2.308026599543608e-11,1.3554752193884601e-11,7.924183307915126e-12,4.198929653535733e-12,2.1740790094145947e-12,1.0476418877402068e-12,4.98747050150249e-13,2.1273072935971387e-13
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.770426884576312e-11,5.4619630463036e-11,5.272783681710249e-11,4.617660914585802e-11,4.086579366840634e-11,3.5633026863766655e-11,2.7930788793638222e-11,2.2426479423928688e-11,1.683898497943365e-11,1.3212268143219363e-11,8.767485772088319e-12,5.841034106415232e-12,3.741862153316984e-12,2.3752893168508215e-12,1.3599998752034802e-12,7.342960068129028e-13,3.604559486640541e-13,2.0009860890657248e-13,9.925559241679185e-14,4.6313216739294587e-14,2.025817102376877e-14,9.019570192243232e-15,2.5657003872227976e-15,2.193963792442883e-15,3.725478786037306e-16,-2.822772814038194e-16,3.3521202153647143e-09,1.4367187404688358e-09,8.058126478104619e-10,4.4183432797633796e-10,2.84057459142849e-10,1.937524619450848e-10,1.4159081411574507e-10,1.1188142816823188e-10,7.885362045926726e-11,5.940989345613323e-11,3.84355036776499e-11,2.416002189814215e-11,1.5696453868749026e-11,9.408787958012737e-12,5.1407958537445175e-12,2.724478766536284e-12,1.4056006856175914e-12,6.521199966187466e-13,2.89563605426132e-13
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.380438529011306e-11,5.586562819810646e-11,4.982981201431212e-11,4.546285418348679e-11,4.138213379406988e-11,3.561446800863341e-11,2.8515841368343616e-11,2.3252774526761784e-11,1.799612985292492e-11,1.3746757258216375e-11,9.393274015729449e-12,7.0498385828773595e-12,4.4265812577092056e-12,2.787741210454563e-12,1.6385201829936726e-12,9.400359094641534e-13,5.413038338286546e-13,2.8604350718336797e-13,1.416838040370318e-13,6.895360870893079e-14,2.99611540262371e-14,1.2506567251581448e-14,5.580251410886849e-15,3.579094355036984e-15,1.3988208529395284e-15,5.987196890375939e-16,3.5725912203090016e-09,1.5385775857065371e-09,8.579766318169306e-10,4.371487405749802e-10,2.7617836348022357e-10,1.7744845482068584e-10,1.302448417242696e-10,9.946624098105343e-11,7.129352932133584e-11,5.3339832344969716e-11,3.5609004323104464e-11,2.6115678512296175e-11,1.5824575984808594e-11,9.503459694184718e-12,5.821363204778851e-12,3.1947222133929992e-12,1.585103043329158e-12,8.536742296171526e-13,3.844288695626543e-13
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.072244761375121e-11,5.653158798334228e-11,5.0659607142939e-11,4.5962572954261876e-11,3.9933138059564274e-11,3.4502873475389217e-11,2.924183315560459e-11,2.4430545561497642e-11,1.9707820434598352e-11,1.478912641185176e-11,1.0734139060197048e-11,7.693917443061555e-12,5.151825750223259e-12,3.172043298255072e-12,2.0846557917687485e-12,1.150164875111465e-12,6.349112619192094e-13,3.4315779561152106e-13,1.7939249887707e-13,8.467471836795498e-14,4.222404154501106e-14,1.999821742925364e-14,7.420251224821723e-15,3.516991796315208e-15,2.811568603605163e-15,5.008545201686783e-16,3.5234142146455665e-09,1.6621904385251046e-09,7.953588048058904e-10,4.5949635413974257e-10,2.736430944811997e-10,1.8542553907074115e-10,1.265161752160804e-10,8.986226961045428e-11,6.760317128742817e-11,4.9142306022606656e-11,3.7048949059576687e-11,2.5696749512230857e-11,1.5636071068579594e-11,1.0712605921709436e-11,6.1793321388463254e-12,3.5550788457269368e-12,1.9555106534020747e-12,9.853660875562845e-13,4.812849617416157e-13
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.921728509260768e-11,5.570817233355594e-11,4.8191015287042906e-11,4.415812518534968e-11,4.023929478518748e-11,3.2343406193843925e-11,3.036211229029933e-11,2.5231133888921966e-11,2.0602897209116368e-11,1.5051469812678754e-11,1.1830257181521447e-11,8.327042048686494e-12,5.603967805445021e-12,3.801325925986522e-12,2.2521898820896045e-12,1.4097565396793419e-12,7.804526024086151e-13,4.166468725665434e-13,2.1964216236724836e-13,1.1507465623133353e-13,5.228727363611807e-14,2.210018303218165e-14,1.21903998046354e-14,6.311081367273594e-15,3.005986272918759e-15,2.0416357170712195e-15,3.3386004758210783e-09,1.5782986167696774e-09,7.727976728202909e-10,4.691222502366928e-10,2.807298038168291e-10,1.7411348727983733e-10,1.2388070361413517e-10,8.91483204573048e-11,6.911407111501658e-11,4.867537194637085e-11,3.59527457530438e-11,2.3813892016592617e-11,1.7835414736178088e-11,1.0352959250821818e-11,6.090201805888953e-12,3.855711660830057e-12,2.0684572145352527e-12,1.0707328343373176e-12,5.490160818568171e-13
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.003698608361807e-11,5.5456116976782594e-11,4.722542999325177e-11,4.201540172162702e-11,4.0473805354570055e-11,3.4471388594368017e-11,2.84202665521266e-11,2.5157585817314463e-11,2.066013910478575e-11,1.630659025480593e-11,1.196206218506263e-11,8.703631246520425e-12,5.9703435506369834e-12,3.789416789987914e-12,2.5361476342905203e-12,1.570786919851805e-12,9.370729938001077e-13,4.98391588736958e-13,2.736645208616696e-13,1.272420494689997e-13,6.493611206706457e-14,3.011502602152795e-14,1.5409692308533445e-14,8.482724153698829e-15,2.611681594728872e-15,7.705987967938647e-16,3.3293251098810246e-09,1.5397892544085243e-09,8.126176913497045e-10,4.976418236350274e-10,2.967876283004488e-10,1.8307883201669517e-10,1.2722014897158004e-10,8.992620969131547e-11,6.712007345349208e-11,4.868221908316257e-11,3.411157313309679e-11,2.3688580580749907e-11,1.669697584001062e-11,1.044846792603435e-11,6.609200161963376e-12,3.871653107065267e-12,2.2874648113257194e-12,1.1109522032447701e-12,6.221711054615113e-13
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.976538165851252e-11,5.502598470043562e-11,4.942961312131385e-11,4.3403146205271054e-11,3.7366807197761806e-11,3.267833798359778e-11,2.9544152562590603e-11,2.4795847198569072e-11,1.9150912322630692e-11,1.5107137802114722e-11,1.1487474586519274e-11,9.507908610937812e-12,6.581781281449453e-12,4.283000836944612e-12,2.825795869536748e-12,1.733497420319145e-12,9.608371988646867e-13,5.764453942732338e-13,2.9081420576565097e-13,1.5545250081645192e-13,7.787294731274185e-14,3.7622074314421694e-14,1.738748095257581e-14,8.009514677376595e-15,4.948290183596216e-15,2.161368229395104e-15,3.3312772659816055e-09,1.5471668100705877e-09,7.708800438799288e-10,4.431121295346111e-10,2.8640598399050154e-10,1.7921378766486766e-10,1.3021247043390945e-10,9.074086014560605e-11,6.335753205819413e-11,4.38709822796597e-11,3.3034499867591947e-11,2.3622459273445864e-11,1.6114523488003206e-11,1.0499886226762803e-11,6.81076784105624e-12,3.845018876986302e-12,2.3255848240842002e-12,1.3240458641798467e-12,6.40179800023485e-13
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.871684479382937e-11,5.481017893481934e-11,5.0792455996486915e-11,4.3831649877685896e-11,4.0370377827486957e-11,3.287832776558884e-11,2.7079809066182008e-11,2.394357073584296e-11,2.0192447621822774e-11,1.6688604248967074e-11,1.2344242085516971e-11,9.318075621585343e-12,6.47437322815642e-12,4.6228250647533866e-12,2.9402931189846452e-12,1.96119473289399e-12,1.1058612896663907e-12,6.158937120320102e-13,3.5638220634536453e-13,1.824319483480368e-13,9.296198676112065e-14,4.6028162446865605e-14,2.11547934872859e-14,8.45083330663861e-15,6.1306910522036104e-15,2.0510509359504814e-15,3.432079631231429e-09,1.5075103927795663e-09,7.890174878609089e-10,4.346402753658325e-10,2.843391464643206e-10,1.898145003832724e-10,1.3438878507124202e-10,9.92338941300248e-11,6.70419812204688e-11,4.5684504559514724e-11,3.034033309587879e-11,2.2199513482096837e-11,1.5114430933490926e-11,1.0356710135853558e-11,6.919764477477509e-12,4.2612961595566505e-12,2.2579040434076458e-12,1.302490450846311e-12,7.036354610010055e-13
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.001161025675973e-11,5.6716048241165444e-11,4.881992940944361e-11,4.3706988579623256e-11,4.0551116349550296e-11,3.335728934123716e-11,2.8905435162588283e-11,2.451140395328265e-11,1.967218538422425e-11,1.6322659587128358e-11,1.2191276181235158e-11,8.429575868840823e-12,6.675489317788056e-12,4.692022338999448e-12,3.1186885197384114e-12,1.90944833608998e-12,1.2537881619484343e-12,6.790745122559732e-13,4.0462852060023997e-13,2.044319799917843e-13,1.0569678037021844e-13,5.231594938019841e-14,2.5744468986544393e-14,1.1339143446959926e-14,5.5842820439254205e-15,3.3409822429518123e-15,3.2108466509428776e-09,1.4750807354347563e-09,7.855243439619233e-10,4.5535471947085124e-10,2.847427872363086e-10,1.8764710564852792e-10,1.3761131943606335e-10,9.168575004654314e-11,6.440375315106253e-11,4.624520824108961e-11,3.077416834492059e-11,2.1533391282549906e-11,1.5119041025739958e-11,1.0098365824911224e-11,6.610198155717585e-12,3.889517384938055e-12,2.5723721162438827e-12,1.2533881938798616e-12,7.426565918367271e-13
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.021475056285027e-11,5.4609588058023496e-11,4.901109467952072e-11,4.4373123202286305e-11,3.819022068288828e-11,3.4181742939605265e-11,2.8190136095956395e-11,2.4006833109526488e-11,2.0194838774517585e-11,1.5909246430150534e-11,1.2805991188065947e-11,9.302578460092235e-12,6.672008611261482e-12,5.099818335807961e-12,3.2727163847643955e-12,1.9935373564546306e-12,1.2971400183164373e-12,7.568478588137558e-13,4.3687395141918106e-13,2.381978113584067e-13,1.2128083463599287e-13,6.048271835571258e-14,2.891311299534311e-14,1.421952682036832e-14,5.823796883578493e-15,3.721546786812351e-15,3.458685900376705e-09,1.553592760102552e-09,8.035429317938002e-10,4.5819134485546745e-10,2.806880281940809e-10,2.0577356496903906e-10,1.4151226398488139e-10,9.612001810914707e-11,7.015117538674257e-11,4.423157981841543e-11,3.199860943937722e-11,2.253738323938642e-11,1.545882572261498e-11,1.0505890843579791e-11,6.807749192722626e-12,4.096525072927643e-12,2.5985378900193485e-12,1.3961312582952856e-12,7.575068149984083e-13
