Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.263307765913614e-11,5.712684618149048e-11,5.112967078616718e-11,4.480982013510179e-11,3.824203622846589e-11,3.180588657432132e-11,2.569203018634173e-11,1.995524154213474e-11,1.4825775919707484e-11,1.0572895752272016e-11,7.21201595647172e-12,4.687731636271457e-12,2.9189353466261377e-12,1.7352717654454798e-12,9.83991749807074e-13,5.319831379569954e-13,2.77405974156703e-13,1.3788421771225146e-13,6.65382021989929e-14,3.041746892450593e-14,1.3721705032097197e-14,5.8811407583304964e-15,2.7732315464494175e-15,1.1416263881165209e-15,7.117630100551267e-16,1.9213256201599393e-16,3.538989158007318e-09,1.625071976742869e-09,8.136371302340335e-10,4.528855512953306e-10,2.8639404808600584e-10,2.0242319405503083e-10,1.5134228196546744e-10,1.1308692447044394e-10,8.22405548696327e-11,5.716266387379395e-11,3.763444533501109e-11,2.3634866636511066e-11,1.408558137918182e-11,7.96357916989044e-12,4.2823228800354954e-12,2.1919011669682566e-12,1.0626645348789714e-12,4.918207202185659e-13,2.2104650163663081e-13
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.21649826694674e-11,5.712693853759302e-11,5.165709264549921e-11,4.5883255330226895e-11,3.9812359955895804e-11,3.375028268536081e-11,2.7850173792879144e-11,2.215572416102814e-11,1.690228924934685e-11,1.2398019060769206e-11,8.709030712936781e-12,5.8357963827948494e-12,3.7461801271516755e-12,2.2952876567281654e-12,1.3403908091177158e-12,7.458401750177236e-13,3.9882075074844996e-13,2.0336394966755913e-13,1.0004711441387334e-13,4.688468037960196e-14,2.1508442397152014e-14,9.416887426708239e-15,4.360086497721663e-15,1.8917275795867557e-15,1.0663116898628623e-15,3.0811190776151364e-16,3.51725201930256e-09,1.6124274372711243e-09,8.073503826806929e-10,4.4597385670292373e-10,2.7489690502942356e-10,1.8820219503117097e-10,1.3861782419823114e-10,1.0448451236539759e-10,7.797125723811907e-11,5.609785790561156e-11,3.8384023871060505e-11,2.5086622152176475e-11,1.5573723907107474e-11,9.170395318956212e-12,5.1357445018747405e-12,2.73180436020283e-12,1.3748568405244737e-12,6.602205058980689e-13,3.0325842369011054e-13
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.116280485421578e-11,5.6372221321074566e-11,5.1233174776912456e-11,4.586450802053736e-11,4.0232540690088027e-11,3.457570393222573e-11,2.899392808406815e-11,2.3500192882149385e-11,1.8309760189638367e-11,1.3739303391210957e-11,9.887747570676103e-12,6.7969712614892194e-12,4.4785430883703465e-12,2.8171869543143458e-12,1.6887099557818454e-12,9.643717627214262e-13,5.279759912650048e-13,2.7568564564360203e-13,1.382596152805198e-13,6.624338985614084e-14,3.0884753963202876e-14,1.382060682807933e-14,6.347865913265231e-15,2.8447219918280604e-15,1.4852986567975495e-15,4.690352611542351e-16,3.494945596428768e-09,1.6001082066723542e-09,8.035171325641949e-10,4.4527842992389263e-10,2.7242193055065986e-10,1.8227393553099077e-10,1.308647838649217e-10,9.745719941505374e-11,7.321525224672885e-11,5.377635963603402e-11,3.7854803316907715e-11,2.5528456445176206e-11,1.6372507684479857e-11,9.96741275649374e-12,5.774509141337895e-12,3.1741237193089828e-12,1.6506198993624835e-12,8.18514758473707e-13,3.8506380048808594e-13
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.018555150661699e-11,5.547969197965612e-11,5.049301032214144e-11,4.5358170803545473e-11,4.003267044420963e-11,3.471366487346998e-11,2.945164103463829e-11,2.421929798772464e-11,1.9192852230364487e-11,1.4673187660097374e-11,1.0775106379630428e-11,7.568323960069471e-12,5.099877272310777e-12,3.2826017766259515e-12,2.0138538453398076e-12,1.1771788547720994e-12,6.587028761505167e-13,3.51555063541384e-13,1.7964924726689496e-13,8.782553307581324e-14,4.160148372031826e-14,1.899963807150384e-14,8.722424645454013e-15,3.98958928740868e-15,1.9761625749518196e-15,6.808714785679818e-16,3.4720696045166194e-09,1.587850735440585e-09,8.001890635352922e-10,4.463059920036368e-10,2.7372346115003584e-10,1.8138253547140276e-10,1.2751848987348834e-10,9.298261380818181e-11,6.921668618018383e-11,5.1152084367243803e-11,3.666066353903693e-11,2.5325113745198785e-11,1.6676507450758036e-11,1.0437313436250879e-11,6.220573819589302e-12,3.5169913401177527e-12,1.8820445633081334e-12,9.599117006866381e-13,4.62361712784038e-13
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.945496464387479e-11,5.4738795378697765e-11,4.978176935559397e-11,4.473812449329928e-11,3.9577914359470255e-11,3.448650991047598e-11,2.948346238384794e-11,2.4505713367018983e-11,1.9682827547546888e-11,1.5281253716663467e-11,1.1414103508064731e-11,8.165764110894534e-12,5.609962314661737e-12,3.6842779541761746e-12,2.307340104164332e-12,1.3772586957042301e-12,7.862833544409915e-13,4.281731835048021e-13,2.2277841727970303e-13,1.1094928147561899e-13,5.337467360644885e-14,2.483594041298059e-14,1.1452455482608431e-14,5.3114363247246e-15,2.5432765160899814e-15,9.439743952888282e-16,3.44861018202114e-09,1.575687963930993e-09,7.971505450939323e-10,4.4781336561007163e-10,2.76316743452219e-10,1.8293014111465176e-10,1.2711905047996238e-10,9.092035494253046e-11,6.652752680168803e-11,4.8850504684104705e-11,3.5246292793704955e-11,2.4746735672206335e-11,1.6641322086564032e-11,1.0659815351496966e-11,6.507018740343086e-12,3.7693794772842e-12,2.068213221972148e-12,1.081317466963108e-12,5.326092763719844e-13
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.90271075143701e-11,5.4252923839965866e-11,4.9254808130541316e-11,4.4206060760958764e-11,3.909701722292466e-11,3.4121768185140896e-11,2.929021786337207e-11,2.4517646536247263e-11,1.9892570562012425e-11,1.563801061646557e-11,1.1849469561741274e-11,8.612206832568518e-12,6.016918034369408e-12,4.021954104651692e-12,2.565433247968768e-12,1.5603823947183832e-12,9.073893688802848e-13,5.033305848552434e-13,2.6639765733278115e-13,1.349736389906862e-13,6.591341976097849e-14,3.119979100470217e-14,1.4494730399858624e-14,6.7924335020597055e-15,3.187102817763146e-15,1.2508536973633915e-15,3.424573467518265e-09,1.5636384881889986e-09,7.944229530640367e-10,4.495839551904303e-10,2.793275564896029e-10,1.8547338087046798e-10,1.2834485463705927e-10,9.062977002423692e-11,6.51718516889239e-11,4.719829419078444e-11,3.3931850226584824e-11,2.4005899675566178e-11,1.6389744455361672e-11,1.070141988283133e-11,6.667042954325329e-12,3.944463974382225e-12,2.2121351316892286e-12,1.1820609526938783e-12,5.946337910307009e-13
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.889043833207224e-11,5.403616567302213e-11,4.8960678653183257e-11,4.3850351903794435e-11,3.8714502782418434e-11,3.376500889352166e-11,2.9017603622664994e-11,2.438144467387612e-11,1.99182018729245e-11,1.5809489780216248e-11,1.2122898746259191e-11,8.931602996672238e-12,6.332375618524913e-12,4.299340292443286e-12,2.7875830610091033e-12,1.724416900063163e-12,1.0198591244752556e-12,5.753876879086882e-13,3.0948575262619085e-13,1.5933087791336679e-13,7.893953286039336e-14,3.795957763607572e-14,1.7798955486644575e-14,8.412517205976344e-15,3.904884277186076e-15,1.5910360677390448e-15,3.399981528331417e-09,1.5517263113601778e-09,7.920260325756999e-10,4.5161391306122314e-10,2.825309513707267e-10,1.8838577126725668e-10,1.3034518283095836e-10,9.143902764694327e-11,6.488987369549105e-11,4.6270867490251766e-11,3.2912381731547125e-11,2.3268385739229816e-11,1.6023482379753233e-11,1.0617270148084006e-11,6.7298237233545445e-12,4.05583203353099e-12,2.3186691249995333e-12,1.2630091161987179e-12,6.482040621096022e-13
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.901097921177467e-11,5.4066382690169394e-11,4.8896140720551986e-11,4.369430223658178e-11,3.848443394969815e-11,3.34971789976694e-11,2.8761578018912896e-11,2.4192013889574712e-11,1.9839339928391407e-11,1.5853852492839776e-11,1.227246336454246e-11,9.146795046274222e-12,6.568826193126735e-12,4.5220443687108045e-12,2.9752100147522515e-12,1.868734436177384e-12,1.1224488584004738e-12,6.432028205474381e-13,3.5124846844596374e-13,1.8354173509053376e-13,9.220052457225451e-14,4.498869797399893e-14,2.1311746275547812e-14,1.0150135588382293e-14,4.691523099702637e-15,1.9589434538344233e-15,3.374863485125025e-09,1.539986532685789e-09,7.899752635860465e-10,4.539170778065104e-10,2.8589484533069963e-10,1.9145101808316983e-10,1.3267840826470034e-10,9.28496434844435e-11,6.535033465311064e-11,4.598423553094381e-11,3.226677606748959e-11,2.264884730292349e-11,1.5626780608576724e-11,1.045511923459809e-11,6.720480155277428e-12,4.115874054843216e-12,2.393193104580582e-12,1.3259221082249077e-12,6.935736256799087e-13
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.934995935456805e-11,5.430982808891354e-11,4.903663925390182e-11,4.3728570686311046e-11,3.841874286312589e-11,3.335376163108065e-11,2.8577275577607307e-11,2.40144479809426e-11,1.971827201219485e-11,1.5821052636123976e-11,1.2332768805310968e-11,9.279187175110559e-12,6.7385322441984905e-12,4.696333859656626e-12,3.1308076868103636e-12,1.99371960650379e-12,1.214610684159202e-12,7.060474786621965e-13,3.910956564231223e-13,2.0721785374099333e-13,1.0547664828146676e-13,5.2170305965884626e-14,2.4979717352436634e-14,1.198307616274952e-14,5.540201501950317e-15,2.356928718006151e-15,3.3492531006601653e-09,1.5284605407397483e-09,7.882902379535234e-10,4.565020775846748e-10,2.8942504179659507e-10,1.9461439388888313e-10,1.3515308255998877e-10,9.455846041593254e-11,6.626896363167147e-11,4.6188152779958846e-11,3.198772481488828e-11,2.2209685863212192e-11,1.5264124921667796e-11,1.025673296700591e-11,6.661281403811083e-12,4.135599617164526e-12,2.440910319313659e-12,1.372959847369911e-12,7.311728729292197e-13
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.987011697172975e-11,5.473137875834832e-11,4.9351223977175384e-11,4.393007770705059e-11,3.8507257335437834e-11,3.334174282121294e-11,2.848977205423485e-11,2.3888117937068597e-11,1.9599891256326596e-11,1.5751858145153813e-11,1.2334599023959083e-11,9.348782556023184e-12,6.853271805131368e-12,4.828555719655637e-12,3.2573528551891226e-12,2.1003743488322867e-12,1.2963013249853791e-12,7.635243042339683e-13,4.286119138666448e-13,2.300564243134231e-13,1.1858300431758785e-13,5.940023717656062e-14,2.8751779843761464e-14,1.3889267885346086e-14,6.442905504852589e-15,2.7917855458347237e-15,3.3231889989068482e-09,1.5171927824391013e-09,7.869946436578829e-10,4.5937667269206036e-10,2.9312863684930373e-10,1.9787075799712877e-10,1.377012919843436e-10,9.640714407647941e-11,6.744589623461125e-11,4.6730108913021016e-11,3.20192552878312e-11,2.196897790274874e-11,1.4978025108744634e-11,1.0056883328721323e-11,6.5723244419012884e-12,4.125002907504943e-12,2.4666334324716667e-12,1.4063501489594309e-12,7.614834514006329e-13
