Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,6.09917118381357e-11,5.004571066550215e-11,4.061997400991064e-11,3.317152932395349e-11,2.5018591480775023e-11,1.8798859725141592e-11,1.4392063657443526e-11,1.0643930828371929e-11,8.058617461852263e-12,5.778809060427903e-12,3.8515026851323395e-12,2.6277955711241407e-12,1.5956430351724373e-12,1.0940668419321032e-12,7.748996310042678e-13,4.734062247285404e-13,2.703721926208847e-13,1.5730419655039736e-13,9.948166424512652e-14,5.920080022015691e-14,3.2553183641969065e-14,1.825620961026046e-14,1.1132611097290166e-14,6.0255826439399925e-15,4.1121887505049496e-15,1.4739590586532507e-15,5.839478492547006e-09,3.4101079598303837e-09,2.0365488109837575e-09,1.2402186282988685e-09,7.268869179106158e-10,4.0316178484325974e-10,2.351880527215536e-10,1.3356090421504075e-10,6.830449293620876e-11,4.169804045139031e-11,2.236547978888556e-11,1.2340169962345053e-11,6.7373193272043445e-12,3.8175488834979574e-12,2.056355514484206e-12,1.1172195493725034e-12,5.873114981158853e-13,3.2076965070337565e-13,1.5208755827266182e-13
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.363747076636128e-11,4.594088347691151e-11,3.979958860273165e-11,3.1155632833832235e-11,2.4633364472106145e-11,1.9344950701867056e-11,1.3810895013073258e-11,1.0253061289832693e-11,7.25303238592019e-12,5.478101830352085e-12,3.5924355413056724e-12,2.4300128240064415e-12,1.6235670074574929e-12,1.105334336715622e-12,6.958018787623141e-13,4.262633363351106e-13,2.4163783659030533e-13,1.6016690206215e-13,9.5213269513921e-14,5.524709069284527e-14,3.0261153293057386e-14,1.7813703217506847e-14,8.251007062073355e-15,6.002381808453639e-15,2.366854469141751e-15,1.2610731304181638e-15,5.736763122725334e-09,3.0839669780765725e-09,2.06475628694766e-09,1.2219976948831885e-09,7.414140372435595e-10,4.206581508692717e-10,2.355963297385123e-10,1.3805379631669507e-10,7.257819329167132e-11,4.208114550583072e-11,2.1795567917305603e-11,1.1546988340658253e-11,6.664487262021539e-12,3.709023845831665e-12,1.9785334672550793e-12,1.0597120223384467e-12,5.782492227007561e-13,2.9457614754928103e-13,1.406786039498191e-13
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.918900911890425e-11,4.657475154655836e-11,3.692318932180024e-11,2.972614924557301e-11,2.3782023992280366e-11,1.8088083675029538e-11,1.291822570802964e-11,9.52187027723019e-12,6.7789901544540865e-12,4.864530390795824e-12,3.205319237651648e-12,2.382869774084462e-12,1.5227227276433665e-12,1.0040224011880886e-12,6.336259508798927e-13,4.031399595781534e-13,2.6272394943269185e-13,1.6244289827770798e-13,9.483646813048131e-14,5.634673770823729e-14,2.979920225261621e-14,1.6367854712353952e-14,9.053412967461189e-15,6.303586189029859e-15,2.9009771668170963e-15,1.952052174389329e-15,6.164129399799332e-09,3.3415638768232092e-09,2.222942862633679e-09,1.2200147518308388e-09,7.32245616441174e-10,3.9912548585634503e-10,2.2898425001336342e-10,1.301752748909657e-10,6.844219350971344e-11,3.818950244877046e-11,1.9638307067019848e-11,1.1670407169128166e-11,6.048723939093643e-12,3.2518723256526597e-12,1.8801957241068727e-12,1.0101297967441855e-12,5.092065722001341e-13,3.019694920525947e-13,1.4388294662651608e-13
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.630722067553344e-11,4.693531090036121e-11,3.717091042613796e-11,2.951298143201248e-11,2.2280679440917773e-11,1.6772100852138953e-11,1.2469596071121814e-11,9.242379408077458e-12,6.7218575343492185e-12,4.641717761132753e-12,3.1819652752898146e-12,2.212218255356136e-12,1.4762636172166271e-12,9.320006222302681e-13,6.441743254764226e-13,3.861893900812786e-13,2.3659082510549665e-13,1.467843426361407e-13,8.898478632032902e-14,5.015603212695025e-14,3.028863589202796e-14,1.822990132044885e-14,8.267118567343609e-15,4.955453780626332e-15,3.751668351334199e-15,1.6117929401574913e-15,6.130164706416019e-09,3.651606427020467e-09,2.0808200317463137e-09,1.287541277028326e-09,7.260590737383647e-10,4.202729247739615e-10,2.2777548020924445e-10,1.2212360706409873e-10,6.739661075356163e-11,3.594778368306667e-11,2.0297040136250606e-11,1.1042489391217147e-11,5.5650730673867314e-12,3.3100030454184695e-12,1.7496946438061074e-12,9.58978880185508e-13,5.286413045449817e-13,2.8124743554205266e-13,1.492832593685507e-13
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.474983547489527e-11,4.6020592290152204e-11,3.506893969796593e-11,2.7980493752137304e-11,2.1990158666304673e-11,1.5244269433733142e-11,1.2394899085962355e-11,9.0007085047218e-12,6.5151189210815885e-12,4.302961849332773e-12,3.137687667148406e-12,2.1039238467533468e-12,1.3858132325909623e-12,9.466077804560192e-13,5.790541583358171e-13,3.869082401338652e-13,2.3362117820381484e-13,1.407166394965107e-13,8.463007330499919e-14,5.26681274017148e-14,2.8086319587172702e-14,1.4323147718970474e-14,1.0049202352358172e-14,6.303161938176647e-15,3.3066443283475084e-15,2.8607490924294876e-15,5.858596031641394e-09,3.5065654955681996e-09,2.0396043063406467e-09,1.317114395357853e-09,7.411679795034895e-10,3.920999615980831e-10,2.2325708165380345e-10,1.2287320316581237e-10,7.051427692736453e-11,3.632577545366881e-11,1.9762817796897823e-11,1.0015052347229816e-11,6.046886440752697e-12,2.964376873274386e-12,1.5572462631336596e-12,9.18651433598081e-13,4.789639147846097e-13,2.533561648975547e-13,1.400615179801039e-13
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.5125238892211955e-11,4.5436472720584955e-11,3.401708500922554e-11,2.6273136725379428e-11,2.1725809402096434e-11,1.585146670882939e-11,1.1216209618080466e-11,8.575132691116894e-12,6.156742178312588e-12,4.327397094121947e-12,2.899763760205115e-12,1.978672750323387e-12,1.30774712192471e-12,8.226968396507856e-13,5.594180900366718e-13,3.6396575719864907e-13,2.332010357201116e-13,1.37817283911834e-13,8.52629057799237e-14,4.5569796284770545e-14,2.7387303565851732e-14,1.5438944976918355e-14,9.948891814505747e-15,6.855784817900209e-15,2.2000174220602655e-15,1.2516209401661205e-15,5.894141483605191e-09,3.459288268196404e-09,2.1617579238810227e-09,1.3979986643725908e-09,7.778393404128809e-10,4.0717060330489057e-10,2.2656012821578504e-10,1.233849224409326e-10,6.885954089284604e-11,3.671425284291566e-11,1.8834513146254927e-11,9.844263074916162e-12,5.472934768885193e-12,2.8256059347105044e-12,1.5633013808322475e-12,8.322442522114101e-13,4.730822500923709e-13,2.2092874280529967e-13,1.3887065619205093e-13
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.4272306841330814e-11,4.453981486286505e-11,3.5124292839850706e-11,2.6721924302539737e-11,1.9689879871362546e-11,1.468716525881281e-11,1.1325067162711034e-11,8.139662789567624e-12,5.437197363731138e-12,3.77217744285258e-12,2.585509377972272e-12,1.979622733390157e-12,1.3023356789811114e-12,8.284564672737933e-13,5.474702593377091e-13,3.4782096297762716e-13,2.038994700441298e-13,1.3423801220716426e-13,7.47155654890362e-14,4.589109338865151e-14,2.657517889024041e-14,1.5630445515396287e-14,8.46623210373759e-15,4.663872556399956e-15,3.7478297740871854e-15,2.273125100649132e-15,5.951595841216798e-09,3.514418769801324e-09,2.0654186548553067e-09,1.2439644040005146e-09,7.440834506244307e-10,3.926335835116913e-10,2.277234384468649e-10,1.2248797504634378e-10,6.437525724368389e-11,3.3009222465979604e-11,1.8223551733445715e-11,9.729157543615578e-12,5.1542266071194805e-12,2.717779651180492e-12,1.5133640309847867e-12,7.593372044870086e-13,4.3250030100740334e-13,2.521907216758468e-13,1.1474509856115778e-13
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.253254045581426e-11,4.3663310280411054e-11,3.547566955206962e-11,2.6483226391832684e-11,2.08329973685986e-11,1.4430483949504637e-11,1.0095168867939275e-11,7.599343521953589e-12,5.499068837060882e-12,3.95787576240331e-12,2.6097382665569093e-12,1.8008925591724328e-12,1.174867148662822e-12,8.101302493370459e-13,5.095806760538917e-13,3.4770868261067907e-13,2.0474240529578009e-13,1.2333636678212806e-13,7.831839543606815e-14,4.540373116134838e-14,2.6617356781650894e-14,1.6129733761867638e-14,8.475098771867213e-15,3.2984164072825425e-15,4.072989967502219e-15,1.7656823533430696e-15,6.189656401369701e-09,3.4620300585163967e-09,2.127587464825125e-09,1.2178974871419734e-09,7.313792370561214e-10,4.0912720587446616e-10,2.3017783901595944e-10,1.3095266593737914e-10,6.67502175301273e-11,3.3877960193256845e-11,1.657542130384689e-11,9.040814976110821e-12,4.737117998598051e-12,2.588581156662502e-12,1.4616185944139362e-12,7.921531607743293e-13,3.795646162078869e-13,2.152977686603783e-13,1.177184471829626e-13
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.2722468699689025e-11,4.43169607068975e-11,3.3401223420594695e-11,2.5830455820145898e-11,2.0433029347170137e-11,1.4265885398808328e-11,1.0470621974702213e-11,7.530194476294905e-12,5.157362571210589e-12,3.699300673877021e-12,2.441352252655418e-12,1.5278550925041352e-12,1.1241586495057161e-12,7.548548077388962e-13,4.906545212499216e-13,3.0375962578422e-13,2.060717420147221e-13,1.1930011317316204e-13,7.721154686832043e-14,4.353437223836479e-14,2.5578149208271584e-14,1.5117963256869185e-14,9.019782749877203e-15,4.215355818645299e-15,2.6242456945621976e-15,2.6278058168598117e-15,5.847179198497864e-09,3.4245363967775346e-09,2.130235865671745e-09,1.2721127850743887e-09,7.243085802401684e-10,3.9752366822489496e-10,2.3054587890450867e-10,1.179265890660592e-10,6.243510370901983e-11,3.3479050903363984e-11,1.6492411835678906e-11,8.622913422612006e-12,4.644220913821018e-12,2.449631822129282e-12,1.3366435242415136e-12,6.766830159128829e-13,4.1598738461888255e-13,1.7835046933256331e-13,1.1290663684080117e-13
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.1802349789358325e-11,4.1735192187181124e-11,3.275066976565376e-11,2.5574239438818633e-11,1.8734642747171795e-11,1.420641772564016e-11,9.902931374663411e-12,7.134061244795669e-12,5.103097880226856e-12,3.4576709192759993e-12,2.4430821424884073e-12,1.5935142675920053e-12,1.0523872234322954e-12,7.612794335816035e-13,4.729541591493999e-13,2.8839670964000216e-13,1.9176517004821667e-13,1.185551041345788e-13,7.333813665500863e-14,4.4756472725000085e-14,2.56387354888948e-14,1.520784971240409e-14,8.29838627317601e-15,5.02445735648372e-15,1.910147888451621e-15,2.5445275831488866e-15,6.361912894659494e-09,3.645803204180885e-09,2.1899415140532953e-09,1.2748141226877377e-09,7.053091879511782e-10,4.280657763272693e-10,2.317251188966465e-10,1.2033656262756424e-10,6.59945514478659e-11,3.106195543049057e-11,1.6683217069209804e-11,8.811848294435145e-12,4.640345560410262e-12,2.4793644721853885e-12,1.3282963909970628e-12,6.823292544453676e-13,3.958224351380168e-13,1.992140000472692e-13,1.0130088572516698e-13
10.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.9609744421433456e-11,4.320634229689166e-11,3.252336429066877e-11,2.493508736101513e-11,1.8663624739175366e-11,1.4044380213786788e-11,8.772029748623938e-12,6.9244461819781415e-12,4.757141364973884e-12,3.3248115668674534e-12,2.2965942876278685e-12,1.534711620662231e-12,1.0192071790424973e-12,6.943385673946163e-13,4.685685279784728e-13,2.762520504553119e-13,1.9546405328985512e-13,1.167730991165629e-13,7.040187247813272e-14,3.9147612216051145e-14,2.3020552556719068e-14,1.2141811886796874e-14,7.477988552761593e-15,4.1015082460239724e-15,2.2417150479024825e-15,3.098082904089296e-15,6.296276133831493e-09,3.428757556207063e-09,2.110477937527356e-09,1.2505991232430528e-09,7.219309376120726e-10,3.9939475674268534e-10,2.344470368372019e-10,1.1687578067639715e-10,6.136167425626286e-11,3.233906581830399e-11,1.6448042724761157e-11,8.913230366524138e-12,4.374208944216088e-12,2.3025550269383776e-12,1.1817934612395639e-12,6.480421189505699e-13,3.663466256565008e-13,2.063630528622318e-13,1.003844497676946e-13
11.0,0.0,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.0655508836098163e-11,4.35680997591634e-11,3.190633173856609e-11,2.417878056988759e-11,1.7992703112406566e-11,1.4042884072311294e-11,8.917833905563568e-12,6.199494969667673e-12,4.486744832166554e-12,3.2183522332595503e-12,2.1253433960601196e-12,1.388238970277508e-12,9.304545537419542e-13,6.594416937561188e-13,4.408738936763992e-13,2.7437683835708486e-13,1.7658717560999892e-13,1.0424323705459321e-13,6.88404808492378e-14,3.757833052922294e-14,2.5237501055930866e-14,1.3094006600326191e-14,9.975387960211829e-15,4.862418968632632e-15,9.919607037481033e-17,3.328178373030885e-15,6.0359315966005374e-09,3.5771018226190923e-09,2.1097450035020926e-09,1.323692635895363e-09,7.533503545750732e-10,4.118474124470691e-10,2.195693837440389e-10,1.2558210585739743e-10,6.665047858976272e-11,3.247751428936921e-11,1.652643860873617e-11,7.878542922038728e-12,4.2699463055443645e-12,2.1444724158903353e-12,1.1547651476381416e-12,6.247181446565114e-13,3.28501624845764e-13,1.7788864429185302e-13,1.0835843412306305e-13
12.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.0514521677674794e-11,4.1878796083060215e-11,3.291026809104277e-11,2.3646478506165197e-11,1.8897529268657086e-11,1.2523275487959399e-11,9.099815167527097e-12,6.282252005059888e-12,4.439486316390168e-12,2.9215691744945857e-12,1.9508835167050428e-12,1.4166999366673215e-12,9.065369516695298e-13,6.598776736671998e-13,4.169003594340239e-13,2.6924640013212547e-13,1.6660069712655193e-13,1.0521837016727617e-13,6.370673472639905e-14,4.033581460882028e-14,2.224887565515886e-14,1.3561802162473835e-14,6.560078429930581e-15,5.454724168661469e-15,3.765843456051195e-15,6.777957037295407e-16,6.0654155245008765e-09,3.5923006250034745e-09,2.169844908397664e-09,1.244905253778652e-09,7.235033786700767e-10,3.896714219390006e-10,2.2120232723008008e-10,1.1829871524369634e-10,6.025170380492901e-11,2.7418108467491667e-11,1.6131162019114117e-11,7.7083964908658e-12,3.8404432248737116e-12,2.167609080335241e-12,1.1181312246648641e-12,5.877244103685357e-13,3.0427695703313794e-13,1.7208294964261677e-13,8.988120277621708e-14
