Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.89790472125399e-11,4.925056076510426e-11,4.015988057263077e-11,3.205312237565404e-11,2.4983799992404967e-11,1.9173703982968186e-11,1.447638060316517e-11,1.068657459455575e-11,7.69951985555428e-12,5.443545610826819e-12,3.778887796004878e-12,2.5683256743910094e-12,1.7164159067373919e-12,1.1251729954691865e-12,7.205377979475697e-13,4.5348947806041905e-13,2.793561406145215e-13,1.694417042501572e-13,9.964566641846136e-14,5.783917433867275e-14,3.274037205721455e-14,1.8773764518606748e-14,1.0390165934990098e-14,5.834484746913983e-15,3.1410274278690664e-15,1.882409079935309e-15,6.0080848915239155e-09,3.4455808981278168e-09,2.053561212244803e-09,1.2225632473957324e-09,7.118929312561691e-10,4.07077121757816e-10,2.3141150968821796e-10,1.3059074465559833e-10,7.349710723471744e-11,4.1148044507982287e-11,2.2768274706886817e-11,1.2636769958940211e-11,7.001398962171496e-12,3.836583311580817e-12,2.0975914751124095e-12,1.126664293502844e-12,5.965289359206238e-13,3.1541974001641876e-13,1.5977295428881568e-13
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.778380894781536e-11,4.8049794789531496e-11,3.899137824051833e-11,3.0957705207547605e-11,2.399836806597335e-11,1.8322819359637302e-11,1.3771033347252796e-11,1.0129275384849631e-11,7.28029957897612e-12,5.1404904368494866e-12,3.5684829955136994e-12,2.427833633410861e-12,1.6254408652743992e-12,1.0680920650534974e-12,6.857608921988755e-13,4.329781310697856e-13,2.6747687281581263e-13,1.6280001659845964e-13,9.597586123731369e-14,5.5893576020745056e-14,3.17111617736868e-14,1.824960891335946e-14,1.011027763015638e-14,5.696256891460727e-15,3.0631852750352487e-15,1.852347940927495e-15,6.019366961316183e-09,3.4611318282737507e-09,2.0686964677325597e-09,1.2334465412080303e-09,7.175042293253492e-10,4.0860791836685584e-10,2.3064950991275857e-10,1.289265384806594e-10,7.176605007698594e-11,3.973512956254405e-11,2.1766373015564072e-11,1.1989982720222875e-11,6.612324097319225e-12,3.6147195604862138e-12,1.9765660690728156e-12,1.0626766053067568e-12,5.640115975934287e-13,2.9948411446868936e-13,1.518095794107221e-13
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.673851090621326e-11,4.699709443295695e-11,3.7963061561669504e-11,2.998877301566664e-11,2.3121360397318187e-11,1.7560509434298393e-11,1.3134808767716531e-11,9.623187105893721e-12,6.897133258542713e-12,4.861892655440403e-12,3.374058862434863e-12,2.297392064411677e-12,1.5406010797858489e-12,1.0146325010650394e-12,6.530567883747042e-13,4.1360483979164233e-13,2.5621470539104474e-13,1.564754629815986e-13,9.246988068979602e-14,5.402665868053385e-14,3.0720536986236465e-14,1.7742944187013496e-14,9.839643051930283e-15,5.561758135663745e-15,2.9877155815718613e-15,1.822186976866131e-15,6.030160064379456e-09,3.4751993194501065e-09,2.0818430443231393e-09,1.2427034560304551e-09,7.222860027722607e-10,4.099791711179078e-10,2.3007417166589063e-10,1.2754597160381853e-10,7.028706011472228e-11,3.850204687008728e-11,2.087697827258733e-11,1.1407905526893598e-11,6.258425393625639e-12,3.4113264066501897e-12,1.8648501525812346e-12,1.003306419852051e-12,5.336880489074243e-13,2.8453432775877737e-13,1.4433579056612102e-13
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.580936313649776e-11,4.6061974918289254e-11,3.7048671881356205e-11,2.9124889228279305e-11,2.233621354038918e-11,1.6874568256479022e-11,1.2559064712961637e-11,9.162461372827477e-12,6.546212463184055e-12,4.605328352026126e-12,3.1941099928364022e-12,2.1761027642864552e-12,1.4613741827101534e-12,9.645029316899398e-13,6.222685894585206e-13,3.952890576525348e-13,2.455289736474227e-13,1.5044868163188224e-13,8.911848703089178e-14,5.2234384166699885e-14,2.976673166876122e-14,1.7253033862034146e-14,9.577849206137356e-15,5.4308895306638314e-15,2.914544842789874e-15,1.7920322606450082e-15,6.040833479161587e-09,3.4882922081773893e-09,2.0934569678218956e-09,1.2505809583198564e-09,7.262723110287618e-10,4.111093397806101e-10,2.2958000961742273e-10,1.2636416907693251e-10,6.900519569162297e-11,3.741797241075502e-11,2.0084300002320352e-11,1.0882728706646319e-11,5.935920651818722e-12,3.224543484351014e-12,1.7615638305031238e-12,9.481433859433684e-13,5.053714439567036e-13,2.70494036335828e-13,1.3731465595143605e-13
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.496958409484703e-11,4.521978868220384e-11,3.622654282478412e-11,2.8348006497461118e-11,2.1628724091153617e-11,1.6254370449736898e-11,1.2036201686548303e-11,8.741927471579698e-12,6.224167745110243e-12,4.368654982117159e-12,3.0273070368439745e-12,2.063170221448673e-12,1.3872960254717164e-12,9.174429626985983e-13,5.932550707447058e-13,3.779579362474571e-13,2.353825110493498e-13,1.4470193691061156e-13,8.591311229497084e-14,5.0513002272085977e-14,2.884807577100722e-14,1.677918643738899e-14,9.324508682495717e-15,5.303553604650518e-15,2.8435997840567463e-15,1.7619958163970222e-15,6.051641719723388e-09,3.5007653099096062e-09,2.1038775580230787e-09,1.2572872773816206e-09,7.295168580944981e-10,4.1195485534107544e-10,2.2909319724141172e-10,1.2531559182112543e-10,6.787533217407952e-11,3.64564770895988e-11,1.9374449279620932e-11,1.0407536499647037e-11,5.641460591778626e-12,3.052732728839631e-12,1.6659327915536357e-12,8.968232541870664e-13,4.78895956723831e-13,2.5729510066612043e-13,1.307121351949737e-13
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.419798050304346e-11,4.445066880819547e-11,3.54788725231064e-11,2.7643003700625526e-11,2.098676689750566e-11,1.5690695522496085e-11,1.1559541780168255e-11,8.357003579357331e-12,5.928002810021786e-12,4.149966206561781e-12,2.8724680899890457e-12,1.957885610955728e-12,1.3179519507908636e-12,8.732187632148555e-13,5.658886230018023e-13,3.615453250834754e-13,2.257412703965778e-13,1.3921892904440736e-13,8.284579857825061e-14,4.885902158276219e-14,2.7962990488396007e-14,1.6320751042212727e-14,9.079257663078497e-15,5.179654470413248e-15,2.7748075742020122e-15,1.732185608898791e-15,6.0627664377936525e-09,3.512867920645313e-09,2.1133555605383257e-09,1.2629922840035821e-09,7.320789323986356e-10,4.124961159161789e-10,2.285630567473293e-10,1.243502523485849e-10,6.68608307548358e-11,3.559511338205871e-11,1.8735269296196033e-11,9.976193054069845e-12,5.3720608349358864e-12,2.8944413300821883e-12,1.5772704699474733e-12,8.490211276529345e-13,4.541136653005265e-13,2.4487632736936704e-13,1.2449690734813745e-13
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.3477780094280156e-11,4.3738623193075783e-11,3.479107163401314e-11,2.699725463185568e-11,2.0400028601378754e-11,1.5175566688207913e-11,1.1123226052838251e-11,8.003627007115383e-12,5.655044636594243e-12,3.947557385998019e-12,2.7285362835496547e-12,1.8596139666235885e-12,1.2529696923007817e-12,8.316194435197908e-13,5.400535274111928e-13,3.4599093277606675e-13,2.1657399365056386e-13,1.3398463208327632e-13,7.990914503850936e-14,4.7269183894556256e-14,2.7109983438954214e-14,1.587711365987326e-14,8.841754130249046e-15,5.059097903713478e-15,2.7080960633557448e-15,1.7026987689047785e-15,6.074341553461565e-09,3.5247757633134825e-09,2.1220750911632104e-09,1.2678317567746695e-09,7.340161122381049e-10,4.127281540539111e-10,2.2795553339676e-10,1.2343040456483483e-10,6.593221254274286e-11,3.4814972009973997e-11,1.8156177137533216e-11,9.583256525539223e-12,5.125052228724073e-12,2.7483730992325364e-12,1.4949640998531523e-12,8.0444592832822e-13,4.308919833143838e-13,2.331824416342226e-13,1.1864023323463231e-13
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.2795695413851544e-11,4.3070781477327543e-11,3.415119983357331e-11,2.6400240455436336e-11,1.985976143013572e-11,1.470210182847115e-11,1.072212367998661e-11,7.678196465690003e-12,5.4029043123507565e-12,3.7598987419605014e-12,2.5945620932934726e-12,1.767783821039278e-12,1.1920135571542905e-12,7.924540579410893e-13,5.156445012010212e-13,3.3123962135869505e-13,2.0785192232710125e-13,1.2898515535517758e-13,7.709626040285349e-14,4.57404418457569e-14,2.6287643828482428e-14,1.544769383148937e-14,8.611676235147236e-15,4.941791404010531e-15,2.6433940484286394e-15,1.6736176930313828e-15,6.086468736197212e-09,3.5366122112484926e-09,2.130170109065108e-09,1.271912645916362e-09,7.353808147638152e-10,4.1265456078846087e-10,2.2724835328157703e-10,1.225277975679589e-10,6.506593274552263e-11,3.410023454614982e-11,1.7628009034452576e-11,9.223909092261163e-12,4.898043235586918e-12,2.6133662314165216e-12,1.4184637388898867e-12,7.628358159732949e-13,4.0911153847626734e-13,2.2216325155787103e-13,1.131158176495932e-13
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.2141183337736104e-11,4.243678076640329e-11,3.3549490243765816e-11,2.5843210667215653e-11,1.9358560883479175e-11,1.4264376702446271e-11,1.035174985798749e-11,7.377522315387775e-12,5.169445116077953e-12,3.58561401348668e-12,2.4696892275665388e-12,1.6818787793785951e-12,1.1347796286363554e-12,7.555491050912501e-13,4.925654650228319e-13,3.1724081008644114e-13,1.9954854270270047e-13,1.2420762448049592e-13,7.440072011034122e-14,4.4269939377088363e-14,2.549463768646724e-14,1.503194176605187e-14,8.388720801790412e-15,4.827644244482548e-15,2.5806315518470957e-15,1.645008449856271e-15,6.09922714683793e-09,3.548462550824486e-09,2.1377365958147397e-09,1.2753181292228936e-09,7.362189617213376e-10,4.122836012103981e-10,2.2642750191535854e-10,1.216214716018603e-10,6.424330123163518e-11,3.3437744833597595e-11,1.7142868921741144e-11,8.893896042994898e-12,4.688890145139658e-12,2.4883758511252592e-12,1.3472735615711947e-12,7.239543732170827e-13,3.8866441404795285e-13,2.1177296868677494e-13,1.0789965931361565e-13
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.1505863784922186e-11,4.182827032855204e-11,3.297795433355165e-11,2.531889211927052e-11,1.889016883204945e-11,1.3857300933908475e-11,1.0008191203927803e-11,7.09878254821144e-12,4.952755610773432e-12,3.423463062093391e-12,2.3531432227880008e-12,1.6014306149782023e-12,1.0809917856165126e-12,7.207464277437415e-13,4.707284927026491e-13,3.0394796915881304e-13,1.9163936135913948e-13,1.196400787268909e-13,7.181652746405423e-14,4.285499463716614e-14,2.4729703239976235e-14,1.4629335799608103e-14,8.172601950850447e-15,4.7165675149124795e-15,2.5197400932922528e-15,1.6169208628641253e-15,6.112679657949994e-09,3.560383681094986e-09,2.144841521275818e-09,1.2781120294154705e-09,7.365697680988957e-10,4.1162577513998765e-10,2.2548469607863006e-10,1.206960265316239e-10,6.34495626350351e-11,3.281661450787317e-11,1.6693982824303844e-11,8.589470469583206e-12,4.49567235765896e-12,2.372460082518349e-12,1.2809448883036463e-12,6.875874165318763e-13,3.694526845917348e-13,2.0196965337282018e-13,1.0296988816651385e-13
10.0,0.0,10.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.088306500664911e-11,4.123851491755062e-11,3.243005701440359e-11,2.4821242638749384e-11,1.8449301732885944e-11,1.3476506987296397e-11,9.688038118455074e-12,6.8394832737645845e-12,4.7511263370906386e-12,3.2723273419681665e-12,2.2442220858928918e-12,1.5260135644918841e-12,1.0303983797165352e-12,6.87901437006958e-13,4.50052911731919e-13,2.913181872990932e-13,1.8410170731254376e-13,1.152713820724221e-13,6.933807833820709e-14,4.1493084985037746e-14,2.3991646473369843e-14,1.423938015681465e-14,7.963049832576765e-15,4.608474159023612e-15,2.460652936465117e-15,1.5893896869036957e-15,6.1268768492027076e-09,3.57241078442052e-09,2.1515294534384593e-09,1.280342502796801e-09,7.364660920042712e-10,4.106923186682133e-10,2.2441558460255338e-10,1.1974028050954083e-10,6.267312986939968e-11,3.222787055516245e-11,1.6275561868009825e-11,8.307342029094566e-12,4.316671026528187e-12,2.2647686954988526e-12,1.2190705396897465e-12,6.535403215841132e-13,3.5138719084524514e-13,1.9271475875425973e-13,9.83065946819686e-14
11.0,0.0,11.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,5.0267468251433325e-11,4.0662078226686445e-11,3.1900451178771976e-11,2.4345244345946988e-11,1.8031502455771282e-11,1.3118251868928314e-11,9.388323806297372e-12,6.5974230297859754e-12,4.563029229022946e-12,3.131197487990153e-12,2.142288489475597e-12,1.4552395697061522e-12,9.827694440861667e-13,6.568816019393793e-13,4.304645290588897e-13,2.7931180014126707e-13,1.7691455744237914e-13,1.1109114581069231e-13,6.6960129092445e-14,4.0181833783408056e-14,2.327933690363951e-14,1.386160297495849e-14,7.759809460969983e-15,4.503279006392181e-15,2.4033052980085574e-15,1.562436398516012e-15,6.1418595578133044e-09,3.584561959469373e-09,2.1578274537292327e-09,1.2820450474985525e-09,7.35935034015563e-10,4.094943125599651e-10,2.2321847649499814e-10,1.1874624058859492e-10,6.190495538696487e-11,3.166414728738273e-11,1.5882676020018376e-11,8.044629236262573e-12,4.150350037643543e-12,2.164533632903836e-12,1.1612802019383566e-12,6.216357715544288e-13,3.343865095189326e-13,1.839727523216047e-13,9.389165725115171e-14
12.0,0.0,12.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.9654829932718144e-11,4.0094570671069125e-11,3.138476164013507e-11,2.3886731368643995e-11,1.7633013546894633e-11,1.2779330888894604e-11,9.106469661042888e-12,6.370660514495357e-12,4.387099204228794e-12,2.9991625108081403e-12,2.0467631538562294e-12,1.3887542678153026e-12,9.378943330554516e-13,6.275651579481797e-13,4.11894961638058e-13,2.6789206889732586e-13,1.7005838230184048e-13,1.070896609041999e-13,6.467776740847984e-14,3.8918998720193224e-14,2.2591703587442436e-14,1.3495554556004165e-14,7.562639642520046e-15,4.400898798736773e-15,2.3476345121621784e-15,1.536071241857465e-15,6.157660465735467e-09,3.596841465553029e-09,2.1637487261825053e-09,1.2832449262972381e-09,7.349986171927353e-10,4.080421786731307e-10,2.2189344734949363e-10,1.1770831773738204e-10,6.11380210467044e-11,3.1119421491019103e-11,1.5511139741409155e-11,7.798815186797282e-12,3.995338740166294e-12,2.0710609236806776e-12,1.107236564432512e-12,5.917118525547094e-13,3.18376082491031e-13,1.757107985859822e-13,8.97085731797486e-14
13.0,0.0,13.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.9041764064372265e-11,3.9532448453727374e-11,3.087940963968474e-11,2.3442246821264474e-11,1.7250669487008764e-11,1.245700255385341e-11,8.840236662051772e-12,6.157485464594262e-12,4.222117580506707e-12,2.8754002509835284e-12,1.957119147695492e-12,1.326233575564342e-12,8.955797118874313e-13,5.998399964932075e-13,3.9428105504335827e-13,2.5702490084067496e-13,1.635150097167615e-13,1.0325783859288803e-13,6.248638579914882e-14,3.7702461436317166e-14,2.192773136536084e-14,1.3140805815727198e-14,7.371311993099218e-15,4.301252210058023e-15,2.2935801494473336e-15,1.5102952853765404e-15,6.1743050283144346e-09,3.6092420089728587e-09,2.1692953589726867e-09,1.2839591058141368e-09,7.336744599898304e-10,4.0634542191313973e-10,2.2044171576112732e-10,1.1662273088753026e-10,6.036692738079471e-11,3.0588787433311066e-11,1.515740990860573e-11,7.567706751620633e-12,3.850416104901679e-12,1.983723636553076e-12,1.0566320493900047e-12,5.636204331618977e-13,3.0328747671673775e-13,1.678984901256349e-13,8.574229757989624e-14
14.0,0.0,14.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.842557153652668e-11,3.897285336576919e-11,3.0381470413762914e-11,2.3008924378627785e-11,1.688180549027179e-11,1.2148923523161671e-11,8.587682367208158e-12,5.956392453316518e-12,4.0669970862260836e-12,2.7591688538763287e-12,1.8728769112790243e-12,1.267380747317696e-12,8.556478317968238e-13,5.736027056744446e-13,3.775643764687529e-13,2.466786047952772e-13,1.5726750388482746e-13,9.95871580136371e-14,6.038165756074331e-14,3.653021827335652e-14,2.1286457342371916e-14,1.2796946902915654e-14,7.185610036619466e-15,4.204259860204789e-15,2.241084091788234e-15,1.485102338186532e-15,6.191811941701621e-09,3.621746361210607e-09,2.1744604022246118e-09,1.2841978049286286e-09,7.3197639980065e-10,4.0441252536432506e-10,2.1886521188964598e-10,1.1548705599554791e-10,5.958756465925823e-11,3.0068267429730565e-11,1.4818495736456565e-11,7.349397277081813e-12,3.7144961346588064e-12,1.9019556367683475e-12,1.0091859991751709e-12,5.372257761334369e-13,2.8905775159648887e-13,1.605076172475536e-13,8.197909303703973e-14
15.0,0.0,15.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.78041058315605e-11,3.8413484892115894e-11,2.9888557582189006e-11,2.2584390348750208e-11,1.6524180529532582e-11,1.1853092520926861e-11,8.347123040249746e-12,5.766057398572363e-12,3.920768298519396e-12,2.6497990995236726e-12,1.7935998596523908e-12,1.2119238144057598e-12,8.179350382402989e-13,5.487577368329635e-13,3.6169077082971597e-13,2.368236761320391e-13,1.513000579708064e-13,9.606961979229101e-14,5.83595149527357e-14,3.540037198440359e-14,2.0666967598443983e-14,1.2463585964728245e-14,7.00532837925064e-15,4.1098443218598955e-15,2.190090568505109e-15,1.460480645317097e-15,6.210193279718191e-09,3.634328506763725e-09,2.179229458007262e-09,1.2839657312716374e-09,7.29915050006879e-10,4.022509389732409e-10,2.1716628248910533e-10,1.1429988578169343e-10,5.879685044105655e-11,2.955465340079897e-11,1.4491880020141476e-11,7.14223276471688e-12,3.5866144284164045e-12,1.8252459841202376e-12,9.646422216892658e-13,5.124033398602802e-13,2.7562891489938164e-13,1.5351196877480744e-13,7.84063916786807e-14
16.0,0.0,16.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.717566714456661e-11,3.7852497936649524e-11,2.939872924088589e-11,2.2166682737655417e-11,1.6175912489666513e-11,1.1567802123409334e-11,8.117100430957952e-12,5.585316573767601e-12,3.782567379610195e-12,2.54668746909384e-12,1.718890461092032e-12,1.1596133343831803e-12,7.822904708486698e-13,5.252166767418086e-13,3.466099705845671e-13,2.2743260680461876e-13,1.4559789845425061e-13,9.269770474188274e-14,5.641612940136213e-14,3.4311124277087696e-14,2.0068394120517028e-14,1.2140348037481984e-14,6.830271952824738e-15,4.0179301208111945e-15,2.1405461588535563e-15,1.4364143301311862e-15,6.229454388789749e-09,3.6469544575265187e-09,2.1835819097135966e-09,1.2832630703994523e-09,7.27498286918885e-10,3.998671234933311e-10,2.153474926909441e-10,1.1306057367710034e-10,5.7992520711121355e-11,2.904537498666628e-11,1.4175450770999575e-11,6.944781431711729e-12,3.4659158370308895e-12,1.7531338618454409e-12,9.227668205014745e-13,4.890387351867545e-13,2.6294745185817986e-13,1.4688715819017544e-13,7.501267027464841e-14
