Fiducial,Line_number,Easting,Northing,Height,Elevation,tx_pitch,tx_roll,tx_yaw,txrx_dx,txrx_dy,txrx_dz,rx_pitch,rx_roll,rx_yaw,S0Z_time_3.834e-04,S0Z_time_3.924e-04,S0Z_time_4.039e-04,S0Z_time_4.184e-04,S0Z_time_4.364e-04,S0Z_time_4.589e-04,S0Z_time_4.869e-04,S0Z_time_5.224e-04,S0Z_time_5.679e-04,S0Z_time_6.249e-04,S0Z_time_6.969e-04,S0Z_time_7.879e-04,S0Z_time_9.019e-04,S0Z_time_1.046e-03,S0Z_time_1.227e-03,S0Z_time_1.456e-03,S0Z_time_1.744e-03,S0Z_time_2.109e-03,S0Z_time_2.567e-03,S0Z_time_3.145e-03,S0Z_time_3.864e-03,S0Z_time_4.745e-03,S0Z_time_5.821e-03,S0Z_time_7.140e-03,S0Z_time_8.754e-03,S0Z_time_1.073e-02,S1Z_time_2.057e-05,S1Z_time_2.607e-05,S1Z_time_3.307e-05,S1Z_time_4.206e-05,S1Z_time_5.356e-05,S1Z_time_6.807e-05,S1Z_time_8.607e-05,S1Z_time_1.086e-04,S1Z_time_1.366e-04,S1Z_time_1.721e-04,S1Z_time_2.176e-04,S1Z_time_2.746e-04,S1Z_time_3.466e-04,S1Z_time_4.376e-04,S1Z_time_5.516e-04,S1Z_time_6.956e-04,S1Z_time_8.771e-04,S1Z_time_1.106e-03,S1Z_time_1.394e-03
0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,4.293015888891579e-10,4.0459101943469277e-10,3.834294356604796e-10,3.7058085904824995e-10,3.356028418030882e-10,3.0499259590339407e-10,2.844553782263092e-10,2.587838291042801e-10,2.4345465530075545e-10,2.1832898435488878e-10,1.8265392563482487e-10,1.5724658331228893e-10,1.2072702683953381e-10,1.0485979778377178e-10,9.447820377865841e-11,7.319647751148052e-11,5.306356492309075e-11,3.89157341263614e-11,3.111632878173605e-11,2.3067751585877027e-11,1.5940487235251335e-11,1.0958579652844858e-11,7.710595243527657e-12,5.051568594305145e-12,3.3671354656944963e-12,2.058878141896634e-12,1.6980432979729158e-09,1.4245060790077178e-09,1.1534917769686291e-09,9.583300739694301e-10,7.826095330517825e-10,6.156429088848825e-10,5.124919674942916e-10,4.166803332809072e-10,3.0411114128056876e-10,2.635804994165036e-10,1.9999422641656536e-10,1.539915627312311e-10,1.1583829558049298e-10,8.993451751700517e-11,6.554966892438263e-11,4.807250551735946e-11,3.395071687377986e-11,2.4240402410891608e-11,1.602183592463297e-11
1.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.4036989594053913e-10,3.363349665547668e-10,3.4195570083555473e-10,3.1858280708542534e-10,3.0422933750208945e-10,2.90586617595966e-10,2.540218713677744e-10,2.3296303212514284e-10,2.0542566295173692e-10,1.9445365902358885e-10,1.6022765889343954e-10,1.3677310973510775e-10,1.1548456950833925e-10,9.950506857674284e-11,7.961699192089378e-11,6.178174083066208e-11,4.444334453461287e-11,3.7029334532349315e-11,2.787605585378488e-11,2.0228474197431933e-11,1.4050981089947925e-11,9.985814362203974e-12,6.520054198794535e-12,4.6393172965622185e-12,2.942663563580814e-12,1.8868521550630685e-12,1.4600936450289417e-09,1.1257631519774359e-09,1.0192044281893559e-09,8.218246855481747e-10,6.956093344419075e-10,5.622076333904492e-10,4.5263659481970454e-10,3.8350289006872146e-10,2.910318788245354e-10,2.42361763073907e-10,1.794734996881687e-10,1.3378288911160764e-10,1.0695802527553304e-10,8.18265370194849e-11,5.911020996084653e-11,4.2751532532080394e-11,3.114873367530673e-11,2.1029759723569375e-11,1.4107723116812272e-11
2.0,0.0,2.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,3.3910047535140534e-10,3.0911296075631996e-10,2.8898915197574e-10,2.7839011697545103e-10,2.705664553579622e-10,2.5172204549064864e-10,2.2129635600251434e-10,2.024187995510196e-10,1.8026888675147498e-10,1.625235157261513e-10,1.347249217218038e-10,1.2642731882490756e-10,1.0206035488949617e-10,8.509696110767187e-11,6.820267875877605e-11,5.4893128073382895e-11,4.531402513315335e-11,3.517306167979533e-11,2.5985247508304378e-11,1.9184055862392867e-11,1.2911888060362335e-11,8.868830266025895e-12,6.152562669276303e-12,4.307868586740807e-12,2.757036105411335e-12,1.7795344617471499e-12,1.3790561612637486e-09,1.0707734960355056e-09,9.611463136408928e-10,7.179800575820179e-10,6.017907838826601e-10,4.689118895959038e-10,3.8909696532040097e-10,3.2258756128721696e-10,2.4739163809569817e-10,2.0048592981138283e-10,1.4898986971891287e-10,1.256564589764022e-10,9.076232933684526e-11,6.734774868789556e-11,5.277624131395141e-11,3.8293131616417696e-11,2.6043020892822115e-11,1.9683338009478182e-11,1.2963274694267415e-11
3.0,0.0,3.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.91746101800841e-10,2.8279278651417594e-10,2.6530822946659466e-10,2.5335301139055903e-10,2.3367414717479115e-10,2.163954134181368e-10,1.9912138704212522e-10,1.8402927972629587e-10,1.6806467908809402e-10,1.462108327981613e-10,1.2628038654079107e-10,1.1087369238880526e-10,9.343971378151251e-11,7.45376648844843e-11,6.536337942697453e-11,4.9510416256435606e-11,3.841106527751232e-11,2.990561969027632e-11,2.2945209333118663e-11,1.6238406810763857e-11,1.2137726415495328e-11,8.620865830587676e-12,5.5456807612656594e-12,3.816644302551987e-12,2.6100799907519605e-12,1.6292098353934963e-12,1.210422699419727e-09,1.0314970051369852e-09,7.917352160172026e-10,6.663723759966187e-10,5.252839865106326e-10,4.359437569390766e-10,3.4348791651998846e-10,2.705857980088236e-10,2.1987861072497666e-10,1.7213961677290482e-10,1.4196051442425868e-10,1.1060069243082303e-10,7.818629824554696e-11,6.442884360861487e-11,4.626252982312647e-11,3.4249094437896703e-11,2.5092310618216498e-11,1.7329943776698302e-11,1.1999046414359323e-11
4.0,0.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.57058069210343e-10,2.5214030859990604e-10,2.285703196986207e-10,2.2041063960349612e-10,2.1279033081272738e-10,1.82496886877675e-10,1.8466712654055395e-10,1.680439875675307e-10,1.5336412163590582e-10,1.279954293328282e-10,1.1779129577248856e-10,9.980666286046862e-11,8.300835149202511e-11,7.158632714099594e-11,5.551760289618959e-11,4.679498361902746e-11,3.574834768044104e-11,2.6997668480699962e-11,2.0563889278907144e-11,1.5830398103236353e-11,1.0754244413632432e-11,7.178757855207049e-12,5.396649998993675e-12,3.666140452447653e-12,2.381688889992118e-12,1.5656495002043863e-12,1.024907758217089e-09,8.766063111715895e-10,6.858633800349546e-10,6.022819789696843e-10,4.742494078035987e-10,3.60650556188067e-10,2.9985368942903605e-10,2.440465380106735e-10,2.0797820462179545e-10,1.5882397862807295e-10,1.275243350045754e-10,9.340238366083363e-11,7.96303628011757e-11,5.436423441558838e-11,3.890447983771738e-11,3.0962803470236525e-11,2.1616766371886515e-11,1.5002755964420733e-11,1.0693403675453235e-11
5.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.3503807162036843e-10,2.267898511702359e-10,2.0277782944585242e-10,1.9015431851238577e-10,1.9417612748291584e-10,1.7624216212856809e-10,1.5605624201144954e-10,1.5027754309971262e-10,1.3662377677407572e-10,1.217434360683908e-10,1.0315565332896965e-10,8.90155050109851e-11,7.427932335868272e-11,5.895850076012639e-11,5.077958417493071e-11,4.1624656570080335e-11,3.3696027320523044e-11,2.493484328981947e-11,1.948211744623728e-11,1.3160674890684859e-11,9.868694608959818e-12,6.8735004242788665e-12,4.978361606253288e-12,3.443175542357158e-12,2.133024765293111e-12,1.3842394848586795e-12,9.169170898164502e-10,7.681602990547559e-10,6.450434969332544e-10,5.672670194809967e-10,4.4215515739735613e-10,3.33487832023359e-10,2.7199569399347613e-10,2.2029631461587682e-10,1.8396669328624004e-10,1.4674449163494667e-10,1.1222563016411957e-10,8.556626283568551e-11,6.766199663244767e-11,4.8888268558028314e-11,3.688817841470106e-11,2.6629156780361812e-11,2.0044627159168486e-11,1.2817329110975409e-11,9.756318439417009e-12
6.0,0.0,6.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,2.1061767188064732e-10,2.0294248186757862e-10,1.9182718821884746e-10,1.7795418523094918e-10,1.6273505489266137e-10,1.5181749498533753e-10,1.472978599440642e-10,1.340391552025037e-10,1.1388498577610567e-10,1.0051762166096103e-10,8.730379416920855e-11,8.461154936578148e-11,7.027971756280018e-11,5.6369396765048655e-11,4.7142974260280816e-11,3.768689196381236e-11,2.7916851548587087e-11,2.294988752136148e-11,1.6252932102445777e-11,1.242657279142703e-11,9.042976256763652e-12,6.419121407257898e-12,4.4198415355153445e-12,2.9908695622736537e-12,2.0703097841085124e-12,1.3253291919144108e-12,8.261802078262374e-10,6.956008478188163e-10,5.489087854629727e-10,4.4972328031498707e-10,3.7732494756049364e-10,2.875170631654914e-10,2.4526475845519197e-10,1.9717437911188812e-10,1.5612386758150682e-10,1.20788633750511e-10,1.0037161699387214e-10,7.889353575386111e-11,5.98934970329765e-11,4.443090649127347e-11,3.381517721043383e-11,2.3119134544243605e-11,1.7498947588539288e-11,1.2829583721182657e-11,8.367534996686437e-12
7.0,0.0,7.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.859945824391141e-10,1.820003532772475e-10,1.7783754469056065e-10,1.625354783030687e-10,1.5943611002899176e-10,1.3883668280481137e-10,1.2287060308151366e-10,1.177179939247171e-10,1.0884862748059208e-10,1.0003485560788047e-10,8.377836440759707e-11,7.325867842166805e-11,6.035069871370224e-11,5.243675913610395e-11,4.1711442325434136e-11,3.57550138558761e-11,2.6569763244971733e-11,1.9998809148196402e-11,1.6021977295706888e-11,1.1581589169229162e-11,8.464605762272008e-12,6.051733307874116e-12,4.102005177682723e-12,2.6598875891136514e-12,1.9396566635360134e-12,1.2138054617688219e-12,7.69303942898862e-10,6.127812911493117e-10,5.053864133303869e-10,3.9378477491803584e-10,3.3217378907060585e-10,2.6890491348320754e-10,2.2319990940943066e-10,1.906328321305595e-10,1.4729545063549344e-10,1.1368019332866749e-10,8.448755184454875e-11,6.846832917128421e-11,5.1805314070970994e-11,4.004979255895987e-11,3.098201809666816e-11,2.2750276245719804e-11,1.4859868699796145e-11,1.0881429185981793e-11,7.753674181258878e-12
8.0,0.0,8.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.7071614348823083e-10,1.6936294873941628e-10,1.53993683275951e-10,1.4634861065270672e-10,1.4500877096591002e-10,1.279085595458317e-10,1.1939049943678773e-10,1.098477187072119e-10,9.658754100896007e-11,8.880485136799781e-11,7.462437636418736e-11,5.925344093731261e-11,5.5064762349869357e-11,4.656607782796918e-11,3.8245839382399716e-11,2.97198792644354e-11,2.5391060632104764e-11,1.835100774295295e-11,1.495089951220216e-11,1.0541543839667152e-11,7.733408069229876e-12,5.4844573873298665e-12,3.871281713788021e-12,2.540345557693278e-12,1.7277735412986755e-12,1.1590047658639882e-12,6.527843814333769e-10,5.437504271660629e-10,4.5379607382563107e-10,3.691888950307776e-10,2.957382413941487e-10,2.3539267608166803e-10,2.019839798994291e-10,1.5572335393521265e-10,1.256667053231493e-10,1.0320622596210742e-10,7.789666627801826e-11,6.105515245431249e-11,4.784839389310903e-11,3.592221514757174e-11,2.696492764175436e-11,1.8683049329565884e-11,1.499984094379182e-11,9.177174360070762e-12,7.039732554614023e-12
9.0,0.0,9.0,0.0,30.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0,0.0,0.0,0.0,1.5378038021914718e-10,1.465650232496897e-10,1.3915558942661493e-10,1.340055922677577e-10,1.2348297123040934e-10,1.1886111268774033e-10,1.0590967671812801e-10,9.811319150160474e-11,9.053089984809998e-11,7.893983459476797e-11,7.120960990510607e-11,5.901027856222514e-11,4.924054744938264e-11,4.483431091013691e-11,3.516988252425848e-11,2.6884756074198115e-11,2.2497555632785566e-11,1.731225542090135e-11,1.3506641563263142e-11,1.0157639663815585e-11,7.2597300206901986e-12,5.127207776537212e-12,3.527164377231345e-12,2.419389654917303e-12,1.5735139192524137e-12,1.0775399939517695e-12,6.399616475339426e-10,5.208403471135858e-10,4.197042701048498e-10,3.3321806589471663e-10,2.598222601152984e-10,2.2918678966238438e-10,1.840563822243053e-10,1.4458786569470447e-10,1.2146726519189956e-10,8.814011096017968e-11,7.311985525091668e-11,5.839861026025169e-11,4.509035576709413e-11,3.448728438656599e-11,2.5483566778675542e-11,1.7872504425594736e-11,1.359865439967931e-11,9.037773170209304e-12,6.278604000015044e-12
